"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc147"	18.63	16.03	16.56	21.5	13.18	1.43	19.43	19.68	15.53	19.44	21.41	27.32	28.85	9.83	27	32.73	25.31	17.61	14.48	13.86	26.68	13.45	28.61	1.32	16.78	14.58	16.48	19.82	25.11	19.8	13.73	1.65	23.24	19.08	11.19
"njc148"	13.85	14.48	18.38	26	19.86	1.75	25.84	20.86	18.23	24.54	28.91	32.5	22.57	13.18	37.62	36.54	33.18	18.49	17.71	18.58	41.27	9.25	27.11	1.55	20.56	14.71	22.6	23.98	34.18	12.97	18.43	1.93	39.07	20.76	15.27
"njc149"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc150"	0.03	0.05	0	0.05	0.05	0	0	0	0	0.05	0.03	0.03	0	0	0.03	0.03	0	0.03	0	0	0.03	0	0.23	0	0	0	0.07	0	0	0.03	0.03	0	0.05	0.03	0.03
"njc151"	0.03	0.05	0	0.05	0.05	0	0	0	0	0.05	0.03	0.03	0	0	0.03	0.03	0	0.03	0	0	0.03	0	0.35	0	0	0	0.07	0	0	0.03	0.03	0	0.05	0.03	0.03
"njc152"	0.03	0.05	0.03	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0.03
"njc153"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc154"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc155"	13.95	14.53	17.71	26.08	19.91	1.73	21.24	21.31	17.85	22.92	28.89	31.12	24.09	12.83	37.8	36.51	33.23	19.44	17.41	18.61	41.82	11.13	27.24	1.5	21.06	13.91	21.4	23.62	34.18	15.68	18.3	1.88	39.09	20.66	15.34
"njc156"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
"njc157"	0.08	0.08	0.03	0	0.05	0	0	0.43	0	0.1	0.03	0	0.1	0	0	0.7	0	0	0.03	0	0.03	0.03	0.4	0	0	0	0.25	0.05	0	0.07	0.1	0	0	0.03	0.03
"njc158"	0.05	0.03	0.03	0	0.05	0	0	0.48	0	0.13	0	0	0	0	0	0.88	0	0	0	0.03	0	0	0.78	0	0	0.05	0.28	0.05	0	0.1	0.1	0	0	0.03	0
"njc159"	0	0	0.13	0.38	0	0.03	0.05	0.15	0.05	0.1	0.03	0.23	0.1	0.13	0	0	0	0.03	0	0	0.03	0	0.75	0	0.03	0.03	0.1	0.28	0	0.05	0.23	0.03	0	0.13	0.03
"njc160"	1.13	2.68	2.5	3.23	1.13	0.2	0.83	2.78	1.35	1.4	1.9	4.13	3.58	2.25	3.78	7.96	2.15	5.9	1.23	0.75	1.8	1.8	2.41	0.55	2.95	1.7	2.25	2.05	2.98	3.7	1.73	0.25	3.85	1.5	0.68
"njc161"	0.03	0.35	0.05	0	0.18	0.05	0	0.05	0	0.2	0.13	0.03	0	0	0	0.15	0.03	0.05	0	0.05	0	0.03	0	0	0.03	0.03	0.07	0	0.03	0.05	0.1	0	0.28	0.2	0.08
"njc162"	0.05	0.03	0	0	0.05	0	0	0.4	0	0.05	0	0	0	0	0	0.7	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0	0	0
"njc163"	0.05	0.03	0	0	0.05	0	0	0.4	0	0.05	0	0	0	0	0	0.7	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0	0	0
"njc164"	0.1	0.38	0.38	0.05	0.23	0.1	0.2	0.78	0.13	1.08	0.13	0.58	0.05	0.23	0	1.7	0.05	0.05	0.13	0.08	0	0.08	3.76	0.05	0.03	0.58	0.58	0.2	0.03	0.42	0.3	0.03	0.28	0.48	0.08
