"","jarjarbinks_29","korra_29","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","hamlet_41","hera_41","goose_42","lambchop_42","buddy_57","joans_57","ginger_58","henry_59","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","grogu_70"
"jarjarbinks_29",0,0.0139176942983229,0.00740250623434262,0.0112157419294699,0.00506376282616119,0.0039008084584666,0.0281014775647978,0.00923683022346729,0.00316601039611159,0.0179381598898101,0.0149016278764197,0.0104186404625723,0.00846399779810243,0.0120669823050104,0.0139074084333971,0.00978604903619114,0.0134291194702666,0.0167035019881149,0.017316963811667,0.00157731039942539,0.014999397254158,0.0192442432141916,0.0233433048903849,0.00892245950360156,0.0043294034191249,0.0153627186379114
"korra_29",0.0139176942983229,0,0.0166200754399126,0.023970888341656,0.00938666189275668,0.0176829514559719,0.0284612207152209,0.0192155724382545,0.0140507409740928,0.00462506980670605,0.0208004238458701,0.0167632700751166,0.0173446743574975,0.0257681523799998,0.0257901381271913,0.0226647664488821,0.00383474885194889,0.0303784656650494,0.0307556639006803,0.0135091780626292,0.00260115360042485,0.0325453307217233,0.0279130655978636,0.0100828714222602,0.0179599598645162,0.0120169913335639
"kubo_30",0.00740250623434262,0.0166200754399126,0,0.0109543892139156,0.00919791115552289,0.00753569086528577,0.0223671849564314,0.00782912913036398,0.00774029984198608,0.0196267806977657,0.0101847106020592,0.003910993048375,0.00368999793136234,0.0145521044428245,0.0152625086923889,0.00868212683290354,0.0162791960334133,0.0186983822460577,0.019684417832535,0.00819963225189223,0.0173568476840412,0.0219509204720417,0.0216228217048852,0.00872036120206593,0.0090340039861576,0.0173573683681763
"hamlet_31",0.0112157419294699,0.023970888341656,0.0109543892139156,0,0.0155786148291382,0.00817116240439361,0.0312895995930111,0.00818460490053173,0.0127284625578606,0.0278497100934671,0.017714255882938,0.0131139185599995,0.00983547104159105,0.00904253259493077,0.0100711373310599,0.00678658558333956,0.023659264853458,0.0101125294519756,0.0109113660074601,0.0119445158926536,0.0251051253963003,0.0130168810329523,0.0229159730865239,0.0172291312599915,0.0079911036845883,0.0222343096694527
"jarjarbinks_32",0.00506376282616119,0.00938666189275668,0.00919791115552289,0.0155786148291382,0,0.00860965389191307,0.026420112354706,0.0118503405183448,0.00485743034043256,0.0131438119055131,0.0146156818931916,0.0110303690117191,0.0100919040802174,0.0166578441944379,0.0171056246262934,0.0135907455474943,0.0087200465956374,0.0214422468210494,0.0218532658748033,0.0050832852208636,0.0103116281339602,0.0239920227172222,0.0227223651280215,0.00546434592459081,0.00917848022014075,0.0116331621061554
"goose_37",0.0039008084584666,0.0176829514559719,0.00753569086528577,0.00817116240439361,0.00860965389191307,0,0.0288165442975933,0.00812407881210574,0.00489023823038902,0.021616643963235,0.014654198327281,0.0109946591868358,0.00825688421587855,0.00854836496426484,0.0109208720669752,0.00644069796267269,0.0170415415132274,0.0131865469696518,0.0138682942331895,0.00463133780483357,0.018690795163539,0.0160264182509626,0.0226509238724789,0.0114886427013607,0.00206720691961451,0.0177482253312687
"hera_37",0.0281014775647978,0.0284612207152209,0.0223671849564314,0.0312895995930111,0.026420112354706,0.0288165442975933,0,0.0273177296651128,0.0266937928312828,0.0275238492151571,0.0156324274878712,0.0204930816782669,0.0229888958574543,0.0340676752922954,0.0322839048464535,0.0273559097921402,0.0276145986043561,0.0380310621776558,0.0388248281107108,0.0287766965148764,0.0277751234446465,0.0418432006075274,0.0254459052896662,0.0219032581331584,0.0305105109016413,0.0272920053110042
"kubo_37",0.00923683022346729,0.0192155724382545,0.00782912913036398,0.00818460490053173,0.0118503405183448,0.00812407881210574,0.0273177296651128,0,0.0103961953908344,0.022675007178117,0.0138193222488727,0.00864694237418426,0.00556373289373321,0.0136744919451375,0.0115547997223219,0.00773150455747666,0.0191958603347804,0.0166056417982217,0.0170094979388795,0.00990664734089961,0.0203761651708625,0.0195230854173819,0.0202516048828096,0.0121586170613288,0.00892072980973227,0.017461614951282
"lambchop_37",0.00316601039611159,0.0140507409740928,0.00774029984198608,0.0127284625578606,0.00485743034043256,0.00489023823038902,0.0266937928312828,0.0103961953908344,0,0.0176682960526903,0.0131418057752445,0.0108515501281704,0.00909745497258653,0.0123067645859982,0.0136961887263537,0.00963931212450381,0.0130576707794353,0.0174650188923255,0.0179773760951636,0.00365411199780274,0.0148101185350402,0.0202762861396188,0.0220473847108496,0.00798589709128662,0.00606045719616449,0.014830664686495
"ophelia_37",0.0179381598898101,0.00462506980670605,0.0196267806977657,0.0278497100934671,0.0131438119055131,0.021616643963235,0.0275238492151571,0.022675007178117,0.0176682960526903,0,0.0222080984145759,0.0192347947684498,0.0203440804816223,0.0297418753965205,0.0293232337827482,0.0261243453379382,0.00582646726069539,0.034490923185105,0.0348583086418614,0.017605485714559,0.00372257824286565,0.0368258122186566,0.0291098908791889,0.0123837365368453,0.0220884779911959,0.013243938261396
