"Taxa"	"Hera_1"	"Wolverine_1"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"JarJarBinks_3"	"Goose_4"	"Padme_5"	"Korra_6"	"Padme_6"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Ivy_67"	"Franc_68"	"JarJarBinks_68"	"Grogu_70"
"k__Bacteria|p__Bacillota"	0.768666666666667	0.783111111111111	0.0991111111111111	0.142444444444444	0.132888888888889	0.0617777777777778	0.831555555555556	0.191888888888889	0.312	0.579444444444444	0.285111111111111	0.280888888888889	0.825333333333333	0.812111111111111	0.240888888888889	0.493777777777778	0.216	0.652222222222222	0.296888888888889	0.376222222222222	0.542666666666667	0.560888888888889	0.452888888888889	0.726	0.500888888888889	0.529333333333333	0.572	0.846888888888889	0.750888888888889	0.447555555555556	0.662444444444444	0.298444444444444	0.812888888888889	0.787111111111111	0.732666666666667	0.0895555555555556	0.569555555555556	0.746666666666667	0.512	0.776222222222222	0.309555555555556	0.0135555555555556	0.791777777777778	0.29	0.701111111111111	0.786	0.726	0.631111111111111	0.409777777777778	0.542222222222222	0.751111111111111	0.682	0.864222222222222	0.678	0.676222222222222	0.691777777777778	0.652222222222222	0.691555555555556	0.757333333333333	0.503777777777778	0.742222222222222	0.802222222222222	0.556	0.449111111111111	0.467111111111111	0.728666666666667	0.693555555555556	0.582666666666667	0.606888888888889	0.724222222222222	0.68	0.595555555555556	0.153333333333333	0.214	0.597111111111111	0.476222222222222	0.789333333333333	0.622666666666667	0.635555555555556	0.611777777777778	0.715555555555556	0.725777777777778	0.544444444444444	0.609777777777778	0.676444444444444	0.618	0.652888888888889	0.727666666666667	0.68	0.338888888888889	0.654888888888889	0.862888888888889	0.402	0.325111111111111	0.842444444444444	0.578444444444444	0.667111111111111	0.603333333333333	0.487111111111111	0.420888888888889	0.734888888888889	0.575444444444444	0.632666666666667	0.0951111111111111	0.722222222222222	0.697555555555556	0.638222222222222	0.0793333333333333	0.625777777777778	0.767333333333333	0.591111111111111	0.231777777777778	0.814444444444444	0.118444444444444	0.739666666666667	0.706666666666667	0.702	0.0393333333333333	0.371111111111111	0.669555555555556	0.249777777777778	0.693555555555556	0.346666666666667	0.531777777777778	0.694444444444444	0.46	0.385555555555556	0.816222222222222	0.853111111111111	0.633111111111111	0.789222222222222	0.0602222222222222	0.492444444444444	0.632666666666667	0.467333333333333	0.500444444444444	0.616888888888889	0.672444444444444	0.363333333333333	0.870666666666667	0.431777777777778	0.478666666666667	0.273111111111111	0.409777777777778	0.421555555555556	0.237555555555556	0.661555555555556	0.312444444444444	0.511111111111111	0.470444444444444	0.530222222222222	0.566	0.88	0.558666666666667	0.514222222222222	0.403555555555556	0.791111111111111	0.834222222222222	0.585111111111111	0.338444444444444	0.278222222222222	0.618222222222222	0.628444444444444	0.0817777777777778	0.671777777777778	0.682	0.721111111111111	0.675555555555556	0.510222222222222	0.68	0.599333333333333	0.619333333333333	0.765111111111111	0.594222222222222	0.491111111111111	0.556222222222222	0.434666666666667	0.688	0.923111111111111	0.823111111111111	0.817111111111111	0.724	0.728888888888889	0.547777777777778	0.703333333333333	0.502222222222222	0.478	0.673333333333333	0.399111111111111	0.760222222222222	0.724888888888889	0.894	0.307111111111111	0.827333333333333	0.770444444444444	0.428888888888889	0.665555555555556	0.731777777777778	0.665111111111111	0.125111111111111	0.633111111111111	0.654	0.619555555555556	0.358222222222222	0.749777777777778	0.554666666666667	0.588444444444444	0.818888888888889	0.697777777777778	0.200666666666667	0.816	0.411111111111111	0.494222222222222	0.678	0.802444444444444	0.746666666666667	0.104888888888889	0.624888888888889	0.837888888888889	0.813777777777778	0.640222222222222	0.365555555555556	0.521333333333333	0.331333333333333	0.684888888888889	0.152222222222222	0.696666666666667	0.477333333333333	0.292	0.450888888888889	0.466888888888889	0.844444444444444	0.651555555555556	0.718444444444444	0.678888888888889	0.625555555555556	0.723777777777778	0.674222222222222	0.335555555555556	0.465333333333333	0.760888888888889	0.351111111111111	0.703111111111111	0.736	0.370222222222222	0.106	0.936	0.637333333333333	0.683555555555556	0.602444444444444	0.0768888888888889
"k__Bacteria|p__Pseudomonadota"	0.0333333333333333	0.0442222222222222	0.843777777777778	0.192444444444444	0.119333333333333	0.661333333333333	0.052	0.700555555555556	0.514222222222222	0.223	0.496	0.634666666666667	0.0417777777777778	0.0301111111111111	0.560666666666667	0.434888888888889	0.758	0.056	0.360888888888889	0.370666666666667	0.0648888888888889	0.243111111111111	0.0164444444444444	0.0988888888888889	0.136888888888889	0.293111111111111	0.105555555555556	0.0382222222222222	0.0673333333333333	0.0215555555555556	0.0331111111111111	0.575333333333333	0.0113333333333333	0.0395555555555556	0.133555555555556	0.135333333333333	0.125555555555556	0.0175555555555556	0.142666666666667	0.106444444444444	0.689777777777778	0.983111111111111	0.012	0.704	0.1	0.0257777777777778	0.0297777777777778	0.0166666666666667	0.107555555555556	0.271333333333333	0.0502222222222222	0.317111111111111	0.0171111111111111	0.0993333333333333	0.0844444444444444	0.0344444444444444	0.0151111111111111	0.0262222222222222	0.0973333333333333	0.299777777777778	0.032	0.0208888888888889	0.273555555555556	0.371555555555556	0.130666666666667	0.114666666666667	0.114666666666667	0.272444444444444	0.227777777777778	0.118444444444444	0.0486666666666667	0.237333333333333	0.801777777777778	0.709111111111111	0.131555555555556	0.332444444444444	0.0111111111111111	0.147333333333333	0.240222222222222	0.264666666666667	0.0337777777777778	0.008	0.346666666666667	0.0842222222222222	0.0206666666666667	0.150888888888889	0.02	0.0364444444444444	0.173333333333333	0.605555555555556	0.024	0.0144444444444444	0.322888888888889	0.516	0.0255555555555556	0.138444444444444	0.212222222222222	0.295333333333333	0.467555555555556	0.513111111111111	0.0688888888888889	0.253333333333333	0.112222222222222	0.861333333333333	0.0451111111111111	0.0364444444444444	0.17	0.897111111111111	0.024	0.0422222222222222	0.244222222222222	0.644888888888889	0.02	0.860444444444444	0.0986666666666667	0.0804444444444444	0.203333333333333	0.0702222222222222	0.326666666666667	0.183555555555556	0.641777777777778	0.0577777777777778	0.0437777777777778	0.0411111111111111	0.156888888888889	0.341555555555556	0.236222222222222	0.0157777777777778	0.0908888888888889	0.0304444444444444	0.0787777777777778	0.372666666666667	0.244222222222222	0.0526666666666667	0.43	0.239555555555556	0.0935555555555556	0.214	0.048	0.0175555555555556	0.0275555555555556	0.212888888888889	0.654888888888889	0.224222222222222	0.132888888888889	0.719111111111111	0.158444444444444	0.333333333333333	0.187333333333333	0.156222222222222	0.0637777777777778	0.0573333333333333	0.0224444444444444	0.185555555555556	0.0773333333333333	0.528	0.0364444444444444	0.102444444444444	0.0988888888888889	0.582444444444444	0.644666666666667	0.141777777777778	0.0526666666666667	0.885333333333333	0.018	0.0395555555555556	0.0257777777777778	0.0428888888888889	0.340888888888889	0.134666666666667	0.169777777777778	0.0364444444444444	0.116222222222222	0.349333333333333	0.0695555555555556	0.229333333333333	0.514888888888889	0.0682222222222222	0.00622222222222222	0.024	0.022	0.0846666666666667	0.100222222222222	0.142444444444444	0.0415555555555556	0.433777777777778	0.0888888888888889	0.121111111111111	0.497555555555556	0.119111111111111	0.048	0.0146666666666667	0.667777777777778	0.0362222222222222	0.0897777777777778	0.120666666666667	0.0433333333333333	0.0408888888888889	0.0677777777777778	0.799777777777778	0.295555555555556	0.0864444444444444	0.0466666666666667	0.124222222222222	0.0362222222222222	0.303777777777778	0.0528888888888889	0.0304444444444444	0.132444444444444	0.742666666666667	0.0371111111111111	0.325333333333333	0.294	0.0213333333333333	0.0277777777777778	0.0331111111111111	0.873333333333333	0.0211111111111111	0.0205555555555556	0.0246666666666667	0.0433333333333333	0.0528888888888889	0.300888888888889	0.608666666666667	0.0417777777777778	0.787555555555556	0.108444444444444	0.384	0.646444444444444	0.0555555555555556	0.447333333333333	0.0173333333333333	0.257333333333333	0.214222222222222	0.182	0.0784444444444444	0.0431111111111111	0.0377777777777778	0.358444444444444	0.0306666666666667	0.144222222222222	0.538	0.124666666666667	0.072	0.0544444444444444	0.0962222222222222	0.00777777777777778	0.214888888888889	0.198222222222222	0.184888888888889	0.219111111111111
"k__Bacteria|p__Bacteroidota"	0.188444444444444	0.130444444444444	0.0497777777777778	0.636222222222222	0.458222222222222	0.269777777777778	0.114666666666667	0.000555555555555556	0.171777777777778	0.170222222222222	0.213555555555556	0.0832222222222222	0.125555555555556	0.139666666666667	0.178	0.0537777777777778	0.0257777777777778	0.268444444444444	0.190111111111111	0.248222222222222	0.375777777777778	0.184444444444444	0.151111111111111	0.086	0.162	0.167777777777778	0.0944444444444444	0.082	0.141111111111111	0.478222222222222	0.289333333333333	0.0795555555555556	0.152888888888889	0.154	0.0844444444444444	0.572	0.156222222222222	0.232222222222222	0.338888888888889	0.111777777777778	0.000222222222222222	0.00288888888888889	0.193111111111111	0.00533333333333333	0.179111111111111	0.184222222222222	0.239555555555556	0.325111111111111	0.383111111111111	0.184666666666667	0.185777777777778	0	0.114666666666667	0.214	0.180888888888889	0.263555555555556	0.294888888888889	0.260888888888889	0.142888888888889	0.193555555555556	0.223333333333333	0.151111111111111	0.168444444444444	0.175111111111111	0.185111111111111	0.144666666666667	0.191777777777778	0.134444444444444	0.157555555555556	0.150888888888889	0.266	0.165333333333333	0.0446666666666667	0.0642222222222222	0.256	0.189555555555556	0.183777777777778	0.204888888888889	0.122222222222222	0.122444444444444	0.199333333333333	0.260444444444444	0.107111111111111	0.299333333333333	0.298	0.210444444444444	0.302666666666667	0.149111111111111	0.143333333333333	0.0544444444444444	0.303555555555556	0.117555555555556	0.244666666666667	0.156444444444444	0.131111111111111	0.243555555555556	0.118222222222222	0.0882222222222222	0.0448888888888889	0.0426666666666667	0.190222222222222	0.163777777777778	0.230222222222222	0.0433333333333333	0.205111111111111	0.246222222222222	0.186222222222222	0.0233333333333333	0.329111111111111	0.139333333333333	0.160666666666667	0.116	0.111555555555556	0.0211111111111111	0.147111111111111	0.193777777777778	0.08	0.778444444444444	0.285555555555556	0.145777777777778	0.106666666666667	0.216	0.580666666666667	0.386666666666667	0.138222222222222	0.171333333333333	0.252444444444444	0.154	0.0346666666666667	0.297777777777778	0.128555555555556	0.501777777777778	0.261555555555556	0.286444444444444	0.1	0.259555555555556	0.283111111111111	0.0777777777777778	0.531111111111111	0.108888888888889	0.458444444444444	0.299777777777778	0.0675555555555555	0.365777777777778	0.435555555555556	0.04	0.168222222222222	0.340888888888889	0.298444444444444	0.345333333333333	0.390666666666667	0.356666666666667	0.0597777777777778	0.255111111111111	0.378222222222222	0.0631111111111111	0.167333333333333	0.0604444444444444	0.262444444444444	0.0764444444444444	0.0693333333333333	0.227333333333333	0.312444444444444	0.0324444444444444	0.304	0.274666666666667	0.239777777777778	0.275777777777778	0.146	0.172444444444444	0.218666666666667	0.314888888888889	0.117111111111111	0.0542222222222222	0.415555555555556	0.197777777777778	0.0462222222222222	0.241333333333333	0.0651111111111111	0.149777777777778	0.152888888888889	0.182222222222222	0.168666666666667	0.309111111111111	0.244888888888889	0.0564444444444444	0.427777777777778	0.186222222222222	0.0697777777777778	0.118	0.223777777777778	0.088	0.0244444444444444	0.134	0.137777777777778	0.446444444444444	0.290222222222222	0.212222222222222	0.259333333333333	0.0702222222222222	0.0606666666666667	0.244444444444444	0.309333333333333	0.516666666666667	0.207333333333333	0.127555555555556	0.352666666666667	0.147555555555556	0.166888888888889	0.056	0.143111111111111	0.261111111111111	0.2	0.298666666666667	0.0982222222222222	0.179777777777778	0.0211111111111111	0.251111111111111	0.130666666666667	0.147111111111111	0.310444444444444	0.567555555555556	0.156	0.0551111111111111	0.268222222222222	0.0571111111111111	0.193111111111111	0.122888888888889	0.0604444444444444	0.472222222222222	0.0755555555555556	0.137111111111111	0.0882222222222222	0.0571111111111111	0.136444444444444	0.259111111111111	0.224	0.278444444444444	0.294666666666667	0.497555555555556	0.0944444444444444	0.110666666666667	0.124222222222222	0.188888888888889	0.480444444444444	0.771333333333333	0.0331111111111111	0.0866666666666667	0.115555555555556	0.182444444444444	0.666444444444444
"k__Bacteria|p__Fusobacteriota"	0.00644444444444444	0.026	0.00666666666666667	0.00355555555555556	0.0133333333333333	0	0	0.000888888888888889	0.00133333333333333	0.0241111111111111	0.00444444444444444	0	0.00644444444444444	0.0175555555555556	0.02	0.0171111111111111	0	0.018	0.137222222222222	0	0.000444444444444444	0.00733333333333333	0.375555555555556	0.0833333333333333	0.197333333333333	0.00666666666666667	0.226666666666667	0.0306666666666667	0.0371111111111111	0.048	0.00333333333333333	0.0455555555555556	0.0137777777777778	0.00666666666666667	0.0462222222222222	0	0.145333333333333	0.00266666666666667	0.000888888888888889	0.000222222222222222	0	0.000222222222222222	0	0.000444444444444444	0.00577777777777778	0.00133333333333333	0	0.00577777777777778	0.0868888888888889	0.000888888888888889	0.000444444444444444	0	0.000888888888888889	0.00466666666666667	0.0495555555555556	0	0.0304444444444444	0.014	0.000444444444444444	0.00111111111111111	0.000222222222222222	0.024	0	0	0.204444444444444	0.00222222222222222	0	0.00977777777777778	0	0.000666666666666667	0.00266666666666667	0.00155555555555556	0	0.000666666666666667	0.01	0.000222222222222222	0.0131111111111111	0.0215555555555556	0.000444444444444444	0	0.0508888888888889	0.00377777777777778	0	0.00444444444444444	0.00355555555555556	0.00866666666666667	0.002	0.0745555555555556	0	0	0.000222222222222222	0.000222222222222222	0.00688888888888889	0.00155555555555556	0.000222222222222222	0.00466666666666667	0	0.012	0	0.00311111111111111	0.00155555555555556	0	0.00755555555555556	0	0.024	0.00622222222222222	0.00288888888888889	0	0.00711111111111111	0.0451111111111111	0.000666666666666667	0.00333333333333333	0.0226666666666667	0	0.0122222222222222	0.0135555555555556	0.0141111111111111	0	0.00644444444444444	0	0	0.0135555555555556	0.0226666666666667	0.0371111111111111	0.00666666666666667	0.0153333333333333	0.109111111111111	0.000222222222222222	0.000222222222222222	0.0284444444444444	0.000111111111111111	0	0	0.0235555555555556	0	0	0.000444444444444444	0	0.00933333333333333	0	0.0155555555555556	0.000444444444444444	0.00133333333333333	0	0	0	0.00511111111111111	0.00377777777777778	0.00111111111111111	0.0142222222222222	0.00111111111111111	0.018	0.00533333333333333	0	0.0288888888888889	0	0.000888888888888889	0	0.042	0	0.00733333333333333	0.0106666666666667	0	0	0.00177777777777778	0.000666666666666667	0.0117777777777778	0.00377777777777778	0.00155555555555556	0.0117777777777778	0	0.0282222222222222	0.000222222222222222	0	0.00666666666666667	0.00511111111111111	0.00333333333333333	0	0	0.00155555555555556	0.004	0.00555555555555556	0.000222222222222222	0	0.00422222222222222	0	0.000888888888888889	0.00955555555555555	0.00911111111111111	0.00111111111111111	0	0	0	0	0	0	0	0.00355555555555556	0.00555555555555556	0.000444444444444444	0.00688888888888889	0.00577777777777778	0.00133333333333333	0	0.00288888888888889	0.00422222222222222	0.00488888888888889	0	0	0	0	0.000666666666666667	0	0	0.00933333333333333	0.0142222222222222	0	0.00711111111111111	0	0.012	0.000888888888888889	0.00555555555555556	0.00577777777777778	0.00244444444444444	0.000222222222222222	0	0.000444444444444444	0.00866666666666667	0.000444444444444444	0.002	0.00733333333333333	0	0.000222222222222222	0.00466666666666667	0.00177777777777778	0.02	0.008	0.00488888888888889	0	0.00266666666666667	0	0	0.0195555555555556	0.000444444444444444	0.0326666666666667	0.00444444444444444	0.000666666666666667	0.0322222222222222	0.000888888888888889	0.0135555555555556	0
"k__Bacteria|p__Actinomycetota"	0.00311111111111111	0.0155555555555556	0.000666666666666667	0.0253333333333333	0.269333333333333	0.00711111111111111	0.00177777777777778	0.106	0.000666666666666667	0.00177777777777778	0.000888888888888889	0.00122222222222222	0.000888888888888889	0.000555555555555556	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.00488888888888889	0.0148888888888889	0.00488888888888889	0.0162222222222222	0.00422222222222222	0.004	0.00577777777777778	0.00222222222222222	0.00311111111111111	0.00133333333333333	0.00222222222222222	0.00333333333333333	0.00244444444444444	0.0117777777777778	0.000666666666666667	0.00777777777777778	0.00933333333333333	0.00266666666666667	0.203111111111111	0.00333333333333333	0.000444444444444444	0.00511111111111111	0.00533333333333333	0.000222222222222222	0.000222222222222222	0.00311111111111111	0.000222222222222222	0.014	0.00266666666666667	0.00466666666666667	0.0206666666666667	0.006	0.000888888888888889	0.0117777777777778	0.000888888888888889	0.00311111111111111	0.00355555555555556	0.00555555555555556	0.01	0.00666666666666667	0.00711111111111111	0.002	0.00177777777777778	0.00222222222222222	0.00155555555555556	0.002	0.00155555555555556	0.0126666666666667	0.00977777777777778	0	0.000666666666666667	0.00777777777777778	0.00577777777777778	0.00244444444444444	0.000222222222222222	0.000222222222222222	0.012	0.00533333333333333	0.00155555555555556	0.00266666666666667	0.00355555555555556	0.00155555555555556	0.00111111111111111	0.000444444444444444	0.002	0.00177777777777778	0.002	0.00133333333333333	0.012	0.0224444444444444	0.0106666666666667	0.00333333333333333	0.00111111111111111	0.012	0.00488888888888889	0.0235555555555556	0.000888888888888889	0.000666666666666667	0.0348888888888889	0.00244444444444444	0.00111111111111111	0.000444444444444444	0.0202222222222222	0.00444444444444444	0.00744444444444444	0.0173333333333333	0.000222222222222222	0.00333333333333333	0.0133333333333333	0.00266666666666667	0.000222222222222222	0.014	0.00511111111111111	0.00333333333333333	0.00266666666666667	0.0311111111111111	0	0.00233333333333333	0.00555555555555556	0.000555555555555556	0.111333333333333	0.0102222222222222	0.00111111111111111	0.00177777777777778	0.0191111111111111	0.006	0.00333333333333333	0.00111111111111111	0.0117777777777778	0.0162222222222222	0.0137777777777778	0.0211111111111111	0.00688888888888889	0.00322222222222222	0.0648888888888889	0.00177777777777778	0.00466666666666667	0.00266666666666667	0.000444444444444444	0.00555555555555556	0.0357777777777778	0.0482222222222222	0.00288888888888889	0.0666666666666667	0.00822222222222222	0.00244444444444444	0.000222222222222222	0.01	0.00333333333333333	0.00355555555555556	0.00955555555555555	0.002	0.0137777777777778	0.0142222222222222	0.00133333333333333	0.0324444444444444	0.000666666666666667	0.00111111111111111	0.00533333333333333	0.00422222222222222	0.00288888888888889	0.0115555555555556	0.00266666666666667	0.000444444444444444	0.002	0.00577777777777778	0.000444444444444444	0.00444444444444444	0.00311111111111111	0.00155555555555556	0.000888888888888889	0.00133333333333333	0.00111111111111111	0.0117777777777778	0.00111111111111111	0.00133333333333333	0.00222222222222222	0.0153333333333333	0.0115555555555556	0.000888888888888889	0.00244444444444444	0.00555555555555556	0.00155555555555556	0.00355555555555556	0.00266666666666667	0.002	0.000666666666666667	0.00466666666666667	0.00755555555555556	0.00444444444444444	0.00977777777777778	0.0244444444444444	0.00155555555555556	0.00111111111111111	0.00333333333333333	0.000666666666666667	0.00111111111111111	0.002	0.004	0.000666666666666667	0.0115555555555556	0.002	0.002	0.00377777777777778	0.00933333333333333	0.0206666666666667	0.000888888888888889	0.00311111111111111	0.00977777777777778	0.00111111111111111	0.00311111111111111	0.00288888888888889	0.000666666666666667	0.00355555555555556	0.00177777777777778	0.0117777777777778	0.002	0.0622222222222222	0.024	0.000666666666666667	0.0957777777777778	0.0108888888888889	0.00155555555555556	0.00466666666666667	0.00844444444444444	0.0157777777777778	0.00222222222222222	0.00466666666666667	0.00311111111111111	0.00133333333333333	0.00711111111111111	0.000666666666666667	0.0164444444444444	0.00288888888888889	0.00111111111111111	0.00266666666666667	0.00555555555555556	0.000888888888888889	0.0168888888888889	0.00111111111111111	0.00422222222222222	0.01	0.00288888888888889	0.000444444444444444	0.000222222222222222	0.0284444444444444	0.00244444444444444	0.0622222222222222	0.0206666666666667	0.0224444444444444	0.0273333333333333	0.00155555555555556	0.0166666666666667	0.0375555555555556
"k__Bacteria|p__Mycoplasmatota"	0	0.000666666666666667	0	0	0.00688888888888889	0	0	0	0	0.00144444444444444	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000666666666666667	0	0	0	0	0.002	0	0.000444444444444444	0.000888888888888889	0.00333333333333333	0.000444444444444444	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0.000444444444444444	0.00666666666666667	0	0.000666666666666667	0	0	0	0.00288888888888889	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.00155555555555556	0	0	0.00533333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000888888888888889	0	0.00133333333333333	0.000222222222222222	0	0	0	0	0.000666666666666667	0	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0.00288888888888889	0.000111111111111111	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0.00288888888888889	0	0	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0	0.00111111111111111	0	0	0	0	0	0	0.00177777777777778	0	0	0	0	0	0.000444444444444444	0.000888888888888889	0	0	0.00133333333333333	0	0	0	0	0	0.002	0	0	0.00133333333333333	0	0	0	0	0	0.00244444444444444	0	0	0.00244444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0	0	0	0.000888888888888889	0.000444444444444444	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0.00288888888888889	0	0	0	0	0	0	0	0.000444444444444444	0.00133333333333333	0.000888888888888889	0	0	0	0	0	0.00133333333333333	0	0.00155555555555556	0.000222222222222222	0	0
"k__Bacteria|p__Campylobacterota"	0	0	0	0	0	0	0	0.000111111111111111	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000444444444444444	0	0	0	0	0.000444444444444444	0	0	0.000222222222222222	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0.000444444444444444	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0
