"ID"	"Hera_1"	"Wolverine_1"	"JarJarBinks_3"	"Goose_4"	"Korra_6"	"Hera_7"	"Iris_7"	"Korra_9"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Kubo_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Iris_48"	"JarJarBinks_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Hera_53"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Wolverine_60"	"Hera_67"	"JarJarBinks_68"
"njc1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.16	0	0.02	0	0
"njc2"	0	0.07	0	0	0	0	0.08	0	0	0	0	0	0.98	0	0	0.31	0	0	0.31	0	0	0	0	0	0.33	0	0	0	0.02	0	0.6	0	0	0	0.42	0.02	0	0	0	0	0	0	0	0	0.24	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0.01	0	0	0.16	0	0	0.04	0	0	0	0	0	0	0.69	0	0	0	0	0	0	0	0	0.51	0	0	0	0.38	0	0	0.27	0	0	0.04	0.04	0	0.04	0	0	0	0	0.18	0	0	0	0	0	0	0.04	0	0.09	0.22	0	0	0	0.07	0	0	0	0	0.07	0.02	1.09	0.02	0	0
"njc3"	0	0.07	0	0	0	0	0.08	0	0	0	0	0	0.98	0	0	0.31	0	0	0.31	0	0	0	0	0	0.33	0	0	0	0.02	0	0.6	0	0	0	0.42	0.02	0	0	0	0	0	0	0	0	0.24	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0.01	0	0	0.16	0	0	0.04	0	0	0	0	0	0	0.69	0	0	0	0	0	0	0	0	0.51	0	0	0	0.38	0	0	0.27	0	0	0.04	0.04	0	0.04	0	0	0	0	0.18	0	0	0	0	0	0	0.04	0	0.09	0.22	0	0	0	0.07	0	0	0	0	0.07	0.02	1.09	0.02	0	0
"njc4"	0	0	0	0.09	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0.04	0	0	0	0.49	0	0	0	0.47	0	0.04	0	0	0	0	0	0	0.04
"njc5"	0	0	0	0.09	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0.04	0	0	0	0.49	0	0	0	0.47	0	0.04	0	0	0	0	0	0	0.04
"njc6"	0	0	0	0.09	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0.04	0	0	0	0.49	0	0	0	0.47	0	0.04	0	0	0	0	0	0	0.04
"njc7"	0	0.02	0.07	0	0.33	0.04	0.29	0.02	0	0.09	0	0.16	0.04	0	0.02	0.11	0	0	0.04	0.04	0	0.04	0.04	0.02	0.02	0	0.04	0	0.02	0	0.02	0.02	0	0.04	0.04	0.36	0.04	0.02	0.04	0	0	0.04	0.04	0.04	0.09	0.02	0	0	0.09	0	0.13	0.04	0.04	0	0	0	0.11	0.11	0.14	0.11	0.02	0.18	0.09	0.16	0.02	0.22	0.07	0.18	0	0.02	0.16	0.13	0.09	0.07	0.13	0.09	0.04	0.18	0.11	0	0.13	0.04	0.04	0.02	0.2	0.02	0.02	0.11	0.04	0.13	0.02	0	0.47	0.02	0.07	0.16	0.11	0.02	0.2	0.02	0	0.02	0	0.02	0.07	0.04	0	0.09	0.04	0.04	0.18	0.04	0.02	0.04	0	0.07	0.02	0.04	0.13	0.16	0.13	0.04	0.18
"njc8"	37.51	42	24.36	27.9	18.17	35.26	19.85	22.94	27.57	47.84	24.79	46.6	52.5	22.32	27.4	44.28	30.52	43.24	31.19	42.4	61.17	55.55	20.7	19.29	29.23	18.08	38.63	45.25	45.27	22.83	40.32	19.16	12.51	12	43.52	22.13	19.5	26.72	15.76	24.61	27.88	24.95	13.09	14.18	46.87	31.16	22.98	25.59	28.73	18.45	33.67	33.33	65.85	13.56	30.49	41.53	15.62	38.54	18.67	16.79	18.28	45.79	12.83	21.87	40.68	29.89	38.74	17.11	15.23	29.18	22.25	38.37	21.97	14.63	17.04	11.26	21.9	34.97	7.14	18.47	32.63	31.32	17.96	17.94	31.87	19.8	26.3	23.14	23.01	18.66	34.39	27.49	14.7	24.56	17.38	31.4	14.47	20.88	20.36	31.57	18.48	41.15	33.33	22.49	16.8	22.87	23.72	19.03	28.7	19.03	24.92	27.4	26.85	20.94	46.96	16.65	26.17	16.18	15.76	25.52	41.28	44.57	20.77
"njc9"	0	0	0	2.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02
"njc10"	0	0.27	0	0.22	0.12	0	0.01	0	0.02	0	0.24	0.02	0.02	0.09	0.09	0.13	0.22	0.24	0.02	0.07	0.96	0.04	0.07	0	0	0	0.13	1.6	0.24	0.2	0	0	0.02	0	0	0	0.09	0	0	0	0.38	0	0	0	0	0.11	0.04	0	0	0.02	0	0.2	0.11	0.11	0	0	0.2	0.09	0	0	0	0.24	0	0.07	0.13	0.03	0.02	0	0.04	0.22	0	0	0.02	0	0.02	0.11	0	0.18	0	0	0	0.04	0.04	0.02	0	0	0	0.11	0	0.11	0.04	0	0	0.29	0.09	0.13	0	0	0.18	0.07	0.18	0.09	0.02	0	0	0	0	0.22	0	0.07	0.04	0	0.07	0.02	0.07	0	0.02	0	0.18	0	0.53	0.02	0
