"Taxa"	"Hera_1"	"Wolverine_1"	"Ginger_2"	"JarJarBinks_3"	"Goose_4"	"Padme_5"	"Korra_6"	"Padme_6"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hera_67"	"Ivy_67"	"Franc_68"	"JarJarBinks_68"
"k__Bacteria|p__Bacillota"	0.768666666666667	0.783111111111111	0.0991111111111111	0.831555555555556	0.265555555555556	0.312	0.579444444444444	0.285555555555556	0.280888888888889	0.825333333333333	0.812111111111111	0.240888888888889	0.494	0.215777777777778	0.652222222222222	0.297333333333333	0.376222222222222	0.542444444444444	0.560888888888889	0.453111111111111	0.726	0.501111111111111	0.529333333333333	0.572222222222222	0.846888888888889	0.751333333333333	0.447555555555556	0.662444444444444	0.298444444444444	0.812888888888889	0.787333333333333	0.732666666666667	0.569555555555556	0.746888888888889	0.512888888888889	0.776222222222222	0.309555555555556	0.0135555555555556	0.792222222222222	0.290444444444444	0.701333333333333	0.786	0.726	0.631333333333333	0.409777777777778	0.542222222222222	0.751111111111111	0.682	0.864222222222222	0.677777777777778	0.676222222222222	0.691777777777778	0.652222222222222	0.691555555555556	0.757111111111111	0.503777777777778	0.742666666666667	0.802222222222222	0.556	0.449111111111111	0.467111111111111	0.727777777777778	0.693555555555556	0.582666666666667	0.606888888888889	0.724222222222222	0.68	0.595555555555556	0.153333333333333	0.214	0.597111111111111	0.476222222222222	0.789333333333333	0.623333333333333	0.635555555555556	0.611777777777778	0.715555555555556	0.725777777777778	0.544888888888889	0.609333333333333	0.676444444444444	0.618	0.653111111111111	0.727666666666667	0.68	0.338888888888889	0.654888888888889	0.862888888888889	0.402222222222222	0.325111111111111	0.842444444444444	0.578666666666667	0.667333333333333	0.603333333333333	0.487111111111111	0.420444444444444	0.735111111111111	0.575222222222222	0.632666666666667	0.0948888888888889	0.722222222222222	0.697555555555556	0.638888888888889	0.0793333333333333	0.626222222222222	0.767333333333333	0.590888888888889	0.231555555555556	0.814444444444444	0.118222222222222	0.739666666666667	0.707111111111111	0.701888888888889	0.371777777777778	0.669555555555556	0.249777777777778	0.693333333333333	0.346666666666667	0.531777777777778	0.694444444444444	0.46	0.385777777777778	0.816444444444444	0.853555555555556	0.633333333333333	0.789111111111111	0.491777777777778	0.632666666666667	0.467333333333333	0.500444444444444	0.616888888888889	0.672	0.363111111111111	0.870666666666667	0.431555555555556	0.478666666666667	0.273111111111111	0.409777777777778	0.421555555555556	0.237555555555556	0.661555555555556	0.312444444444444	0.510888888888889	0.470666666666667	0.529777777777778	0.566222222222222	0.879777777777778	0.558666666666667	0.514222222222222	0.403555555555556	0.791333333333333	0.834222222222222	0.585111111111111	0.338222222222222	0.278444444444444	0.618222222222222	0.629111111111111	0.0817777777777778	0.671777777777778	0.682	0.720888888888889	0.675333333333333	0.510222222222222	0.68	0.599111111111111	0.619111111111111	0.765111111111111	0.594222222222222	0.490888888888889	0.556444444444444	0.434666666666667	0.687555555555556	0.923111111111111	0.823111111111111	0.817111111111111	0.724	0.728888888888889	0.547777777777778	0.703777777777778	0.502222222222222	0.477777777777778	0.673333333333333	0.398666666666667	0.76	0.724888888888889	0.894	0.306888888888889	0.827333333333333	0.770444444444444	0.428888888888889	0.665555555555556	0.731777777777778	0.665333333333333	0.125111111111111	0.633111111111111	0.653777777777778	0.619333333333333	0.358222222222222	0.749777777777778	0.554666666666667	0.588888888888889	0.819111111111111	0.697777777777778	0.200666666666667	0.816222222222222	0.411111111111111	0.494222222222222	0.678	0.802444444444444	0.746222222222222	0.105333333333333	0.624888888888889	0.837777777777778	0.814666666666667	0.640444444444444	0.365555555555556	0.521555555555556	0.332222222222222	0.684666666666667	0.152222222222222	0.696444444444444	0.477333333333333	0.292	0.450888888888889	0.466888888888889	0.844444444444444	0.651555555555556	0.718888888888889	0.678666666666667	0.625555555555556	0.724	0.674222222222222	0.335111111111111	0.465777777777778	0.761111111111111	0.351333333333333	0.703111111111111	0.736222222222222	0.370444444444444	0.936	0.637333333333333	0.683555555555556	0.602666666666667
"k__Bacteria|p__Pseudomonadota"	0.0333333333333333	0.0442222222222222	0.843777777777778	0.052	0.733555555555556	0.514222222222222	0.223	0.495555555555556	0.634666666666667	0.0417777777777778	0.0301111111111111	0.560666666666667	0.434222222222222	0.758222222222222	0.0562222222222222	0.360555555555556	0.370666666666667	0.0648888888888889	0.243111111111111	0.0164444444444444	0.0988888888888889	0.136444444444444	0.293111111111111	0.105333333333333	0.0382222222222222	0.0675555555555555	0.0215555555555556	0.0331111111111111	0.575111111111111	0.0113333333333333	0.0395555555555556	0.133555555555556	0.125555555555556	0.0175555555555556	0.142444444444444	0.105777777777778	0.689777777777778	0.983111111111111	0.012	0.703555555555556	0.1	0.0257777777777778	0.0297777777777778	0.0166666666666667	0.107555555555556	0.271333333333333	0.0502222222222222	0.317111111111111	0.0171111111111111	0.0993333333333333	0.0844444444444444	0.0344444444444444	0.0151111111111111	0.0264444444444444	0.0975555555555556	0.299777777777778	0.032	0.0208888888888889	0.273555555555556	0.371555555555556	0.130888888888889	0.115111111111111	0.114666666666667	0.272444444444444	0.227777777777778	0.118444444444444	0.0486666666666667	0.237333333333333	0.801777777777778	0.709111111111111	0.131555555555556	0.332444444444444	0.0111111111111111	0.147333333333333	0.240222222222222	0.264666666666667	0.0337777777777778	0.00777777777777778	0.346444444444444	0.084	0.0206666666666667	0.150888888888889	0.0197777777777778	0.0364444444444444	0.173333333333333	0.605555555555556	0.024	0.0144444444444444	0.322666666666667	0.516	0.0255555555555556	0.138444444444444	0.212222222222222	0.295333333333333	0.467555555555556	0.513333333333333	0.0688888888888889	0.253333333333333	0.112222222222222	0.861333333333333	0.0451111111111111	0.0364444444444444	0.17	0.897111111111111	0.024	0.0422222222222222	0.244444444444444	0.645111111111111	0.02	0.860444444444444	0.0987777777777778	0.0802222222222222	0.203444444444444	0.326888888888889	0.183555555555556	0.641555555555556	0.058	0.0437777777777778	0.0411111111111111	0.156888888888889	0.341555555555556	0.236222222222222	0.0157777777777778	0.0908888888888889	0.0302222222222222	0.0787777777777778	0.244222222222222	0.0526666666666667	0.43	0.239555555555556	0.0935555555555556	0.214	0.048	0.0175555555555556	0.0275555555555556	0.212888888888889	0.654666666666667	0.224222222222222	0.132888888888889	0.719111111111111	0.158444444444444	0.333333333333333	0.187333333333333	0.156222222222222	0.0637777777777778	0.0573333333333333	0.0228888888888889	0.185555555555556	0.0773333333333333	0.528	0.0364444444444444	0.102444444444444	0.0988888888888889	0.583111111111111	0.644666666666667	0.141777777777778	0.0524444444444444	0.885333333333333	0.018	0.0395555555555556	0.0257777777777778	0.0428888888888889	0.340888888888889	0.135111111111111	0.169777777777778	0.0364444444444444	0.116222222222222	0.349333333333333	0.07	0.229333333333333	0.514888888888889	0.0682222222222222	0.006	0.024	0.022	0.0846666666666667	0.100222222222222	0.142444444444444	0.0415555555555556	0.433777777777778	0.0891111111111111	0.121111111111111	0.497333333333333	0.119111111111111	0.048	0.0146666666666667	0.667777777777778	0.0362222222222222	0.0897777777777778	0.120666666666667	0.0433333333333333	0.0408888888888889	0.0675555555555555	0.8	0.295333333333333	0.0862222222222222	0.0466666666666667	0.124222222222222	0.0362222222222222	0.303777777777778	0.0528888888888889	0.0297777777777778	0.132444444444444	0.742666666666667	0.0371111111111111	0.325333333333333	0.294	0.0213333333333333	0.0277777777777778	0.0333333333333333	0.873333333333333	0.0211111111111111	0.0206666666666667	0.0248888888888889	0.0428888888888889	0.0528888888888889	0.301111111111111	0.608	0.0417777777777778	0.787777777777778	0.108444444444444	0.384222222222222	0.646444444444444	0.0555555555555556	0.447555555555556	0.0173333333333333	0.257333333333333	0.214222222222222	0.182222222222222	0.0784444444444444	0.0428888888888889	0.0377777777777778	0.359111111111111	0.0304444444444444	0.144222222222222	0.537555555555556	0.124666666666667	0.072	0.0544444444444444	0.00777777777777778	0.214888888888889	0.198222222222222	0.184888888888889
"k__Bacteria|p__Bacteroidota"	0.188444444444444	0.130444444444444	0.0497777777777778	0.114666666666667	0	0.171777777777778	0.170222222222222	0.213111111111111	0.0832222222222222	0.125555555555556	0.139666666666667	0.178	0.054	0.0257777777777778	0.268222222222222	0.19	0.248222222222222	0.376	0.184444444444444	0.151111111111111	0.086	0.162222222222222	0.167777777777778	0.0944444444444444	0.082	0.140666666666667	0.478222222222222	0.289333333333333	0.0797777777777778	0.152888888888889	0.153777777777778	0.0844444444444444	0.156222222222222	0.231777777777778	0.338222222222222	0.112222222222222	0.000222222222222222	0.00288888888888889	0.192666666666667	0.00533333333333333	0.179111111111111	0.184222222222222	0.239555555555556	0.325111111111111	0.383111111111111	0.184666666666667	0.185777777777778	0	0.114666666666667	0.214222222222222	0.180444444444444	0.263555555555556	0.294888888888889	0.260888888888889	0.142888888888889	0.193555555555556	0.223111111111111	0.151111111111111	0.168444444444444	0.175111111111111	0.184666666666667	0.145111111111111	0.191777777777778	0.134444444444444	0.157555555555556	0.150888888888889	0.266222222222222	0.165333333333333	0.0446666666666667	0.0637777777777778	0.256	0.189555555555556	0.183777777777778	0.204888888888889	0.122222222222222	0.122444444444444	0.199333333333333	0.260666666666667	0.106666666666667	0.299777777777778	0.298	0.210444444444444	0.302666666666667	0.149111111111111	0.143333333333333	0.0544444444444444	0.303555555555556	0.117555555555556	0.244666666666667	0.156444444444444	0.131111111111111	0.243333333333333	0.118	0.0882222222222222	0.0448888888888889	0.0431111111111111	0.19	0.163888888888889	0.230222222222222	0.0435555555555556	0.205111111111111	0.246222222222222	0.186	0.0233333333333333	0.328444444444444	0.139333333333333	0.160222222222222	0.116	0.111555555555556	0.0213333333333333	0.147111111111111	0.193777777777778	0.08	0.285333333333333	0.145777777777778	0.106888888888889	0.215777777777778	0.580666666666667	0.386666666666667	0.138222222222222	0.171333333333333	0.252222222222222	0.154	0.0344444444444444	0.298222222222222	0.128444444444444	0.262222222222222	0.286444444444444	0.1	0.259555555555556	0.283111111111111	0.0775555555555556	0.531333333333333	0.108888888888889	0.458666666666667	0.299777777777778	0.0677777777777778	0.365777777777778	0.435555555555556	0.04	0.168222222222222	0.340888888888889	0.298666666666667	0.345111111111111	0.390888888888889	0.356444444444444	0.0595555555555556	0.255111111111111	0.378222222222222	0.0628888888888889	0.167111111111111	0.0604444444444444	0.262444444444444	0.076	0.0691111111111111	0.227333333333333	0.312222222222222	0.0324444444444444	0.304	0.274666666666667	0.239777777777778	0.276222222222222	0.146	0.172	0.218666666666667	0.315111111111111	0.117111111111111	0.0542222222222222	0.415111111111111	0.197777777777778	0.0462222222222222	0.241777777777778	0.0653333333333333	0.15	0.152888888888889	0.182222222222222	0.168666666666667	0.309111111111111	0.244444444444444	0.0564444444444444	0.427555555555556	0.186222222222222	0.0702222222222222	0.118	0.223777777777778	0.088	0.0246666666666667	0.134	0.137777777777778	0.446444444444444	0.290222222222222	0.212444444444444	0.259555555555556	0.0702222222222222	0.0606666666666667	0.245111111111111	0.309555555555556	0.516888888888889	0.207333333333333	0.127555555555556	0.352444444444444	0.148	0.166666666666667	0.056	0.142888888888889	0.261111111111111	0.2	0.298666666666667	0.0982222222222222	0.179777777777778	0.0208888888888889	0.251111111111111	0.130666666666667	0.146222222222222	0.310666666666667	0.567555555555556	0.155555555555556	0.0548888888888889	0.268444444444444	0.0568888888888889	0.193333333333333	0.122666666666667	0.0604444444444444	0.472222222222222	0.0753333333333333	0.137111111111111	0.0882222222222222	0.0568888888888889	0.136444444444444	0.259111111111111	0.224222222222222	0.278444444444444	0.294444444444444	0.497333333333333	0.0942222222222222	0.110666666666667	0.124222222222222	0.188666666666667	0.480222222222222	0.0331111111111111	0.0866666666666667	0.115555555555556	0.182444444444444
"k__Bacteria|p__Fusobacteriota"	0.00644444444444444	0.026	0.00666666666666667	0	0.000666666666666667	0.00133333333333333	0.0241111111111111	0.00488888888888889	0	0.00644444444444444	0.0175555555555556	0.02	0.0171111111111111	0	0.018	0.137222222222222	0	0.000444444444444444	0.00733333333333333	0.375555555555556	0.0833333333333333	0.197333333333333	0.00666666666666667	0.226666666666667	0.0306666666666667	0.0371111111111111	0.048	0.00333333333333333	0.0455555555555556	0.0137777777777778	0.00666666666666667	0.0462222222222222	0.145333333333333	0.00266666666666667	0.000888888888888889	0.000222222222222222	0	0.000222222222222222	0	0.000444444444444444	0.00555555555555556	0.00133333333333333	0	0.00577777777777778	0.0868888888888889	0.000888888888888889	0.000444444444444444	0	0.000888888888888889	0.00466666666666667	0.0495555555555556	0	0.0304444444444444	0.014	0.000444444444444444	0.00111111111111111	0	0.024	0	0	0.204444444444444	0.00222222222222222	0	0.00977777777777778	0	0.000666666666666667	0.00266666666666667	0.00155555555555556	0	0.000666666666666667	0.01	0.000222222222222222	0.0131111111111111	0.0213333333333333	0.000444444444444444	0	0.0508888888888889	0.00377777777777778	0	0.00444444444444444	0.00355555555555556	0.00866666666666667	0.002	0.0745555555555556	0	0	0.000222222222222222	0.000222222222222222	0.00688888888888889	0.00155555555555556	0.000222222222222222	0.00466666666666667	0	0.012	0	0.00311111111111111	0.00155555555555556	0	0.00755555555555556	0	0.024	0.00622222222222222	0.00288888888888889	0	0.00733333333333333	0.0451111111111111	0.000666666666666667	0.00333333333333333	0.0224444444444444	0	0.0122222222222222	0.0135555555555556	0.0141111111111111	0.00644444444444444	0	0	0.0135555555555556	0.0226666666666667	0.0371111111111111	0.00666666666666667	0.0153333333333333	0.109111111111111	0.000222222222222222	0	0.0284444444444444	0.000111111111111111	0	0.0235555555555556	0	0	0.000444444444444444	0	0.00933333333333333	0	0.0155555555555556	0.000444444444444444	0.00133333333333333	0	0	0	0.00511111111111111	0.00377777777777778	0.00111111111111111	0.0142222222222222	0.00111111111111111	0.018	0.00533333333333333	0	0.0288888888888889	0	0.000888888888888889	0	0.042	0	0.00755555555555556	0.0106666666666667	0	0	0.00177777777777778	0.000666666666666667	0.012	0.00377777777777778	0.00155555555555556	0.0117777777777778	0	0.0282222222222222	0.000222222222222222	0	0.00666666666666667	0.00511111111111111	0.00333333333333333	0	0	0.00155555555555556	0.004	0.00555555555555556	0.000222222222222222	0	0.00422222222222222	0	0.000888888888888889	0.00955555555555555	0.00911111111111111	0.00111111111111111	0	0	0	0	0	0	0	0.00355555555555556	0.00555555555555556	0.000222222222222222	0.00688888888888889	0.00577777777777778	0.00133333333333333	0	0.00288888888888889	0.00422222222222222	0.00488888888888889	0.000222222222222222	0	0	0	0.000666666666666667	0	0	0.00933333333333333	0.0142222222222222	0	0.00711111111111111	0	0.0117777777777778	0.000888888888888889	0.00555555555555556	0.00577777777777778	0.00244444444444444	0.000444444444444444	0	0.000666666666666667	0.00888888888888889	0.000444444444444444	0.002	0.00733333333333333	0	0.000222222222222222	0.00444444444444444	0.00177777777777778	0.02	0.00777777777777778	0.00488888888888889	0.000222222222222222	0.00266666666666667	0	0	0.0195555555555556	0.000444444444444444	0.0326666666666667	0.000666666666666667	0.0322222222222222	0.000888888888888889	0.0135555555555556
"k__Bacteria|p__Actinomycetota"	0.00311111111111111	0.0155555555555556	0.000666666666666667	0.00177777777777778	0	0.000666666666666667	0.00177777777777778	0.000888888888888889	0.00122222222222222	0.000888888888888889	0.000555555555555556	0.000444444444444444	0.000666666666666667	0.000222222222222222	0.00488888888888889	0.0148888888888889	0.00488888888888889	0.0162222222222222	0.00422222222222222	0.00377777777777778	0.00577777777777778	0.00222222222222222	0.00311111111111111	0.00133333333333333	0.00222222222222222	0.00311111111111111	0.00244444444444444	0.0117777777777778	0.000666666666666667	0.00777777777777778	0.00933333333333333	0.00266666666666667	0.00333333333333333	0.000666666666666667	0.00511111111111111	0.00555555555555556	0.000222222222222222	0.000222222222222222	0.00311111111111111	0.000222222222222222	0.014	0.00266666666666667	0.00466666666666667	0.0204444444444444	0.006	0.000888888888888889	0.0117777777777778	0.000888888888888889	0.00311111111111111	0.00355555555555556	0.006	0.01	0.00666666666666667	0.00688888888888889	0.002	0.00177777777777778	0.00222222222222222	0.00155555555555556	0.002	0.00155555555555556	0.0128888888888889	0.00977777777777778	0	0.000666666666666667	0.00777777777777778	0.00577777777777778	0.00244444444444444	0.000222222222222222	0.000222222222222222	0.0124444444444444	0.00533333333333333	0.00155555555555556	0.00266666666666667	0.00311111111111111	0.00155555555555556	0.00111111111111111	0.000444444444444444	0.002	0.002	0.00222222222222222	0.00133333333333333	0.012	0.0224444444444444	0.0106666666666667	0.00333333333333333	0.00111111111111111	0.012	0.00488888888888889	0.0235555555555556	0.000888888888888889	0.000666666666666667	0.0348888888888889	0.00244444444444444	0.00111111111111111	0.000444444444444444	0.02	0.00444444444444444	0.00755555555555556	0.0173333333333333	0.000222222222222222	0.00333333333333333	0.0133333333333333	0.00222222222222222	0.000222222222222222	0.014	0.00511111111111111	0.00377777777777778	0.00266666666666667	0.0313333333333333	0	0.00222222222222222	0.00533333333333333	0.000555555555555556	0.00955555555555555	0.00111111111111111	0.00177777777777778	0.0193333333333333	0.006	0.00333333333333333	0.00111111111111111	0.0117777777777778	0.0162222222222222	0.0135555555555556	0.0211111111111111	0.00666666666666667	0.00344444444444444	0.00177777777777778	0.00466666666666667	0.00266666666666667	0.000444444444444444	0.00555555555555556	0.0364444444444444	0.0482222222222222	0.00288888888888889	0.0666666666666667	0.00822222222222222	0.00244444444444444	0.000222222222222222	0.01	0.00333333333333333	0.00355555555555556	0.00955555555555555	0.002	0.0137777777777778	0.0144444444444444	0.00133333333333333	0.0324444444444444	0.000666666666666667	0.00111111111111111	0.00555555555555556	0.00422222222222222	0.00288888888888889	0.0115555555555556	0.00266666666666667	0.000222222222222222	0.002	0.00533333333333333	0.000444444444444444	0.00444444444444444	0.00311111111111111	0.00155555555555556	0.000666666666666667	0.00133333333333333	0.00111111111111111	0.012	0.00111111111111111	0.00133333333333333	0.00222222222222222	0.0155555555555556	0.0113333333333333	0.000888888888888889	0.00244444444444444	0.00555555555555556	0.00133333333333333	0.00355555555555556	0.00266666666666667	0.002	0.000666666666666667	0.00466666666666667	0.00755555555555556	0.00466666666666667	0.00977777777777778	0.0246666666666667	0.00177777777777778	0.00111111111111111	0.00333333333333333	0.000666666666666667	0.00111111111111111	0.002	0.004	0.000666666666666667	0.0113333333333333	0.00177777777777778	0.002	0.004	0.00911111111111111	0.0206666666666667	0.000666666666666667	0.00311111111111111	0.00977777777777778	0.000888888888888889	0.00288888888888889	0.00311111111111111	0.000666666666666667	0.00355555555555556	0.00177777777777778	0.0117777777777778	0.002	0.0622222222222222	0.0242222222222222	0.000444444444444444	0.0957777777777778	0.0108888888888889	0.00155555555555556	0.00466666666666667	0.00844444444444444	0.0157777777777778	0.00222222222222222	0.00444444444444444	0.00311111111111111	0.00111111111111111	0.00688888888888889	0.000666666666666667	0.0164444444444444	0.00288888888888889	0.00111111111111111	0.00266666666666667	0.00555555555555556	0.000888888888888889	0.0168888888888889	0.00111111111111111	0.00422222222222222	0.00977777777777778	0.00288888888888889	0.000444444444444444	0.000444444444444444	0.0284444444444444	0.00244444444444444	0.0622222222222222	0.0224444444444444	0.0273333333333333	0.00155555555555556	0.0164444444444444
"k__Bacteria|p__Mycoplasmatota"	0	0.000666666666666667	0	0	0	0	0.00144444444444444	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000666666666666667	0	0	0	0	0.002	0	0.000444444444444444	0.000888888888888889	0.00333333333333333	0.000444444444444444	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0.000444444444444444	0.00666666666666667	0	0.000666666666666667	0	0	0	0.00288888888888889	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.00155555555555556	0	0	0.00533333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000888888888888889	0	0.00133333333333333	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0.00288888888888889	0.000111111111111111	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0.00288888888888889	0	0	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0	0.00111111111111111	0	0	0	0	0	0	0.00177777777777778	0	0	0	0	0	0.000444444444444444	0.000888888888888889	0	0	0.00133333333333333	0	0	0	0	0	0.002	0	0	0.00133333333333333	0	0	0	0	0	0.00244444444444444	0	0	0.00244444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0	0	0	0.000888888888888889	0.000444444444444444	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0.00288888888888889	0	0	0	0	0	0	0	0.000444444444444444	0.00133333333333333	0.000888888888888889	0	0	0	0	0	0	0.00155555555555556	0.000222222222222222	0
"k__Bacteria|p__Campylobacterota"	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000444444444444444	0	0	0	0.000444444444444444	0	0	0.000222222222222222	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0.000222222222222222	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0
"k__Bacteria|p__Deinococcota"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
