tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	2	0	0	21	1	0	0	1	0	0	0	1	1	0	0	0	0	2	6	0	0	3	12	50
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	0	0	0	2	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	8	5	4	5	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	2	48
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	2	0	12	0	0	0	1	1	5	0	4	0	0	0	0	0	0	1	0	0	9	1	12	48
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	1	0	0	1	7	6	6	0	0	8	1	3	0	0	0	0	1	0	6	0	0	8	0	48
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	12	33	47
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	1	0	1	4	4	0	4	7	2	2	2	7	1	2	0	1	0	1	2	2	1	0	2	46
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	1	0	1	20	4	1	0	0	2	0	1	1	1	1	2	0	0	0	2	3	0	3	2	45
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	2	1	0	3	9	1	3	7	1	3	0	0	0	2	3	0	0	2	1	4	0	1	1	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	0	0	1	2	5	0	0	1	0	0	0	4	0	6	16	1	0	0	0	1	0	2	5	44
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	2	0	0	5	6	3	3	5	0	2	0	3	2	1	0	2	0	3	1	3	1	1	0	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	3	0	0	4	4	3	3	0	0	6	3	2	0	0	0	0	0	3	2	4	0	6	0	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	33	0	0	4	0	42
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	0	0	1	5	4	0	2	4	3	2	0	1	0	3	1	0	0	1	2	7	1	1	3	41
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	0	0	0	37	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	41
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	0	0	0	1	4	0	0	1	0	0	0	0	0	8	14	4	0	0	0	3	0	0	6	41
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	0	1	2	5	2	1	0	1	2	2	0	2	2	1	0	0	0	2	6	6	2	4	0	41
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	0	1	2	3	4	3	7	3	0	1	1	6	0	0	1	0	0	3	5	0	0	1	41
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	3	7	0	0	0	0	0	2	0	5	11	0	3	2	0	0	2	0	2	0	2	1	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	2	0	0	0	0	0	0	1	0	0	0	0	0	12	18	1	0	0	0	2	0	0	0	36
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	8	22	34
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	1	4	3	3	2	3	0	5	1	0	0	0	2	1	0	1	0	2	1	0	5	34
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	0	1	4	0	0	0	0	0	0	15	0	0	0	0	0	2	12	0	0	0	0	34
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	2	0	0	3	9	0	0	1	1	0	0	2	0	0	1	0	0	2	3	3	0	5	1	33
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	21	6	33
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	7	0	0	1	0	2	0	0	1	2	0	0	0	0	0	5	0	0	6	0	9	33
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	1	1	1	0	0	0	0	4	4	2	0	15	2	1	0	0	0	0	0	0	0	0	2	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	0	0	4	0	0	0	0	2	2	0	6	2	0	2	5	0	0	7	0	1	0	2	0	33
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	6	5	4	0	2	0	0	0	0	0	0	0	4	0	0	0	0	2	4	0	2	1	2	32
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	8	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	12	0	9	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia pseudococcoides	1	0	1	3	3	0	0	2	0	3	0	2	2	0	1	0	0	2	4	1	0	4	3	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	2	0	6	2	0	0	0	0	0	0	1	3	3	0	1	0	0	1	1	2	1	8	0	31
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	11	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	1	0	0	0	0	0	0	0	0	0	0	0	0	6	19	0	0	0	0	4	0	0	0	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	0	0	1	2	0	4	1	0	2	0	3	1	2	0	0	0	0	3	7	0	1	1	28
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	25	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	0	0	3	2	5	0	0	0	1	0	0	0	0	2	4	0	0	0	0	2	0	0	8	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	0	0	0	2	1	0	0	0	0	0	0	0	0	6	12	1	0	0	0	1	0	0	3	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	3	0	0	0	0	0	0	5	3	9	1	0	0	0	0	1	3	0	0	1	0	26
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	2	4	1	5	0	0	2	1	0	0	2	1	0	0	1	0	0	1	4	0	0	1	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	1	2	2	2	0	0	1	0	0	0	5	1	0	1	0	0	4	1	2	0	2	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	0	0	1	1	9	0	1	3	0	1	0	0	2	1	0	0	0	0	0	0	1	2	2	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	1	1	7	0	4	0	0	0	0	0	0	1	0	0	0	0	0	5	1	1	0	2	1	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Faecalimicrobium;Faecalimicrobium dakarense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Latilactobacillus curvatus	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	0	0	1	3	2	0	0	0	0	4	0	0	3	5	0	0	0	3	0	0	1	0	22
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	3	1	0	0	1	0	2	0	3	0	0	0	0	0	2	3	2	0	5	0	22
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	0	0	0	0	0	6	2	4	0	1	2	1	0	0	0	2	0	1	1	1	1	22
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	1	0	3	1	1	0	1	4	3	5	0	0	0	1	0	0	0	0	1	0	0	0	0	21
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	1	4	0	0	1	1	2	0	1	3	2	0	0	0	0	0	2	1	2	1	0	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	5	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	2	0	0	3	0	21
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	3	0	8	21
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	15	0	0	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	1	3	1	0	0	0	0	0	0	0	1	6	0	1	3	0	0	0	2	0	0	0	2	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	13	0	0	0	1	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	2	1	1	0	0	0	0	1	2	2	1	2	0	0	0	1	2	1	2	1	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	1	0	0	0	0	0	0	1	0	0	0	0	0	4	7	2	0	0	0	1	0	2	1	19
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	7	0	6	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	0	0	1	2	6	0	0	1	1	0	0	1	1	2	1	0	0	0	2	1	0	0	0	19
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	3	0	1	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	5	0	5	19
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	2	0	3	0	0	1	0	0	1	1	2	0	0	1	0	0	0	1	0	0	4	0	2	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	3	1	2	0	0	2	1	0	0	1	1	0	0	0	0	1	2	0	1	2	1	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	0	0	0	1	1	0	0	0	0	0	0	0	0	4	8	0	0	0	0	1	0	0	3	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	2	5	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	2	0	2	0	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	1	0	0	4	1	0	0	3	1	0	0	1	1	0	0	0	0	1	3	1	0	1	0	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	0	0	2	0	0	0	0	1	0	0	2	2	0	1	1	1	0	2	0	0	0	5	1	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	2	3	0	1	0	0	0	0	0	2	1	0	2	4	0	0	0	0	1	0	1	0	17
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	1	0	3	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	3	1	16
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	1	0	6	0	0	0	0	0	1	0	1	1	1	0	0	2	0	0	0	0	1	0	2	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	0	0	0	1	2	0	1	0	0	6	1	0	0	0	2	0	0	0	0	0	1	0	1	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	15
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella morbillorum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	7	0	4	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] symbiosum	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella haemolysans	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	6	0	1	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	0	0	0	0	2	0	0	0	0	0	1	0	0	2	5	0	0	1	0	0	1	2	0	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	0	1	1	0	0	0	0	0	0	0	0	1	7	1	0	0	0	2	0	0	1	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	0	5	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	3	14
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria perflava	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella lascolaii	0	0	0	1	2	0	0	0	0	0	0	0	0	1	6	1	0	0	0	1	0	0	2	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella pleuritidis	1	0	0	1	1	0	0	1	0	0	0	0	0	2	4	1	0	0	0	1	0	0	1	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	1	0	1	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	0	2	0	1	0	13
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella hathewayi	0	0	2	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	4	0	0	1	0	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	0	0	0	1	1	0	0	2	0	0	0	0	0	2	5	1	0	0	0	0	0	0	1	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecicola	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	13
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chuandaensis	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	7	12
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella parahaemolysans	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	1	0	1	0	0	4	0	0	0	0	0	1	0	1	0	0	0	3	0	0	1	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	0	0	0	2	1	0	1	1	1	0	0	0	3	0	0	1	0	0	0	0	0	1	1	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella paludivivens	0	0	1	1	0	0	0	0	0	0	2	3	0	0	2	0	1	0	0	1	0	0	1	12
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus intermedius	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	1	0	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	11
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	0	2	1	0	1	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	0	0	5	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis;[Bacteroides] pectinophilus	2	0	1	2	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia stercoris	3	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia faecicola	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	1	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	10
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter bugandensis	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	6	9
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	3	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	0	2	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Diplocloster;Diplocloster agilis	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Agathobaculum;Agathobaculum desmolans	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	0	0	1	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia brookingsii	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	2	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	1	8
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Caproiciproducens;Caproiciproducens galactitolivorans	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	7
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella massiliensis	0	0	1	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	7
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella saccharolytica	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	6
