tax	BUD-57-MGE-S165	CM-NTC-009	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	18	0	0	2	1	0	0	0	0	2	148	3	2	0	3592	309	3	10	0	0	63	2912	7065
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus	255	3	59	4	157	725	268	482	548	774	3	7	165	757	0	389	119	296	338	124	173	512	625	132	6915
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	495	0	185	0	0	851	846	1217	571	0	0	0	139	340	0	60	142	213	329	105	1027	0	0	1	6521
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	5	0	352	1	15	1560	493	1362	913	0	0	0	357	6	0	26	3	0	0	265	913	0	2	0	6273
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	56	1	39	1	46	481	362	218	297	97	2	4	1038	136	0	252	164	76	1036	345	302	686	400	112	6151
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	140	0	66	2	14	540	263	959	164	383	4	8	119	148	0	332	47	68	434	108	389	441	222	108	4959
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	315	0	53	3	329	226	273	311	229	408	6	6	55	297	0	294	258	368	230	47	95	344	227	44	4418
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	2	0	45	0	0	161	2	2	1	0	0	4	12	99	1	0	306	2653	559	1	2	0	0	195	4045
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	155	1	61	0	65	192	429	974	16	599	0	0	54	20	0	29	56	98	129	25	371	127	279	40	3720
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	471	1	53	2	259	143	195	221	205	229	2	3	24	356	0	322	322	282	130	30	61	178	124	29	3642
