tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	4	1	0	10	6	2	0	3	0	0	0	0	4	3	4	1	1	0	6	4	16	3	39	0	107
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	3	4	0	11	18	4	0	4	3	1	2	0	1	3	6	3	1	5	7	9	9	5	1	2	102
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	12	4	8	1	2	0	0	0	0	0	32	5	2	0	3	4	2	6	14	3	3	101
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	18	2	7	7	2	0	0	0	0	0	4	2	3	1	0	11	12	12	16	1	0	98
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chuandaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	2	0	40	48	0	0	96
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	6	0	0	18	0	0	0	7	0	0	0	0	0	48	0	0	0	0	0	0	0	0	3	12	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	2	0	0	16	0	0	0	9	1	0	0	0	0	48	0	0	0	0	0	0	0	0	6	11	93
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	10	0	0	1	0	0	0	11	12	40	0	0	0	0	11	1	0	6	0	0	0	0	0	0	92
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	24	0	1	18	42	0	0	92
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	2	0	2	38	0	2	0	0	0	0	0	0	1	0	0	0	0	4	21	12	6	2	0	90
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	2	0	0	5	9	16	4	4	1	0	0	0	2	11	4	1	2	0	3	6	2	5	3	4	84
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	3	4	0	3	12	4	2	5	0	3	0	0	2	9	6	7	6	2	0	1	2	3	5	4	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella shahii	0	0	0	12	0	0	0	3	0	0	0	0	0	47	0	0	0	0	0	0	0	0	4	7	73
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	1	2	0	7	8	4	2	4	2	1	0	0	3	7	5	1	3	4	2	4	3	4	1	4	72
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	4	0	0	6	0	0	0	3	1	0	0	0	0	43	0	0	0	0	0	0	0	0	4	4	65
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	0	2	0	3	15	4	2	3	1	0	0	0	3	5	0	1	5	1	1	6	4	1	3	3	63
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	1	0	0	0	0	0	0	2	30	0	6	8	0	0	3	0	0	3	9	0	0	0	0	0	62
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	1	0	0	5	8	4	4	5	0	2	0	0	3	6	2	6	1	2	0	3	1	3	0	6	62
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	0	0	4	4	0	0	3	0	0	0	0	0	36	0	0	0	1	0	0	0	0	7	4	60
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	0	0	10	0	0	4	0	0	0	0	1	0	0	1	2	2	6	6	13	3	0	11	59
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	0	0	1	0	0	0	0	0	1	0	0	35	5	0	0	0	0	3	0	0	8	3	56
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	35	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	56
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	0	0	12	0	8	2	1	0	0	0	0	0	0	1	3	0	1	4	8	7	8	0	0	55
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	0	3	0	8	1	3	5	3	8	0	1	0	1	2	0	9	1	1	0	4	0	2	2	1	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	3	0	5	0	6	2	4	0	2	0	0	2	2	7	3	0	6	1	0	2	1	4	3	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	1	2	0	7	3	3	4	4	1	0	0	0	3	3	5	0	2	4	1	2	2	1	0	4	52
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	1	15	0	1	3	2	5	2	3	0	2	1	1	3	1	1	3	2	0	2	1	0	1	2	52
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	2	1	7	2	1	0	0	2	0	0	3	5	0	1	0	0	5	1	3	3	13	49
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	1	2	0	5	8	4	0	3	1	0	0	0	3	2	2	3	3	3	2	3	2	0	0	0	47
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	2	4	0	2	15	2	1	2	0	0	0	0	1	4	0	1	0	0	0	2	4	1	4	0	45
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	1	0	0	2	3	0	0	0	0	0	0	0	1	3	2	0	0	1	3	3	9	3	14	0	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	7	5	0	0	0	0	0	2	3	1	0	0	3	0	0	2	0	2	0	6	1	13	0	0	45
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34	0	10	0	0	45
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	1	4	0	8	3	7	0	2	0	2	0	0	2	5	2	4	1	1	0	0	0	1	0	1	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	1	0	0	5	0	0	0	1	0	0	0	0	1	18	0	1	0	0	0	5	0	2	2	8	44
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	1	3	0	2	15	1	0	2	0	0	0	0	0	8	0	0	2	0	1	0	1	4	3	1	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	28	0	0	0	0	0	0	0	1	1	0	0	2	0	0	6	3	1	0	0	42
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	1	3	0	4	5	2	0	2	0	0	1	0	1	4	3	1	1	2	2	3	4	1	1	0	41
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	1	4	0	2	5	0	2	3	0	0	0	0	3	5	1	1	0	3	0	3	1	2	2	3	41
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	3	2	0	0	1	0	0	0	0	0	26	0	0	0	0	0	0	0	0	5	2	39
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	2	0	0	7	1	0	0	0	0	2	3	0	0	4	0	3	0	0	3	6	2	1	3	38
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	1	2	5	1	21	0	38
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	1	0	0	6	0	5	2	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	2	1	35
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	7	0	4	1	3	1	3	3	0	2	1	1	4	1	1	1	0	0	0	1	0	1	0	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	6	0	2	7	1	6	2	6	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	1	0	0	2	2	1	1	8	1	0	0	0	1	4	3	1	2	1	0	2	0	2	2	1	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella hathewayi	0	1	0	0	13	0	1	0	0	0	0	0	1	2	1	0	0	0	1	2	1	2	9	0	34
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	1	0	0	1	5	3	1	2	0	0	0	0	0	3	3	1	0	1	1	2	2	2	5	0	33
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter bugandensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	19	0	0	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	0	0	0	7	0	0	0	1	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	3	32
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	1	0	0	2	2	0	0	1	0	0	0	0	0	20	0	0	0	1	0	0	1	0	4	0	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	3	0	1	5	0	0	2	0	0	0	0	1	4	2	0	0	0	1	1	3	0	9	0	32
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	1	0	0	4	0	4	2	0	0	1	0	0	0	0	0	0	0	1	0	4	6	8	0	0	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	6	0	0	0	0	0	4	0	2	0	0	0	0	0	2	0	1	0	5	3	8	0	0	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	3	3	0	1	0	1	0	0	0	1	2	0	2	0	1	1	3	4	3	1	4	30
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudocitrobacter;Pseudocitrobacter faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	16	0	0	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	2	0	0	6	7	2	1	0	0	0	0	0	0	1	0	2	1	0	0	3	1	0	0	4	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia pseudococcoides	0	0	0	2	1	5	0	1	0	0	2	1	3	3	0	0	1	0	2	2	3	3	1	0	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	0	0	6	0	0	0	0	0	2	1	1	0	12	0	0	0	0	1	1	3	0	0	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia schinkii	2	0	0	2	4	0	0	1	0	0	0	0	2	2	0	0	0	0	0	2	5	1	6	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	3	0	1	0	0	0	2	0	0	0	0	4	3	0	1	0	2	0	2	0	8	1	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	0	2	0	2	0	0	0	3	1	0	0	0	0	1	0	1	0	1	0	6	1	8	0	0	26
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	0	0	0	0	0	3	1	0	0	0	1	0	1	3	0	1	0	1	2	5	2	2	2	1	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	0	1	0	3	1	0	0	1	0	0	0	0	0	2	1	0	3	1	1	4	3	1	3	0	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	1	0	0	1	7	0	0	0	0	0	0	0	5	1	0	0	0	1	1	1	5	0	1	0	24
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	0	1	2	7	2	0	0	0	2	0	1	0	3	1	0	0	0	0	1	2	0	2	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	7	0	6	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	2	0	1	0	1	0	2	1	0	2	0	1	3	1	0	0	2	1	1	1	0	1	3	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	1	4	4	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella pleuritidis	0	0	0	3	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	0	2	1	0	0	1	0	0	0	0	5	1	0	0	0	0	2	5	1	3	2	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	1	1	0	1	1	2	1	1	1	0	1	0	0	4	1	1	1	1	0	0	0	1	1	2	22
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	1	0	0	0	0	0	0	0	1	0	4	3	0	0	2	0	0	3	6	0	1	1	0	0	22
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	1	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	22
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	0	3	0	0	0	4	5	0	0	0	0	1	0	1	2	0	0	1	0	1	0	3	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	1	0	0	1	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	4	20
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	0	0	0	0	0	2	0	2	0	0	0	0	1	1	4	2	1	0	0	0	0	0	2	5	20
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	1	0	0	1	0	0	0	1	0	1	0	0	2	2	0	2	0	1	0	1	1	2	5	0	20
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	0	0	0	1	0	3	0	0	1	0	4	0	2	0	2	0	1	0	0	1	3	0	1	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella lascolaii	0	0	0	1	0	0	0	3	0	0	0	0	0	10	0	1	0	0	0	0	0	0	1	3	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella effluvii	1	1	0	2	4	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	3	2	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	1	0	0	2	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	2	0	8	0	0	18
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	1	0	0	0	1	2	1	0	9	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	0	0	0	1	0	3	0	0	0	0	0	1	1	1	1	2	0	1	0	2	1	1	1	1	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella paludivivens	1	3	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	4	1	0	16
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis;[Bacteroides] pectinophilus	1	0	0	0	0	1	0	2	1	1	0	0	0	1	1	0	1	2	0	0	0	2	2	0	15
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	1	4	0	0	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	14
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter huaxiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	14
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	1	1	0	0	0	7	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	1	0	0	0	2	0	0	0	0	0	2	0	0	1	3	0	0	0	0	3	0	1	0	0	13
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Diplocloster;Diplocloster agilis	0	1	0	0	1	1	0	4	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	0	0	0	1	0	0	0	3	3	0	1	1	0	2	0	0	0	0	0	0	0	1	0	1	13
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	2	2	0	1	2	0	13
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	2	2	0	13
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	2	0	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	2	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	3	0	0	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	2	0	0	1	2	1	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	1	0	3	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	0	0	0	2	2	1	0	0	0	0	0	0	2	0	0	0	2	1	0	1	0	0	0	0	11
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	1	0	0	2	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	0	0	0	1	2	3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	11
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium equinum	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	1	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	4	0	0	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] lactaris	0	0	0	0	2	1	0	1	2	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Caproiciproducens;Caproiciproducens galactitolivorans	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	3	1	1	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	2	10
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium dentalis	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	2	0	2	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor muris	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	1	0	0	0	0	1	0	1	1	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phocaeense	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	4	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	0	0	1	0	2	2	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	10
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella timonensis	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	1	9
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella ihumii	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	9
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora algidixylanolytica	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas intestinalis	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	8
