tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	60	0	0	337	754	248	49	122	51	8	66	24	101	521	129	96	38	23	107	393	156	340	56	273	3952
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	3	0	0	11	23	12	6	0	0	63	434	251	795	6	75	6	1	0	325	1109	450	176	0	3	3749
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus	65	75	0	348	356	360	157	338	65	57	5	4	190	216	238	160	98	181	57	108	123	124	135	281	3741
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	22	32	0	180	731	94	16	22	11	8	312	120	150	455	317	26	154	16	101	345	125	188	52	240	3717
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	2188	0	0	0	0	0	0	2	1	0	8	11	309	0	8	1	0	140	284	0	7	5	0	473	3437
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	109	249	0	405	174	267	346	157	178	9	11	35	60	101	177	408	53	133	23	52	24	96	62	107	3236
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	39	41	0	439	145	232	72	69	14	19	0	0	29	1053	113	0	15	50	53	107	46	232	100	119	2987
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	54	594	0	209	150	179	237	88	132	11	20	72	44	84	99	175	50	90	17	39	28	81	62	81	2596
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	63	121	0	192	194	149	44	179	149	14	154	110	151	130	195	124	37	28	15	65	74	73	23	156	2440
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	1	0	0	0	0	0	0	29	42	0	151	181	0	0	129	18	7	752	718	5	180	104	0	1	2318
