tax	CHA-48-MGE-S286	CM-NTC-014	FRA-37-MGE-S279	FRA-50-MGE-S296	GIN-36-MGE-S277	GRO-42-MGE-S291	GRO-48-MGE-S278	GRO-52-MGE-S299	HAM-48-MGE-S298	HER-20-MGE-S283	HER-48-MGE-S293	IRI-14-MGE-S287	IVY-49-MGE-S294	JOA-45-MGE-S285	JOA-46-MGE-S292	JOA-50-MGE-S288	KOR-50-MGE-S295	KUB-17-MGE-S281	KUB-52-MGE-S289	LAM-42-MGE-S280	MAR-45-MGE-S284	MAR-52-MGE-S297	PAD-17-MGE-S282	PAD-7-MGE-S290	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	12	1	155	185	199	77	39	52	243	190	205	149	82	50	107	56	116	129	79	70	77	161	0	20	2454
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	44	0	104	57	248	56	34	60	162	129	98	171	16	60	67	133	157	94	245	15	32	271	0	47	2300
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	241	2	75	50	42	19	8	22	60	206	95	73	88	167	336	431	50	40	84	54	12	30	0	27	2212
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	16	0	122	146	249	80	47	71	149	171	136	14	83	71	107	65	131	97	115	43	76	156	0	35	2180
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	10	0	250	3	8	63	60	122	307	99	260	76	8	33	46	21	41	309	116	0	135	34	0	17	2018
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	416	0	26	0	0	0	0	0	82	55	85	16	82	0	0	0	0	21	6	5	0	0	8	1167	1969
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	118	0	76	0	123	0	0	0	0	0	0	517	65	0	0	0	0	2	10	595	0	0	1	135	1642
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	0	1	99	186	41	19	12	25	91	156	119	25	135	91	99	141	29	79	67	28	11	96	0	0	1550
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	3	0	31	47	83	51	25	38	93	70	108	40	19	92	101	172	176	99	162	1	12	90	0	13	1526
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1525
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	76	0	112	31	34	36	31	42	174	73	155	67	19	46	60	55	41	217	94	0	28	30	0	12	1433
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	0	0	55	95	0	153	17	41	118	55	76	0	14	44	44	42	153	41	53	234	75	23	0	12	1345
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	48	13	0	0	0	0	4	0	0	0	0	0	23	0	423	0	0	136	59	604	1310
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	70	1	0	0	10	0	8	31	136	45	130	638	3	0	0	0	0	3	1	0	0	7	2	219	1304
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	1084	0	8	0	0	0	10	16	8	30	6	33	70	0	6	9	1	3	1	0	12	1	0	3	1301
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	358	0	76	3	35	5	1	4	88	125	143	75	110	7	12	10	9	47	15	0	14	12	0	11	1160
