tax	BUD-45-MGE-S220	CHA-52-MGE-S226	CM-NTC-011	GIN-18-MGE-S211	GIN-41-MGE-S217	GOO-24-MGE-S214	GRO-9-MGE-S229	HAM-45-MGE-S219	HEN-24-MGE-S215	HEN-45-MGE-S221	HER-18-MGE-S209	HER-41-MGE-S216	HER-7-MGE-S227	IVY-17-MGE-S208	IVY-42-MGE-S218	IVY-48-MGE-S224	JAR-11-MGE-S230	JAR-48-MGE-S223	KOR-22-MGE-S212	KOR-9-MGE-S228	KUB-18-MGE-S210	MAR-22-MGE-S213	MAR-46-MGE-S222	OPH-50-MGE-S225	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	30	2	0	36	30	46	10	49	106	62	37	18	18	15	15	28	42	110	40	179	124	49	17	30	1093
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	97	37	1	81	39	51	49	23	39	6	46	108	69	20	56	68	80	17	48	7	35	25	6	12	1020
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	11	6	0	0	0	31	45	69	1	0	54	62	56	73	5	5	21	51	19	142	125	12	2	37	827
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	1	2	0	0	0	0	0	6	0	3	0	0	188	12	381	18	7	0	0	202	820
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	33	27	0	32	33	16	4	64	25	8	84	33	76	23	16	12	34	28	28	78	53	25	22	6	760
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	28	0	0	6	7	14	48	77	14	20	98	18	21	43	51	77	27	20	35	74	58	5	3	12	756
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	16	37	0	7	7	27	31	44	17	13	37	38	33	35	7	31	34	32	21	91	109	15	9	18	709
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	5	0	3	0	0	138	31	0	3	0	9	1	12	285	145	63	0	0	1	2	0	0	10	708
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	0	2	0	12	22	1	0	38	18	2	1	383	147	37	3	0	2	3	0	0	8	679
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	1	64	0	13	8	4	11	11	9	2	22	11	17	7	77	155	67	6	8	14	33	0	1	19	560
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	13	0	21	61	14	82	0	41	0	0	0	0	8	101	21	185	8	0	0	2	0	0	1	558
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	23	42	0	61	31	11	20	23	22	15	4	15	15	29	35	52	10	18	9	52	12	7	6	1	513
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	182	0	0	0	0	43	1	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	510
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	1	0	0	0	22	51	0	0	3	29	7	0	269	21	61	0	0	0	0	0	0	22	486
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	27	64	0	16	6	11	0	83	16	0	17	27	32	1	0	0	7	16	12	59	18	10	12	6	440
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	23	21	0	27	3	6	16	5	5	21	20	21	70	13	29	35	15	3	4	19	24	23	5	2	410
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	49	7	10	0	28	0	0	2	0	2	0	0	1	56	0	0	0	0	0	241	396
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	0	10	0	0	0	6	46	12	0	0	31	20	20	7	5	9	209	0	0	2	4	0	0	13	394
