"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.57175	0.156	0.33925	0.00275	0.0055	0.17975	0.3835	0.214	0.181	0.26075	0.18525	0.13425	0.26625	0.0445	0.2555	0.2055	0.12275	0.2995	0.29825	0.17775	0.21	0.149375	0.054	0.2445	0.138	0.035	0.29875	0.502	0.28625	0.5315	0.45825	0.068	0.43525	0.16725	0.34475	0.39025	0.35625	0.378	0.30475	0.275	0.2395	0.14525	0.2185	0.31425	0.11675	0.415	0.197	0.1525	0.16925	0.2455	0.4275	0.1865	0.138	0.29025	0.21225	0.25925	0.07	0.061	0.20725	0.16675	0.143	0.261	0.0985	0.18025	0.1465	0.568	0.15575
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.0185	0.15025	0.12725	0.00025	0.2415	0.27475	0.11025	0.19925	0.15475	0.14025	0.1985	0.4095	0.18625	0.01525	0.10275	0.29325	0.22025	0.1835	0.191	0.145	0.18975	0.157875	0.02825	0.18775	0.2525	0.2045	0.27475	0.01075	0.20975	0.1045	0.1025	0.0945	0.12375	0.30975	0.0495	0.161	0.1845	0.29425	0.12525	0.11825	0.24125	0.10975	0.17225	0.18775	0.21775	0.0855	0.296	0.23725	0.09325	0.21425	0.0555	0.26825	0.10125	0.17475	0.1565	0.30225	0.02375	0.39275	0.32475	0.21225	0.11975	0.091	0.22325	0.1595	0.25425	0.16625	0.181
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.016	0.195	0.13025	5e-04	0.0345	0.23675	0.15925	0.182	0.22925	0.3685	0.15975	0.1215	0.15225	0.104	0.287	0.12275	0.17875	0.152	0.30425	0.1145	0.189	0.2165	0.201	0.09425	0.18625	0.11925	0.11575	0.02025	0.3035	0.13225	0.13975	0.04725	0.07925	0.14275	0.22825	0.157	0.1635	0.14375	0.24675	0.258	0.16675	0.16575	0.1265	0.25825	0.1695	0.231	0.08175	0.15225	0.17325	0.26125	0.239	0.17975	0.19	0.30225	0.28925	0.204	0.05525	0.095	0.1245	0.1605	0.27975	0.14525	0.32725	0.27825	0.1975	0.10375	0.173
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.044	0.16325	0.12875	0.00025	0.00025	0.13175	0.051	0.15675	0.11625	0.10375	0.06875	0.00025	0.16025	0.01125	0.11925	0.08275	0.14575	0.12425	0.11325	0.1245	0.16225	0.147125	0.0265	0.0755	0.04025	0.37675	0.109	0.01575	0.062	0.053	0.06975	0.01375	0.11975	0.0405	0.09625	0.104	0.10725	0.0535	0.10725	0.09625	0.17	0.10675	0.1825	0.0735	0.3175	0.04025	0.08675	0.30525	0.16825	0.11375	0.03975	0.09925	0.3625	0.1135	0.15025	0.11275	0.007	0.0995	0.27325	0.2445	0.2565	0.0625	0.0905	0.13875	0.18425	0.07225	0.02325
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.01075	0.053	0.1135	0.00175	0.012	0.037	0.068	0.12375	0.14	0.0685	0.03475	0.04375	0.16375	0.0225	0.0865	0.106	0.0615	0.12825	0.06725	0.0855	0.07225	0.158	0.07875	0.042	0.17875	0.14775	0.1205	0.012	0.0555	0.0555	0.096	0.09775	0.09225	0.14125	0.09425	0.087	0.101	0.019	0.15775	0.17375	0.12425	0.11525	0.107	0.08225	0.05925	0.0925	0.0735	0.1065	0.28225	0.0805	0.105	0.103	0.10975	0.07125	0.11075	0.0325	0.024	0.038	0.0205	0.07775	0.14875	0.0995	0.13525	0.13875	0.15175	0.02075	0.117
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0	0.046	0.1165	0.97775	0.07025	0	0.00025	0.0835	0.00025	0.00125	0	5e-04	0.01425	0.00025	0.10375	0.137	0	0.0415	0	0.117	0.1145	0.000375	0	0.2805	0.12525	0.025	5e-04	0.00625	0.00125	0.00225	0.0075	0.64575	0.097	0.12275	0.00025	0.012	0.0295	0.0025	0.00175	0.02125	0	0.26625	0.1485	0	0.00225	0.046	0.20225	0.00025	0.0405	0	0.0585	0.0675	0.021	0.0175	0.005	0.004	0.79675	0.262	0.00025	0.00025	0.0065	0.30075	0.01225	0.011	0	0.0125	0.2775
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.0025	0.03575	0.00475	0.00025	0.608	0.01475	0.02125	0.00275	0.02025	0.01475	0.1075	0.24275	0.007	0.80025	0.00725	0.0035	0.25075	0.00575	0.00575	0.213	0.008	0.019625	0.6045	0.0025	0.0125	0.055	0.0065	0.21475	0.0395	0.004	0.005	0.00375	0.00125	0.01325	0.09575	0.0065	0.00725	0.027	0.004	0.006	0.009	0.0455	0.00075	0.02125	0.09575	0.00925	0.00325	0.00275	0.036	0.012	0.011	0.011	0.03675	0.00375	0.011	0.0365	0.0015	0.004	0.01625	0.1055	0.0135	0.005	0.006	0.01325	0.005	0.014	0.011
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.1305	0.04025	0.0205	0	0.02375	0.0605	0.0215	0.01275	0.016	0.01025	0.0225	0.028	0.02775	0.00125	0.01975	0.007	0.01375	0.037	0.015	0.015	0.028	0.016375	0.00075	0.04025	0.0195	0.011	0.023	0.1515	0.0115	0.0415	0.01525	0.005	0.0355	0.0225	0.06	0.0455	0.0205	0.04575	0.012	0.012	0.01675	0.02925	0.0205	0.0155	0.01875	0.014	0.0235	0.019	0.023	0.02925	0.019	0.043	0.032	0.02175	0.025	0.024	0.002	0.0285	0.0195	0.02675	0.01675	0.0195	0.00975	0.009	0.0195	0.02625	0.0125
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0	0.14525	0.001	0	5e-04	0.00575	0.08675	0.00475	0.0495	0.014	0.2045	0.00975	0.00275	0	0.01	0.021	0	0.0045	0.0035	0	0.0085	0.074625	0	0.007	0.00675	0.00025	0.0285	0	0.0235	0.00925	0.0155	0.00125	0	0.00525	0.01425	0.001	0.01775	0.02875	0.00175	5e-04	0.012	0.00175	0	0.028	0.00025	0.00675	0.00525	0.004	0.00025	0.00425	0.00075	0.00925	0	0	0.0035	0.00525	5e-04	0.007	0.003	0	0	5e-04	0.00925	0.01425	0.012	0.0055	0.00625
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	5e-04	0.007	0.0125	0.001	0.0015	0.0155	0.0185	0.0165	0.02575	0.00475	0.00475	0.006	0.017	0.00075	0.00225	0.018	0.00475	0.02175	0.00025	0.0065	0.0025	0.034625	0.00425	0.0025	0.03575	0.00325	0.0135	0.00125	0.00075	0.0175	0.0235	0.01925	0.00625	0.02625	0.00275	0.0205	0.0105	0.0015	0.034	0.036	0.01875	0.01325	0.01	0.0175	0.001	0.042	0.019	0.01625	0.012	0.03275	0.0385	0.0225	0.00575	0.004	0.02025	0.00125	0.01325	0.00825	5e-04	0.0015	0.01125	0.0125	0.0235	0.03075	0.02625	5e-04	0.0265
