"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0	0.14525	0.001	0	5e-04	0.00575	0.08675	0.00475	0.0495	0.014	0.2045	0.00975	0.00275	0	0.01	0.021	0	0.0045	0.0035	0	0.0085	0.074625	0	0.007	0.00675	0.00025	0.0285	0	0.0235	0.00925	0.0155	0.00125	0	0.00525	0.01425	0.001	0.01775	0.02875	0.00175	5e-04	0.012	0.00175	0	0.028	0.00025	0.00675	0.00525	0.004	0.00025	0.00425	0.00075	0.00925	0	0	0.0035	0.00525	5e-04	0.007	0.00275	0	0	5e-04	0.00925	0.01425	0.012	0.0055	0.00625
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	5e-04	0.002	0.00975	5e-04	0.00125	0.0155	0.00925	0.01075	0.01125	0.00425	0.002	0.0035	0.00875	0.00025	0.0015	0.006	0.00275	0.00825	0.00025	0.0035	0.002	0.01775	0.00275	0.00125	0.01975	0.002	0.0085	5e-04	0.00075	0.0125	0.0105	0.009	0.00575	0.015	0.00225	0.01675	0.0065	5e-04	0.023	0.02075	0.01225	0.01125	0.007	0.00975	0.001	0.02125	0.01025	0.01325	0.00975	0.02425	0.027	0.00975	0.00525	0.0035	0.01125	0.00025	0.006	0.00525	0.00025	0.0015	0.01075	0.00975	0.02175	0.02125	0.016	5e-04	0.014
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.0125	0.0025	0.0045	0	0.00025	0.01375	0.0055	0.00275	0.00525	0.0065	0.01275	5e-04	0.0025	0	0.005	0.00275	0.001	0.001	0.00075	0.001	0.012	0.010375	0.00125	0.022	0.00125	0.01825	0.0055	0.0035	0.00475	0.04675	0.065	0.00175	0.008	0.00325	0.01325	0.01325	0.0015	0.00125	0.00375	0.00225	0.00075	0.001	0.011	0.001	0.00125	0.01475	0.011	0.00325	0.00175	0.00425	0.0045	0.009	0.0015	0.00075	0.01	0.00175	0.0015	0.00375	0.00225	0.00275	0.003	0.0015	0.06225	0.0215	0.001	0.00825	0.01425
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae"	0.19	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.06025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0	5e-04	0.00025	5e-04	0	0	0.00525	0.00125	0.009	0	0.00025	0.00025	0.00125	0.00025	5e-04	0.0065	0.00025	0.0045	0	5e-04	0.00025	0.009875	0.00025	0.001	0.0095	0.00025	0.0025	0.00025	0	0.0035	0.011	0.008	0.00025	0.00875	0	0.00275	0.002	5e-04	0.008	0.00725	0.00425	0.00125	0.0025	0.004	0	0.0185	0.006	0.001	0.00125	0.0045	0.01025	0.01	0.00025	0	0.00525	0.00075	0.0065	0.00125	0.00025	0	0	0.002	0.00125	0.007	0.00175	0	0.00975
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.0035	0	0.00225	0	0	0	0.0025	0.00275	0.00375	0.00075	0.00025	0	0.00275	0	0.0015	0	0.00175	0.00525	0.00175	0.002	0.00175	0.0025	0	0.0015	0.0015	0.00025	0.00675	0.00875	0	0.00075	0.00125	0.00075	0.0025	0.00175	0.00125	0.001	0.0105	0	0.00175	0.00125	0.00975	0.0015	0.001	0.00225	5e-04	0.0025	5e-04	0.002	0.00475	0.00275	0.0035	0.0015	0.00125	0.0045	0.005	0	0	0	0	0	0.00075	0.003	0.00075	0.00175	0.00225	0	0.003
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0.00225	0.00175	0	0	0.00075	0.023	0.0535	0.00025	0.02125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00025	0.00025	5e-04	0	0	0	0.00275	5e-04	0.00025	0.00275	0.00025	0	5e-04	0.0015	0.004	0.00175	0.00025	0.001	0.00025	0.0015	5e-04	0.000625	0.00275	0.00125	0.00075	0	0.0015	0.004	0	5e-04	0.001	0.00075	0.00075	0.0015	0	5e-04	0.0025	0	0.00275	0.00175	0.0025	0.00175	5e-04	0.00525	0	0.0055	5e-04	0.00075	0.00125	0.00175	0.00425	0	0	0.001	0.00125	0	5e-04	0.00025	0	0	0	0.00525	5e-04	0.002	0.00125	0	0.00375
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae"	0	0.00425	0.00225	0	0.00025	0	0.001	0.0035	0.00175	0	0.00225	0.00225	0.00325	0.00025	0	0.00425	0.001	0.00675	0	0.00175	0	0.004125	0.00125	0	0	0	0.0015	5e-04	0	0.00075	0.002	0	0.00025	0	0	0.00025	0.00175	0	0.002	0.00325	0.002	0	0	0.001	0	0	0.00025	0.00125	0	0.00075	0	0	0	0	5e-04	0	0	0.00025	0	0	0	0.00025	0.00025	5e-04	0.0075	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0.00025	0	0.0075	0	0.00375	0.00175	0	0.00675	0.00425	0.00025	0.0015	0	0	0	0	5e-04	0	0.00025	0.00025	0.00225	0.00675	0.00075	5e-04	0	5e-04	0	0	0.001	0	0.00025	0.00025	0.00025	0.00025	0	0.00025	0	0.0025	5e-04	0.00025	0	0	0.001	0	0	0	0.00025	0	0	5e-04	0	0	0	0	0.00075	0.00675	0	0.00025	0.005	0.00125	0	0	0.002	0	0	0.001	0
