"ID"	"subject"	"sampledate"	"bristol"	"SampleTime"	"studyday"	"location"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"
"buddy_16"	"buddy"	2023-03-25	"4"	800	"16"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"buddy_17"	"buddy"	2023-03-26	"2"	800	"17"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"ivy_17"	"ivy"	2023-03-26	"2"	800	"17"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"padme_17"	"padme"	2023-03-26	"5"	800	"17"	"f3"	"pad"	"female"	"pair"	"g2"	4.657534247	"estrumate"	"texas"	""	"intervention-1"	"control"
"buddy_18"	"buddy"	2023-03-27	"2"	730	"18"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"ginger_18"	"ginger"	2023-03-27	"2"	730	"18"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-1"	"control"
"ivy_18"	"ivy"	2023-03-27	"4"	730	"18"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"franc_19"	"franc"	2023-03-28	"2"	730	"19"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"
"ivy_19"	"ivy"	2023-03-28	"4"	730	"19"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"ginger_20"	"ginger"	2023-03-29	"2"	800	"20"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-1"	"control"
"buddy_21"	"buddy"	2023-03-30	"3"	730	"21"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"joans_21"	"joans"	2023-03-30	"3"	730	"21"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"franc_22"	"franc"	2023-03-31	"3"	730	"22"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"
"grogu_22"	"grogu"	2023-03-31	"2"	730	"22"	"f4"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"intervention-1"	"control"
"henry_22"	"henry"	2023-03-31	"2"	730	"22"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-1"	"control"
"joans_22"	"joans"	2023-03-31	"1"	730	"22"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"marshmallow_22"	"marshmallow"	2023-03-31	"2"	730	"22"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"franc_24"	"franc"	2023-04-02	"2"	730	"24"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"
"ginger_24"	"ginger"	2023-04-02	"2"	730	"24"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-1"	"control"
"henry_24"	"henry"	2023-04-02	"2"	730	"24"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-1"	"control"
"ivy_24"	"ivy"	2023-04-02	"2"	730	"24"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"marshmallow_24"	"marshmallow"	2023-04-02	"2"	730	"24"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"henry_25"	"henry"	2023-04-03	"2"	730	"25"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-1"	"control"
"ophelia_43"	"ophelia"	2023-04-21	"2"	700	"43"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-2"	"control"
"goose_44"	"goose"	2023-04-22	"3"	800	"44"	"f1"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-2"	"control"
"iris_44"	"iris"	2023-04-22	"2"	730	"44"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"
"jarjarbinks_44"	"jarjarbinks"	2023-04-22	"2"	730	"44"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-2"	"control"
"lambchop_44"	"lambchop"	2023-04-22	"3"	800	"44"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-2"	"control"
"hamlet_45"	"hamlet"	2023-04-23	"2"	730	"45"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-2"	"control"
"hera_45"	"hera"	2023-04-23	"2"	730	"45"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-2"	"control"
"jarjarbinks_45"	"jarjarbinks"	2023-04-23	"1"	730	"45"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-2"	"control"
"korra_45"	"korra"	2023-04-23	"3"	730	"45"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-2"	"control"
"ophelia_45"	"ophelia"	2023-04-23	"2"	730	"45"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-2"	"control"
"goose_46"	"goose"	2023-04-24	"3"	800	"46"	"f1"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-2"	"control"
"hamlet_46"	"hamlet"	2023-04-24	"2"	730	"46"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-2"	"control"
"iris_46"	"iris"	2023-04-24	"3"	730	"46"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"
"lambchop_46"	"lambchop"	2023-04-24	"3"	800	"46"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-2"	"control"
"hamlet_48"	"hamlet"	2023-04-26	"2"	730	"48"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-2"	"control"
"hera_48"	"hera"	2023-04-26	"2"	730	"48"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-2"	"control"
"iris_48"	"iris"	2023-04-26	"3"	730	"48"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"
"jarjarbinks_48"	"jarjarbinks"	2023-04-26	"2"	730	"48"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-2"	"control"
"korra_48"	"korra"	2023-04-26	"3"	730	"48"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-2"	"control"
"kubo_48"	"kubo"	2023-04-26	"2"	730	"48"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-2"	"control"
"lambchop_48"	"lambchop"	2023-04-26	"3"	800	"48"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-2"	"control"
"ophelia_48"	"ophelia"	2023-04-26	"1"	730	"48"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-2"	"control"
"wolverine_48"	"wolverine"	2023-04-26	"2"	730	"48"	"b4"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-2"	"control"
"iris_49"	"iris"	2023-04-27	"3"	730	"49"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"
