"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"fpt1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.02	0	0.02
"fpt2"	0	0	0	65.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	1.09
"fpt3"	0	0	0.04	65.3	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.09	0	0	0.09	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09
"fpt4"	0	0	0.04	65.3	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.09	0	0	0.09	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09
"fpt5"	0.02	0.02	0.04	0	0	0	0.02	0	0.09	0	0.02	0.02	0.11	0	0.04	0.07	0.02	0.04	0	0.04	0.29	0.09	0	0	0.11	0.13	0	0.07	0.07	0.13	0.02	0.02	0.09	0.09	0.02	0.11	0.04	0.02	0.02	0.16	0.07	0.04	0.13	0.02	0.09	0	0.07	0.4	0.02	0.04	0.09	0.11	0.02	0.2	0.04	0	0.04	0	0.07	0.09	0.02	0	0.11	0.07	0.04	0.04
"fpt6"	0.07	0.29	3.78	0.11	0	0.04	2.47	2.82	0.76	0	0.2	3	2.13	0	0.09	0.16	0.04	3.36	0	0.07	0.85	0.16	0.07	0.07	0.38	7.24	0.02	0.11	0.24	0.4	0.02	0.09	0.22	1.78	0.09	7.42	0.11	0.27	0.27	7.43	0.18	0.07	0.53	0.71	0.38	4.49	6.74	0.49	0.11	0.24	2.64	0.16	0.02	0.4	0.04	0.04	0.51	0.02	1.18	0.13	0.29	0.04	0.2	6.27	0.07	0.18
"fpt7"	29.71	52.7	44.13	99.47	71.34	34.92	47.59	46.13	49.02	50.17	54.08	42.04	36.91	92.11	56.38	39.49	54.7	36.41	41.42	48.2	46.39	87.04	51.03	42.06	52.18	43.13	38.63	44.57	32.26	40.29	73.8	37.7	37.59	52.29	34.34	53.5	26.03	47.17	50.14	46.08	64.13	44.99	40.22	49.83	48.45	50.89	44.99	53.86	39.26	51.11	47.02	47.8	44.88	46.92	32.94	88.99	47.11	33.35	50.18	55.09	58.78	55.06	47.25	45.72	21.73	56.77
"fpt8"	13.31	4.25	2.11	2.83	2.49	8.34	7.67	1.29	3.97	1.02	2.31	2.87	2.78	0.11	2.02	0.71	1.4	3.69	1.49	2.91	1.66	0.07	4.18	1.94	1.09	2.32	15.12	1.18	4.16	1.53	0.51	3.56	2.27	6	4.56	2.04	4.78	1.2	1.22	1.67	2.93	2.09	1.53	1.87	1.42	2.36	1.91	2.31	2.94	1.91	4.27	3.2	2.2	2.49	2.76	0.29	2.89	1.94	2.67	1.69	1.98	0.96	0.89	1.93	3.11	1.25
"fpt9"	0	0	0	1.29	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0.07
"fpt10"	0	0	0	1.29	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0.07
