"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"fpt1"	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt2"	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt3"	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt4"	0	0	0.02	0	0.01	0	0.02	0	0	0	0	0.03	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0
"fpt6"	0	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt7"	0	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt8"	0	0	0.04	0.09	0.1	0.2	0.02	0.04	0.16	0.04	0.02	0.18	0.04	0.2	0	0.02	0	0.11	0.04	0.04	0.09	0.02	0.04	0.16	0.13	0
"fpt9"	0	0	0.04	0.22	0.22	1.07	0.16	0.22	1.09	0.07	2.58	0.24	0.11	1.56	0.04	0.58	0.78	0.11	0.13	1.53	0.11	1.73	0.36	0.29	1.07	0.13
"fpt10"	53.27	61.93	74.94	30.84	58.33	58.04	38.92	32.9	61.61	80.09	45.42	42.96	35.33	54.77	42.05	65.73	73.93	37.86	33.76	49.23	73.19	28.73	42.16	44.3	44.07	18.77
"fpt11"	1.62	0.73	0.4	2.45	2.47	2.51	1.73	1.33	2.82	0.53	0.89	2.36	2.16	2.96	2.51	1.73	0.91	1.27	3.38	1.71	0.87	3.2	4.84	5.03	2.62	10.34
"fpt12"	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0
"fpt13"	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0
"fpt14"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0
"fpt15"	4.13	17.71	1.25	0.11	7.84	1.89	0	0.89	3.51	34.36	0	0.42	0.29	0.69	0.2	0	2.16	0	0.02	1.24	6.11	0.27	0.04	7	3.58	6.98
"fpt16"	0	0	0	0.31	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0.02	0	0	0	0	0.02	0.02	0	0.11	0	0.02
"fpt17"	6.67	40.91	2.58	1.24	13.71	3.78	0.07	1.6	6.05	55.22	0.33	3.47	2.8	1.22	0.24	0.11	27.22	0.02	0.22	7.11	28.7	0.8	0.29	13.72	6.93	10.92
"fpt18"	4.4	17.36	1.94	3.65	7.4	2.18	5	2.6	2.89	24	2.38	4.8	4.62	1.04	0.4	0.78	0.89	0.91	0.67	1.64	28.92	0.38	4.02	7.49	3.69	4.31
"fpt19"	9.11	46.11	3.72	4.74	17.34	4.58	5.07	3.67	7.14	66.09	2.71	5.75	5.38	1.89	0.47	0.8	27.49	0.93	0.8	7.4	38.62	0.89	4.27	16.68	8.47	11.88
"fpt20"	4.4	17.36	1.94	3.65	7.4	2.18	5	2.6	2.89	24	2.38	4.8	4.62	1.04	0.4	0.78	0.89	0.91	0.67	1.64	28.92	0.38	4.02	7.49	3.69	4.31
"fpt21"	10.76	46.91	4.92	7.83	19.42	6.91	8.49	3.71	9.36	66.84	3.04	7.59	8.76	4.25	0.47	3.22	28.44	1	5.73	8.09	39.37	1.76	10.16	16.7	8.8	14.59
"fpt22"	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.27	0.02	0	0	0	0
"fpt23"	0	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt24"	4.71	28.76	1.91	2.42	9.98	2.51	0.09	1.07	4.34	42.31	0.31	1.79	1.89	0.91	0.2	0	26.6	0.04	0.36	5.76	10.45	0.51	0.09	9.32	4.78	7.58
"fpt25"	0	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt26"	0	0	0	0	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0	0	0.02	0.02	0	0.11	0	0.02
"fpt27"	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0
"fpt28"	0.07	0	0.04	0.07	0.08	0.09	0.16	0.11	0.16	0	0.07	0.16	0.04	0.13	0	0	0	0.09	0.02	0.02	0.02	0	0.02	0.02	0.07	0
"fpt29"	54.89	62.67	75.34	33.28	60.77	60.55	40.65	34.23	64.45	80.51	46.31	45.34	37.48	57.75	44.43	67.47	74.84	39.12	37.13	50.94	74.03	31.91	47	49.23	46.73	29.09
"fpt30"	53.27	61.93	74.94	30.84	58.31	58.04	38.92	32.9	61.63	79.98	45.42	42.98	35.33	54.79	41.92	65.73	73.93	37.86	33.76	49.23	73.17	28.71	42.16	44.21	44.11	18.75
