"ID"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"
"fpt1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0.02	0	0
"fpt2"	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.02	0	0	0	0	0	0.02
"fpt3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.04	0.09	0	0	0	0.02	0	0	0	0	0	0	0	0	0
"fpt4"	0	0	0	0	0.09	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0.09	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0.02	0.02	0	0	0.11	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0.04	0.07	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.04	0.09	0	0	0.02	0.02	0.02	0	0	0.11	0.12	0.04	0.09	0.02	0
"fpt5"	0	0	0	0	0.09	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0.09	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0.02	0.02	0	0	0.11	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0.04	0.07	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.04	0.09	0	0	0.02	0.02	0.02	0	0	0.11	0.12	0.04	0.09	0.02	0
"fpt6"	0.02	0	0	0.18	0.02	0.18	0	0	0.02	0.02	0	0.02	0.02	0.02	0.02	0.11	0	0	0	0.02	0	0.33	0.04	0.02	0.02	0	0	0.02	0.09	0.07	0.02	0.04	0	0.09	0	0.04	0.29	0.09	0.09	0.02	0.02	0	0	0.04	0.02	0	0	0.04	0.09	0.04	0.11	0.04	0.04	0.02	0.18	0.18	0.02	0	0.09	0	0	0.02	0.18	0.09	0.09	0.09	0.02	0.09	0	0.02	0	0.09	0.04	0.02	0.04	0.02	0	0.02	0	0.02	0	0.02	0	0.07	0.04	0.13	0.16	0.09	0	0	0.13	0.07	0	0.02	0.02	0	0.04	0.09	0.02	0.04	0.16	0.02	0.02	0.2	0	0.02	0.02	0	0	0.04	0.02	0.02	0.11	0	0.02	0.19	0.04	0.04	0	0	0.02	0.02	0.11	0	0.04	0.02	0.09	0.21	0.04	0.09	0.11	0.02	0.04	0.02	0.16	0.03	0.02	0	0.16	0.04
"fpt7"	0.22	0.04	0.94	0.18	0.09	2.81	0.02	3.74	0.04	0.02	0.04	0.07	2.48	0.07	0.07	0.83	0.09	11.25	0	0.02	0.13	0.38	0.2	0.07	3	0	0.02	0.04	0.11	0.16	0.13	0.07	0.07	0.11	0	0.07	0.85	0.18	0.16	0.22	0.51	0.07	0.04	0.04	0.07	0.58	0	0.07	0.24	0.04	0.2	0.22	0.04	2.58	0.23	0.4	0.02	0.07	0.11	5.14	0.07	0.02	2.08	3.11	0.09	0.24	0.02	0.27	4.62	0.09	0.02	0.22	1.04	0.09	0.07	2.4	0	0.04	0.18	0.02	2.23	0.27	0.65	0.56	0.07	0.53	0.18	0.38	4.49	0.33	0.13	0.11	0.42	5.83	0.13	0	0.24	2.65	0.31	0.04	3.8	3.07	0.02	0.4	0.04	0.47	0.27	5.25	0.33	0.04	0.29	0.07	0.2	0.07	0.16	0.19	0.18	0.2	2.31	0.78	0.44	0.84	0.11	0.67	0.18	0.11	0.33	0.34	1.53	0.11	1.62	1.73	0.36	0.2	0.29	0.03	0.36	0.03	0.65	0.11
"fpt8"	36.51	51.16	46.85	20.12	76.09	36.37	38.2	44.12	31.5	24.03	34.94	47.78	47.56	36.82	35.84	49.03	45.29	45.9	87.51	50.18	61.48	60.73	60.3	47.48	42.09	55.68	50.2	80.48	56.39	39.55	54.11	54.72	49.79	60.11	41.41	48.2	46.39	44.28	87.04	32.42	23.14	51.01	72.42	39.51	42.8	60.11	61.93	75.01	30.92	44.14	49.46	32.9	80.07	45.39	42.95	55.46	21.24	53.44	35.67	40.97	42.07	30.38	46.18	55.21	65.44	32.24	32.38	44.27	47.16	37.65	87.29	37.59	47.98	34.3	29.71	49.51	70.28	29.48	29.12	77.07	54.53	47.17	39.19	50.22	45.01	40.22	63.53	48.48	50.9	75.05	28.1	41.16	31.38	48.06	39.28	65.18	51.1	47.03	44.62	35.65	40.33	37.68	44.89	46.95	88.95	47.12	46.12	41.26	49	42.22	58.79	57.52	47.19	94.98	56.8	34.36	45.39	56.77	35.1	73.95	37	61.12	37.87	42.84	43.55	33.72	64.88	59.35	49.2	73.23	38.88	28.79	42.11	22.11	44.32	72.41	60.35	60.6	60.14	34.99
"fpt9"	2.53	0.76	1.65	2.82	0.82	0.49	0.76	2.09	1.69	0.62	8.36	1.29	7.7	2.25	1.07	4	2.45	0.87	2.09	1.02	0.62	3.38	1.27	0.87	2.85	1.18	0.51	0.58	2.02	0.71	0.98	1.4	1.25	2.13	1.49	2.91	1.66	1.13	0.07	1.09	1.04	4.14	0.91	1.64	3.31	1.27	0.73	0.4	2.44	4.91	1.82	1.36	0.53	0.89	2.36	4.5	7.02	4.89	5	3.36	1.96	1.53	2.61	2.2	1.13	4.16	1.62	3.61	3.36	3.53	0.13	2.27	1.04	4.56	1.56	2.47	1.04	2.07	9.36	1.67	12.18	1.2	2.91	3.98	2.07	1.53	0.58	1.42	2.33	51.26	0.53	1.6	5.22	1.87	2.93	0.91	1.91	4.27	11.37	1.29	2.18	2.89	2.2	2.49	0.29	2.87	7.55	1.09	4.58	2.69	1.98	4.26	0.89	0.07	1.02	1.5	3.43	1.25	2.25	0.91	2.29	0.91	1.27	0.69	1.04	3.38	1.54	0.96	1.71	0.87	5.12	3.2	4.82	8.91	4.98	1.47	0.58	1.96	2.78	5.13
"fpt10"	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.02	0	0	0	0	0	0	0	0	0.58	0	0.02	0	0.1	0	0	0	0	15.49	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0.07	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
