"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"txid28116"	0	1	1	0	1	1	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	2	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	1	0	2	1	0	16	1	0	3	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	2	0	1	1	1	1	2	7	0	0	0	0	1	0	2	0	2	0	0	2	0	2	0	0	0	0	1	1	1	1	0	0	4	2	0	0	8	0	0	0	0	1	6
"txid291644"	0	0	0	0	0	0	0	0	0	0	0	115	0	0	52	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	199	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	14	0	0
"txid449673"	5	0	1	0	1	29	0	0	0	0	0	22	0	0	10	1	5	3	0	22	0	0	0	3	4	6	0	8	1	3	11	4	1	0	2	10	1	2	8	1	1	0	0	0	1	0	1	2	0	1	5	4	2	9	3	0	0	0	0	2	0	0	0	0	1	1	0	0	3	1	0	0	0	7	0	0	0	2	2	1	68	1	1	0	1	0	0	14	0	0	0	0	0	0	3	6	17	0	0	0	0	0	3	25	4	0	1	2	67	0	0	2	2	0	0	11	0	0	2	0	0	1	0	1	0	0	0	0	0	6	0	1	0	5	0	1	0	7	0	0	0	6	9	97
"txid818"	3	0	17	0	0	7	2	0	4	0	0	4	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	3	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	180	0	1	16	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	6	0	2	0	0	18	4	0	24	0	0	0	5	2	0	0	15	0	0	20	0	3	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	1	0	45	3	11	0	4	0	0
"txid820"	10	0	27	0	0	86	0	0	1	0	0	58	0	0	34	0	4	2	0	19	0	0	0	1	1	11	0	0	1	1	77	4	1	0	4	4	3	8	11	0	0	3	0	0	1	0	1	6	0	0	8	30	0	21	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	2	1	0	24	0	2	2	1	0	1	4	0	0	0	1	0	0	25	0	4	0	0	1	0	0	0	10	0	0	0	1	44	0	0	6	2	0	2	17	1	6	2	1	6	7	0	1	0	0	1	0	1	53	0	0	0	6	3	0	0	80	0	19	0	1	7	113
"txid657309"	0	0	10	0	0	2	1	0	1	0	1	4	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2	3	0	0	4	2	2	0	1	1	0	0	3	2	0	0	0	0	0	0	0	2	0	0	1	9	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	30	1	1	2	0	0	1	4	0	0	0	0	0	0	3	1	3	0	0	0	1	0	0	5	1	0	0	1	4	0	0	1	1	1	2	4	0	1	1	0	1	0	0	0	0	0	0	0	1	6	0	1	0	10	1	0	0	23	2	3	0	1	2	16
"txid2650157"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	1	1	1
"txid2725562"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	1	0	2	0	0	12	4	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	2	0	6	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	8	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	3	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	4	2	1	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
"txid1841865"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"txid376804"	1	2	0	3	4	1	3	0	0	0	2	6	0	2	5	0	2	2	6	4	5	7	1	1	1	10	1	10	1	4	17	1	11	1	3	2	2	0	8	4	6	0	6	0	0	8	3	8	4	2	2	4	1	5	29	7	2	11	7	2	5	4	27	4	4	63	6	2	14	2	13	7	9	2	2	7	10	12	1	2	0	16	1	9	10	3	0	0	15	1	14	7	3	2	0	0	0	10	1	1	7	6	0	0	9	21	1	2	0	3	4	1	5	2	1	1	16	21	1	6	37	0	3	1	0	2	3	2	10	0	1	2	3	6	8	3	2	0	1	0	0	6	2	5
