"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"hera_24"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"txid39482"	3	1	4	7	0	2	5	42	75	0	5	10	0	0	0	2	2	0	0	30	0	1	0	0	2	19	1	1	14	7	2	0	6	11	32	2	1	4	3	0	21	1	0	1	0	0	1	10	0	2	0	2	1	0	10	0	0	0	3	0	1	17	0	1	3	0	0	0	3	0	5	11	4	0	1	1	1	0	0	4	0	0	0	3	0	1	0	1	1	2	1	26	0	1	9	1	1	0	0	6	0	4	1	6	6	1	4	0	0	0	15
"txid2726362"	0	0	1	2	0	0	1	4	4	0	1	2	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	5	1	1	0	0	1	4	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	1	2	1	0	2	0	0	0	1
"txid1544"	1	1	3	1	0	2	2	8	8	0	1	1	0	0	0	1	2	1	0	6	0	1	0	0	2	6	0	0	10	1	1	0	1	1	5	0	0	2	2	0	4	1	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	3	1	0	8	1	1	3	0	2	0	5	0	1	1	1	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	7	0	2	3	1	0	0	0	0	0	1	2	4	3	0	7	0	0	0	3
"txid1912855"	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	2	0	0	0	0
"txid1150298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"txid1912090"	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	2	0	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	1	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	2	4	1	0	2	0	1	1	0	0	0	0	0	0	0	2	0	1	1	2	1	0	0	1	1	0	1	1	2	1	1	6	0	0	0	0
"txid2885351"	1	1	8	0	2	1	2	2	2	1	1	0	0	0	0	1	1	2	0	1	1	1	0	1	2	0	1	1	7	5	1	1	1	0	2	1	2	3	11	1	5	6	2	3	3	0	1	2	5	1	0	2	1	4	7	0	0	0	3	3	5	4	2	4	4	2	3	2	5	0	1	3	1	2	8	1	10	1	5	1	0	4	0	2	0	1	1	1	1	2	2	4	0	1	9	0	0	2	2	3	1	10	2	2	6	3	16	1	1	1	1
"txid1096246"	0	0	2	1	1	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
"txid154046"	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
"txid2763671"	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	2	0	0	1	1	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	2	0	1	0	1	2	0	0	0	1	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	4	0	0	0	1
