"ID"	"subject"	"sampledate"	"bristol"	"studyday"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"	"room"
"hera_1"	"hera"	2023-03-10	"1"	"1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"run-in"	"baseline"	"room b"
"buddy_11"	"buddy"	2023-03-20	"3"	"11"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"run-in"	"baseline"	"room f"
"hera_11"	"hera"	2023-03-20	"2"	"11"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"run-in"	"baseline"	"room b"
"jarjarbinks_11"	"jarjarbinks"	2023-03-20	"1"	"11"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"run-in"	"baseline"	"room b"
"padme_11"	"padme"	2023-03-20	"1"	"11"	"pad"	"female"	"pair"	"g2"	4.657534247	"estrumate"	"texas"	""	"run-in"	"baseline"	"room f"
"hera_14"	"hera"	2023-03-23	"1"	"14"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"run-in"	"baseline"	"room b"
"iris_14"	"iris"	2023-03-23	"2"	"14"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"run-in"	"baseline"	"room b"
"jarjarbinks_14"	"jarjarbinks"	2023-03-23	"1"	"14"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"run-in"	"baseline"	"room b"
"jarjarbinks_15"	"jarjarbinks"	2023-03-24	"1"	"15"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-1"	"gum"	"room b"
"buddy_16"	"buddy"	2023-03-25	"4"	"16"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"	"room f"
"buddy_17"	"buddy"	2023-03-26	"2"	"17"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"	"room f"
"iris_17"	"iris"	2023-03-26	"3"	"17"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"	"room b"
"lambchop_17"	"lambchop"	2023-03-26	"3"	"17"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-1"	"gum"	"room f"
"padme_17"	"padme"	2023-03-26	"5"	"17"	"pad"	"female"	"pair"	"g2"	4.657534247	"estrumate"	"texas"	""	"intervention-1"	"control"	"room f"
"buddy_18"	"buddy"	2023-03-27	"2"	"18"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"	"room f"
"hera_18"	"hera"	2023-03-27	"3"	"18"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"	"room b"
"iris_18"	"iris"	2023-03-27	"2"	"18"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"	"room b"
"jarjarbinks_18"	"jarjarbinks"	2023-03-27	"3"	"18"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-1"	"gum"	"room b"
"lambchop_18"	"lambchop"	2023-03-27	"3"	"18"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-1"	"gum"	"room f"
"franc_19"	"franc"	2023-03-28	"2"	"19"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"	"room f"
"hera_2"	"hera"	2023-03-11	"2"	"2"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"run-in"	"baseline"	"room b"
"jarjarbinks_2"	"jarjarbinks"	2023-03-11	"3"	"2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"run-in"	"baseline"	"room b"
"lambchop_2"	"lambchop"	2023-03-11	"2"	"2"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"run-in"	"baseline"	"room f"
"goose_20"	"goose"	2023-03-29	"2"	"20"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-1"	"gum"	"room f"
"hera_20"	"hera"	2023-03-29	"2"	"20"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"	"room b"
"iris_20"	"iris"	2023-03-29	"2"	"20"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"	"room b"
"buddy_21"	"buddy"	2023-03-30	"3"	"21"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"	"room f"
"jarjarbinks_21"	"jarjarbinks"	2023-03-30	"2"	"21"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-1"	"gum"	"room b"
"franc_22"	"franc"	2023-03-31	"3"	"22"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"	"room f"
"goose_22"	"goose"	2023-03-31	"2"	"22"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-1"	"gum"	"room f"
