"Taxa"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Kubo_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Iris_48"	"JarJarBinks_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Hera_53"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"k__Bacteria|p__Bacillota"	0.768666666666667	0.783111111111111	0.452666666666667	0.726	0.500444444444444	0.751333333333333	0.447555555555556	0.662444444444444	0.298888888888889	0.812888888888889	0.787333333333333	0.732666666666667	0.747111111111111	0.775777777777778	0.309555555555556	0.791777777777778	0.786	0.726	0.631111111111111	0.542222222222222	0.751111111111111	0.682444444444444	0.864222222222222	0.691777777777778	0.652222222222222	0.757333333333333	0.503777777777778	0.742444444444444	0.802222222222222	0.556	0.449111111111111	0.728444444444444	0.693555555555556	0.606888888888889	0.724222222222222	0.595555555555556	0.214	0.476222222222222	0.789111111111111	0.635555555555556	0.715555555555556	0.725777777777778	0.545111111111111	0.652666666666667	0.68	0.655111111111111	0.862888888888889	0.324444444444444	0.667333333333333	0.487111111111111	0.831555555555556	0.420666666666667	0.734666666666667	0.575333333333333	0.638444444444444	0.626444444444444	0.767333333333333	0.591333333333333	0.232	0.814666666666667	0.265777777777778	0.739555555555556	0.706888888888889	0.669555555555556	0.531777777777778	0.694444444444444	0.853777777777778	0.632888888888889	0.632666666666667	0.363333333333333	0.431333333333333	0.273111111111111	0.421555555555556	0.661555555555556	0.470444444444444	0.53	0.566222222222222	0.514666666666667	0.671777777777778	0.682	0.720888888888889	0.510222222222222	0.599333333333333	0.619111111111111	0.765111111111111	0.491111111111111	0.556	0.817111111111111	0.728888888888889	0.703555555555556	0.478	0.673111111111111	0.770444444444444	0.665555555555556	0.731555555555556	0.664888888888889	0.125333333333333	0.633555555555556	0.749777777777778	0.697777777777778	0.816222222222222	0.411111111111111	0.802444444444444	0.746444444444444	0.814666666666667	0.365555555555556	0.520666666666667	0.450888888888889	0.466888888888889	0.651555555555556	0.718444444444444	0.679333333333333	0.625555555555556	0.674222222222222	0.335333333333333	0.579444444444444	0.466	0.703333333333333	0.936	0.602888888888889	0.825333333333333	0.812111111111111	0.542666666666667
"k__Bacteria|p__Bacteroidota"	0.188444444444444	0.130444444444444	0.151333333333333	0.086	0.162222222222222	0.140444444444444	0.478222222222222	0.289333333333333	0.0793333333333333	0.152888888888889	0.153777777777778	0.0844444444444444	0.231555555555556	0.112444444444444	0.000222222222222222	0.193111111111111	0.184222222222222	0.239555555555556	0.325111111111111	0.184666666666667	0.185777777777778	0	0.114666666666667	0.263333333333333	0.294888888888889	0.143111111111111	0.193555555555556	0.223111111111111	0.151111111111111	0.168444444444444	0.175111111111111	0.145111111111111	0.191777777777778	0.157555555555556	0.150888888888889	0.165333333333333	0.064	0.189555555555556	0.183777777777778	0.122222222222222	0.199333333333333	0.260666666666667	0.107111111111111	0.302888888888889	0.143333333333333	0.303333333333333	0.117555555555556	0.156888888888889	0.118	0.0448888888888889	0.114666666666667	0.0431111111111111	0.19	0.163888888888889	0.186444444444444	0.328666666666667	0.139333333333333	0.160444444444444	0.115777777777778	0.111333333333333	0	0.147222222222222	0.193777777777778	0.145777777777778	0.386666666666667	0.138222222222222	0.0342222222222222	0.298	0.286444444444444	0.531111111111111	0.458888888888889	0.0677777777777778	0.435555555555556	0.168222222222222	0.345333333333333	0.390888888888889	0.356444444444444	0.378	0.304	0.274666666666667	0.239777777777778	0.146	0.218444444444444	0.314888888888889	0.117111111111111	0.415111111111111	0.198222222222222	0.152888888888889	0.168666666666667	0.244888888888889	0.427333333333333	0.186444444444444	0.137777777777778	0.290222222222222	0.212444444444444	0.259555555555556	0.07	0.0606666666666667	0.207333333333333	0.166666666666667	0.142888888888889	0.261111111111111	0.0982222222222222	0.179777777777778	0.146444444444444	0.567555555555556	0.155777777777778	0.472222222222222	0.0751111111111111	0.0882222222222222	0.0573333333333333	0.135777777777778	0.259111111111111	0.278444444444444	0.294444444444444	0.170222222222222	0.496888888888889	0.124222222222222	0.0331111111111111	0.182666666666667	0.125555555555556	0.139666666666667	0.375777777777778
"k__Bacteria|p__Pseudomonadota"	0.0333333333333333	0.0442222222222222	0.0164444444444444	0.0988888888888889	0.137111111111111	0.0675555555555555	0.0215555555555556	0.0331111111111111	0.575111111111111	0.0113333333333333	0.0395555555555556	0.133555555555556	0.0175555555555556	0.106222222222222	0.689777777777778	0.012	0.0257777777777778	0.0297777777777778	0.0166666666666667	0.271333333333333	0.0502222222222222	0.316888888888889	0.0171111111111111	0.0346666666666667	0.0151111111111111	0.0971111111111111	0.299777777777778	0.0322222222222222	0.0208888888888889	0.273555555555556	0.371555555555556	0.114666666666667	0.114666666666667	0.227777777777778	0.118444444444444	0.237333333333333	0.709333333333333	0.332444444444444	0.0111111111111111	0.240222222222222	0.0337777777777778	0.00777777777777778	0.346444444444444	0.02	0.173333333333333	0.024	0.0144444444444444	0.516222222222222	0.212222222222222	0.467555555555556	0.052	0.513333333333333	0.0688888888888889	0.253222222222222	0.17	0.024	0.0422222222222222	0.244222222222222	0.644888888888889	0.02	0.733555555555556	0.0987777777777778	0.0804444444444444	0.183555555555556	0.0411111111111111	0.156888888888889	0.0906666666666667	0.0304444444444444	0.0526666666666667	0.048	0.0273333333333333	0.654666666666667	0.132888888888889	0.158444444444444	0.156222222222222	0.0637777777777778	0.0573333333333333	0.0771111111111111	0.018	0.0395555555555556	0.0257777777777778	0.340888888888889	0.169777777777778	0.0366666666666667	0.116222222222222	0.0695555555555556	0.229111111111111	0.022	0.100222222222222	0.0413333333333333	0.0888888888888889	0.121111111111111	0.0897777777777778	0.0433333333333333	0.0408888888888889	0.0677777777777778	0.8	0.294888888888889	0.0362222222222222	0.132444444444444	0.0371111111111111	0.325333333333333	0.0277777777777778	0.0333333333333333	0.0246666666666667	0.0528888888888889	0.301111111111111	0.0555555555555556	0.447777777777778	0.257333333333333	0.214222222222222	0.182222222222222	0.0784444444444444	0.0377777777777778	0.358888888888889	0.223	0.0304444444444444	0.124444444444444	0.00777777777777778	0.184222222222222	0.0417777777777778	0.0301111111111111	0.0648888888888889
"k__Bacteria|p__Fusobacteriota"	0.00644444444444444	0.026	0.375555555555556	0.0833333333333333	0.197333333333333	0.0371111111111111	0.048	0.00333333333333333	0.0455555555555556	0.0137777777777778	0.00666666666666667	0.0462222222222222	0.00266666666666667	0.000222222222222222	0	0	0.00133333333333333	0	0.00577777777777778	0.000888888888888889	0.000444444444444444	0	0.000888888888888889	0	0.0304444444444444	0.000444444444444444	0.00111111111111111	0	0.024	0	0	0.00222222222222222	0	0	0.000666666666666667	0.00155555555555556	0.000666666666666667	0.000222222222222222	0.0131111111111111	0.000444444444444444	0.0508888888888889	0.00377777777777778	0	0.002	0	0.000222222222222222	0.000222222222222222	0.00155555555555556	0	0	0	0.00311111111111111	0.00177777777777778	0	0.00288888888888889	0.00688888888888889	0.0451111111111111	0.000666666666666667	0.00355555555555556	0.0226666666666667	0.000444444444444444	0.0122222222222222	0.0135555555555556	0	0.0371111111111111	0.00666666666666667	0.000222222222222222	0.0284444444444444	0.0235555555555556	0.00933333333333333	0.0155555555555556	0.00133333333333333	0	0.00511111111111111	0.0142222222222222	0.00111111111111111	0.018	0.0288888888888889	0.00177777777777778	0.000666666666666667	0.012	0.00155555555555556	0	0.0282222222222222	0.000222222222222222	0.00666666666666667	0.00511111111111111	0.004	0.000222222222222222	0.00422222222222222	0.000888888888888889	0.00955555555555555	0	0	0.00355555555555556	0.00555555555555556	0.000222222222222222	0.00688888888888889	0.00288888888888889	0	0	0.000666666666666667	0.00933333333333333	0.0142222222222222	0.012	0.00555555555555556	0.00577777777777778	0.002	0.00733333333333333	0.000222222222222222	0.00444444444444444	0.00177777777777778	0.02	0.00488888888888889	0.000222222222222222	0.0241111111111111	0.00288888888888889	0.0195555555555556	0.000666666666666667	0.0135555555555556	0.00644444444444444	0.0175555555555556	0.000444444444444444
"k__Bacteria|p__Actinomycetota"	0.00311111111111111	0.0155555555555556	0.004	0.00577777777777778	0.00222222222222222	0.00333333333333333	0.00244444444444444	0.0117777777777778	0.000666666666666667	0.00777777777777778	0.00933333333333333	0.00266666666666667	0.000666666666666667	0.00533333333333333	0.000222222222222222	0.00311111111111111	0.00266666666666667	0.00466666666666667	0.0206666666666667	0.000888888888888889	0.0117777777777778	0.000666666666666667	0.00311111111111111	0.01	0.00666666666666667	0.002	0.00177777777777778	0.00222222222222222	0.00155555555555556	0.002	0.00155555555555556	0.00955555555555555	0	0.00777777777777778	0.00577777777777778	0.000222222222222222	0.012	0.00155555555555556	0.00288888888888889	0.00155555555555556	0.000444444444444444	0.002	0.00133333333333333	0.0224444444444444	0.00333333333333333	0.012	0.00488888888888889	0.000888888888888889	0.00244444444444444	0.000444444444444444	0.00177777777777778	0.0197777777777778	0.00466666666666667	0.00755555555555556	0.00222222222222222	0.014	0.00511111111111111	0.00333333333333333	0.00244444444444444	0.0311111111111111	0	0.00222222222222222	0.00533333333333333	0.00111111111111111	0.00333333333333333	0.00111111111111111	0.0211111111111111	0.00688888888888889	0.00466666666666667	0.0482222222222222	0.0668888888888889	0.00244444444444444	0.01	0.00355555555555556	0.0137777777777778	0.0142222222222222	0.00133333333333333	0.00133333333333333	0.00444444444444444	0.00311111111111111	0.00155555555555556	0.00133333333333333	0.012	0.00111111111111111	0.00133333333333333	0.0157777777777778	0.0115555555555556	0.00355555555555556	0.002	0.00466666666666667	0.00488888888888889	0.00977777777777778	0.002	0.000666666666666667	0.0115555555555556	0.002	0.002	0.004	0.00311111111111111	0.00311111111111111	0.00355555555555556	0.00177777777777778	0.0622222222222222	0.024	0.00133333333333333	0.00844444444444444	0.0164444444444444	0.0164444444444444	0.00288888888888889	0.00266666666666667	0.00555555555555556	0.000888888888888889	0.0168888888888889	0.00422222222222222	0.00977777777777778	0.00177777777777778	0.00288888888888889	0.0284444444444444	0.0224444444444444	0.0166666666666667	0.000888888888888889	0.000555555555555556	0.0162222222222222
"k__Bacteria|p__Mycoplasmatota"	0	0.000666666666666667	0	0	0.000666666666666667	0	0.002	0	0.000444444444444444	0.000888888888888889	0.00333333333333333	0.000444444444444444	0	0	0	0	0	0	0.000444444444444444	0	0.000666666666666667	0	0	0	0.000444444444444444	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00533333333333333	0	0	0	0	0	0	0	0	0	0	0.000888888888888889	0	0.00133333333333333	0.000222222222222222	0	0	0	0	0	0.00266666666666667	0	0.00288888888888889	0	0	0	0.000666666666666667	0	0.00288888888888889	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0.00177777777777778	0	0.000444444444444444	0	0.00133333333333333	0	0	0	0	0	0	0.00244444444444444	0	0	0	0	0	0	0.00222222222222222	0.000888888888888889	0	0.000222222222222222	0.00288888888888889	0	0	0	0	0	0.000444444444444444	0.00133333333333333	0.00144444444444444	0.000888888888888889	0	0	0	0	0	0
"k__Bacteria|p__Campylobacterota"	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000444444444444444	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Deinococcota"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
