"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"p__Bacillota"	4228	4305	2490	3989	2753	4133	2465	1642	4467	4328	4028	4105	4271	1683	4354	4320	3992	3472	2983	4125	3752	4753	3804	3586	782	734	339	4166	4079	4412	2469	4005	3814	3333	3279	1179	2618	4339	3497	3934	3994	2991	3594	3742	3601	4747	1788	3667	2681	4573	2309	4042	6330	3505	3444	4219	3249	1276	4474	2097	8134	3885	3682	2922	3816	4686	3479	329	3478	1995	2373	1498	2321	3636	2916	3116	2829	3698	3752	3295	3403	4208	2697	3063	4497	4009	3866	2628	3700	4234	3662	3656	686	3485	4123	3834	4492	2259	4101	4478	2010	2864	2481	2564	3580	3951	3732	3441	3710	1845	6360	2556	3862	582	5146	3316	4534	8926	2986
"p__Bacteroidota"	1034	718	831	476	892	772	2627	438	840	847	465	1279	620	2	1060	1014	1320	1790	1017	1024	0	633	1450	1624	3495	2504	1486	786	1230	829	966	796	1054	871	907	349	1044	1012	670	1097	1429	591	1662	788	1668	644	857	652	245	630	236	1046	1796	1024	1809	768	880	635	615	3	1620	1067	801	2126	759	188	1636	2761	1576	2926	2522	373	2392	923	2147	1956	2076	1670	1510	1202	1726	641	2278	1083	835	929	1346	2345	1021	760	1596	1422	387	333	1142	918	785	1436	985	804	3122	856	2594	417	484	316	751	1425	1532	1620	1869	2731	682	4242	181	1003	693	1534	2066
"p__Pseudomonadota"	184	244	89	545	750	372	118	3163	60	216	736	95	580	3795	67	142	163	90	1489	275	1739	93	190	82	1060	658	3636	533	178	116	2041	633	631	1253	1304	3893	1828	57	1322	182	43	1905	109	952	132	80	2838	1166	2571	286	2817	378	2787	938	131	229	1345	3545	111	7682	1084	443	1011	228	865	501	164	2047	289	262	151	3601	732	874	349	316	425	99	219	932	200	640	382	1260	123	548	229	491	665	494	237	374	4394	1620	196	730	203	1790	186	136	292	1651	304	2462	1413	1176	1002	429	207	1956	2447	170	685	529	43	1004	230	333	356
"p__Fusobacteriota"	35	143	2065	455	1086	204	263	252	76	37	254	15	1	0	0	8	0	32	4	4	0	5	0	167	20	73	0	2	0	131	0	12	0	0	8	4	1	72	3	279	20	0	12	0	1	1	8	0	0	0	17	8	0	16	38	248	4	19	124	1	134	73	0	205	36	1	157	0	130	50	84	7	0	29	6	99	158	9	3	0	155	2	36	29	22	1	23	4	51	0	0	29	3	38	15	0	0	3	78	66	30	33	10	40	2	25	10	110	26	1	265	14	108	24	4	74	35	192	2
"p__Actinomycetota"	18	85	23	32	12	17	13	3	42	52	14	3	28	2	17	14	25	112	6	66	5	16	54	36	137	1450	38	11	13	6	7	53	0	42	1	64	9	15	7	3	13	8	122	17	65	26	5	15	3	10	109	26	80	13	77	28	20	15	174	1166	25	29	6	18	6	117	37	354	26	265	368	12	52	19	80	8	7	23	15	66	10	8	86	63	18	11	25	27	54	11	4	10	12	21	17	17	19	11	129	7	46	89	92	16	15	32	5	94	22	53	17	14	156	113	122	94	6	6	89
"p__Mycoplasmatota"	0	4	0	0	3	0	11	2	5	19	3	0	0	0	0	0	0	1	0	3	0	0	0	2	0	38	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	5	0	7	1	0	0	0	0	0	15	0	16	3	0	0	0	4	0	17	0	4	0	0	0	0	0	0	10	0	2	0	7	0	0	0	0	0	13	0	0	0	0	0	12	5	0	2	16	0	0	0	0	0	3	7	16	5	0	7	0	0	0	0	0
"p__Campylobacterota"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
