"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9"
"hera_1",0,1.26939898020664,5.36809998618577,1.37165077003493,3.74872898474079,4.38869189412601,3.55925754219236,4.05230192034523,1.19568271476201,2.28762937882795,5.48054968013234,2.85376043903372,7.38001146679531,3.52696285102916,7.65030477821082,2.37930849363251,3.65946856549668,1.48097943075677,0.934684188950912,8.08461917879653,7.33270196986068,1.7662928226744,7.2150766811817,7.66262649183101,0.349802377344397,2.01924781775657,7.58845925100283,7.05327761271482,8.10908705818624,1.74828377896054,6.33829161912009,5.3203675738551,2.22094522959065
"wolverine_1",1.26939898020664,0,5.05258153305612,1.01197488415477,3.44531072208788,3.99551080291981,3.3691505355955,3.73514848458186,1.55482827689786,2.43946355629449,4.5491907750755,2.1701709739858,7.01416303720095,2.63896991729921,7.26982256455919,2.60963262613105,2.72329628695316,1.83794749793645,0.781623965352221,7.72439025911741,6.96767259481719,1.27212586743867,6.82987199794295,7.29512632143273,1.3061878608059,1.92761214756733,7.17594903905729,6.68009552627271,7.74031718791046,1.54863345342351,6.00394852153143,4.88667988231272,1.74276092776466
"buddy_11",5.36809998618577,5.05258153305612,0,4.83305477341066,1.91483851791359,1.30186135187083,2.02346611797553,1.68029745693041,5.65909597369219,3.68727721181384,5.38088710721387,3.53933755436658,2.14680646596321,4.67715687990246,2.40565638920801,5.52424969191378,4.88558295004156,5.30534544108084,4.81129788595476,2.88023463642668,2.10654251133641,4.59031564803521,1.97222128771356,2.36781126862553,5.52640262822233,5.6894385045367,2.40212905974331,1.93970971636806,2.84208569597742,3.82148505089003,1.04700020626414,0.734693227701956,3.74315247854228
"hamlet_11",1.37165077003493,1.01197488415477,4.83305477341066,0,3.19477687334685,3.67626895903424,3.08258777045055,3.45370945408058,1.98056038813525,2.26595767852152,4.76567364741215,2.13337968084826,6.70143501378187,2.82910198025087,6.99634135335543,3.25347976908286,3.23277361829439,1.83106212429558,0.685137064883899,7.39858145140971,6.66667382783982,0.862358500413449,6.55554561226093,7.02417415279728,1.48924091321354,2.0381704819123,6.91893472156569,6.39076665621771,7.436688859828,1.25548100325629,5.74539877909067,4.69783698888651,2.05121804093158
"hera_11",3.74872898474079,3.44531072208788,1.91483851791359,3.19477687334685,0,1.14650612455062,1.12878068760823,0.899471480916263,3.98909185962842,2.24200694483512,4.73069610554051,2.06874166861054,3.85184551484955,3.33316708026113,4.22146234740166,4.36280328771309,4.01540186310587,4.04598449416339,3.24338588635338,4.60778609123802,3.81368643703731,3.05196684425358,3.66582851154185,4.14712726637057,3.96229895687001,4.22982851932742,4.07492842559046,3.48526054958702,4.57549094392157,2.20139636821887,2.88184721968363,2.04543437594706,2.45137430284583
"jarjarbinks_11",4.38869189412601,3.99551080291981,1.30186135187083,3.67626895903424,1.14650612455062,0,1.32687443627541,0.974929395427442,4.76885529207481,2.85693943039104,4.65497811351595,2.43672675653237,3.05177463192704,3.69341750195945,3.36692598057194,4.87262759621579,4.03639179710278,4.33011833499858,3.74311693237818,3.78478340590673,3.03544797328141,3.41426685846742,2.92087656833041,3.37503096415724,4.5497439674806,4.69064665550349,3.32560449842163,2.81115912735571,3.79554079177309,2.80329192141604,2.11819159612005,1.21268654931996,2.84920459316051
"joans_11",3.55925754219236,3.3691505355955,2.02346611797553,3.08258777045055,1.12878068760823,1.32687443627541,0,1.00519824680208,3.8819637164198,2.02565410520162,4.86949279298332,2.40480253121935,4.00928491755395,3.58008814300917,4.30058486153268,4.1640755443922,3.89749522180113,3.59649950529206,3.03236510863655,4.72807334144608,3.91443321588693,2.94908490071872,3.80466128542215,4.30143986384802,3.70855388022526,3.79291746863394,4.15511200142667,3.72314871143645,4.73532919993255,2.01220828026512,2.97932199619736,2.03505065283584,2.40263694153987
"padme_11",4.05230192034523,3.73514848458186,1.68029745693041,3.45370945408058,0.899471480916263,0.974929395427442,1.00519824680208,0,4.3591991489105,2.53303197901776,4.66931042142077,2.36602541549293,3.52328950011437,3.51289515131685,3.87831304289761,4.60527941815995,4.03300506088316,4.16004404355798,3.49477863678862,4.27221903557945,3.45263369885057,3.25336262715334,3.31588994921599,3.82894086863784,4.23310369029198,4.30829357554667,3.69163245793605,3.14194310300494,4.25003712132126,2.49481789113285,2.56650272581197,1.69858922144127,2.70029794085775
"ginger_14",1.19568271476201,1.55482827689786,5.65909597369219,1.98056038813525,3.98909185962842,4.76885529207481,3.8819637164198,4.3591991489105,0,2.55764400585012,5.85865137147126,3.29047348902207,7.73293738207487,3.83887661654416,8.0036544761032,2.6973757908206,4.03914484271718,2.3812172192787,1.64140728724581,8.45848805179859,7.68286606818863,2.52284252736038,7.5391211394297,7.99136984115078,1.26139631141896,2.37662019811598,7.90692222807314,7.36892750392912,8.452745448454,2.06276043605112,6.65759644577484,5.63794538354265,2.68799644554596
"hera_14",2.28762937882795,2.43946355629449,3.68727721181384,2.26595767852152,2.24200694483512,2.85693943039104,2.02565410520162,2.53303197901776,2.55764400585012,0,5.36370050842998,2.23978930852337,5.67834736294034,3.61155680875696,5.9795649021523,3.13598961215007,3.84713320457891,2.62272597951946,2.05641431487724,6.40864498330789,5.65586135967381,2.34357708130985,5.53670451990035,5.96582794621125,2.44936229718291,3.11716266419824,5.93319882914267,5.39481048002785,6.4149082375569,1.38368138061583,4.64129375017458,3.76057222252893,1.96524907996304
"iris_14",5.48054968013234,4.5491907750755,5.38088710721387,4.76567364741215,4.73069610554051,4.65497811351595,4.86949279298332,4.66931042142077,5.85865137147126,5.36370050842998,0,3.46379679738223,6.43570746151572,2.228186572977,6.66753262765927,5.40140645381418,2.70683512864283,5.41091986154001,4.8756614709327,7.01963784026176,6.27947905524081,4.11958386121872,6.13760038237959,6.70392244055266,5.53548367945124,4.66548587705099,6.20515054778292,6.13088166270493,7.00150690374901,4.88086420997334,5.94508658913748,4.87689518618351,4.052469179672
"jarjarbinks_14",2.85376043903372,2.1701709739858,3.53933755436658,2.13337968084826,2.06874166861054,2.43672675653237,2.40480253121935,2.36602541549293,3.29047348902207,2.23978930852337,3.46379679738223,0,5.29824456218073,1.81058091256221,5.61186441740467,3.42397131378062,2.46951603957809,3.07333371831291,2.22419188975192,6.02938911476164,5.27010265096071,1.68042085478198,5.12463855850683,5.6083451116893,3.02061166620129,3.2034815987283,5.47090442545291,4.96690065777928,6.02505777980067,1.88512995169692,4.42074606907182,3.34389228625027,1.38186507803245
"kubo_14",7.38001146679531,7.01416303720095,2.14680646596321,6.70143501378187,3.85184551484955,3.05177463192704,4.00928491755395,3.52328950011437,7.73293738207487,5.67834736294034,6.43570746151572,5.29824456218073,0,6.2429592669042,0.672333114882489,7.53685418154742,6.50939761335876,7.21312598698376,6.76775641903038,0.840924033084506,0.44895506245275,6.39014730409413,0.559086946588882,0.502033677494539,7.5392108355651,7.57225912892941,0.950154728833264,0.963940916698618,0.761235367930764,5.8130453531117,1.18115511837547,2.26759962038208,5.71511420355897
"wolverine_14",3.52696285102916,2.63896991729921,4.67715687990246,2.82910198025087,3.33316708026113,3.69341750195945,3.58008814300917,3.51289515131685,3.83887661654416,3.61155680875696,2.228186572977,1.81058091256221,6.2429592669042,0,6.57341774727816,4.01053034792923,2.28776480569973,3.87137621169028,2.99285434346,6.9432158872739,6.12900155964247,2.29121333603897,5.9720813324937,6.55431228593103,3.64914214861533,3.06461141587877,6.20234217895867,5.85811169833547,6.92231877952859,3.006555581635,5.49926394441167,4.35512722597714,2.51538106302293
"ginger_2",7.65030477821082,7.26982256455919,2.40565638920801,6.99634135335543,4.22146234740166,3.36692598057194,4.30058486153268,3.87831304289761,8.0036544761032,5.9795649021523,6.66753262765927,5.61186441740467,0.672333114882489,6.57341774727816,0,7.68550548393243,6.63280054069602,7.39184170721542,7.02506813823553,0.758818300884995,0.858465732210211,6.68360131640605,0.974246725095425,0.465594494900746,7.78878423431491,7.84682759337749,1.1396742142896,1.38057724657002,0.740554137530494,6.09803526632336,1.39685251920078,2.46084341270627,5.92276208100851
"hera_2",2.37930849363251,2.60963262613105,5.52424969191378,3.25347976908286,4.36280328771309,4.87262759621579,4.1640755443922,4.60527941815995,2.6973757908206,3.13598961215007,5.40140645381418,3.42397131378062,7.53685418154742,4.01053034792923,7.68550548393243,0,3.22544698042448,2.39213137358863,2.64177347250412,8.20889849319536,7.47624919258921,3.13247612055381,7.33753215609191,7.71740246180702,2.30188979732966,3.23505538011685,7.66806428468702,7.24028352013184,8.21008213527621,3.12796281959953,6.45624807271643,5.43560228786815,2.23444978514473
