"ID"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"fpt1"	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0
"fpt2"	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0
"fpt3"	0	0	0.04	0.07	0	0.02	0.02	0.02	0.02	0	0.02	0	0.02	0	0	0.02	0	0.07	0.04	0.33	0.04	0.02	0.02	0	0	0.04	0.02	0.04	0.07	0.02	0	0	0.09	0	0.09	0.02	0.02	0.02	0	0.09	0.02	0.17	0.09	0.09	0	0.18	0.09	0.02	0.09	0	0	0.09	0	0.02	0.02	0	0.02	0.02	0	0.02	0.02	0	0.13	0	0.02	0.07	0.16	0	0.13	0.13	0.07	0	0.02	0	0.04	0.02	0.04	0.04	0	0.16	0.02	0	0.04	0	0.02	0	0.04	0.02	0.02	0.02	0	0.02	0.18	0.04	0.02	0.13	0	0.02
"fpt4"	0.16	0.02	7.49	0.09	0	0.04	0.07	0.02	10.19	0.04	0.07	0	0.07	0.09	11.25	1.96	0.13	0.13	6.29	0.38	0.2	0.09	0.04	0	0.02	1.11	0.02	2.2	6.25	0.13	0.07	15.5	0.13	0.09	0.18	0.22	0.51	0.09	1	0.54	0.02	2.08	3.09	0.09	3.04	3.25	0.09	0.02	0.27	4.62	0.02	1.91	0.98	0.04	2.4	0	2.56	0.04	0.18	0.04	0.36	2.23	3.58	0.02	0.69	0.56	0.18	0.33	3.47	0.13	0.11	0.42	5.83	0	0.27	0.31	8	0.04	0	3.8	3.07	0.27	7.76	5.25	1.76	0.31	0.04	0.04	0.07	9.84	0.04	0.18	0.18	0.18	0.42	0.29	0	2.33
"fpt5"	29.99	38.2	52.26	31.43	75.63	24.08	47.78	43.65	54.25	58.11	36.82	52.74	35.84	45.28	45.94	55.21	61.48	54.65	39.65	60.73	60.28	47.55	50.22	55.67	50.2	55.47	80.52	62.39	35.66	54.12	49.79	51.6	60.09	43.59	44.29	32.4	23.14	72.45	66.77	46.25	30.37	46.2	55.19	65.45	48.49	42.4	45.15	32.37	44.26	47.16	87.29	57.6	47.99	29.77	49.51	70.3	40.04	29.48	29.16	77.09	77.1	54.51	45.29	94.2	39.17	50.17	63.54	74.96	48.07	28.07	41.22	31.38	48.12	65.18	79.6	44.62	45.22	35.64	85.97	40.34	37.68	46.08	46.18	41.27	57.53	49.02	42.24	88.91	57.48	53.62	94.93	56.79	34.37	45.36	71.7	39.67	90.13	35.1
"fpt6"	0.76	0.76	0.8	1.69	1.71	0.62	1.29	2.11	1.05	1.96	2.25	3.4	1.07	2.44	0.87	3.2	0.62	0.98	1.51	3.38	1.27	0.87	1.27	1.18	0.51	1.62	0.58	3.42	0.65	0.98	1.25	0.67	2.13	1.18	1.13	1.09	1.04	0.91	0.65	9.06	1.53	2.61	2.2	1.13	2.42	4.01	0.8	1.62	3.61	3.36	0.13	1.89	1.05	1.56	2.47	1.04	1.8	2.07	9.36	1.69	1.85	12.18	2.82	0.31	2.89	3.96	0.58	51.23	3.1	0.53	1.62	5.22	1.87	0.91	1.07	11.36	2.69	1.29	0.2	2.18	2.89	7.55	3.4	1.09	0.91	4.58	2.69	0.4	4.26	1.71	0.09	1.02	1.5	3.41	1.13	2.96	0.16	2.25
"fpt7"	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93	0	0.1	0	0	0	0	0	0	15.49	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
"fpt8"	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93	0	0.1	0	0	0	0	0	0	15.49	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
"fpt9"	0.2	4.33	0	2.16	31.09	0	0.02	0.02	0	1.07	0.2	12.83	0	0.04	0	0.02	1.56	0.04	0	9.15	2.31	0.69	1.38	8.04	2.23	8.74	6.65	0	0	1.85	0.24	0	12.49	0.04	6.83	0	0	0.07	0	0.02	0	0.67	0	0.27	0.02	1.29	0.16	0	0.2	0	0	0	0	0	0	0.16	0.07	3.25	0	9.99	0	0.07	0	0	0	0.69	8.16	0.04	0	0.02	0.07	0.96	0	2.16	2.11	0.07	0	0.02	0	0	0	0.02	0	0	0	0.02	0	0	5.42	0	0	0.04	0	0	3.52	0	0	0
"fpt10"	0.02	0	0	0	1.38	0	0	0.02	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	9.93	0	0.1	0	0	0	0	0	0	15.49	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0.13	0	0	0	0	0.02	0.04	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.01	0	0.02	0	0	0
"fpt11"	2.38	9.8	0.02	4.71	69.67	0.02	0.18	0.11	0	1.78	0.42	30.6	0	0.16	0.02	0.07	26.78	0.67	0	20.68	35.11	9.05	2.33	18.71	5.01	15.65	70	0.04	0	3.98	1.2	0	28.59	0.09	14.36	0.4	0.04	0.13	0	11.03	0	1.66	0.04	0.56	0.02	3.27	0.31	0.02	15.96	0	0	0	0.02	0.02	0	0.29	0.07	7.01	0.04	18.55	0.22	0.24	0	0	0.09	1.76	14.13	0.13	0	0.02	0.24	2.62	0.11	3.89	28.74	0.13	0	0.04	0	0	0	0.33	0	0	0.09	0.07	0.04	0	9.95	0	0	0.27	0.03	0.04	38.06	0.02	0	0
"fpt12"	4	5.96	5.76	3.56	39.83	1.4	0.98	1.18	8.21	2.4	2.56	18.68	2.42	3.13	6.32	0.6	1.47	1.89	2.94	10.31	4.18	1.02	3.38	9.44	4.19	7	4.65	0.04	1.69	3.74	1.85	0.78	13.72	1.11	6.98	5.5	2.6	1.91	1.4	1.55	1.91	1.36	0.4	0.82	0.51	2.85	2.76	1.31	1.6	0.4	0.27	1.58	0.89	0.49	0.44	0.47	0.78	4.89	0.91	8.59	0.58	17.03	1.56	0.27	1.69	1.76	6.38	52.21	1.31	0.42	1.73	2.6	0.42	2	1.91	10.93	0.4	0.89	0.27	0.44	0.8	7.12	1.2	0.71	1	3.98	1.31	0.49	7.9	1.49	0.18	1.82	1.1	2.49	2.56	2.6	0.58	0.29
"fpt13"	6.36	12.76	5.78	6.89	69.69	1.42	1.13	1.29	8.21	3.71	2.89	31.03	2.42	3.22	6.34	0.62	27.7	2.56	2.94	23.55	38.71	9.96	5.05	22.36	7.75	17.19	70.77	0.09	1.69	6.36	2.49	0.78	33.3	1.2	16.96	5.87	2.62	2	1.4	11.9	1.91	2.18	0.44	1.18	0.53	4.21	2.98	1.33	17.29	0.4	0.27	1.58	0.91	0.49	0.44	0.69	0.84	8.79	0.96	20.62	0.58	17.23	1.56	0.27	1.74	2.92	15.88	52.3	1.31	0.44	1.84	3.53	0.53	4.49	29.63	11.04	0.4	0.91	0.27	0.44	0.8	7.3	1.2	0.71	1.07	4.03	1.33	0.49	14.41	1.49	0.18	2	1.13	2.52	38.31	2.62	0.58	0.29
"fpt14"	4	5.96	5.76	3.56	39.83	1.4	0.98	1.18	8.21	2.4	2.56	18.68	2.42	3.13	6.32	0.6	1.47	1.89	2.94	10.31	4.18	1.02	3.38	9.44	4.19	7	4.65	0.04	1.69	3.74	1.85	0.78	13.72	1.11	6.98	5.5	2.6	1.91	1.4	1.55	1.91	1.36	0.4	0.82	0.51	2.85	2.76	1.31	1.6	0.4	0.27	1.58	0.89	0.49	0.44	0.47	0.78	4.89	0.91	8.59	0.58	17.03	1.56	0.27	1.69	1.76	6.38	52.21	1.31	0.42	1.73	2.6	0.42	2	1.91	10.93	0.4	0.89	0.27	0.44	0.8	7.12	1.2	0.71	1	3.98	1.31	0.49	7.9	1.49	0.18	1.82	1.1	2.49	2.56	2.6	0.58	0.29
"fpt15"	8.16	14.2	6.58	8.91	69.8	1.42	4.07	3	9.5	5.89	5.83	31.12	2.42	8.8	7.34	3.2	29.01	3.69	3.62	25.42	41.92	13.05	6.98	24.2	9.33	18.43	72.02	0.8	2.45	9.12	5.09	2.73	35.04	4.36	17.99	8.72	2.71	6.8	3.76	11.97	1.91	2.72	3.51	2.65	4.51	4.92	3.94	1.36	17.32	4	1	6.69	2.2	0.51	2.56	1.87	0.91	8.88	0.98	22.02	1.56	19.53	2.53	1.04	2.38	6.65	16.73	53.45	2.09	0.44	4.58	3.56	3.18	5.98	30.43	14.56	1.11	0.93	0.76	0.98	4.45	13.45	2.16	6.45	2.65	12.52	1.33	1.44	18.34	1.96	0.47	6.09	1.17	2.83	39.73	2.67	1.22	2.67
"fpt16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0
"fpt17"	0.02	0	0.02	0	1.38	0	0	0	0	0	0	1.2	0	0.02	0.02	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.04	0.04	0.02	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.04	0	0	0
"fpt18"	2.31	6.91	0.04	3.4	31.29	0	0.16	0.09	0	1.31	0.33	13.48	0.02	0.09	0.04	0.04	26.23	0.69	0	13.49	34.51	8.94	1.67	12.87	3.65	10.2	66.13	0.02	0.04	2.62	0.53	0	19.65	0.07	10.05	0.36	0.02	0.11	0	0.07	0.02	0.76	0.02	0.4	0.04	1.45	0.2	0	0.8	0	0	0.02	0	0.09	0	0.18	0.09	3.89	0.04	12.08	0	0.07	0.04	0	0.38	1.34	9.57	0.07	0.02	0.07	0.16	0.96	0.02	2.47	27.7	0.07	0.02	0.07	0	0.04	0	0.04	0	0	0.07	0.02	0.02	0.02	8.63	0	0	0.04	0.01	0.38	35.8	0.02	0	0
"fpt19"	0.02	0	0.02	0	1.38	0	0	0	0	0	0	1.2	0	0.02	0.02	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.04	0.04	0.02	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.04	0	0	0
"fpt20"	0.02	0	0.02	0	1.38	0	0	0	0	0	0	0.78	0	0.02	0.02	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.04	0.04	0.02	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.04	0	0	0
"fpt21"	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0
"fpt22"	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.99	0	0.14	0	0	0	0	0	0	15.49	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
"fpt23"	0.09	0.02	0.07	0.02	0	0.07	0	0.09	0.09	0.09	0.02	0	0.04	0	0.09	0.04	0.07	0.11	0.13	0.13	0.07	0.07	0	0.13	0.04	0.09	0	0.09	0.02	0.02	0	0.02	0.07	0.04	0.04	0.04	0.02	0	0.02	0.02	0	0.1	0.02	0.07	0	0.04	0	0	0.02	0.02	0.07	0.04	0.02	0.07	0.07	0.11	0	0	0	0.09	0.02	0.04	0.04	0.02	0.22	0.11	0.09	0	0.16	0.04	0.04	0.02	0	0.16	0.02	0.04	0.09	0.02	0.04	0.18	0	0.04	0.11	0.02	0.04	0.04	0	0.04	0.04	0.02	0	0	0.03	0.18	0.04	0.11	0	0
"fpt24"	30.72	38.96	53.04	33.14	75.97	24.7	49.07	45.77	55.29	60.06	39.05	55.36	36.89	47.72	46.79	58.39	62.1	55.62	41.16	64.07	61.55	48.44	51.49	56.84	50.71	57.07	81.09	65.81	36.28	55.1	51.03	52.27	62.14	44.77	45.38	33.44	24.19	73.36	67.42	55.3	31.9	48.81	57.42	66.59	50.91	46.4	45.95	33.99	47.89	50.51	87.42	59.49	48.99	31.31	51.98	71.35	41.84	31.52	38.49	78.76	78.94	54.98	48.11	94.51	41.91	54.04	64.09	75.18	51.19	28.61	42.82	36.58	49.99	66.09	80.67	46.11	47.91	36.93	86.17	42.52	40.56	49.29	49.58	42.36	58.44	53.25	44.93	89.31	61.68	55.33	95.02	57.7	35.87	48.72	72.81	42.65	90.29	37.35
"fpt25"	29.97	38.2	52.23	31.45	74.25	24.08	47.78	43.65	54.25	58.11	36.8	51.96	35.82	45.28	45.92	55.19	61.48	54.65	39.65	60.69	60.28	47.58	50.22	55.67	50.2	55.45	80.52	62.39	35.64	54.12	49.79	51.6	60	43.59	44.24	32.35	23.14	72.45	66.77	46.25	30.37	46.2	55.21	65.45	48.49	42.4	45.15	32.37	44.28	47.16	87.29	57.6	47.94	29.75	49.51	70.3	40.04	29.45	29.13	77.07	77.1	42.8	45.29	94.2	39.02	50.08	63.52	23.95	48.1	28.07	41.2	31.36	48.12	65.18	79.6	34.76	45.22	35.64	85.97	40.34	37.68	41.74	46.18	41.27	57.53	48.67	42.24	88.91	57.42	53.62	94.93	56.68	34.37	45.31	71.68	39.69	90.13	35.1
