"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"fpt1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0.03	0	0.03
"fpt5"	0	0	0	65.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08
"fpt6"	0	0	0.03	65.27	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0.03	0	0.03	0.1	0	0	0.1	0	0.03	0	0	0.05	0	0	0	0.03	0	0	0	0	0.08	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0.03	0	0	0	0.5	1.08
"fpt7"	0	0	0.03	65.27	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0.03	0	0.03	0.1	0	0	0.1	0	0.03	0	0	0.05	0	0	0	0.03	0	0	0	0	0.08	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0.03	0	0	0	0.5	1.08
"fpt8"	0.03	0	0.05	0	0	0	0.03	0	0.1	0.03	0.03	0.03	0.1	0	0.05	0.08	0.03	0.05	0	0.08	0.05	0.3	0.1	0	0	0.1	0.15	0	0.07	0.08	0.15	0.03	0.03	0.08	0.08	0.03	0.1	0.05	0.03	0.03	0.18	0.07	0.05	0.1	0.03	0.1	0	0.08	0.42	0.03	0.03	0.08	0.13	0.03	0.23	0.05	0	0.03	0	0.05	0.1	0.03	0	0.13	0.05	0	0.05
"fpt9"	0.08	0.28	3.8	0.1	0	0.05	2.51	2.8	0.78	0.03	0.23	3	2.15	0	0.07	0.18	0.05	3.3	0	0.08	0.07	0.86	0.17	0.05	0.08	0.38	7.26	0.03	0.12	0.23	0.43	0.03	0.1	0.2	1.75	0.1	7.43	0.1	0.28	0.25	7.45	0.17	0.08	0.48	0.73	0.35	4.48	6.75	0.52	0.13	0.23	2.65	0.18	0.03	0.43	0.05	0.05	0.45	0.03	1.18	0.15	0.3	0.05	0.23	6.26	0.03	0.2
"fpt10"	29.76	52.7	44.23	99.5	71.34	34.92	47.68	46.1	49.03	50.08	54	42.09	36.93	92.1	56.38	39.54	54.74	36.38	41.41	55.46	48.23	46.41	87.05	51	42.09	52.28	43.09	38.62	44.6	32.24	40.24	73.86	37.62	37.71	52.23	34.38	53.49	26.06	47.11	50.14	46.05	64.2	44.96	40.17	49.91	48.47	50.81	45	53.8	39.23	51.08	47.04	47.69	44.85	46.86	33.03	88.91	47.07	33.34	50.17	55.08	58.83	55.06	47.21	45.67	21.75	56.75
