"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"buddy_11",4.15069399207947,0.961145101961363,25.7367809588797,0.727284702683435,1
"joans_11",4.1227591057597,0.959937675056009,24.9611075093135,0.722811419278083,1
"padme_11",4.12440828607501,0.960950459892612,25.6084962140387,0.71856395329585,1
"ginger_14",4.03857174211622,0.957143700533368,23.3337925216479,0.714921253284174,1
"buddy_16",4.1230360893513,0.958449623350605,24.0671705202112,0.728070786263429,1
"buddy_17",4.12769249986999,0.960241202637216,25.1516662054787,0.722416087761389,1
"ivy_17",4.14780944905041,0.960645718357258,25.410195746374,0.726779272983421,1
"lambchop_17",4.15269239146849,0.961583112204617,26.0302189320025,0.73375836042116,1
"padme_17",4.15680303941991,0.963283282558946,27.235550171538,0.725432923833445,1
"buddy_18",4.15181809465107,0.961661152376897,26.0832044257221,0.73270481083981,1
"ginger_18",4.11284883720205,0.959015802394964,24.3996481189402,0.727166688843894,1
"ivy_18",4.18353355203226,0.960880540215556,25.5627251886966,0.730512445314238,1
"lambchop_18",4.136385855859,0.960250646374994,25.1576417929702,0.726480585145478,1
"franc_19",4.14047318807106,0.960280442920808,25.1765143807174,0.726769395285249,1
"ivy_19",4.1456455825757,0.960189410718349,25.1189449351083,0.724309241276342,1
"ginger_2",4.15659395546606,0.96186898246112,26.225368860937,0.732655933695522,1
"lambchop_2",4.18319029379893,0.959765941177156,24.8545642487412,0.740061618941501,1
"ginger_20",4.09549775573855,0.958442172974061,24.0628558219812,0.721450656201102,1
"goose_20",4.07705795256202,0.95806772823706,23.8479805161378,0.72355105331154,1
"buddy_21",4.08203483507503,0.959728945287336,24.831731056836,0.730598382969374,1
"joans_21",4.04978617064695,0.958385534564653,24.0301056264586,0.711270933005034,1
"franc_22",4.0943404836376,0.958582725926175,24.1445151174733,0.728949143991028,1
"goose_22",4.14207144332014,0.96071126185267,25.4525863429382,0.729654937944477,1
"grogu_22",4.11141972856249,0.958690215236083,24.2073398763738,0.734876108811012,1
"henry_22",4.14972936759009,0.960702824828265,25.4471217238858,0.728394114897267,1
"joans_22",4.1393597952778,0.960329726222326,25.207791748662,0.72404053495484,1
"marshmallow_22",4.06354176121716,0.957462027720444,23.5084078156826,0.73280644341915,1
"franc_24",4.13812231900435,0.959751789838613,24.8458253420511,0.731183907156942,1
"ginger_24",4.09067636984723,0.958346764644295,24.0077389297691,0.730201643456907,1
"henry_24",4.14185525851194,0.960374511991685,25.2362822582817,0.725735979571824,1
"ivy_24",4.10440211930074,0.959498660594758,24.6905414656627,0.723895647025892,1
"marshmallow_24",4.07623849595064,0.9585280488058,24.1126826976943,0.730051256511006,1
"henry_25",4.15681863122613,0.961255266833851,25.8099596585607,0.7300692287397,1
"ginger_29",4.07106392458554,0.957657442292497,23.6169011543392,0.725748176161621,1
"henry_29",4.15154352916759,0.96063442318349,25.4029047932199,0.727433558592768,1
"joans_29",4.08093205241917,0.957982774024892,23.7997625210292,0.724698734576669,1
"ginger_36",4.13851343851209,0.959782507990083,24.8648026026443,0.725573504407098,1
"grogu_36",4.12720938508558,0.958870254285677,24.3133037326742,0.742727566744847,1
"henry_36",4.10442229903377,0.959021656262489,24.4031336748395,0.724783849972274,1
"franc_37",4.08926695639453,0.958975638492585,24.3757602374687,0.72255142793936,1
"goose_37",4.10999362956944,0.9592709133497,24.5524779032243,0.720573347218536,1
"grogu_37",4.10755538323031,0.95914460702979,24.4765727924623,0.739190656544091,1
"lambchop_37",4.12733419242928,0.959927067272222,24.9545000061056,0.724037373459043,1
"goose_4",4.15040171692418,0.961148851392767,25.7392647540367,0.727233490223586,1
"grogu_41",4.09838661365432,0.958789676821981,24.2657645677816,0.737029538032705,1
"joans_41",4.12627739802905,0.960273067072874,25.1718400168061,0.729090973470833,1
"marshmallow_41",4.14871404084803,0.95960698760098,24.7567571866532,0.735802248023227,1
"ginger_42",4.16270479482023,0.961414916687924,25.9167510903632,0.735981404155681,1
"goose_42",4.08457107606996,0.958266765290223,23.9617179678079,0.721721691199223,1
"grogu_42",4.11203073089883,0.959180290769327,24.4979697025515,0.727022044662894,1
"henry_42",4.09639902260695,0.95816954861633,23.9060293858169,0.726983492037211,1
"ivy_42",4.16454189626086,0.959171873015414,24.4929188247488,0.742412485224654,1
"lambchop_42",4.10030997632419,0.958764866257239,24.2511642192881,0.730011941919375,1
"buddy_44",4.11546940818438,0.959092228050748,24.4452325890677,0.731766820365814,1
"franc_44",4.15884369697531,0.960761509993009,25.4851804904273,0.737134384647671,1
"ginger_44",4.07852539292623,0.957604566310112,23.5874459337943,0.728032646813047,1
