"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"ko00010"	0.0124240011765495	0.0126210673497288	0.0124813459255956	0.0123703723198561	0.0123378733557674	0.012403553286597	0.0138049634466056	0.0122608732389549	0.0125369292440605	0.0142500038875194	0.0125415078842194	0.0121119163673325	0.0124733650030455	0.0122068063806939	0.0120358205564079	0.0127526714782671	0.0121132987107508	0.0122880249921372	0.0123356867100803	0.0122584420460289	0.0121854062527717	0.0125429871878258	0.013410597924614	0.0118148672144923	0.012534051283742	0.0128507707004051	0.0126160019757336	0.0118962381123081	0.0125424568626203	0.0129652017721086	0.011653598017645	0.0119871747969873	0.013897495095397	0.0125515927729556
"ko00020"	0.00556252818544421	0.00568090872573278	0.005323749493271	0.00592751165742457	0.00602103016587942	0.00611655300902733	0.0055597431890914	0.00592233335340173	0.00569192995837898	0.00622341165878967	0.00590340802679583	0.00626936633857438	0.00560721432809826	0.00628219893577654	0.00608361514261658	0.00631557586922689	0.00582093508787055	0.00576110980925523	0.00577301083533124	0.00618880610284476	0.0061025990671361	0.00558323343003098	0.00507733053046764	0.00591345477682634	0.00572997102247882	0.00613126971548295	0.00571436537001963	0.00653534530533143	0.00558089750062778	0.00563152261791161	0.00595942862204989	0.00653228271148454	0.00527614148687346	0.00541132829445377
"ko00030"	0.0065057086722918	0.00680611780191576	0.00639481632501989	0.00649159659889675	0.00609906139728929	0.00587986918990548	0.00632975575753748	0.00636109702372295	0.0060032532164401	0.00596037800781025	0.00655645926580468	0.00643853143170023	0.00664443864185901	0.00636043519577406	0.00559898956131159	0.00624437062386143	0.00548481754922331	0.00651498892169955	0.00634884160906223	0.00602231368375357	0.00588228894844259	0.00668526592058335	0.00729324966986742	0.00630012399892844	0.00650348030208187	0.00654135309059372	0.0065803106799159	0.00585412600630891	0.00677715464213844	0.0065823295761998	0.00578247393696457	0.00602800819652962	0.00680494114824268	0.00638442490093793
"ko00040"	0.00530978838493167	0.00574900864712959	0.00588489132768445	0.00482791455782163	0.00406023051148378	0.00380436589385661	0.00472196834582109	0.00463733523173817	0.00407801434780963	0.00396901759281069	0.0050529033664793	0.00429485507301276	0.00568073919089257	0.00432445550852757	0.00348751004137253	0.0042488062716573	0.00358490388432542	0.00513627618434162	0.00438047094288187	0.00381516736787968	0.00384474767725231	0.00583249389812879	0.00533207938861259	0.00484277434518738	0.00485254410157732	0.00462102748496786	0.00484300885136794	0.00337074645167956	0.00595603571029729	0.0047794782379304	0.00415114917367296	0.00353463346535544	0.00549937725324704	0.00575052326725618
"ko00051"	0.0124250958564643	0.0139646610824115	0.0139637198631705	0.0111318184011867	0.0104264946306436	0.0097591880205331	0.0104261233032021	0.0107928931298777	0.00922944197400126	0.00931898354475333	0.0131088725204928	0.0101015877492193	0.013924316692508	0.0103329987246846	0.00920048178865319	0.00962435203845878	0.00853926715152513	0.012295794653419	0.00987559930127731	0.0105785586007321	0.0112852492293492	0.013870634836146	0.0119174943719642	0.00881789294171942	0.0102029983683741	0.0102003305317611	0.0102246487860397	0.0103088228881861	0.0139486436693769	0.0106241729220222	0.00838651849734764	0.0110786584434637	0.0125817054707164	0.0143646231196598
"ko00052"	0.00710595737630286	0.00775299573187103	0.0072828081619766	0.00713010465125743	0.00668946215966617	0.00671038243518355	0.00733774372813575	0.0075219733785933	0.00652024173270322	0.0071519762588615	0.00735433773315722	0.00741698966813721	0.00752405022382575	0.0072674545182553	0.00552883886133942	0.00764891787490097	0.00493912593114013	0.00719118504632956	0.00719658607131885	0.00673054705818402	0.00630959065919486	0.00737929000122922	0.00744587363952082	0.00660629492000426	0.00759295833790398	0.00875466356214515	0.00764719320430188	0.00691554655346707	0.00759833232256777	0.00760726765394861	0.00638101949902263	0.00710972780639163	0.00664658340893019	0.00734719608237885
"ko00053"	0.00271054003228523	0.00307014962114481	0.00335408772557957	0.00192509502924867	0.00136239760217799	0.00125378228948336	0.00155445232011116	0.00184167364177174	0.00119527161906414	0.00135665162112692	0.00246291592444427	0.00132080153511268	0.00323166816963755	0.00130344730296693	0.000967233283099352	0.00136223260976917	0.000933639855738317	0.00247564035716801	0.00134976382241659	0.00112972202156002	0.00164667747270616	0.00325438456826573	0.00301184423279922	0.00124835139039864	0.0016588884292759	0.00132847423266218	0.00138290310182682	0.00102880294895096	0.00330195205714142	0.00157022372763427	0.00103527382180735	0.00110085597638495	0.00320287611196852	0.00335936487286112
"ko00061"	0.00392625287280716	0.00401133044505437	0.00367768246406983	0.00441729707360314	0.00422169699153008	0.00464687182193739	0.00461732665781116	0.00454319607848113	0.00427415755656162	0.00468963096703596	0.00406865590393704	0.00501546702324534	0.00394858201114769	0.00485746633933593	0.00392938841754675	0.00478853382502932	0.00361470699684891	0.00411868130225539	0.00473854743722196	0.00433105753354889	0.00394909873396182	0.00383728598687333	0.00460066529284394	0.00457419437668809	0.00478077553053999	0.00533512037492822	0.00468322632857951	0.00465517206968278	0.00392988274764865	0.00460086171433041	0.00442168040683152	0.00455612744236526	0.00466131295362862	0.00361519618853255
"ko00071"	0.00467766266476389	0.00408337140062472	0.00473815556559678	0.00425708749432954	0.00437704724892842	0.00453585167677733	0.00485705284442355	0.00431759640656378	0.00492800834744428	0.0046808073733753	0.00404502244623741	0.00393410142493783	0.00434627752895143	0.00389117401349661	0.00517611055657161	0.00368254877129341	0.00585480416562537	0.00432969243612366	0.00448042878323374	0.0040493447970012	0.00447724212961498	0.00450956678233062	0.00414313937950127	0.00472187959367706	0.00446694747268037	0.00376205059697331	0.00414158529348997	0.00373722693089994	0.00436332950669638	0.00438534769723279	0.0049925903485279	0.00339662724854644	0.00429959994936635	0.00454030914604128
"ko00072"	0.00080963121030152	0.000782508329633836	0.000927374102254936	0.000817818622524879	0.000717390407329882	0.000714737013973208	0.000782431708650253	0.00070821303860377	0.000733411898283562	0.000883319285247955	0.000770226381227104	0.000823108130975124	0.000816375514520467	0.000713387798470916	0.000776823812051146	0.00060645547282056	0.000861908431697949	0.000756578973671148	0.000720282899392519	0.000665733439471687	0.000756918035063047	0.000850430588627314	0.000885997537671214	0.00070851286008288	0.000764345345434313	0.000578370256979364	0.000645745084713915	0.000589475650456036	0.000845276304183902	0.000723351874320218	0.000699574553457576	0.000587742418509964	0.000837069270008551	0.000861060688229427
