task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	dc/94fe87	618376	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-03-24 10:50:40.438	865ms	10ms	26.3%	0	0	77.5 KB	3.4 KB
17	bb/202baa	618489	fastcat (13)	COMPLETED	0	2025-03-24 10:50:40.540	776ms	127ms	45.6%	82.4 MB	166.3 MB	161.1 KB	10 KB
7	49/7f8afe	618369	fastcat (3)	COMPLETED	0	2025-03-24 10:50:40.419	906ms	194ms	27.3%	82.3 MB	166.3 MB	215.5 KB	48.8 KB
8	9f/c29a46	618408	fastcat (4)	COMPLETED	0	2025-03-24 10:50:40.471	851ms	139ms	48.6%	82.4 MB	166.3 MB	191.4 KB	31.9 KB
14	3c/6978cc	618384	fastcat (10)	COMPLETED	0	2025-03-24 10:50:40.453	869ms	129ms	51.6%	82.3 MB	166.3 MB	173.3 KB	18.8 KB
5	5b/cb23d4	618506	fastcat (1)	COMPLETED	0	2025-03-24 10:50:40.558	766ms	132ms	50.6%	82.4 MB	166.3 MB	155.4 KB	5.6 KB
15	85/bf41be	620242	fastcat (11)	COMPLETED	0	2025-03-24 10:50:41.330	496ms	146ms	37.8%	72.8 MB	189.1 MB	198.3 KB	36.1 KB
12	22/17675d	620269	fastcat (8)	COMPLETED	0	2025-03-24 10:50:41.345	491ms	163ms	40.1%	69.1 MB	189.1 MB	155.3 KB	5.5 KB
6	df/d0b75f	620326	fastcat (2)	COMPLETED	0	2025-03-24 10:50:41.378	507ms	184ms	35.2%	66 MB	189.1 MB	173.3 KB	19.1 KB
16	54/9808e7	618478	fastcat (12)	COMPLETED	0	2025-03-24 10:50:40.521	1.6s	1s	336.8%	88 MB	512.3 MB	239.7 MB	164.7 MB
11	06/10fa8d	621398	fastcat (7)	COMPLETED	0	2025-03-24 10:50:41.843	538ms	205ms	32.1%	41.8 MB	189.1 MB	178.6 KB	22.2 KB
13	eb/964464	618411	fastcat (9)	COMPLETED	0	2025-03-24 10:50:40.486	2s	1.3s	337.4%	91.5 MB	512.3 MB	315.2 MB	216.5 MB
10	f6/8bf526	620298	fastcat (6)	COMPLETED	0	2025-03-24 10:50:41.362	1.2s	868ms	337.2%	75.8 MB	510.9 MB	198.9 MB	136.9 MB
9	ff/898067	620425	fastcat (5)	COMPLETED	0	2025-03-24 10:50:41.396	1.2s	875ms	325.8%	78.6 MB	510 MB	164.8 MB	116.5 MB
4	c5/2c6c8b	618441	minimap_pipeline:run_common:getVersions	COMPLETED	0	2025-03-24 10:50:40.499	4.3s	3.6s	135.5%	46.9 MB	4 GB	12.3 MB	3.1 KB
20	98/1a1bef	622132	minimap_pipeline:minimap (HAM-17-MGE-S5)	COMPLETED	0	2025-03-24 10:50:44.770	7.6s	7.2s	222.0%	768.5 MB	4.5 GB	522.7 MB	4.2 MB
22	e8/120544	623275	minimap_pipeline:minimap (LAM-2-DRS-S16)	COMPLETED	0	2025-03-24 10:50:52.355	5.5s	5.2s	247.3%	717.9 MB	4.6 GB	522.6 MB	4.1 MB
19	76/864641	624158	minimap_pipeline:minimap (JAR-2-MGE-S4)	COMPLETED	0	2025-03-24 10:50:57.895	5.2s	4.9s	251.9%	770.3 MB	4.6 GB	522.6 MB	4.2 MB
