"Taxa"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"
"Metabolism"	0.722517464521029	0.726000491747475	0.725911952978402	0.727510165974882	0.72425197147979	0.720356929986411	0.724985390858967	0.763642758070776	0.726452419609603	0.735943282103038	0.733065623511993	0.746562863528655	0.723235138501912	0.762516866940215	0.746583241865006	0.742476492023912	0.694985308291735	0.716380644386755	0.762049920092186	0.732644032975982	0.747254010456007	0.73723908356969	0.766202572525583	0.741867039172441	0.729620609202843	0.760279934906444	0.762264299369279	0.742262378236139	0.740559929958779	0.779432573536606	0.747956774204834	0.767234167791114	0.746465999439062	0.73860853965046	0.74211774446241	0.732082347872242	0.779763525462544	0.739146851825127	0.76508610627814	0.751874344157985	0.759940587223243	0.751146147353571	0.742391363129803	0.744608988223267	0.753133977874945	0.740237998578227	0.731524503360936	0.759552237237589	0.768405916044541	0.74977430620919	0.750302257132291	0.733735904891409	0.783015821980042	0.761939490096584	0.764562860270884	0.773972757266588	0.770654220745418	0.75877756885374	0.772539207460453	0.787353147555455	0.742510775986116	0.764060266047596	0.767249097639651	0.754839934894599	0.752611903575778	0.764519293741255	0.764536240925468	0.776908251394776	0.779859505389774	0.768086758858951	0.756305852119804	0.732858312038549	0.756867918772602	0.713501644278512	0.759576304268104	0.757515490393533	0.74762589384566	0.756069084685594	0.747981614775304	0.717168936308125	0.7606933161526	0.781749786248474	0.772456328148787	0.754052821141923	0.773463820451556	0.758533773662351	0.728956343853547	0.759901004766814	0.770249881825072	0.780171610641728	0.77663421385101	0.77438097318279	0.758815247163281	0.74595608463098	0.757396973131123	0.763293477417683	0.757819775846989	0.724492302760988	0.774021816908588	0.760798477399061	0.736429522634709	0.767800293312378	0.773471171781345	0.774550962091997	0.771437102904586	0.753180476978825	0.730145388173843	0.735745940126707	0.743095040622368	0.770829181836765	0.758837886224433	0.731016334779256	0.77668257052034	0.778120390444479	0.749703366578369	0.727356133850822	0.78073661828135	0.742329050556548	0.736745280659232	0.75626903272375
"Environmental Information Processing"	0.132880342989042	0.129849395812187	0.129145681666602	0.129511527398604	0.130330979127637	0.134971107791416	0.131223114555426	0.103106132930486	0.131244925872179	0.121561589377506	0.127241044079745	0.119109180767499	0.136856427100471	0.109351395817805	0.119537414499125	0.120412226429076	0.14560844404896	0.137361200745993	0.106683756773933	0.118626155068611	0.117365342265373	0.122854439111455	0.105894720348254	0.125594001145995	0.133171624892339	0.109946576180524	0.10675132097232	0.119930248829476	0.120851120449203	0.0980175990007341	0.114957067852185	0.104721028122272	0.117644069634621	0.126807177346479	0.127266549151574	0.125937099995916	0.097378336721426	0.120899886123122	0.105418358128079	0.111527831317991	0.10578569070175	0.115868911960209	0.123438891434473	0.117942738585781	0.115595819239835	0.124241145120774	0.125813376334371	0.110359098192809	0.10068671059505	0.102222662718407	0.113383664126286	0.121523385227403	0.0938745375778238	0.109506646378568	0.107433115547827	0.0989461919067388	0.103019466845283	0.108696509512068	0.101950010568751	0.0922268434273438	0.109732527146174	0.107744694653975	0.106488255633212	0.107983411243698	0.11673623520393	0.110062166085425	0.107908048273584	0.0994351974908733	0.095793884218364	0.103931256529632	0.10472759861113	0.125875627451312	0.11372695419799	0.14206230465684	0.106111037176387	0.10810040747387	0.111308533078036	0.115239640006154	0.117216358706381	0.136121868591938	0.107929676994969	0.0961106962960047	0.100385293160164	0.108183882163054	0.100453848801141	0.110809246895507	0.127060013941407	0.10917074764477	0.099169104390355	0.0971181208317869	0.0984226637800486	0.0995142328187647	0.109413933589019	0.119935439877823	0.107893386535764	0.1047561369999	0.110560981749559	0.137540027497094	0.101403916513469	0.108466871380979	0.122160729730843	0.0987838320352866	0.0963012267035899	0.0986396437766454	0.101757603629519	0.110713224950319	0.126723134687791	0.126293836640242	0.117845028301612	0.103997749035012	0.111123359847932	0.126156404456413	0.0993572937198	0.0972745446469434	0.117155731307248	0.129104869529983	0.0969163204259724	0.111271802260451	0.123695653561234	0.112396882913573
"Cellular Processes"	0.0621475717916898	0.0610949005350691	0.0614614682979905	0.060313547550725	0.0620772944083786	0.0626549711249082	0.0612700272569838	0.0476668711736757	0.0603488849397254	0.0579427542903826	0.0576989343169997	0.0523780321254377	0.0605053708213638	0.0462175493578041	0.0511249342645266	0.0544211346636545	0.0777515191426258	0.0648538280271502	0.048004687529945	0.0621334551124876	0.0526598095872264	0.0563707445017516	0.0442306505501059	0.0524268044910178	0.0582392476607238	0.0476672672824179	0.0468645805500504	0.0548679954680207	0.0551921449432203	0.0402153262157201	0.0530958037177592	0.0457350274278124	0.0529561050260463	0.0540346389192476	0.0506900542910744	0.0586803384154526	0.0401709580064927	0.0560092547786483	0.0460338399637001	0.0517729111703166	0.0488674792182272	0.0508470185559863	0.0540414011422562	0.0552459537549695	0.0504659029881192	0.0543023512360562	0.0590714239204096	0.0482981153391206	0.0454077187531685	0.0561041128725184	0.0524154737893112	0.0578053901902248	0.0394316432320463	0.0467003953064961	0.045805256428924	0.0428343378817663	0.0437721323299755	0.0485148794253902	0.0425655804994413	0.0374345553161614	0.0561341690240494	0.0466687337054416	0.0445478274074655	0.0515384692892941	0.0500731482795293	0.044305165991406	0.0459886391017577	0.040218660526123	0.0406022190780221	0.0444953292243428	0.0513308639770794	0.0584767158630166	0.0480621690658383	0.0653782799168228	0.0497819894006667	0.0515738215536632	0.0536675408791805	0.0466124586932352	0.052306135941946	0.0642323951674897	0.0482981963266339	0.0391355986317237	0.044039172876946	0.0511031948715381	0.0425956123452042	0.0482870476764085	0.0603792007288184	0.0485426868212081	0.0450791566091043	0.0399858242807861	0.0419767692228325	0.042703438838273	0.0489187372423902	0.0525759965089674	0.0506747965860663	0.0475104031192965	0.0491622748439091	0.0593415127086464	0.0427826522709886	0.0485524143670563	0.0579777569545172	0.0472870505857588	0.0452877943217132	0.0415535906989239	0.0436150879386595	0.0503575161108011	0.0598944690138255	0.0564014345346158	0.0552978402916628	0.0428701350770792	0.0479387897686096	0.0596160971033642	0.041480074073366	0.0409636619258666	0.0511273791694724	0.0602567157411045	0.0392158126187582	0.0584397233002233	0.0573025602554237	0.0490395030200405
"Genetic Information Processing"	0.036617852870235	0.0376241143329862	0.0377513495553515	0.037930125501476	0.0375240047555786	0.0370407696972261	0.0372682106757058	0.0479578826921148	0.0391783964677618	0.0407562842391035	0.0397025350218673	0.0436867018035226	0.0421074459679577	0.0507782467959789	0.0462365700422751	0.0416105198486466	0.0351870867358253	0.0365709775479821	0.0478762630079233	0.0435158244171279	0.0432646182165643	0.0450828425026046	0.0499898762742995	0.0477994662635863	0.0468681382927852	0.0479237771866189	0.0484603419345949	0.0421174535113358	0.0431238502678008	0.0508985567969038	0.0451735511316265	0.0489146886724295	0.0430740557343454	0.0459168175873567	0.0469872020866594	0.039576947943674	0.0507451735759827	0.0423726427692836	0.0502621666312235	0.0457709873979314	0.0481332855472495	0.0470374221026963	0.0455083759753984	0.0460250275796748	0.0466890064541309	0.0425711452894947	0.0392886670327931	0.0464117560517017	0.0506153515546309	0.0470932126015186	0.0476060940162839	0.0458402432979222	0.0511141334379343	0.0482364166714989	0.0501897321690314	0.050535520866331	0.0506340519478373	0.04695059559742	0.0511405433684982	0.0510621415542847	0.0475619731185263	0.0490144786811719	0.0483724273225474	0.0489181331085494	0.0482572883257555	0.0491577493319819	0.0492970265572659	0.0510519816417006	0.0501496962126737	0.0483583583403306	0.0486508401992989	0.0392851083063701	0.0492939949424425	0.0380995454339703	0.0482460492606339	0.0466322111941479	0.0471640941216124	0.0476021092074013	0.0431196477868826	0.038415111773891	0.0482201804732289	0.0517836932562999	0.0496837928686848	0.0475174987000088	0.0505046000801396	0.0460415064464875	0.0392116462531761	0.0446949333217747	0.0510015016263035	0.0509900859045329	0.0499936374843575	0.0504205316049081	0.0490964819588647	0.0441494829987653	0.0478919814969916	0.0496516833534661	0.0483515548938797	0.0422817561840814	0.0494873696149956	0.0477565677988357	0.041741342110853	0.0490830000166822	0.049189506572722	0.0499705114456448	0.0509163885652498	0.0474683892505769	0.0391906885434371	0.0452412109803628	0.0460922193539119	0.0508551826572371	0.0486117631781168	0.0391348064901825	0.0509029642960443	0.0512167224370949	0.0442027473138414	0.0379424770169449	0.051704074307232	0.0461057263469531	0.0418251686242671	0.0459349177389187
"Human Diseases"	0.0360943124443819	0.0354435623312899	0.0355174213194266	0.0350914617374605	0.0355432005206667	0.0351812307839172	0.0356001266950319	0.0261855265817237	0.0329442443660735	0.03303825762821	0.0325422496089444	0.029128354813005	0.0274799169516184	0.0226177342317944	0.0262498651490673	0.0312552897321302	0.0376658469527684	0.0348550675652288	0.0254798474930403	0.0293877293846839	0.0296661188833578	0.0266709282090114	0.0238991232279636	0.0226943990664427	0.023194738925741	0.0247475582905539	0.0252032323915751	0.0309406952272135	0.0303372303838845	0.0227776941438157	0.0280782926700568	0.0237865576108882	0.0302301614944604	0.0244219385365731	0.0233674104157731	0.0338353935970272	0.0230828106896734	0.0313378936956728	0.0234581896723368	0.0287467237202054	0.025531126331167	0.0251070451995388	0.0249274762254563	0.0254252133003857	0.0238205351473023	0.0294430803404442	0.0342320261539215	0.025818428501997	0.0248423436441987	0.0290965237230477	0.0250314584539896	0.0290364679274794	0.0233763340535389	0.0245472282715535	0.023107473260643	0.0244263367198373	0.023094704633876	0.0269260028885095	0.0231283285892955	0.0229586954136498	0.0320238078092199	0.0232697455848209	0.0235575960838465	0.0257970627865703	0.0235951933210553	0.0228366690402563	0.0231181973986116	0.0234655771569642	0.0238727444725512	0.0261877039581023	0.0260064022161098	0.0337319194931632	0.0232105255089967	0.0301219283748714	0.0255674345825056	0.0253369320272319	0.0266636396066221	0.0250709337119819	0.0300553090069618	0.0338031719267284	0.0247775196062423	0.0226654542881332	0.0239916834994601	0.0271009034932809	0.0236799572300255	0.0271248744131974	0.0345843062207492	0.0280318294698456	0.0245482676025526	0.0229559378654757	0.0235918962496295	0.0236751223054905	0.0239693334316232	0.0272870572449856	0.0254872420819645	0.0245134148184841	0.024382444058298	0.0254625054534251	0.0232620354519808	0.0242099655772178	0.0318216188707575	0.0263005354238293	0.025042270623	0.0245623047084856	0.0233227081679812	0.0259623586778009	0.0345001555977749	0.0252148559711067	0.0257335376800405	0.0228007051785766	0.0238794856445874	0.0344838374068165	0.0228793737797236	0.0233636254070201	0.0286712158255651	0.0357168774438661	0.0229942834622058	0.0287449631224262	0.0301133120457268	0.0272910124504669
"Organismal Systems"	0.009742455383622	0.00998753524099266	0.0102121261822279	0.00964317183685248	0.0102725497079494	0.00979499061612056	0.00965312995788548	0.0114408285512237	0.00983112874465765	0.0107578323617594	0.00974961346045007	0.00913486696188116	0.00981570065667692	0.00851820685640291	0.0102679741799999	0.00982433730258131	0.00880179482808631	0.00997828172689109	0.00990552510297243	0.0136928030411071	0.00979010059147194	0.0117819621054872	0.00978305707379384	0.00961828986051766	0.00890564102556742	0.00943488615344143	0.0104562247821806	0.00988122872781559	0.00993572399711151	0.00865825030622087	0.0107385104235384	0.00960853037548458	0.00962960867146495	0.0102108879598831	0.00957103959250956	0.00988787217568829	0.00885919554388151	0.0102334708081462	0.00974133932652084	0.0103072022355705	0.0117418309783636	0.0099934548279989	0.00969249209261333	0.0107520785559212	0.0102947582956676	0.00920427943500392	0.0100700031975689	0.00956036467678223	0.0100419594084111	0.0157091818753183	0.0112610524818374	0.0120586084655616	0.00918752971861455	0.00906982327529981	0.00890156232269081	0.00928485535873862	0.00882542349761018	0.0101344437228722	0.00867632951356102	0.00896461673310534	0.0120367469159144	0.00924208132699442	0.00978479591327823	0.0109229886772901	0.00872623129395205	0.00911895580967567	0.00915184774331281	0.00892033178956296	0.00972195062861522	0.00894059308864119	0.0129784428765776	0.00977231684758925	0.00883843751213011	0.0108362973389842	0.0107171853117025	0.0108411373575537	0.0135702984688893	0.00940577369563419	0.00932093378252519	0.0102585162318281	0.0100811104463255	0.00855477127936498	0.00944372944595793	0.0120416996301955	0.00930216109193366	0.00920355090604851	0.00980848900230233	0.0096587979755878	0.00995208794661271	0.00877842047569059	0.00938081941212195	0.00930570124977388	0.00978626661482211	0.010095938738479	0.0106556201680904	0.0102748842911702	0.00972296860736504	0.0108818953957646	0.00904220923997825	0.0102157034768499	0.00986902969832058	0.0107452886260649	0.0107080299976302	0.0107229872783032	0.00895110879400429	0.0123180340316769	0.0095461639833284	0.0111027217469653	0.0119363337504047	0.00864704621532946	0.00960871533632096	0.00959251976396797	0.00869772361072574	0.00906105513859633	0.00913955980550456	0.00962292641728024	0.00843289090448206	0.0131087344133988	0.010318024854116	0.00906865115325045
