"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"buddy_16",85,99.6153846153846,8.64563064505986,106.147588527015,5.40989663493946,2.65284546309057,0.846140714360467,6.4994452290831,14.8804277299493,0.597131152082893,0.995542678850011,7.680938212
"buddy_17",103,275.2,88.3436985552371,173.285435482197,6.98232580075032,3.03042420335888,0.916150017136826,11.9260608750725,18.7903052666719,0.65385143577002,0.990656284760845,9.383029176
"ivy_17",109,140.315789473684,13.9844574467592,153.346124562205,6.6130461073477,2.93004755205971,0.899641481481481,9.96427622449883,20.1332805761529,0.624564117949715,0.992222222222222,9.578321277
"padme_17",54,87,19.3244305174885,90.5019119140454,5.15878340745378,1.45291649566329,0.554396952396069,2.24414982208299,8.63158182565504,0.36423221519642,0.995100222717149,5.463602016
"buddy_18",47,82,21.2033822307122,88.4545454545455,4.98522767039633,1.35163230971858,0.580038240403669,2.38116918302563,7.31779678522436,0.351059868229013,0.995331258337039,5.735014614
"ginger_18",80,105,13.2988766084816,117.368151681423,5.86459316959041,2.70872792985553,0.87657583728043,8.10214124986272,13.8223624035749,0.618145017289956,0.994439501779359,7.531846233
"ivy_18",123,201.111111111111,36.6040497498954,166.758111545381,6.52358595426659,3.42462411928812,0.942213045430486,17.3049437792583,23.3738241461428,0.711656883108563,0.991529201961659,10.206478135
"franc_19",82,85,2.75095705271499,87.4420405310971,4.52819216010179,2.89196386680803,0.902914214528625,10.3001690221154,14.239806777913,0.656262335887042,0.997776789684304,8.146192821
"ivy_19",127,154,13.8164422727694,148.8716024619,6.09927192214293,3.34086468899176,0.915585121524096,11.8462529124585,24.3256993894888,0.689664670122009,0.993970522554712,10.633788058
"ginger_20",101,126.588235294118,12.3341047817367,136.024249216185,6.20197384766412,2.6188220220329,0.830866069436057,5.91247419524693,18.3438161128187,0.567443908014196,0.993328885923949,9.62757351
"buddy_21",93,216.5,62.0081865885713,168.028317659023,6.86720491125996,2.77440336259643,0.900759984211848,10.0765804202884,16.5906608734324,0.612099826333062,0.991323692992214,9.25575566
"joans_21",84,122.75,18.8028812491363,127.882270287032,6.35440240466521,2.20383852435965,0.803217713875501,5.08175821967699,14.6611157949917,0.497388771509347,0.993108048021343,8.374140616
"franc_22",124,144.714285714286,9.96767094609179,150.353821012179,6.1115719455754,3.14142284734809,0.91718131332912,12.0745696436117,23.5937011948047,0.651709408380541,0.993330369052912,9.755641978
"grogu_22",57,99.1666666666667,24.7334937953207,95.2811991074605,5.66997400825614,0.974066501736546,0.358681185185185,1.55928685842276,9.20174474667394,0.240923608732336,0.994888888888889,6.193463082
"henry_22",87,137.75,26.4578909558611,136.125068082789,6.56730628086713,2.95205869780588,0.890074074074074,9.09703504043127,15.2964206421533,0.661020921024956,0.993555555555556,8.645547298
"joans_22",111,252.428571428571,66.3858601150288,197.875670103093,7.64527996814353,3.08376348928823,0.914897382481509,11.7505198918555,20.59018309417,0.654792167683504,0.989993328885924,9.467557871
"marshmallow_22",72,135,34.6586855722589,118.847112672437,5.8350290453791,2.48405799405375,0.865481801023576,7.4339383637991,12.1721101843299,0.580839823573896,0.99377639475439,7.7216124
"franc_24",124,155.058823529412,14.3186755048111,154.27297720055,6.31770763745005,3.24256521095326,0.924817116994466,13.3008998860337,23.5961512937882,0.67269207551909,0.992660142348754,10.676267822
"ginger_24",58,83.5,16.3872371654336,84.3995756718529,4.80091954682196,2.23004545706312,0.814080305638532,5.37866632921515,9.39537084735628,0.549212352265724,0.995998221431747,6.488866683
"henry_24",88,111,12.4649408241576,115.734910002217,5.81181727245593,3.06891615576195,0.918865975308642,12.3252852770968,15.5099088986363,0.685433391081525,0.994666666666667,8.434609498
"ivy_24",156,171,7.94934391717016,174.889456763854,6.59235298535229,3.39240904759524,0.924004579194539,13.1586875814514,26.8154847228041,0.671783322677937,0.997218204072549,11.178049096
"marshmallow_24",88,107.117647058824,9.8903365619406,115.779336500785,5.70624617568768,1.66009019893426,0.60409175308642,2.52583776113732,15.5099088986363,0.370776260022718,0.994222222222222,7.606787678
"henry_25",87,92.6875,4.1884225286073,96.6416063751704,4.84539338228847,3.16798318247267,0.933042688946065,14.9348888756075,15.2971429288677,0.709370434478859,0.996888197377195,8.117621254
"ophelia_43",106,134.875,16.6967767126611,124.948980937609,5.59893510678716,3.1413102584984,0.899732799050269,9.97335111111111,19.4626840689883,0.673603792202311,0.995104583889631,8.847813004
"goose_44",108,125.55,8.9197979892683,133.715950850929,5.89519993859932,3.02858466818765,0.910605494146798,11.1863697937113,19.9092282111746,0.646838911870443,0.993997332147621,9.168515182
"iris_44",156,333,71.550494360579,244.457457661702,8.25122800219567,3.36920326428506,0.920456584028253,12.5717507575384,31.388984962608,0.667187987033345,0.986633994208064,11.98788902
"jarjarbinks_44",93,108.4,8.67904512917426,113.437318463344,5.402350080237,2.5135003619411,0.854275147679556,6.86224747581859,16.589065757236,0.554538375988852,0.995107849677563,8.576273955
"lambchop_44",76,97.4285714285714,11.3307920840685,109.090444711538,5.71831316568593,2.25291132585691,0.814048178743729,5.37773705707266,12.9909195843426,0.520214741669584,0.994443209602134,7.471682962
"hamlet_45",101,142.333333333333,19.8035130215845,147.689045536403,6.61012695968623,3.01938477376006,0.90980834127949,11.0874998218942,18.3429154750868,0.654237470666666,0.992885726989773,8.964331002
"hera_45",130,182.928571428571,23.0982496082019,176.401176090932,6.87197934492246,3.34286523937671,0.928567455021159,13.9992212274701,25.0128843910502,0.686767658945656,0.991327551701134,10.472665365
"jarjarbinks_45",125,149.8,11.5484466037044,155.873052843141,6.29515437846589,2.72267322550264,0.82013071224276,5.55959281580994,23.8361117828292,0.563897330131629,0.992876224398931,10.37454093
"korra_45",96,108.833333333333,7.26952167645533,117.735184859014,5.57951833558221,3.19271641648003,0.930047382538047,14.2953907413672,17.2409212972211,0.699490109551281,0.995110024449878,8.467374761
"ophelia_45",156,218.666666666667,24.5534526057401,210.530325770588,7.41535709990927,3.32850699900383,0.916776991414604,12.0159078240231,31.3715542988023,0.659129090854363,0.989330962436097,12.061259647
