"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0175	0.024	0.0085	0.00225	0.02275	0.00075	0.0095	0.03325	0.01075	0.019	0.00775	0.00625	0.0355	0.00275	0.015	0.02	0.0145	0.02325	0.02725	0.0185	0.01925	0.00825	0.00425	0.00175	0.006	0.005	0.009	0.01775	0.024	0.00975	0.0045	0.00025	0.0185	0.009	0.0095
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.001	0	0	0.00075	0.00275	0	0.0505	0.0045	0.002	0.10425	0	0.00025	0.007	0.00175	0	0.0285	0	0	0.001	0	0	0	0.0105	0	0.00175	5e-04	0.028	0.00425	0	5e-04	0.01425	0	0	0.00625	0.00225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.00975	0.00375	0.01075	0.01475	0.00875	0.00025	0.011	0.00825	0.00625	0.0135	0.004	0.01125	0.001	0.00725	0	0.0085	5e-04	0.00575	0.01675	0.0035	0.00025	0.0035	0.01025	0.003	0.00225	0.02075	0.01	0.0245	0.00025	0.00975	0.02125	0.00275	0.00125	0.01325	0.00275
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia"	0.0095	0.01075	0.00575	0.013	0.016	0.0045	0.00725	0.0125	0.008	0.0185	0.00625	0.01075	0.00675	0.004	0.00125	0.01225	0.00075	0.00625	0.00225	0.005	0.0025	0.01525	0.0065	0.00175	0.00375	0.00775	0.006	0.00375	0.0085	0.01425	0.012	0.003	0.01	0.0115	0.00275
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Xylanibacter"	0.03675	0	0	0	0.02	0	0.00025	0.0275	0	0	0.00025	0	0	0	0	0.061	0	0.00025	0	0.0235	0.00025	0	0	0	0	0	0	0	0.0795	0	0	0.00025	0	0	0.004
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.0045	0.00125	0.00075	0.005	0.00225	0.00025	0.00025	0.001	0.022	0.01475	0.0025	0.01025	0.022	5e-04	0.013	0.0055	0.00175	0.008	0.01325	0.00075	0.002	0.0025	0.002	0	0.04825	0.0025	0.001	0.00425	0.001	0.0015	0.02125	5e-04	0.0175	0.014	0.00225
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.0025	0.01625	0.0065	0.0115	0.0055	0.001	0.00725	0.0045	0.00725	0.0105	0.0035	0.009	0.0025	0.00575	5e-04	0.00625	0.00125	0	0.0065	0.01975	0.001	0.0015	0.0185	5e-04	0.0045	0.00575	0.02125	0.012	0.00325	0.005	0.01325	0.00025	0.00825	0.011	0.0085
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster"	0.00525	0.006	0.00475	0.0095	0.0065	0	0.005	0.00575	0.00375	0.0025	0.009	0.00825	0.0025	0.00525	0.00225	0.00925	0.0025	0.00625	0.00725	0.00375	5e-04	0.00225	0.00625	0.00175	0.00625	0.0105	0.0085	0.0155	0.002	0.00625	0.01675	0.00025	0.0065	0.0075	0.00175
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora"	0.00175	0.005	0.002	0.00475	0.00425	0.00075	0.00675	0.0055	0.00675	0.01325	0.00425	0.00475	0.0015	0.00225	5e-04	0.00775	0.00075	0.00175	0.0045	0.00225	0	0.001	0.03775	0	0.003	0.0135	0.00975	0.011	5e-04	0.002	0.017	0	0.002	0.00775	0.001
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.003	0.00925	0.00425	0.00275	0.005	5e-04	0.00275	0.00375	0.001	0.003	0.0025	0.00425	0.00475	0.00625	0.00075	0.003	0.0015	0.01225	0.01825	0.006	0.001	0.008	0.00025	0.00125	0.00225	0.00675	0.00625	0.0115	0.00325	0.00975	0.0045	0.00075	0.002	0.0035	0.00175
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0.001	0	0.001	0	0	5e-04	0	0	0	0	0	0	0	0	0.00025	0	0	0.00225	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.12775	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0	0	0	0.11725	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0	0.00025	0.002	5e-04	0	0.00025	0.00175	0	0.00275	0.00025	0.00075	0.005	0.00025	0.002	0	0.00125	0	5e-04	5e-04	0.00025	0	0	0.08275	5e-04	0	5e-04	0.00025	5e-04	0	5e-04	5e-04	0.00025	0	5e-04	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00425	0.005	0.001	0.00275	0.005	0.001	0.00975	0.0025	0.00175	0	0.0055	0.001	0	0.002	0	0	0	0.00975	0.0045	0.0025	0	0.0035	0	0.001	0	0.00475	0.00375	0.00625	0.00625	0.00325	0.0145	0.00025	0	0.00075	0.0015
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalicatena"	0.013	0.001	0.007	0.002	0.01025	0.001	0	0.015	5e-04	0	0.005	0.01475	0	0.00025	0	0.0065	0	0.00125	0.001	0	0	0	0	0.00025	0	0.003	0.002	5e-04	0.002	0.0025	0.00125	5e-04	5e-04	0.0085	0.0015
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter"	0.00075	0	0.00575	0.00025	0.00175	0	0.00575	0.00775	0.011	0.00275	0.00075	0.0115	0	5e-04	0	0.0015	0	0.00025	0.00125	0	0	0	0.0315	0	0	0.00525	0.0015	0.00175	0	5e-04	0.00275	0	0.00025	0.00475	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor"	0.003	0.00525	0.0015	0.00275	0.004	0.00025	0.0035	0.0015	0.005	0.00125	0.004	0.00175	5e-04	0.00125	0.00125	0.00125	0.001	0.0015	0.00325	0.0015	0.00075	0.0025	0.00025	0.00075	0.0025	0.01175	0.00225	0.00175	0.0035	0.003	0.0045	0.00025	0.00525	0.00175	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.00025	0	0.00425	0.0025	0.00075	0	0.004	0.003	0.00175	0.00575	0.00025	0.007	0	0.0015	0	0.0025	0	0.00025	0.00275	0	0	0	0.002	0	0	0.007	0.0025	0.00125	0	0.002	0.00475	0	0	0.009	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0035	0	0	0	0.004	0	0	0.00275	0	0	0	0.00025	0	0.00025	0	0.023	0	5e-04	5e-04	0.0035	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0.00025	0.0035
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00075	0.00275	0	0.00175	0.00125	0	5e-04	0.001	0.00075	0.00175	0.002	0.001	5e-04	0.001	0.001	0.00325	0.00075	5e-04	0.0015	0.00075	0.00025	5e-04	0.006	0	0.00075	0.00175	0.0025	0.00225	0.00025	0.00025	0.00375	0	0.00175	0.002	0.00125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.00025	5e-04	0.004	0.00375	0.00075	0	5e-04	0.00075	0.00125	0.00025	0.00125	0.01025	0	0.00475	0	0.001	5e-04	0.00075	0.00025	0	5e-04	0.00025	0.00075	0	5e-04	5e-04	0.002	0.00125	5e-04	0.00375	0.00125	0	5e-04	0.002	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.00025	5e-04	0.0075	0.00425	0.00275	0	0.00025	0.00125	0.00025	0.002	0.00075	0.00425	0	0.00075	0	0	0	0	0.00075	0.00025	0	5e-04	0	0	0	0.00425	0.00075	0.00175	0	5e-04	0.00075	0	0	0.0015	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus"	0.00225	0	0	0.00025	0.00325	0.00025	0.0045	0.00675	0.00025	0.00475	0	0	0	0	0	0.0015	0	0.00025	0.00025	0	0	0.00125	0.003	0.00075	0	0.00325	0.001	0.00075	0	0.00025	5e-04	5e-04	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0	0	0	0.00025	0	0.00225	0	0	0	0	0	0	0	0.00425	0	0	0	0	0	0.01125	0	0.003	0	0.003	0	0	0	0	0	0	0	0.001	0	0	0.00925
