"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.073	0.07375	0.0055	0.01425	0.007	0.00025	0.00575	0.027	0	0.00025	0.0435	0.00025	0.10875	5e-04	0	0	0	0.0315	0.0035	0	0.031	0.06475	5e-04	0	0.00075	0.0155	0	0	0	0.0935	0	0	0	0.033	0.023
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.01975	0.0105	0.004	0.011	0.02525	0.00225	0.0135	0.02225	0.0135	0.02575	0.025	0.004	0.01075	0.00525	0.05375	0.01325	0.06625	0.017	0.012	0.01925	0.06925	0.01025	0.00025	0.003	0.03625	0.011	0.0095	0.01475	0.0215	0.00825	0.01725	0.00275	0.02875	0.00275	0.0145
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0	0.01825	0.0315	0.01575	0	0	0.02475	0	0.03125	0	0.0095	0.028	0.043	0.042	0	0	0	0.101	0.116	0.01675	0	0.0105	0.02275	0.005	0.02125	0.027	0	0	0	0.03075	0	0.00225	0	0.015	0.009
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0.0015	0.2985	0	0.00025	0	0	0	0	0	0.00025	0.00325	0.002	0	0	0	0	0.00025	0	0	5e-04	0.001	0	0	0	0	0	0	0	0.01075	0.01025	0	0	0.00075	0.28675
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.0105	0.0135	0.00425	0.0105	0.0345	5e-04	0.01025	0.0165	0.01225	0.0315	0.0295	0.005	0.008	0.006	0.03925	0.0355	0.03425	0.01475	0.01275	0.00675	0.07025	0.008	0.00125	0.00225	0.02275	0.01325	0.014	0.009	0.01225	0.0055	0.01525	0.001	0.0305	0.0045	0.01225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.01125	0.00875	0.01275	0.0165	0.0125	0.00125	0.0365	0.03225	0.0175	0.0185	0.00775	0.022	0.0135	0.011	0.00875	0.01125	0.005	0.01025	0.03375	0.00525	0.00425	0.0035	0.00775	0.002	0.00825	0.0435	0.061	0.03225	0.01475	0.00775	0.043	0.0015	0.01	0.01375	0.00275
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.005	0.00675	0.03425	0.0325	0.0115	0.005	0.00175	0.0205	0.016	0.02175	0.02325	0.07825	0.00525	0.002	0.00775	0.017	0.0015	0.01025	0.0065	0.0025	0.00575	0.00425	0.001	0.00125	0.10925	0.0125	0.006	0.00675	0.005	0.00725	0.0095	5e-04	0.0125	0.0235	0.02275
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.009	0.0165	0.0055	0.01975	0.00925	0.00175	0.00575	0.01875	0.009	0.01225	0.0095	0.0155	0.01625	0.012	0.01875	0.04775	0.00875	0.02825	0.00575	0.0035	0.011	0.00975	0.01675	0.00375	0.018	0.01075	0.0145	0.012	0.02575	0.02125	0.01125	0.002	0.02475	0.005	0.00525
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0135	0.01925	0.0075	0.002	0.01875	5e-04	0.00875	0.02575	0.009	0.01625	0.00675	0.00475	0.02725	0.00225	0.01175	0.01775	0.0115	0.01825	0.02275	0.015	0.0165	0.00625	0.00325	0.00125	0.00525	0.00425	0.007	0.015	0.0185	0.007	0.004	0.00025	0.01575	0.008	0.00825
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00875	0.005	0.00225	0.00675	0.0125	0.001	0.00775	0.00975	0.00825	0.01175	0.009	0.00325	0.00775	0.005	0.03825	0.00325	0.04825	0.01025	0.00725	0.00625	0.02675	0.009	0.00125	0.0025	0.02925	0.0085	0.00575	0.00875	0.0095	0.007	0.0125	0.00175	0.01225	0.002	0.004
