"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.12725	0.114	0.1495	0.22575	0.18625	0.01525	0.20375	0.1835	0.164	0.2105	0.26825	0.26675	0.18775	0.10525	0.3385	0.27475	0.30975	0.12375	0.161	0.17725	0.39425	0.073	0.23625	0.009	0.1745	0.11825	0.18775	0.21425	0.31075	0.091	0.1595	0.016	0.34825	0.181	0.1445
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.13025	0.1815	0.15275	0.25525	0.15225	0.104	0.28025	0.152	0.241	0.158	0.11225	0.1525	0.09425	0.13325	0.08	0.11575	0.08475	0.07925	0.157	0.24775	0.04425	0.09925	0.219	0.0285	0.19525	0.258	0.25825	0.26125	0.1765	0.14525	0.27825	0.0525	0.1695	0.173	0.0655
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00475	0.01625	0.0065	0.0555	0.007	0.80025	0.0075	0.00575	0.00725	0.011	0.0035	0.00925	0.0025	0.5055	5e-04	0.00625	0.00125	0.00125	0.0065	0.16125	0.001	0.36925	0.01875	0.8825	0.0045	0.006	0.02125	0.012	0.021	0.005	0.01325	0.87225	0.00825	0.011	0.21575
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.12875	0.0635	0.03225	0.0995	0.16075	0.01125	0.11675	0.1245	0.12	0.1555	0.13975	0.039	0.0755	0.043	0.35225	0.10925	0.423	0.12	0.104	0.07125	0.3505	0.074	0.02375	0.01975	0.2465	0.09625	0.0735	0.1135	0.1245	0.0625	0.13875	0.01675	0.14475	0.0235	0.06
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae"	0.1135	0.192	0.0895	0.114	0.164	0.02225	0.0925	0.1285	0.118	0.10075	0.15325	0.17125	0.0425	0.03175	0.04575	0.12025	0.05275	0.092	0.087	0.0585	0.04375	0.0865	0.1135	0.02125	0.18275	0.1735	0.0825	0.08025	0.1115	0.0995	0.1385	0.01675	0.138	0.117	0.0575
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.28225	0.081	0.038	0.0335	0.2045	0.00575	0.03075	0.17825	0.03975	0.00025	0.0815	0.04	0.11275	0.06425	0.0575	0.10625	0.053	0.311	0.13725	0.20225	0.01475	0.04325	0.11375	0.01	0.055	0.033	0.12825	0.127	0.1185	0.18125	0.06125	0.005	0.05375	0.021	0.0305
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0435	0.05875	0.10275	0.077	0.04725	0.03525	0.15875	0.0905	0.245	0.17425	0.04075	0.2025	0.0935	0.05875	0.05675	0.11075	0.03175	0.062	0.23875	0.045	0.02575	0.013	0.08975	0.01625	0.04	0.22025	0.1585	0.094	0.072	0.03425	0.09875	0.013	0.05375	0.1135	0.01775
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.11625	0.22375	0.35125	0.0575	0.01425	0.00025	0.011	0.0415	5e-04	5e-04	0.15825	0.00375	0.28	0.00125	0	0.00025	0	0.0965	0.012	0	0.08025	0.197	0.1185	0	0.00225	0.02125	0	0	0	0.3005	0.011	0	0	0.27425	0.38075
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.01075	0.0265	0.02525	0.03225	0.01075	0.002	0.00825	0.024	0.0135	0.0135	0.019	0.04125	0.03575	0.0225	0.038	0.07275	0.0215	0.059	0.01225	0.0075	0.018	0.018	0.02	0.0055	0.02975	0.017	0.02	0.02	0.02975	0.0365	0.01625	0.0025	0.0385	0.015	0.00675
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0205	0.03325	0.01275	0.005	0.02775	0.00125	0.01225	0.037	0.01175	0.022	0.01025	0.0105	0.04025	0.009	0.01575	0.023	0.016	0.0355	0.0455	0.0245	0.02025	0.01625	0.0045	0.003	0.00825	0.01175	0.01525	0.02925	0.02725	0.0195	0.009	0.001	0.0205	0.0125	0.01125
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.001	0	0	0.00075	0.00275	0	0.0505	0.0045	0.002	0.10425	0	0.00025	0.007	0.00175	0	0.0285	0	0	0.001	0	0	0	0.0105	0	0.00175	5e-04	0.028	0.00425	0	5e-04	0.01425	0	0	0.00625	0.00225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00975	0.00375	0.01075	0.01475	0.00875	0.00025	0.011	0.00825	0.00625	0.0135	0.004	0.01125	0.001	0.00725	0	0.0085	5e-04	0.00575	0.01675	0.0035	0.00025	0.0035	0.01025	0.003	0.00225	0.02075	0.01	0.0245	0.00025	0.00975	0.02125	0.00275	0.00125	0.0135	0.00275
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.0045	0.00125	0.00075	0.00525	0.00225	0.00025	0.00025	0.001	0.022	0.01475	0.0025	0.01025	0.022	5e-04	0.013	0.0055	0.00175	0.008	0.01325	0.00075	0.002	0.0025	0.002	0	0.04825	0.0025	0.001	0.00425	0.001	0.0015	0.0215	5e-04	0.0175	0.014	0.00225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00025	5e-04	0.0055	0.0065	0.00125	0.00025	0.0045	0.0045	0.002	0.00675	5e-04	0.0095	0.001	0.00275	0.00025	0.00275	0	0.00025	0.00275	0	0	0	0.00775	0	0.00025	0.00725	0.00375	0.00425	0	0.002	0.007	0.00025	0.00025	0.00975	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00225	0.00175	0.0035	0.00425	0.00275	0	0.00075	0.005	0.001	0.003	0.001	0.0045	0.0015	0.00475	0.00125	0.00675	0.00225	0.00275	0.001	0	0.002	0.001	0	5e-04	0.002	0.00125	0.0025	0.003	0.00225	0.003	0.00175	0	0.0025	0.00325	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	5e-04	0.00075	0.00525	0.00375	0.00075	0.0015	0.00125	0.001	0.0025	0.00075	0.00125	0.01475	0.00125	0.006	0	0.0015	5e-04	0.00075	5e-04	0	5e-04	0.00075	0.0035	0	5e-04	0.00175	0.00525	0.00175	5e-04	0.00525	0.002	0.00025	5e-04	0.00375	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae"	0.00225	0	0	0.00025	0.00325	0.00025	0.0045	0.00675	0.00025	0.00475	0	0	0	0	0	0.0015	0	0.00025	0.00025	0	0	0.00125	0.0035	0.00075	0	0.00325	0.001	0.00075	0	0.00025	5e-04	5e-04	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00025	5e-04	0.0075	0.00425	0.00275	0	0.00025	0.00125	0.00025	0.002	0.00075	0.00425	0	0.00075	0	0	0	0	0.00075	0.00025	0	5e-04	0	0	0	0.00425	0.00075	0.00175	0	5e-04	0.00075	0	0	0.0015	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	5e-04	5e-04	0.00075	5e-04	0	0	0	5e-04	0	0.00025	0.00075	0.0015	0.00075	0.00025	5e-04	0	5e-04	0.00125	0.00125	0	0.001	0	0	0	0.001	5e-04	5e-04	5e-04	0	5e-04	0.00225	0	0.001	0.00125	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.00025	0	0.00275	0	0	0	0	0.00025	0	0.001	0	0.00525	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.00125	0.002	0	0.00225	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae"	0	0	0.00025	0.0025	0	0	5e-04	0.001	0	0.00125	0	0.00025	0.00025	0.00075	0	0	0	0	0	0	0	0	0.0025	0	0.00025	0.00025	0.0015	0.0015	0	0	0.001	0	0	0.001	0.00025
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0	0.00075	0.00025	0	0	0.001	0	0.00075	0.001	0.00075	0.00025	5e-04	0	0	0.00025	0.00025	0.00025	0.00025	0	0	0.00025	0.00025	0	0.004	0.00025	0	5e-04	0	0	0	0	0.00075	0	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0	5e-04	0	0	0.00025	0.00025	0.00075	0	0	0	0	5e-04	0	5e-04	0	0	5e-04	0	0	0	0.00025	0	0	0.00175	0	0	0	0.00075	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0	0.00025	0.00025	0.00025	0	0	0	0.00025	0	0.00025	5e-04	0	0	0	0.0015	0	0	0	0	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0	5e-04	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.00025	0	5e-04	0	0	0	0.0015	0	0	0	0.00025	0	0	0	0	0	0.00025	0	0	0	5e-04	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae"	0	0	0.00025	0	0	0	0	0	0.00025	0.00025	0.00025	0.00025	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0.001	0	0	0	0	0	0.00025	0	0	0	0.00025
