"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.33925	0.16875	0.17475	0.15125	0.266	0.0445	0.2	0.299	0.3025	0.19175	0.1435	0.303	0.24475	0.15675	0.1535	0.2985	0.109	0.4355	0.39025	0.25475	0.061	0.076	0.22725	0.03225	0.12725	0.275	0.3145	0.24575	0.223	0.261	0.18025	0.02075	0.149	0.1565	0.05575
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.12725	0.114	0.1495	0.22575	0.18625	0.01525	0.20375	0.1835	0.164	0.2105	0.26825	0.26675	0.18775	0.10525	0.3385	0.27475	0.30975	0.12375	0.161	0.17725	0.39425	0.073	0.23625	0.009	0.1745	0.11825	0.18775	0.21425	0.31075	0.091	0.1595	0.016	0.34825	0.181	0.1445
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.13025	0.1815	0.15275	0.25525	0.15225	0.104	0.28025	0.152	0.241	0.158	0.11225	0.1525	0.09425	0.13325	0.08	0.11575	0.08475	0.07925	0.157	0.24775	0.04425	0.09925	0.219	0.0285	0.19525	0.258	0.25825	0.26125	0.1765	0.14525	0.27825	0.0525	0.1695	0.173	0.0655
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.00475	0.01625	0.0065	0.0555	0.007	0.80025	0.0075	0.00575	0.00725	0.011	0.0035	0.00925	0.0025	0.5055	5e-04	0.00625	0.00125	0.00125	0.0065	0.16125	0.001	0.36925	0.01875	0.8825	0.0045	0.006	0.02125	0.012	0.021	0.005	0.01325	0.87225	0.00825	0.011	0.21575
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.12875	0.0635	0.03225	0.0995	0.16075	0.01125	0.11675	0.1245	0.12	0.1555	0.13975	0.039	0.0755	0.043	0.35225	0.10925	0.423	0.12	0.104	0.07125	0.3505	0.074	0.02375	0.01975	0.2465	0.09625	0.0735	0.1135	0.1245	0.0625	0.13875	0.01675	0.14475	0.0235	0.06
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.1135	0.192	0.0895	0.114	0.164	0.02225	0.0925	0.1285	0.118	0.10075	0.15325	0.17125	0.0425	0.03175	0.04575	0.12025	0.05275	0.092	0.087	0.0585	0.04375	0.0865	0.1135	0.02125	0.18275	0.1735	0.0825	0.08025	0.1115	0.0995	0.1385	0.01675	0.138	0.117	0.0575
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.11625	0.22375	0.3515	0.05775	0.01425	0.00025	0.0125	0.0415	0.00075	5e-04	0.15825	0.00375	0.28	0.00125	0	0.00025	0	0.0965	0.012	0	0.0805	0.197	0.1185	0	0.00225	0.02125	0	0	0	0.30075	0.011	0	0	0.277	0.38075
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0205	0.0335	0.01275	0.005	0.02775	0.00125	0.01225	0.037	0.01175	0.022	0.0105	0.011	0.04025	0.009	0.01575	0.023	0.016	0.0355	0.0455	0.0245	0.02025	0.01625	0.0045	0.003	0.00825	0.012	0.0155	0.02925	0.02725	0.0195	0.00925	0.001	0.0205	0.0125	0.01125
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.0125	0.00475	0.02425	0.0285	0.0165	0.00075	0.02075	0.02175	0.009	0.02825	0.00575	0.02575	0.00225	0.0115	0.00025	0.01425	5e-04	0.00625	0.0205	0.00375	0.00025	0.00525	0.02425	0.00375	0.00275	0.036	0.017	0.03275	0.00025	0.0125	0.03075	0.0035	0.00175	0.02625	0.0035
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.001	0	0	0.00075	0.00275	0	0.0505	0.0045	0.002	0.10425	0	0.00025	0.007	0.00175	0	0.0285	0	0	0.001	0	0	0	0.0105	0	0.00175	5e-04	0.028	0.00425	0	5e-04	0.01425	0	0	0.00625	0.0025
