"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"JarJarBinks_18"	"JarJarBinks"	"2023-03-27"	3	18	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B2"	"2020-01-25"
"Kubo_18"	"Kubo"	"2023-03-27"	2	18	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"Lambchop_18"	"Lambchop"	"2023-03-27"	3	18	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_1"	"gum"	"RoomF"	"F1"	"2017-05-13"
"Wolverine_18"	"Wolverine"	"2023-03-27"	2	18	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2014-09-28"
"Ophelia_19"	"Ophelia"	"2023-03-28"	2	19	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_19"	"Wolverine"	"2023-03-28"	2	19	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2014-09-28"
"Goose_20"	"Goose"	"2023-03-29"	2	20	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomF"	"F1"	"2016-06-24"
"Hamlet_20"	"Hamlet"	"2023-03-29"	1	20	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2017-03-05"
"Hera_20"	"Hera"	"2023-03-29"	2	20	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2019-08-29"
"Iris_20"	"Iris"	"2023-03-29"	2	20	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2016-05-10"
"Korra_20"	"Korra"	"2023-03-29"	3	20	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2017-04-17"
"Ophelia_20"	"Ophelia"	"2023-03-29"	1	20	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B2"	"2017-08-06"
"Hamlet_21"	"Hamlet"	"2023-03-30"	2	21	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2017-03-05"
"JarJarBinks_21"	"JarJarBinks"	"2023-03-30"	2	21	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B2"	"2020-01-25"
"Korra_21"	"Korra"	"2023-03-30"	2	21	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2017-04-17"
"Kubo_21"	"Kubo"	"2023-03-30"	2	21	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"Goose_22"	"Goose"	"2023-03-31"	2	22	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomF"	"F1"	"2016-06-24"
"Hamlet_22"	"Hamlet"	"2023-03-31"	2	22	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2017-03-05"
"Hera_22"	"Hera"	"2023-03-31"	2	22	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2019-08-29"
"Iris_22"	"Iris"	"2023-03-31"	3	22	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2016-05-10"
"Kubo_22"	"Kubo"	"2023-03-31"	2	22	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"Hamlet_23"	"Hamlet"	"2023-04-01"	5	23	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2017-03-05"
"Iris_23"	"Iris"	"2023-04-01"	3	23	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2016-05-10"
"Korra_23"	"Korra"	"2023-04-01"	3	23	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2017-04-17"
