"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"
"fpt19"	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.16	0	0.11	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.4	0	0	0	0	0.04	0	0.49	0	0.04	0.2	0	0	0	0	0	0
"fpt20"	0	0	0	0.02	0	0	0	0	0.09	0.02	0.02	0	0	0	1.38	0	0	0	0	0	0	1.2	0	0	0.02	0	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0.02	0.11	0	0.3	0	0	0	0.13	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09	0	0	0.47	0	0.04	0	0	0.09	0.11	0	0.02	0	0	0.04	0	0	0
"fpt21"	0.04	0	0.2	4.4	6.83	3.6	0	1.33	34.58	0.07	2.31	6.91	0.02	3.4	31.29	0	0.16	0.09	0	1.31	0.33	13.48	0.02	0.07	0.04	0.07	0.11	0.2	0.02	26.23	0.71	0.02	13.48	34.5	8.94	1.67	12.87	3.67	10.2	66.17	0.02	0.04	2.62	0.51	0	19.66	0.07	10.05	0.36	0.02	0.09	4.71	28.76	0.29	1.91	2.44	9.97	2.51	0.09	1.07	4.36	42.29	0.31	44.8	1.79	1.87	0.91	0.2	11.36	1.6	0.02	0.42	0.16	0.13	0.42	63.98	5.82	11.82	0.09	0.31	2.87	0.22	0.04	0.58	0.02	16.8	9.32	0.07	0.13	4.54	20.03	0.09	2.89	0.02	4.65	6.38	1.42	1.22	0.49	0.31	54.78	25.66	0.07	0.09	0.47	19.07	0.69	1.13	0	0.76	22.18	1.36	42.12	5.63	20.02	1.2	2.76	0.02	28.33	0.33	0.13	6.01	0.22	0	3.94	0	0.07	0.89
"fpt22"	0	0	0	0.02	0	0	0	0	0.09	0.02	0.02	0	0	0	1.38	0	0	0	0	0	0	1.2	0	0	0.02	0	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0.02	0.11	0	0.3	0	0	0	0.13	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09	0	0	0.47	0	0.04	0	0	0.09	0.11	0	0.02	0	0	0.04	0	0	0
"fpt23"	0	0	0	0.02	0	0	0	0	0.09	0.02	0.02	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0.02	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.02	0.11	0	0.28	0	0	0	0.13	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0.04	0	0	0	0.49	0	0	0	0.47	0	0.04	0	0	0	0.11	0	0	0	0	0.04	0	0	0
"fpt24"	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0
"fpt25"	0.02	0	0	0.02	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0.02	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0.07	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0
"fpt26"	0.04	0.02	0.04	0.04	0.04	0.02	0.02	0.07	0	0.09	0.09	0.02	0.07	0.02	0	0.07	0	0.09	0.09	0.09	0.02	0	0.04	0	0.09	0.09	0.02	0	0.04	0.07	0.11	0.13	0.13	0.07	0.07	0	0.13	0.04	0.09	0	0.09	0.02	0.02	0	0.02	0.07	0.04	0.04	0.04	0.02	0	0.07	0	0.11	0.02	0.07	0.09	0.09	0.16	0.09	0.16	0	0.07	0	0.16	0.04	0.13	0	0.04	0.51	0.04	0	0.04	0	0.07	0	0.13	0.09	0.18	0.02	0.11	0	0.16	0.11	0.07	0.07	0.04	0.04	0.09	0	0.02	0.13	0.22	0.02	0.13	0.04	0.11	0.02	0.07	0	0.04	0.04	0	0.16	0.09	0.04	0.04	0.11	0.07	0	0.02	0.09	0.02	0.02	0.02	0.04	0.07	0.07	0.07	0.11	0.11	0.07	0	0	0.09	0.11	0.14	0.09
"fpt27"	34.16	39.04	51.9	32.53	57.67	32.89	62.18	39.85	76.82	36.89	30.72	38.96	53.05	33.23	75.91	24.68	49.07	45.76	55.36	60.08	39.05	55.37	36.89	47.73	46.77	36.03	69.9	74.46	58.37	62.1	55.67	41.23	64.01	61.56	48.38	51.5	56.86	50.72	57.09	81.08	65.82	36.31	55.09	51.03	52.29	62.17	44.8	45.37	33.45	24.19	73.31	54.89	62.67	47.84	75.43	33.38	60.76	60.52	40.68	34.27	64.45	80.44	46.28	97.54	45.33	37.45	57.73	44.43	44.01	53.32	45.43	53.71	45.72	36.42	41.83	74.3	41.19	39.83	58.29	38.91	55.52	30.72	48.37	51.34	47.72	67.06	47.05	41.76	51.68	49.91	53.19	46.9	56.18	42.21	52.99	51.29	50.99	47.1	49.41	35.48	89.06	49.97	35.29	52.84	56.81	60.71	56.01	48.1	47.63	24.36	57.98	39.29	62.04	60.73	43.49	61.56	44.61	63.62	66.35	60.16	62.22	44	31.27	29.05	53.51	38.62	55.13	40.12
"fpt28"	32	36.51	51.14	31.93	56.63	30.8	60.58	38.74	76	36.4	29.96	38.2	52.25	31.52	74.19	24.06	47.78	43.64	54.31	58.1	36.8	51.97	35.82	45.29	45.9	17.27	58.26	68.03	55.19	61.48	54.69	39.72	60.63	60.29	47.53	50.23	55.68	50.21	55.47	80.61	62.4	35.66	54.11	49.79	51.62	60.04	43.62	44.23	32.36	23.14	72.39	53.27	61.93	45.67	75.03	30.93	58.29	58.01	38.95	32.91	61.61	79.9	45.39	96.64	42.98	35.29	54.78	41.92	42.05	52.23	43.11	38.59	44.54	32.26	40.27	73.75	37.65	37.56	52.29	34.35	53.48	25.98	47.17	50.12	46.05	64.13	44.98	40.23	49.81	48.51	50.86	44.99	53.87	39.27	51.08	47.02	47.79	44.9	46.92	32.73	88.79	47.1	33.36	50.18	55.12	58.73	55.06	47.21	45.7	21.24	56.74	37	61.12	57.08	42.8	58.98	43.57	60.58	64.81	59.2	59.95	38.89	22.4	28.65	47.27	35.55	52.94	34.99
