"ID"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"
"fpt1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0.02	0.02	0	0	0
"fpt2"	0	0	0	0	0	0	0	0	65.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0
"fpt3"	0	0	0	0	0	0.04	0	1.38	65.48	0	0	0	0	0	0	0	0	0	0.78	0	0.02	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0.02	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0.49	1.09	0	0	0	0
"fpt4"	0	0	0	0	0	0.04	0	1.38	65.48	0	0	0	0	0	0	0	0	0	0.78	0	0.02	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0.02	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0.49	1.09	0	0	0	0
"fpt5"	0	0	0.02	0.02	0.04	0.04	0.02	0	0	0	0	0	0.02	0.02	0.02	0.02	0	0.02	0	0.02	0	0.11	0	0	0.02	0	0	0.07	0.07	0.33	0.04	0.02	0	0.02	0.02	0	0	0.11	0.04	0	0.02	0.09	0.04	0.07	0.07	0.02	0.02	0	0	0.09	0.04	0	0.04	0	0.29	0.09	0.09	0.02	0.02	0	0	0	0.02	0.09	0.02	0.11	0.16	0.18	0	0.09	0.07	0.09	0	0.18	0.09	0.07	0.02	0.16	0.09	0.02	0	0.02	0	0.09	0.09	0.04	0.09	0.02	0.11	0.07	0.02	0.07	0	0.04	0.02	0	0.02	0.02	0	0.13	0	0.02	0.02	0.16	0	0.07	0.04	0.04	0.13	0.02	0.16	0.09	0	0	0.13	0.13	0.07	0.07	0	0.42	0.02	0.02	0	0.07	0.09	0.04	0.02	0.04	0.04	0	0.16	0.11	0.02	0.02	0.2	0.04	0	0.02	0.02	0.04	0	0	0.02	0	0.04	0.07	0.02	0.09	0.02	0.02	0.02	0	0.11	0	0.02	0.19	0.04	0.04	0.04	0.04	0.04	0.13	0	0
"fpt6"	0.16	0.02	0.07	0.29	7.49	3.76	0.07	0	0.11	0	0	0.04	0.07	0.02	10.18	2.48	0.04	0.07	0	0.07	2.8	0.8	0.09	11.26	0.02	1.93	0.13	0.13	6.32	0.38	0.2	0.22	0.07	0.04	3	0	0.02	2.14	1.11	0	0.02	0.13	2.2	6.25	0.16	0.13	0.04	0.07	15.5	0.11	3.36	0	0.07	0.09	0.85	0.18	0.16	0.24	0.51	0.07	0.04	0.07	1.05	0.54	0.02	0.38	7.26	2.08	0.02	3.11	0.11	0.09	3.04	3.25	0.09	0.22	0.02	0.42	0.27	0.02	4.62	0.09	0.02	0.22	1.91	1.05	1.76	0.09	7.42	0.07	2.4	0.13	0	2.58	0.04	0.18	0.04	0.38	2.23	3.6	0.02	0.27	0.27	7.43	0.67	0.18	0.53	0.07	0.53	0.71	0.18	0.38	4.49	0.33	3.47	0.13	0.11	6.74	0.42	0.51	5.83	0.13	0	0.27	2.67	0.27	0.31	8	0.04	0	3.8	0.16	3.07	0.02	0.4	0.04	0.04	0.47	0.24	7.74	5.25	0.02	1.76	0.36	0.04	1.18	0.04	0.13	0.29	0.07	9.84	0.04	0.2	0.07	0.16	0.19	6.25	0.18	0.07	0.2	0.44	0.29	0	2.31
"fpt7"	29.99	38.2	29.41	52.7	52.26	44.11	31.47	75.61	99.51	24.01	71.34	34.97	47.78	43.65	54.27	47.59	58.13	36.83	52.75	35.84	46.13	49.02	45.22	45.87	50.19	55.19	61.48	54.63	39.72	60.73	60.28	54.09	47.6	50.23	42.08	55.68	50.21	36.85	55.48	92.11	80.48	56.41	62.39	35.68	39.56	54.11	54.72	49.8	51.59	60.07	36.34	41.42	48.2	43.61	46.39	44.28	87.04	32.41	23.14	50.98	72.43	42.06	66.84	46.19	30.39	52.21	43.11	46.18	38.51	55.21	44.58	65.45	48.49	42.37	45.14	32.24	32.38	40.19	44.27	73.79	47.16	37.66	87.29	37.59	57.61	48.02	52.28	34.34	53.5	29.79	49.51	26.14	70.3	40.04	29.48	29.16	77.07	77.12	54.52	45.3	94.2	47.17	50.16	46.08	39.21	64.14	50.29	45	40.25	49.83	63.53	48.49	50.9	75.08	48.06	28.15	41.2	45	31.38	53.88	48.11	39.26	65.18	51.14	47.04	79.62	44.65	45.21	35.65	86	40.33	47.81	37.67	44.89	46.92	32.94	88.9	47.12	46.15	46.21	41.26	33.36	57.52	49.03	42.24	50.16	88.91	55.1	58.78	57.56	53.62	55.06	47.21	94.93	56.83	34.4	45.74	45.35	21.73	56.83	71.77	39.59	90.13	35.13
"fpt8"	0.76	0.76	13.36	4.25	0.8	2.09	1.69	1.71	2.61	0.62	2.51	8.36	1.29	2.11	1.04	7.67	1.96	2.25	3.4	1.07	1.31	3.98	2.44	0.85	1.02	3.2	0.62	0.98	1.51	3.38	1.27	2.34	0.84	1.27	2.87	1.18	0.51	2.78	1.62	0.11	0.58	2.02	3.42	0.65	0.71	0.98	1.4	1.25	0.67	2.13	3.69	1.49	2.91	1.18	1.66	1.13	0.07	1.09	1.04	4.14	0.91	1.96	0.64	9.08	1.53	1.09	2.32	2.61	15.14	2.2	1.18	1.13	2.42	4.01	0.8	4.16	1.62	1.54	3.61	0.56	3.36	3.53	0.13	2.27	1.89	1.05	6	4.56	2.04	1.56	2.47	4.76	1.02	1.8	2.07	9.36	1.67	1.85	12.19	2.82	0.31	1.2	1.22	1.67	2.91	2.93	3.99	2.09	1.53	1.87	0.58	1.4	2.36	51.29	3.09	0.53	1.6	1.91	5.22	2.31	1.87	2.94	0.91	1.89	4.27	1.07	11.37	2.69	1.29	0.2	2.18	3.2	2.91	2.2	2.49	2.76	0.29	2.87	7.55	3.4	1.09	1.94	0.91	4.58	2.69	2.67	0.4	1.69	1.98	4.34	1.71	0.96	0.89	0.09	1.02	1.5	1.93	3.43	3.11	1.25	1.13	2.96	0.16	2.24
"fpt9"	0.02	0	0	0	0	0	0	0	1.3	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	9.94	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	15.49	0.07	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.07	0	0	0	0.02
"fpt10"	0.02	0	0	0	0	0	0	0	1.3	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	9.94	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	15.49	0.07	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.07	0	0	0	0.02
