"ID"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"
"fpt11"	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt12"	0.2	4.33	0	2.47	0	4.2	2.16	31.11	5.29	0	3.73	0	0.02	0.02	0	0	1.07	0.2	12.83	0	2.89	0	0.04	0	0.02	0.02	1.56	0.04	0	9.15	2.31	0	0.69	1.38	0.02	8.05	2.23	0.67	8.74	0	6.65	4.02	0	0	2.67	1.85	0	0.24	0	12.49	1.42	0	3.98	0.04	0.01	6.82	0	0	0	10.8	0.07	1.6	0	0.02	0	1.25	0	0.67	0.33	0	0.11	0.27	0.02	1.29	0.16	0	0	0.04	0.2	0.6	0	4.76	0	0.67	0	0	0.04	0.02	0.18	0	0	0.2	0.16	0.07	3.25	0	9.98	0	0.07	0	0	0.02	0.31	0	0	15.25	0.69	7.98	0	0.11	8.16	0.24	1.16	0.04	0	0.02	0.07	0	0.96	2.42	0	0	2.16	2.4	0.44	2.11	0.07	0	0.02	0	0	1.29	0	0.91	0.02	0.24	41.83	1.58	0.02	0	0	0	0	0.02	0	0.02	0	0.38	15.22	5.41	0	0.49	0.04	0	0.04	0	0	0	0.73	8.17	3.49	0	0	0
"fpt13"	0.02	0	0	0	0	0.04	0	1.38	0	0	0	0	0	0.02	0	0	0	0	0.78	0	0.02	0	0	0	0	0.02	0	0	0	0.04	0.02	0	0	0	0.02	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0.02	0	0.09	0.02	0	0.02	0	0	0	0.09	0	0.02	0	9.94	0	0	0	0.1	0	0	0.04	0	0	0	0	0	0	0	15.49	0.07	0	0.02	0	0.02	0	0	0	0	0	0	0	0.09	0	0	0.04	0	0.02	0	0.13	0	0	0	0	0	0	0	0	0.04	0	0.02	0.02	0	0	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.31	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0	0	0.01	0	0	0.49	0.07	0	0	0	0.02
"fpt14"	2.38	9.8	0	4.43	0.02	11.56	4.69	69.73	77.07	0.02	6.51	0.13	0.18	0.11	0	0.18	1.78	0.42	30.6	0	8.4	0.34	0.16	0	0.33	0.07	26.78	0.67	0	20.68	35.11	0.02	9.07	2.33	0.31	18.72	5.01	1.42	15.65	0.02	69.98	8.69	0.04	0	13.48	3.98	0	1.2	0	28.57	4.13	0	9.78	0.11	0.3	14.36	0.02	0.4	0.04	23.65	0.13	2.65	0	11.04	0	2.4	0.04	1.67	0.56	0.02	0.2	0.56	0.02	3.27	0.33	0.13	0.02	0.47	15.95	1.31	0	9.03	0	1.13	0	0.02	0.04	0.44	2.98	0.02	0	0.4	0.29	0.07	7.01	0.04	18.55	0.24	0.25	0	0	0.22	2.11	0	0.09	22.97	1.74	14.01	0	0.18	14.12	0.36	20.17	0.13	0	0.04	0.22	0.02	2.62	3.63	0.11	0.02	3.89	3.65	6.73	28.74	0.16	0	0.04	0	0	1.82	0	1.67	0.53	0.67	62.46	26.15	0.33	0.02	0	0.13	0.09	0.07	0.04	0.09	0	0.53	28.44	9.98	0	0.96	1.13	0	0.27	0.04	0	0.04	1.29	14.09	38.08	0.02	0	0.02
"fpt15"	4	5.96	2.31	4.54	5.76	7.69	3.6	39.87	90.26	1.4	2.51	0.67	0.98	1.18	8.2	5.98	2.4	2.56	18.68	2.42	6.2	3.13	3.13	6.27	1.54	0.6	1.47	1.87	2.94	10.31	4.18	1.09	1.07	3.38	0.29	9.45	4.21	1.13	7	0.2	4.65	7.67	0.04	1.69	5.07	3.73	0.93	1.85	0.78	13.72	4.49	0.47	9.27	1.13	2.92	6.98	0.47	5.49	2.6	17.41	1.89	13.47	1.42	1.55	1.91	1.09	5.75	1.33	2.96	0.44	0.33	0.82	0.51	2.85	2.73	2.45	1.31	4.23	1.63	65.14	0.4	6.98	0.27	14.25	1.58	0.87	1.13	1.87	7.13	0.44	0.44	0.58	0.47	0.78	4.89	0.91	8.56	0.58	17.05	1.56	0.27	3.45	4.4	4.23	1.69	12.36	1.76	8.41	2	0.42	6.38	12.66	3.6	52.28	1.29	0.44	1.73	1.29	2.6	5.09	0.42	1.71	2	11.09	3.87	1.91	10.95	0.4	0.89	0.27	0.44	4.14	0.8	1.8	2.63	0.53	32.71	1.56	7.13	1.16	0.71	0.18	1	4.03	1.31	0.44	0.49	4.56	13.2	7.97	1.49	1.33	1.71	0.16	1.8	1.09	1.85	2.49	1.27	21.22	2.56	2.6	0.58	0.29
"fpt16"	6.36	12.76	2.31	7.61	5.78	11.92	6.91	69.76	96.96	1.42	7.03	0.78	1.13	1.29	8.2	6.16	3.71	2.89	31.02	2.42	9.11	3.46	3.22	6.27	1.8	0.62	27.7	2.53	2.94	23.55	38.71	1.11	10.03	5.05	0.38	22.36	7.77	1.87	17.18	0.2	70.76	12.4	0.09	1.69	15.17	6.36	0.93	2.49	0.78	33.28	5.91	0.47	13.84	1.24	3.19	16.96	0.49	5.87	2.62	30.1	1.98	15.36	1.42	11.91	1.91	2.71	5.79	2.17	3.41	0.47	0.42	1.18	0.53	4.21	2.98	2.47	1.33	4.36	17.31	66.18	0.4	12.85	0.27	15.16	1.58	0.89	1.18	1.98	9.98	0.47	0.44	0.82	0.69	0.84	8.79	0.96	20.59	0.6	17.25	1.56	0.27	3.53	4.96	4.23	1.74	29.12	2.9	17.7	2	0.51	15.88	12.97	23.66	52.37	1.29	0.49	1.82	1.31	3.53	7.85	0.53	1.73	4.49	14	10.24	29.63	11.08	0.4	0.91	0.27	0.44	5.51	0.8	2.89	3.11	0.87	81.41	27.22	7.31	1.18	0.71	0.29	1.07	4.07	1.33	0.53	0.49	4.98	32.24	14.47	1.49	2.02	2.83	0.16	1.98	1.13	1.85	2.52	1.53	30.9	38.35	2.62	0.58	0.31
"fpt17"	4	5.96	2.31	4.54	5.76	7.69	3.6	39.87	90.26	1.4	2.51	0.67	0.98	1.18	8.2	5.98	2.4	2.56	18.68	2.42	6.2	3.13	3.13	6.27	1.54	0.6	1.47	1.87	2.94	10.31	4.18	1.09	1.07	3.38	0.29	9.45	4.21	1.13	7	0.2	4.65	7.67	0.04	1.69	5.07	3.73	0.93	1.85	0.78	13.72	4.49	0.47	9.27	1.13	2.92	6.98	0.47	5.49	2.6	17.41	1.89	13.47	1.42	1.55	1.91	1.09	5.75	1.33	2.96	0.44	0.33	0.82	0.51	2.85	2.73	2.45	1.31	4.23	1.63	65.14	0.4	6.98	0.27	14.25	1.58	0.87	1.13	1.87	7.13	0.44	0.44	0.58	0.47	0.78	4.89	0.91	8.56	0.58	17.05	1.56	0.27	3.45	4.4	4.23	1.69	12.36	1.76	8.41	2	0.42	6.38	12.66	3.6	52.28	1.29	0.44	1.73	1.29	2.6	5.09	0.42	1.71	2	11.09	3.87	1.91	10.95	0.4	0.89	0.27	0.44	4.14	0.8	1.8	2.63	0.53	32.71	1.56	7.13	1.16	0.71	0.18	1	4.03	1.31	0.44	0.49	4.56	13.2	7.97	1.49	1.33	1.71	0.16	1.8	1.09	1.85	2.49	1.27	21.22	2.56	2.6	0.58	0.29
"fpt18"	8.16	14.2	16.7	7.96	6.6	12.27	8.94	69.78	97.39	1.42	7.31	3.54	4.07	3	9.52	6.96	5.89	5.83	31.11	2.42	9.33	5.77	8.8	7.3	5.05	3.2	29.01	3.67	3.6	25.42	41.92	2.16	13.09	6.98	1.69	24.21	9.35	2.36	18.43	0.56	72	16.18	0.8	2.45	16.91	9.12	2.49	5.09	2.74	35.04	6.2	0.47	17.71	4.38	3.22	17.98	1.11	8.72	2.71	34.39	6.78	16.85	3.78	12	1.91	3.31	8.15	2.73	18.29	3.56	0.56	2.65	4.51	4.94	3.96	14.41	1.36	8.77	17.34	66.67	4	22.99	1	17.03	6.69	2.16	6.27	13.63	12.16	0.49	2.56	0.96	1.87	0.93	8.88	0.98	21.99	1.58	19.54	2.56	1.04	7.78	7.67	6.78	2.4	31.57	6.67	22.8	2.04	2.47	16.72	16.75	24.24	53.53	2.09	0.49	4.54	2.34	3.56	9.21	3.18	1.73	5.98	18.66	11.18	30.46	14.59	1.11	0.93	0.73	0.98	7.25	4.44	7.94	3.16	1.05	81.88	27.28	13.47	2.13	6.43	0.36	2.65	12.57	1.33	3.02	1.44	6.33	35.31	18.37	1.96	3.18	2.83	0.44	6.07	1.17	2.87	2.85	1.58	32.41	39.84	2.67	1.22	2.71
"fpt19"	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.34	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
"fpt20"	0.02	0	0	0.02	0.02	0.04	0	1.38	65.52	0	0	0.04	0	0	0	0.11	0	0	1.2	0	0.07	0.25	0.02	0	0.02	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0.02	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0.09	0	0.07	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0	0	0	0	0	0	0	0.04	0.09	0	0	0	0	0	0	0	0.02	0.49	1.09	0.04	0	0	0
"fpt21"	2.31	6.91	0.02	3.11	0.04	4.31	3.36	31.31	93.77	0	4.54	0.04	0.16	0.09	0	0.36	1.31	0.33	13.48	0.02	2.98	1.21	0.09	0.02	0.07	0.04	26.23	0.69	0.02	13.49	34.51	0.07	8.94	1.67	0.04	12.87	3.67	0.73	10.2	0	66.11	4.8	0.02	0.04	10.17	2.62	0.02	0.53	0	19.65	1.47	0	4.6	0.07	0.02	10.05	0.02	0.36	0.02	12.78	0.09	11.36	0.02	0.07	0.02	1.6	0.02	0.77	0.45	0.04	0.13	0.4	0.04	1.45	0.22	0.13	0	0.4	0.82	63.98	0	5.82	0	11.83	0.02	0	0.09	0.33	2.87	0.09	0	0.27	0.18	0.09	3.89	0.04	12.07	0	0.07	0.04	0	0.04	0.58	0.02	0.4	16.81	1.36	9.34	0.07	0.13	9.56	4.56	20.04	0.07	0.02	0.09	0.13	0.09	0.96	2.89	0.02	0	2.47	4.65	6.38	27.7	0.09	0.02	0.07	0	0.04	1.42	0	1.2	0.49	0.33	54.75	25.66	0.04	0.02	0	0.07	0.07	0.02	0	0.09	0.02	0.47	19.07	8.8	0	0.69	1.13	0	0.07	0.02	0	0.4	0.76	22.22	35.81	0.02	0	0.02
