"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"f__Enterobacteriaceae"	6	0	817	16	341	437	325	359	3	148	0	53	2133	0	2397	1	5	17	16	5363	2010	15	1943	4931	0	0	2193	1703	2998	94	2670	676	50	0
"f__Selenomonadaceae"	1470	1575	877	1020	1748	699	1083	1437	2328	1818	822	593	422	1328	174	78	261	13	904	0	101	1044	70	879	1367	1330	101	1040	352	544	1263	357	623	1196
"f__Acidaminococcaceae"	809	606	591	283	290	691	374	300	284	605	455	835	463	582	113	278	63	203	737	0	581	1912	398	330	695	1548	257	406	95	801	701	411	381	921
"f__Lachnospiraceae"	402	427	220	345	603	438	261	399	437	363	245	837	181	837	47	115	99	15	848	0	190	1051	332	265	436	1648	485	344	143	290	60	358	585	718
"f__Bacteroidaceae"	290	369	83	556	310	532	47	208	139	477	1400	896	214	433	119	980	1137	835	131	2	120	693	207	32	304	227	283	73	10	569	699	732	347	523
"f__Veillonellaceae"	335	425	496	71	154	70	373	36	319	167	206	109	83	320	56	70	85	9	803	17	350	391	282	759	738	1791	86	31	265	905	329	352	440	215
"f__Prevotellaceae"	447	90	642	26	21	52	609	113	142	66	293	136	67	83	63	1506	239	197	271	3	512	405	529	525	178	737	287	111	83	473	783	179	863	88
"f__Succinivibrionaceae"	41	76	76	20	30	66	778	22	35	38	23	32	139	23	890	19	10	2371	106	1	14	1670	3	25	43	65	9	11	4	71	63	696	4	55
"f__Fusobacteriaceae"	26	103	30	1501	334	790	27	906	123	149	191	13	183	56	27	14	53	0	0	2	5	193	19	0	25	140	79	68	0	71	1100	0	2	15
"f__Sutterellaceae"	62	67	79	30	25	41	65	37	113	84	63	44	30	18	79	750	463	255	87	1	32	66	29	99	122	174	41	22	28	59	147	110	205	43
"f__Tannerellaceae"	12	53	10	17	13	49	13	49	47	15	153	105	28	75	17	43	387	39	51	0	40	200	84	101	16	129	91	26	8	18	20	63	264	40
"f__Bifidobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	625	23	0	849	0	0	1	0	0	0	0	0	0	0	0	0	0	0
