"ID"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"fpt1"	0	0	0.02	0.02	0	0	0.02	0	0.02
"fpt2"	0	0	0.02	0.02	0	0	0.02	0	0.02
"fpt3"	0	0	0.02	0.02	0	0	0.02	0	0.02
"fpt4"	0	0	0	0.05	0	0	0	0	0
"fpt5"	0	0.02	0	0	0	0	0	0.02	0
"fpt6"	0	0	0.02	0	0	0	0	0	0
"fpt7"	0	0	0.02	0	0	0	0	0	0.02
"fpt8"	0	0	0.02	0	0	0	0	0	0.02
"fpt9"	0.05	0.03	0	0	0.02	0.02	0	0.02	0
"fpt10"	0.13	1.77	0.02	0	0.07	0.03	0.02	0.22	0.13
"fpt11"	17.35	58.35	68.02	98.07	29.92	21.48	38.58	22.48	18.77
"fpt12"	18.73	11.55	6.45	0.78	13.28	7.02	15.13	8.88	10.32
"fpt13"	0.02	0.02	0.1	43.15	0.02	0.03	0.35	0.15	6.97
"fpt14"	0	0	0	0	0	0	0	0	0.02
"fpt15"	0.03	0.08	0.38	73.93	0.02	0.03	0.55	0.33	10.9
"fpt16"	1.22	10.52	0.77	20.65	2.33	2.77	2.93	5.22	4.28
"fpt17"	1.25	10.58	0.95	76.48	2.35	2.8	3.38	5.4	11.85
"fpt18"	1.22	10.52	0.77	20.65	2.33	2.77	2.93	5.22	4.28
"fpt19"	14.2	12.35	6.22	77.92	16.6	31.27	18.25	18.5	14.55
"fpt20"	0	0	0.02	0.22	0	0	0	0	0.02
"fpt21"	0.08	0.15	0.22	45.8	0.03	0.03	0.45	0.2	7.58
"fpt22"	0	0	0.02	0.22	0	0	0	0	0.02
"fpt23"	0	0	0	0.23	0	0	0	0	0.02
"fpt24"	0	0	0	0.03	0	0	0	0	0
"fpt25"	0.08	0.02	0	0	0	0	0	0.02	0.02
"fpt26"	36.08	69.92	74.47	98.52	43.2	28.5	53.72	31.37	29.07
"fpt27"	17.35	58.37	68.02	97.73	29.92	21.48	38.58	22.48	18.75
