"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0185	0.15025	0.127	0.00025	0.2415	0.27475	0.11	0.19925	0.1545	0.14025	0.1985	0.4095	0.18625	0.01525	0.10275	0.29325	0.22025	0.1835	0.191	0.145	0.18975	0.157875	0.02825	0.18775	0.2525	0.2045	0.27475	0.01075	0.20975	0.1045	0.1025	0.0945	0.12375	0.30975	0.0495	0.161	0.1845	0.29425	0.12525	0.11825	0.24125	0.10975	0.17225	0.18775	0.21775	0.0855	0.296	0.237	0.09325	0.21425	0.0555	0.26825	0.10125	0.17475	0.1565	0.30225	0.02375	0.3925	0.32475	0.21225	0.11975	0.091	0.22325	0.1595	0.25425	0.16625	0.181
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.016	0.195	0.13025	5e-04	0.0345	0.23675	0.15925	0.182	0.22925	0.3685	0.15975	0.1215	0.15225	0.104	0.287	0.12275	0.17875	0.152	0.30425	0.1145	0.189	0.2165	0.201	0.09425	0.18625	0.11925	0.11575	0.02025	0.3035	0.13225	0.13975	0.04725	0.07925	0.14275	0.22825	0.157	0.1635	0.14375	0.24675	0.258	0.16675	0.16575	0.1265	0.25825	0.1695	0.231	0.08175	0.15225	0.17325	0.26125	0.239	0.17975	0.19	0.30225	0.28925	0.204	0.05525	0.095	0.1245	0.1605	0.27975	0.14525	0.32725	0.27825	0.1975	0.10375	0.173
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.04225	0.159	0.12425	0.00025	0	0.1315	0.05025	0.151	0.111	0.103	0.0655	0	0.1535	0.01025	0.11925	0.0805	0.14075	0.12075	0.11325	0.1225	0.16175	0.146	0.02375	0.07525	0.0385	0.35275	0.1045	0.015	0.055	0.05075	0.06525	0.0135	0.10975	0.03925	0.0915	0.09925	0.10375	0.04975	0.09975	0.0915	0.166	0.1015	0.1705	0.0685	0.2995	0.0385	0.0865	0.29725	0.15675	0.10725	0.03825	0.0985	0.3285	0.10125	0.13875	0.10275	0.00675	0.099	0.255	0.217	0.24025	0.05925	0.08525	0.124	0.18	0.067	0.0225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.34575	0.082	0.2405	5e-04	0	0.1055	0	0.13875	0	0.1265	0.1265	0.0745	0.1795	0.0055	0.08875	0.004	0.08725	0.1465	0.2515	0.133	0.08125	0	0.00275	0.06875	0.002	0.017	0.012	0.25875	0.2655	0.02125	0.014	0.003	0.20725	0.006	0.17725	0.02	0.01575	0.326	0.00825	0.0055	0.01175	0.0605	0.10175	0.128	0.0675	0.01325	0.006	0.01075	0.068	0.1265	0.01525	0.00475	0.0535	0.194	0.0835	0.23825	0.001	0.001	0.19425	0.09825	0.05875	0.1495	0.00225	0.06075	0.008	0.51925	0.005
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.03375	0.04	0.03675	0.00025	0.00525	0.03575	0.20875	0.02325	0.10625	0.076	0.03475	0.01225	0.0375	0.033	0.0775	0.15075	0.0055	0.07425	0.0275	0.006	0.046	0.094875	0.03975	0.083	0.08325	0.00425	0.068	0.0215	0.013	0.33075	0.3125	0.0405	0.052	0.0955	0.06475	0.214	0.08275	0.03325	0.181	0.1725	0.0415	0.02775	0.02075	0.12675	0.01075	0.22975	0.08275	0.02675	0.036	0.07875	0.225	0.09225	0.025	0.012	0.07	0.01625	0.04	0.03875	0.0085	0.02025	0.02325	0.02325	0.0675	0.082	0.0315	0.03225	0.087
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.00225	0.02675	0.00225	0.00025	0.60375	0	0	0.00075	0	0	0.102	0.23625	0.0015	0.797	0	0	0.24575	0.00125	0	0.2105	0	0.00025	0.59975	0	0	0.02525	0.00025	0.20875	0.009	0	0	0	0.00125	0	0.0525	0	0	0.0095	0.00025	0.00025	0	0.0415	5e-04	0	0.063	0	0	0	0.02925	0	0	0	0.03625	0.00025	0	0.01025	0	0	0.006	0.085	0.00975	0	0.00025	0	0	0.0035	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.009	0.025	0.07025	5e-04	0.00175	0.02075	0.02425	0.063	0.0605	0.03525	0.02025	0.00625	0.0925	0.00925	0.055	0.04	0.045	0.04925	0.04325	0.04975	0.04475	0.047625	0.04525	0.02175	0.0415	0.0925	0.04925	0.008	0.0445	0.02925	0.05025	0.015	0.05925	0.03425	0.06425	0.0555	0.0575	0.01075	0.0965	0.1005	0.06675	0.08275	0.04	0.0325	0.042	0.0335	0.044	0.0685	0.1865	0.03275	0.0415	0.067	0.07	0.05075	0.0525	0.01375	0.00575	0.02075	0.01225	0.06225	0.10175	0.05825	0.07225	0.05925	0.07175	0.0105	0.03675
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0	0.0305	0.0425	0.06175	0.045	0	0.00025	0.02875	0	5e-04	0	0.00025	0.00725	0	0.0475	0.10075	0	0.01425	0	0.07325	0.045	0.000125	0	0.12675	0.0185	0.016	0	0.0045	5e-04	0.00025	0.00125	0.008	0.058	0.00775	0.00025	0.001	0.02825	0.001	0.00025	0.0055	0	0.16775	0.0925	0	0.001	0.00275	0.2005	0.00025	0.02725	0	0.02925	0.06375	0.0135	0.011	0.0045	0.00075	0.4845	0.2565	0	0.00025	0.00425	0.19025	0.00675	0.011	0	0.0025	0.09375
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0.84525	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0.09525	0	0.00025	0	0	0.001	0.00275	0.631	0	0.11025	0	0.00225	0	0	0	0.00025	0	0	0	0	0	0.042	0	0	0	0	0.01625	0	0	0	0	0	0.0615	0	0	0	0	0	0.00025	0	0	0	0.12775
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.14175	0.002	0	0	0	0.0265	0	0	0	0.032	0.00775	0	0	0	0.0375	0.0175	0.0145	0	0	0.01725	0.0385	0	0	0.043	0.01475	0.004	0	0.1425	0	0.1195	0.043	0.005	0.101	0.0175	0.044	0.116	0	0	0.04225	0.027	0	0.02425	0.051	0	0.0155	0.03575	0	0	0.0125	0	0.04525	0	0.01625	0.0505	0	0	0.00475	0	0	0.021	0.01325	0.03075	0.0115	0	0	0.00025	0.015
