"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9"
"hera_1",0,2.91026352537063,5.06485283492245,3.83392814898224,3.47895469924954,6.14476388933477,3.33153985363337,5.59873590269352,3.2240278834633,2.48316610496328,11.1070127708901,5.9937376636285,8.34602459260387,6.89694452992142,9.48293297835915,9.64823714704047,9.92860748583926,12.0819713918918,2.67393989363594,15.1998653664419,10.2431736388369,5.57735480096902,10.6183398476269,7.91021880455442,0.546747058765354,4.18415837101245,10.8086684724579,7.41084661000551,8.53666428543955,4.68527482193808,6.80483917994929,7.8969307790419,6.02347534218376
"wolverine_1",2.91026352537063,0,4.69676587729594,3.3717886808582,3.34567444394562,4.84639283530776,3.83006944387785,4.37401776833077,3.99619251297761,3.23051423635827,9.18728859284034,4.72802103796889,7.66296639092398,5.12598091668324,9.13538829743311,9.73185443363068,7.83259387789742,12.1797392841599,3.75706640819449,15.0255444777975,9.4574708291564,4.87162453805201,9.46009848970365,7.40166798717199,2.90267115572154,3.88247075575855,9.47956569769605,6.56300609543065,8.3337841972141,4.62922295859082,6.24834521344625,6.63560609744301,4.95977355321406
"buddy_11",5.06485283492245,4.69676587729594,0,5.21728050088305,3.74756814320257,4.14417853758562,2.40797604431889,4.64365971865967,6.70411416204177,4.76938234230935,10.2166248274361,5.51724884431853,4.14585827243644,6.80066286062286,5.15612181023839,8.66604866248099,8.62098976700062,10.7419896491868,4.97064921566199,12.3642658047002,6.30296084821836,5.62874738378843,6.96397137231937,3.62060503430453,5.04467093359072,4.91286706154859,7.30666357140658,3.90867403603511,4.13312032486086,3.98025004982085,2.74476721198465,5.283471890504,6.04491338942881
"hamlet_11",3.83392814898224,3.3717886808582,5.21728050088305,0,3.94004851225303,4.07480414365047,4.48013390729043,4.32297448370311,4.95691512110094,3.98617298991378,9.94391836023364,5.28708649648619,7.36042778287566,6.33725148011479,8.97020346318429,8.75236903109234,8.88431289370083,11.1962222067738,4.22262449127885,14.7561636907121,9.41601977952291,4.56172845553298,9.53637802650223,7.84331938758485,3.62071733976873,3.68903751258473,9.62967174427123,6.95858234493467,8.52014379017853,4.08688955185539,5.68387219937248,6.91469095927883,6.09673610662065
"hera_11",3.47895469924954,3.34567444394562,3.74756814320257,3.94004851225303,0,4.67235701196948,2.7671179475896,4.3248913126234,3.85090233076586,2.23252481628908,10.3889859008927,6.07954175133455,6.6138561251617,6.37401979217917,8.39902289363356,10.5981734121345,9.25202960283007,12.9803206781071,4.55817633438395,14.8427502781387,9.4677009536317,5.97352981750581,9.77460932351959,6.34754631671997,3.50041308633178,5.12920040234586,9.85325283130047,6.06247457152843,7.09176026614303,5.22673041773535,4.86510245186863,6.99563363652015,6.28467926190589
"jarjarbinks_11",6.14476388933477,4.84639283530776,4.14417853758562,4.07480414365047,4.67235701196948,0,4.54753512637221,4.43573389696905,6.72449828155018,5.51971389193918,8.34081130644269,3.98778218513527,4.23649931091468,5.39921509152122,6.7105329351883,8.00386590973824,6.795271432165,10.2614327458067,5.36735340767251,12.9993317203201,6.84365991596609,3.80065383745891,6.71240145639422,5.2451878430428,5.91480302783828,4.24277998934372,6.86038945622059,5.5344835492506,6.23260655185991,3.90670805920375,4.14210174560512,4.07145297686919,5.23235509967098
"joans_11",3.33153985363337,3.83006944387785,2.40797604431889,4.48013390729043,2.7671179475896,4.54753512637221,0,5.00647132631688,4.77862712852254,3.35172517514041,10.6849192764352,5.61803969676383,5.55440877990757,6.7834737458609,6.75797701455508,8.88721112866258,9.14121921876471,11.124998778768,3.31880611251766,13.3551852460659,7.96747155855456,5.18052648582248,8.5291159405701,4.93976365399332,3.31237009580321,4.14994196524794,8.83666143167623,5.48029247028078,5.54735130433599,3.61737327673615,4.33996501970624,6.33718895305117,5.59098899212841
"padme_11",5.59873590269352,4.37401776833077,4.64365971865967,4.32297448370311,4.3248913126234,4.43573389696905,5.00647132631688,0,6.30939639338356,5.05212591253597,9.26873225185967,5.72701512564563,6.69553485787015,6.1314676727326,8.25497623518955,9.67361196990758,8.18821388498739,11.8741265914719,5.8958208641994,14.4166724605989,8.32721169540541,5.70822894303137,8.31398320006133,6.91873439250659,5.47703356535276,5.12896298036188,8.25215408210457,4.7917025879254,7.77410236852236,5.23220215742655,5.02572972666299,6.35978855625209,6.14590786292409
"ginger_14",3.2240278834633,3.99619251297761,6.70411416204177,4.95691512110094,3.85090233076586,6.72449828155018,4.77862712852254,6.30939639338356,0,3.07749214410656,11.1170690345478,6.89297990038407,9.32857580957659,6.98006885407551,11.0771129055418,11.3719566793838,10.0418335935917,13.8056903948121,4.1244493669992,16.6436008265808,11.7828042908289,6.26016051330133,11.9112174349597,8.89996151775616,3.16264688135549,5.3682438345198,11.9533635339427,8.64961206669208,9.86181093140282,6.43538283366288,8.14443428065828,8.8311856270623,6.14502047806821
"hera_14",2.48316610496328,3.23051423635827,4.76938234230935,3.98617298991378,2.23252481628908,5.51971389193918,3.35172517514041,5.05212591253597,3.07749214410656,0,10.7705539275402,6.08987757128941,7.70144884989522,6.62905857094705,9.33523525408026,10.5473643731143,9.74600117719592,12.9528511193695,3.90713156854328,15.3757898265466,10.2006009442973,5.99392703213287,10.484085173639,7.38819608885506,2.52781999849983,4.90754497542181,10.6233007373098,6.9938592286685,8.1255686592574,5.38650813816306,6.16254257449968,7.62351888297679,6.21586510556138
