"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"o__Bacteroidales"	1034	718	831	476	892	772	2627	438	840	847	465	1279	620	2	1060	1014	1320	1790	1017	1024	0	633	1450	1624	3495	2504	1486	786	1230	829	966	796	1054	871	907	349	1044	1012	670	1097	1429	591	1662	788	1668	644	857	652	245	630	236	1046	1796	1024	1809	768	880	635	615	3	1620	1067	801	2126	759	188	1636	2761	1576	2926	2522	373	2392	923	2147	1956	2076	1670	1510	1202	1726	641	2278	1083	835	929	1346	2345	1021	760	1596	1422	387	333	1142	918	785	1436	985	804	3122	856	2594	417	484	316	751	1425	1532	1620	1869	2731	682	4242	181	1003	693	1534	2066
"o__Selenomonadales"	2021	2166	1402	2403	960	2499	1131	580	1826	1443	2080	1271	2081	1165	2835	1075	970	1059	856	1833	1454	2304	1069	1735	108	359	18	990	540	2159	821	1380	677	894	991	461	770	2354	1454	1121	1299	954	901	1474	1467	3359	578	1445	1570	1244	731	1934	1283	760	811	2347	502	300	2058	0	2788	1897	834	747	1388	1125	1511	59	1154	573	563	519	681	1703	886	1015	1617	690	651	947	1031	1197	470	1628	1305	511	1178	306	1474	557	961	1662	129	2160	1787	1167	660	500	875	1400	915	997	863	1384	928	2491	804	1125	555	285	1436	243	2102	97	2401	909	1879	1828	856
"o__Acidaminococcales"	1112	834	388	398	950	831	625	636	801	789	684	1205	423	0	409	1823	1395	1034	1034	1054	0	854	1691	680	382	86	279	840	1866	716	840	1424	894	977	594	247	1434	640	1149	1541	781	786	1326	618	838	474	732	898	536	1014	819	779	1790	1413	1112	967	1054	517	1139	0	2190	946	1090	1447	1025	656	637	111	1669	728	769	259	436	785	864	899	791	1357	1419	696	1421	932	1270	450	838	953	1437	1314	988	1045	1662	1123	304	523	685	883	1539	798	1530	1086	571	951	598	317	995	525	1248	899	1312	705	2629	980	615	215	755	834	955	2129	524
"o__Veillonellales"	462	585	98	213	96	230	284	114	439	217	327	805	596	463	611	666	885	752	520	582	2179	817	467	622	97	118	12	1408	609	857	177	556	1778	839	805	145	13	980	452	642	1234	690	663	773	215	384	234	596	356	1104	378	623	1677	630	385	354	871	92	475	24	547	299	1111	551	222	2073	600	86	339	294	385	76	659	221	575	589	291	592	529	1003	402	1751	219	480	1682	928	625	219	546	1991	625	618	40	546	1500	1340	1412	342	762	1011	400	128	292	338	1428	392	1095	421	825	377	535	455	740	59	1338	817	1014	2464	607
"o__Lachnospirales"	556	586	474	836	597	501	338	252	1152	1599	783	742	917	0	425	648	654	477	520	490	0	617	454	464	152	137	20	882	965	598	492	541	429	586	855	294	388	330	332	509	552	530	649	841	937	407	181	692	208	1164	298	621	1503	679	765	440	795	301	671	1	2273	609	629	174	984	810	654	66	305	304	526	539	507	778	477	555	106	868	957	588	454	323	505	401	584	1550	441	576	566	603	392	181	133	212	114	429	818	548	758	836	115	641	591	458	185	447	563	856	864	381	1436	707	290	160	535	711	600	2260	801
"o__Enterobacterales"	9	0	21	470	602	204	0	2931	0	127	608	1	292	3775	0	9	7	0	100	22	1591	0	7	0	2	10	23	2	38	0	1934	499	135	1173	913	3857	0	0	247	67	0	1770	4	872	20	2	10	385	2515	21	155	158	1610	226	4	94	359	3505	18	7373	470	217	74	14	688	139	2	34	7	11	40	3553	532	676	63	164	14	10	119	816	1	11	253	1112	2	223	1	324	370	117	97	22	4376	1441	2	1	37	1655	62	0	68	1522	124	2336	503	1105	111	342	0	1845	24	10	349	21	1	292	0	1	69
"o__Aeromonadales"	56	104	27	42	90	52	31	191	32	45	86	50	196	1	32	62	41	33	1282	130	0	35	48	35	26	12	3260	355	85	32	35	87	426	14	302	11	1640	22	1021	41	6	21	40	19	51	20	2779	692	15	146	2641	86	908	575	33	62	830	19	44	1	355	107	774	82	69	302	35	1182	217	22	27	21	6	72	36	40	150	22	33	4	116	527	51	18	15	198	67	60	60	202	21	203	8	22	88	581	73	28	74	27	79	60	52	77	744	34	752	30	41	29	2299	35	48	22	19	373	59	89	6
"o__Burkholderiales"	86	92	41	33	57	116	86	41	25	40	42	43	92	18	35	60	108	54	97	100	140	51	133	45	1032	636	353	174	55	84	69	47	70	65	87	25	187	32	54	68	37	113	65	59	61	58	49	89	40	119	21	134	269	137	94	73	156	21	49	2	259	119	163	132	108	60	127	831	62	229	84	27	194	124	250	112	252	67	67	112	83	102	75	130	106	127	161	105	235	175	119	133	10	157	105	148	92	107	50	108	144	69	125	49	166	37	139	57	166	82	91	124	278	474	22	157	168	239	281
"o__Eubacteriales"	77	128	124	139	145	72	87	58	246	273	153	82	253	52	73	108	88	150	53	165	112	158	113	85	42	34	10	41	99	82	131	102	36	33	32	31	10	35	105	112	128	28	49	31	141	122	62	35	11	47	72	81	75	23	371	103	27	66	127	27	334	131	18	2	195	19	76	7	4	96	129	104	33	145	113	58	6	189	195	57	94	5	228	103	88	67	180	212	125	32	22	6	73	43	3	9	62	69	170	145	3	145	134	65	14	89	19	139	152	93	283	171	70	51	116	42	84	244	196
"o__Fusobacteriales"	35	143	2065	455	1086	204	263	252	76	37	254	15	1	0	0	8	0	32	4	4	0	5	0	167	20	73	0	2	0	131	0	12	0	0	8	4	1	72	3	279	20	0	12	0	1	1	8	0	0	0	17	8	0	16	38	248	4	19	124	1	134	73	0	205	36	1	157	0	130	50	84	7	0	29	6	99	158	9	3	0	155	2	36	29	22	1	23	4	51	0	0	29	3	38	15	0	0	3	78	66	30	33	10	40	2	25	10	110	26	1	265	14	108	24	4	74	35	192	2
