"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"f__Selenomonadaceae"	1050	1142	532	1406	932	554	590	1707	365	219	1497	2027	1380	607	542	547	492	1094	994	1099	282	1216	291	1036	999	200
"f__Acidaminococcaceae"	653	390	596	567	1302	1027	809	704	767	376	829	1593	688	792	1052	833	207	793	768	1174	486	581	492	421	457	51
"f__Veillonellaceae"	432	259	276	454	1220	459	280	256	633	66	345	396	219	809	401	284	283	1013	1010	420	338	1012	264	641	815	35
"f__Prevotellaceae"	201	68	67	183	680	613	185	243	495	49	127	219	168	471	1356	335	147	393	555	313	369	734	811	3	342	2356
"f__Enterobacteriaceae"	280	1828	114	103	1174	164	3	67	260	2548	13	344	155	53	10	1	1090	0	13	285	1518	29	7	614	310	462
"f__Lachnospiraceae"	504	152	219	452	1088	495	555	322	578	216	489	1652	442	456	125	199	173	464	102	299	288	126	400	374	435	17
"f__Succinivibrionaceae"	504	11	1922	62	659	417	24	45	604	14	32	258	78	562	60	1466	1458	18	20	224	586	129	18	47	378	2
"f__Bacteroidaceae"	179	81	61	474	356	84	1032	291	83	350	227	895	566	70	142	97	72	80	307	39	26	22	745	301	76	283
"f__Sutterellaceae"	65	29	16	97	197	99	69	53	113	16	36	188	87	119	96	70	37	51	135	68	35	127	121	86	103	411
"f__Tannerellaceae"	86	30	32	87	204	46	85	20	59	51	85	55	37	40	50	54	22	68	30	25	42	3	317	37	38	19
"f__Fusobacteriaceae"	0	0	13	5	0	12	27	180	3	12	90	98	52	0	149	35	1	0	31	0	0	0	129	129	3	0
"f__Coriobacteriaceae"	9	2	77	18	53	9	52	18	12	10	120	15	12	4	12	27	1	3	2	1	2	9	241	105	7	7
"f__Clostridiaceae"	17	6	36	30	37	14	116	29	20	20	37	129	52	11	0	38	10	6	14	47	9	4	3	24	15	4
"f__Oscillospiraceae"	2	0	12	14	10	0	142	12	0	20	33	63	24	0	2	2	1	1	0	0	0	0	0	24	3	0
"f__Pseudomonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	108	3	0
"f__Bifidobacteriaceae"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
"f__Barnesiellaceae"	3	0	5	6	41	0	7	3	2	5	4	4	3	0	0	1	0	1	1	0	1	0	35	1	1	1
"f__Muribaculaceae"	6	0	2	9	23	4	7	1	3	9	2	3	3	2	0	3	2	8	4	2	1	0	14	6	2	7
"f__Butyricicoccaceae"	0	0	0	7	0	0	7	20	0	0	0	33	11	0	0	1	0	0	0	0	1	0	0	17	5	1
"f__Peptococcaceae"	7	2	1	2	5	2	4	1	0	3	21	9	5	0	0	3	1	0	0	0	1	0	0	3	2	0
"f__Atopobiaceae"	2	0	2	1	3	0	3	3	2	1	5	4	7	1	1	1	2	0	1	1	0	1	8	3	1	1
"f__Streptococcaceae"	0	0	3	0	1	0	0	2	0	0	3	2	1	0	1	1	0	1	9	2	1	2	15	0	0	0
"f__Acutalibacteraceae"	0	0	4	5	0	0	0	10	0	6	2	2	3	0	0	0	0	0	0	0	0	0	0	10	1	0
"f__Anaeroplasmataceae"	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
"f__Gemellaceae"	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	6	0	0	0
"f__Carnobacteriaceae"	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	7	0	0	0
"f__Eubacteriaceae"	0	0	0	1	1	0	0	1	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	1	2	0
"f__Erwiniaceae"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	1	0	0	0	0
"f__Morganellaceae"	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Rikenellaceae"	0	0	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Corynebacteriaceae"	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Aerococcaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"f__Campylobacteraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"f__Pasteurellaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
