"","Hera_2","JarJarBinks_2","Lambchop_2","Goose_4","Buddy_16","Marshmallow_41","JarJarBinks_44","Hamlet_67","Grogu_70"
"Hera_2",0,0.716666666666667,0.607666666666667,0.9825,0.343333333333333,0.437,0.3595,0.415166666666667,0.549833333333333
"JarJarBinks_2",0.716666666666667,0,0.877666666666667,0.9255,0.664666666666667,0.731666666666667,0.695333333333333,0.619,0.791166666666667
"Lambchop_2",0.607666666666667,0.877666666666667,0,0.9915,0.8145,0.838,0.601,0.643166666666667,0.861333333333333
"Goose_4",0.9825,0.9255,0.9915,0,0.8915,0.940666666666667,0.939,0.990666666666667,0.858
"Buddy_16",0.343333333333333,0.664666666666667,0.8145,0.8915,0,0.260666666666667,0.323,0.6565,0.455333333333333
"Marshmallow_41",0.437,0.731666666666667,0.838,0.940666666666667,0.260666666666667,0,0.364833333333333,0.683666666666667,0.475666666666667
"JarJarBinks_44",0.3595,0.695333333333333,0.601,0.939,0.323,0.364833333333333,0,0.640833333333333,0.5855
"Hamlet_67",0.415166666666667,0.619,0.643166666666667,0.990666666666667,0.6565,0.683666666666667,0.640833333333333,0,0.8265
"Grogu_70",0.549833333333333,0.791166666666667,0.861333333333333,0.858,0.455333333333333,0.475666666666667,0.5855,0.8265,0
