"","Buddy_16","Hera_2","JarJarBinks_2","Lambchop_2","Goose_4","Marshmallow_41","JarJarBinks_44","Hamlet_67","Grogu_70"
"Buddy_16",0,15.0270626305279,24.2471133465967,19.6734649426801,32.1261471931039,12.613423014498,14.9201858682806,21.6714249468724,16.9646561002437
"Hera_2",15.0270626305279,0,24.2449137907311,17.6645102866091,33.6488942035835,14.6251650511689,17.2000973503676,14.8750939664737,17.3131811178721
"JarJarBinks_2",24.2471133465967,24.2449137907311,0,25.1150143556214,37.0755703750658,23.2037674115695,24.3299224998355,22.6146186382836,25.7384418282253
"Lambchop_2",19.6734649426801,17.6645102866091,25.1150143556214,0,29.5748222395772,19.291097694008,13.6853848815078,17.6699691066937,18.122172616226
"Goose_4",32.1261471931039,33.6488942035835,37.0755703750658,29.5748222395772,0,31.1645552034448,31.1756572141669,33.8390775345874,26.5200255421943
"Marshmallow_41",12.613423014498,14.6251650511689,23.2037674115695,19.291097694008,31.1645552034448,0,13.5928895499744,19.7032099920179,15.8879930663067
"JarJarBinks_44",14.9201858682806,17.2000973503676,24.3299224998355,13.6853848815078,31.1756572141669,13.5928895499744,0,19.8295583154881,15.2612063697064
"Hamlet_67",21.6714249468724,14.8750939664737,22.6146186382836,17.6699691066937,33.8390775345874,19.7032099920179,19.8295583154881,0,21.1601515243069
"Grogu_70",16.9646561002437,17.3131811178721,25.7384418282253,18.122172616226,26.5200255421943,15.8879930663067,15.2612063697064,21.1601515243069,0
