"ID"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"g__Megamonas"	1051	1514	924	1514	848	2062	783	705	769	622	1334	1058	1675	777	1263	721	412	393	1569	456	598	1004	491	649	903	721	336	560	1712	617	1057	815	944	693	772	656	1073	1067	2442	421	1382	411	376	1354	1674	600	547	828	567	1233	1239	530	553	117	346	658	1467	709	524	743	1577	1225	292	375	945	439	36	698	828	404	572	618	392	1608	1183	1527	551	643	289	877	1243	1491	233	1304	583	573	725	343	862	293	1126	111	452	739	64	157	2800	312	578	712	103	1345
"g__Phascolarctobacterium"	574	497	877	308	0	298	1326	1015	752	752	767	0	621	1230	495	611	1054	1357	521	726	611	1036	650	710	1021	432	180	1043	465	519	836	1121	568	571	962	964	449	610	345	533	1023	863	454	320	1649	893	500	756	549	314	339	471	713	298	537	939	333	991	330	464	177	453	397	406	876	663	114	781	810	926	526	167	596	354	955	658	1001	389	847	394	706	659	521	607	790	735	588	717	640	1194	771	420	717	633	210	613	1257	699	262	713	305	828
"g__Megasphaera"	156	225	579	418	311	444	476	633	540	366	395	1508	592	321	444	983	134	426	617	232	125	393	1274	575	387	561	99	7	697	257	317	428	880	483	408	474	533	151	278	164	323	268	141	1404	1425	225	550	247	772	713	1687	443	200	193	173	193	1204	274	485	1475	1389	438	281	161	95	818	75	982	368	795	836	26	901	1454	858	355	475	531	189	1526	472	1094	251	934	146	828	637	223	385	237	908	109	408	904	66	1381	1755	787	231	447	53	331
"g__Anaerobiospirillum"	0	33	0	129	0	0	1	0	0	912	72	0	2	0	0	118	1	1	0	0	0	0	304	0	175	117	0	1157	0	0	697	1	1	0	119	0	0	1	0	1982	2	1311	0	0	217	821	1623	751	56	800	0	0	687	2859	1211	690	1	521	2045	51	0	0	1459	2438	1	86	3516	0	0	213	751	0	135	0	0	0	241	1520	780	0	71	0	2652	43	219	0	39	194	1131	1	0	2943	449	13	3484	1	0	1	792	0	3139	54
"g__Phocaeicola"	342	153	185	168	0	538	511	708	321	211	239	0	286	566	244	132	596	660	128	182	326	310	245	155	257	115	132	67	233	178	124	560	114	116	118	905	134	632	235	166	150	223	814	198	163	120	85	91	264	51	109	897	174	49	219	31	182	150	41	166	87	829	42	35	168	260	54	139	823	132	47	39	201	37	200	558	89	46	49	60	238	60	31	128	207	110	246	301	94	111	103	96	155	128	41	239	233	851	55	680	143	78
"g__Segatella"	8	19	33	38	1	0	18	17	56	314	107	0	0	34	57	200	10	11	35	249	17	35	286	289	69	375	19	563	37	159	60	15	99	140	386	22	281	24	1	78	734	205	0	230	508	599	169	605	497	78	212	0	894	62	635	1014	0	629	146	265	58	0	131	178	32	460	18	135	0	339	82	22	351	164	103	0	732	70	131	188	127	203	23	91	1199	462	348	1125	168	713	366	47	308	254	9	430	526	1	51	0	9	466
"g__Oribacterium"	190	120	226	221	0	134	226	256	152	260	119	0	198	127	120	460	132	427	222	529	91	165	214	293	147	374	75	155	129	266	99	242	256	253	297	258	356	112	147	54	1	115	125	120	865	152	147	98	325	105	176	121	105	205	90	95	152	158	144	227	121	70	224	59	76	305	60	209	291	253	247	17	498	202	184	121	96	211	104	73	335	218	118	283	126	188	277	87	111	290	379	82	194	280	49	132	565	334	82	289	73	172
"g__Shigella"	91	273	0	133	1193	0	6	3	0	52	12	491	0	2	0	0	1048	27	0	529	1378	358	67	514	142	407	2644	0	0	928	104	19	0	782	55	2	398	14	1	3	57	0	1	0	58	0	14	1	55	7	0	8	0	0	0	0	0	0	6	3	154	0	482	0	2	0	0	3	0	43	379	2	0	1	4	38	1	97	1107	3	0	1	0	0	0	1	0	0	2	1	1	0	255	0	0	1	0	0	1428	0	0	0
"g__Parabacteroides"	60	38	105	112	0	142	22	37	153	72	187	0	104	100	145	40	48	58	60	106	100	42	101	85	129	52	23	0	114	85	119	33	56	80	74	54	76	165	167	90	1	63	29	151	91	30	75	36	120	132	86	51	31	18	137	41	17	30	23	104	72	67	72	19	80	236	22	118	69	31	48	31	160	39	143	49	59	42	43	22	119	68	26	102	58	34	220	70	87	22	91	24	133	362	10	56	227	61	27	85	27	23
"g__Escherichia"	1	165	0	78	1552	0	1	0	0	22	4	666	0	3	0	1	23	0	0	362	27	5	31	339	84	256	163	0	0	600	74	23	0	505	35	0	235	1	1	2	110	0	1	0	67	0	10	0	78	8	0	11	0	0	0	0	0	0	4	0	167	0	305	0	3	0	0	6	1	30	231	2	0	0	8	67	0	68	43	1	0	1	0	0	0	3	0	0	1	0	2	0	154	0	1	4	0	1	95	0	0	0
"g__Sutterella"	24	15	17	30	11	10	9	24	26	51	38	99	13	70	26	105	3	19	52	96	34	7	45	31	9	54	10	127	21	48	10	38	24	55	70	43	31	25	17	11	44	20	339	60	171	73	24	75	149	18	58	130	110	3	63	30	55	74	22	63	77	358	33	63	17	93	7	24	102	122	19	9	108	21	45	203	57	29	35	58	96	47	4	76	77	117	122	34	29	148	92	9	143	61	1	33	108	101	38	87	1	72
"g__Bacteroides"	122	61	233	37	0	84	50	108	268	41	49	0	52	81	238	19	59	94	108	53	85	50	42	20	50	22	27	18	59	35	32	74	27	19	16	74	28	179	38	69	0	48	163	29	38	35	21	22	68	15	18	230	29	6	60	8	36	28	5	30	16	142	11	5	190	73	11	21	152	26	9	28	54	11	33	94	11	12	14	26	50	12	7	32	39	40	58	88	20	115	15	24	34	21	12	40	41	263	13	264	18	18
"g__Blautia"	546	268	51	224	0	85	65	90	18	35	63	0	114	66	67	5	72	61	39	41	142	88	35	34	150	53	62	42	32	26	43	7	14	33	82	64	102	328	56	9	0	28	46	32	51	10	19	10	23	68	6	121	7	9	24	44	32	11	38	8	25	9	20	20	16	38	5	448	18	11	55	3	30	15	30	32	8	111	26	22	21	46	28	13	11	14	14	10	45	67	22	7	53	13	2	29	76	69	98	91	4	26
"g__Xylanibacter"	0	0	266	0	0	0	0	0	369	0	0	0	1	0	394	77	1	0	219	0	0	0	0	0	0	43	0	87	232	0	1	0	617	1	42	0	1	1	17	0	0	37	0	0	151	119	0	120	122	0	0	0	184	0	69	39	0	94	0	94	0	0	0	12	0	133	0	0	0	18	0	0	132	0	1	0	230	0	8	1	318	0	0	145	119	1	303	208	66	0	0	0	0	392	1	0	0	0	16	0	0	91
"g__Prevotellamassilia"	70	58	0	80	0	0	117	69	0	82	116	0	0	222	0	89	51	45	0	73	126	122	76	72	63	44	49	1	0	45	105	99	0	69	65	125	38	112	0	168	0	80	0	0	0	59	42	139	0	31	0	0	112	22	162	35	0	67	36	0	0	0	42	20	91	0	20	85	0	122	25	44	0	0	108	0	58	51	21	139	0	0	7	0	121	240	0	148	52	339	0	26	148	0	9	163	0	0	36	0	25	77
"g__Wansuia"	100	47	89	18	0	16	52	18	38	32	18	0	30	48	19	118	17	33	34	43	23	16	30	29	52	111	11	42	31	26	24	29	21	16	70	32	25	43	14	16	2	28	53	5	125	17	39	15	55	16	3	58	9	38	13	12	26	20	23	104	10	24	61	11	26	72	7	15	140	89	43	10	93	6	15	49	7	44	27	27	34	15	13	33	10	37	37	6	33	57	15	18	57	31	12	44	50	84	11	59	28	16
"g__Citrobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	2035	0	0	0	0	0	0	0	395	0	0	0	0	0	173	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	0
"g__Succinatimonas"	33	30	37	15	0	24	44	30	24	19	22	0	23	35	26	29	101	61	23	65	26	63	4	10	46	22	8	27	16	43	43	29	4	15	47	29	14	36	14	23	0	20	98	2	66	37	9	65	22	4	5	41	46	3	19	15	23	79	5	20	4	20	6	24	74	11	2	18	31	47	4	8	15	3	20	25	172	2	8	19	13	4	3	14	98	41	12	129	35	27	10	4	8	3	1	36	44	21	34	48	4	217
"g__Clostridium"	105	54	40	143	38	42	46	43	50	28	90	81	61	60	38	27	22	51	29	15	43	38	17	20	59	18	5	4	9	21	43	43	56	20	31	25	16	44	44	29	1	32	43	1	55	6	8	8	16	13	2	24	10	33	13	18	52	14	2	22	1	17	14	39	41	34	12	9	40	86	10	8	37	2	3	21	8	6	20	22	1	4	19	11	7	33	19	9	39	25	1	23	12	17	10	21	7	32	10	51	12	11
"g__Collinsella"	28	8	2	15	0	7	6	17	76	3	41	0	11	36	25	7	5	8	4	5	3	36	0	24	20	0	46	5	9	4	5	1	6	6	3	89	10	41	13	2	14	43	61	51	23	4	10	2	17	134	7	29	1	11	37	6	123	3	16	17	8	44	10	2	8	21	0	192	3	4	7	3	10	18	4	9	0	27	95	5	4	11	0	3	14	32	81	2	38	2	10	0	45	7	1	374	83	10	9	14	11	2
"g__Enterocloster"	39	25	30	90	0	34	44	28	41	21	80	0	36	28	39	27	25	24	34	24	19	30	11	30	38	21	7	12	7	23	28	21	33	36	26	15	36	33	34	21	0	19	16	9	49	11	3	10	14	15	10	19	14	8	9	19	29	15	7	18	2	17	9	8	25	33	7	25	15	8	14	9	42	10	22	6	11	13	8	9	8	16	8	17	14	18	39	10	21	28	31	8	8	18	1	10	34	15	6	47	7	10
"g__Lacrimispora"	51	36	77	35	0	12	21	23	52	5	35	0	16	13	21	8	23	59	15	20	8	18	4	5	19	14	8	3	7	13	13	26	9	10	11	26	17	20	6	9	0	15	74	2	30	7	2	2	17	4	3	26	4	6	7	14	79	9	1	12	0	29	4	6	151	13	0	12	97	42	8	9	16	2	4	44	2	4	5	12	2	1	3	9	4	50	12	7	12	68	2	5	6	7	0	34	12	67	5	108	6	6
"g__Fusobacterium"	27	185	10	1	0	0	5	0	23	3	2	0	3	0	121	2	5	0	96	0	0	10	0	0	3	6	3	1	52	0	2	202	15	0	13	8	0	1	1	7	1	61	434	1	1	0	0	0	1	0	0	2	0	0	15	4	20	0	0	4	0	167	0	29	42	0	0	7	15	46	0	14	0	0	6	22	0	0	37	4	0	0	0	0	0	23	6	0	16	19	0	0	0	0	0	28	0	2	9	1	0	0
"g__Allisonella"	3	13	0	15	27	0	7	11	0	10	26	68	0	19	0	40	9	16	0	20	4	12	17	32	11	22	5	4	0	12	11	39	0	20	5	7	22	4	0	8	133	6	2	0	185	21	13	17	29	158	0	2	12	17	2	9	44	10	28	40	0	15	14	6	0	17	4	0	6	18	12	0	32	0	0	4	9	16	8	0	25	0	14	33	10	0	60	4	26	0	0	8	6	29	1	19	0	11	6	7	4	15
"g__Duodenibacillus"	6	15	13	37	2	15	34	55	14	20	34	3	23	26	8	22	21	21	9	37	17	28	6	16	11	10	9	10	1	25	29	11	3	26	15	4	10	17	25	25	6	6	17	3	37	15	20	22	11	14	6	10	25	3	12	10	8	24	17	9	4	15	32	10	1	19	5	9	6	26	3	0	16	1	19	5	17	7	7	2	13	5	4	12	39	10	14	10	7	20	15	7	23	8	3	5	14	31	7	31	5	17
"g__Succinivibrio"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	112	0	0	0	0	0	0	2	0	1	80	0	8	0	0	2	0	0	0	177	0	0	0	0	17	0	9	0	0	2	31	18	44	2	5	0	0	29	9	27	3	0	45	7	0	0	0	12	43	0	1	12	0	0	29	9	0	0	0	0	0	81	7	10	0	0	0	9	0	48	0	0	131	9	0	0	8	1	0	4	0	0	0	37	0	2	73
"g__Proteus"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	394	0	8	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"g__Mediterraneibacter"	74	17	7	8	0	2	14	20	5	0	3	0	5	5	7	0	34	17	20	0	23	34	0	1	1	2	27	3	2	0	4	23	26	0	5	44	3	46	1	2	0	5	3	0	7	0	0	0	6	0	0	28	0	0	0	2	17	0	0	1	0	1	0	0	126	2	0	0	4	5	0	172	0	0	0	23	0	0	0	21	0	0	0	0	0	3	1	0	0	7	0	0	0	0	0	11	1	3	0	19	0	0
