"ID"	"subject"	"sampledate"	"bristol"	"studyday"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"	"room"
"ginger_29"	"ginger"	2023-04-07	"2"	"29"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"washout-1"	"control-washout"	"room f"
"henry_29"	"henry"	2023-04-07	"3"	"29"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"joans_29"	"joans"	2023-04-07	"3"	"29"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"ginger_36"	"ginger"	2023-04-14	"2"	"36"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"washout-1"	"control-washout"	"room f"
"grogu_36"	"grogu"	2023-04-14	"2"	"36"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"washout-1"	"control-washout"	"room f"
"henry_36"	"henry"	2023-04-14	"2"	"36"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"joans_36"	"joans"	2023-04-14	"2"	"36"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"franc_37"	"franc"	2023-04-15	"2"	"37"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"washout-1"	"control-washout"	"room f"
"grogu_37"	"grogu"	2023-04-15	"3"	"37"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"washout-1"	"control-washout"	"room f"
"ginger_41"	"ginger"	2023-04-19	"2"	"41"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"washout-1"	"control-washout"	"room f"
"grogu_41"	"grogu"	2023-04-19	"2"	"41"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"washout-1"	"control-washout"	"room f"
"joans_41"	"joans"	2023-04-19	"2"	"41"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"marshmallow_41"	"marshmallow"	2023-04-19	"3"	"41"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"ginger_42"	"ginger"	2023-04-20	"2"	"42"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"washout-1"	"control-washout"	"room f"
"grogu_42"	"grogu"	2023-04-20	"2"	"42"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"washout-1"	"control-washout"	"room f"
"henry_42"	"henry"	2023-04-20	"2"	"42"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"ivy_42"	"ivy"	2023-04-20	"4"	"42"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"washout-1"	"control-washout"	"room f"
"ophelia_57"	"ophelia"	2023-05-05	"2"	"57"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"washout-2"	"control-washout"	"room b"
"wolverine_57"	"wolverine"	2023-05-05	"2"	"57"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"washout-2"	"control-washout"	"room b"
"goose_58"	"goose"	2023-05-06	"3"	"58"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"washout-2"	"control-washout"	"room f"
"wolverine_58"	"wolverine"	2023-05-06	"2"	"58"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"washout-2"	"control-washout"	"room b"
"goose_59"	"goose"	2023-05-07	"2"	"59"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"washout-2"	"control-washout"	"room f"
"hamlet_59"	"hamlet"	2023-05-07	"2"	"59"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"washout-2"	"control-washout"	"room b"
"iris_59"	"iris"	2023-05-07	"3"	"59"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"washout-2"	"control-washout"	"room b"
"ophelia_59"	"ophelia"	2023-05-07	"3"	"59"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"washout-2"	"control-washout"	"room b"
"iris_60"	"iris"	2023-05-08	"3"	"60"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"washout-2"	"control-washout"	"room b"
"wolverine_60"	"wolverine"	2023-05-08	"2"	"60"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"washout-2"	"control-washout"	"room b"
"hamlet_67"	"hamlet"	2023-05-15	"2"	"67"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"washout-2"	"control-washout"	"room b"
"hera_67"	"hera"	2023-05-15	"2"	"67"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"washout-2"	"control-washout"	"room b"
"jarjarbinks_68"	"jarjarbinks"	2023-05-16	"2"	"68"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"washout-2"	"control-washout"	"room b"
