"","Ginger_2","Padme_5","Padme_6","Ginger_7","Padme_7","Charles_9","Franc_9","Grogu_9","Henry_9","Ivy_9","Buddy_11","Joans_11","Padme_11","Ginger_14","Buddy_16","Buddy_17","Ivy_17","Padme_17","Buddy_18","Ginger_18","Ivy_18","Franc_19","Ivy_19","Ginger_20","Buddy_21","Joans_21","Franc_22","Grogu_22","Henry_22","Joans_22","Marshmallow_22","Franc_24","Ginger_24","Henry_24","Ivy_24","Marshmallow_24","Henry_25","Ginger_29","Henry_29","Joans_29","Ginger_36","Grogu_36","Henry_36","Franc_37","Grogu_37","Grogu_41","Joans_41","Marshmallow_41","Ginger_42","Grogu_42","Henry_42","Ivy_42","Buddy_44","Franc_44","Ginger_44","Ivy_44","Joans_44","Marshmallow_44","Buddy_45","Franc_45","Grogu_45","Henry_45","Ivy_45","Joans_45","Marshmallow_45","Buddy_46","Charles_46","Ivy_46","Joans_46","Marshmallow_46","Franc_47","Ginger_47","Ivy_47","Marshmallow_47","Buddy_48","Charles_48","Franc_48","Grogu_48","Ivy_48","Joans_48","Marshmallow_48","Charles_49","Franc_49","Ginger_49","Henry_49","Ivy_49","Joans_49","Marshmallow_49","Buddy_50","Charles_50","Franc_50","Ginger_50","Grogu_50","Ivy_50","Joans_50","Charles_51","Franc_51","Joans_51","Buddy_52","Charles_52","Ginger_52","Grogu_52","Marshmallow_52","Franc_53","Marshmallow_53","Charles_55","Ginger_55","Ivy_55","Buddy_56","Franc_56","Grogu_56","Joans_56","Buddy_57","Joans_57","Ginger_58","Henry_59","Joans_60","Marshmallow_60","Joans_62","Henry_66","Ivy_67","Franc_68","Grogu_70"
"Ginger_2",0,0.463192932974735,0.438386931325556,0.470000267642789,0.406858378796623,0.468819365214567,0.419913276420727,0.492369140550336,0.486122575138642,0.506370639198266,0.393825320425197,0.384212697860641,0.480354210692509,0.441724118995848,0.490392457498208,0.36027891021362,0.459064024058542,0.526493178112264,0.422465022722223,0.398339427502013,0.515992558748731,0.415668164417567,0.519207476160173,0.44920916746496,0.423251521195344,0.497422767054898,0.489445604129688,0.390810731477892,0.422790152927459,0.413266005919654,0.429032449034096,0.495732833414698,0.476750998439361,0.448856302689621,0.583583913940814,0.49806068512007,0.430477071074489,0.421816518427111,0.448267249272144,0.39794729536094,0.498595969683489,0.349607290862416,0.463782722380025,0.466580401257322,0.4187827625224,0.413943609944549,0.488281873063556,0.526643708403291,0.454032408019826,0.359443328346578,0.500476769135061,0.482227625054692,0.463653719487237,0.489314513004411,0.458538284331238,0.548868406773481,0.539577789878972,0.466939918336671,0.422076924582123,0.519439751483706,0.450022057671735,0.487336367680632,0.4963911605957,0.417770084180076,0.391996494147582,0.491266347034854,0.460450820085463,0.518397490057361,0.433054956337901,0.319980389565662,0.434191351337861,0.49724201436338,0.477890999421462,0.412357925040386,0.395223353808886,0.458436194335565,0.592109044363598,0.395179107233702,0.485310557305758,0.444744547423512,0.448999765668009,0.466298853229774,0.551615500615431,0.502346950175543,0.471395633064212,0.433374116674313,0.460935498765057,0.373641190560806,0.437803482288752,0.504851218835044,0.537344068174454,0.488339184689406,0.444970439455634,0.566182544897065,0.476779777869953,0.535917231741885,0.521649151532362,0.521266666367816,0.42970282263421,0.495849701998338,0.449386055223761,0.398633701143919,0.441256127002657,0.492515553823103,0.370574924554203,0.44179684344225,0.581200687876664,0.473580918684819,0.465330725300408,0.544005845415394,0.371234876290586,0.398714042779355,0.35939600843393,0.298609418965532,0.522144137598796,0.493504912590662,0.444283266139434,0.431331660773383,0.415937272111992,0.459901757927521,0.460132669794888,0.443759695537786,0.443620429342007
"Padme_5",0.463192932974735,0,0.226411779034419,0.463527682343744,0.267743323691622,0.345147795659589,0.438239465997137,0.452005655924247,0.405385227653971,0.458129190283701,0.29335301968951,0.338771990739627,0.338826440299218,0.464133040644161,0.519983187846665,0.36997279063881,0.397766113617155,0.526446151700852,0.52518407362739,0.356819909123354,0.421183758601931,0.4533501421598,0.407994740362772,0.305891384869684,0.348187597125882,0.490279769106413,0.430260010526339,0.497530850998387,0.377784079700989,0.329411059085178,0.435100517563039,0.424289419346231,0.493987997219254,0.339725189343625,0.416655923081534,0.429084005392016,0.356130161504868,0.46124830738475,0.312134669049709,0.414156462407868,0.387157513787071,0.474673038391823,0.344918489300115,0.404147999666839,0.432827475428696,0.514617125182684,0.425740602788296,0.532931374611627,0.340182518789996,0.430064554346474,0.42818894404083,0.387779990634538,0.408098159208958,0.35665735164725,0.51407362638135,0.472499813247399,0.448565953305814,0.371936161826137,0.431445658847549,0.458594682728004,0.403576293115529,0.492038956694899,0.413391373960373,0.510908775082005,0.449511182886676,0.39196965550222,0.357815392279125,0.409543194251143,0.458999635186261,0.457536400801062,0.401304659103186,0.473117296519867,0.407936217412167,0.369646432316939,0.371770562218938,0.368116826044947,0.517277332925863,0.513114776341816,0.400311200208692,0.338950305561306,0.446989881928162,0.385750541745382,0.457497928425904,0.441414984507951,0.298023125931068,0.370359511554588,0.475557793931557,0.411187864100496,0.318972762425057,0.246567374131491,0.546912633916986,0.446459728836708,0.463026803407439,0.485920268040138,0.469658647056121,0.293567977848834,0.451061240882072,0.481619038122072,0.385209606911086,0.340872709154821,0.489300206551083,0.456539473922124,0.358571797258828,0.40947957132136,0.548117321968339,0.322437604059479,0.482440517199305,0.385320373531139,0.381712445189099,0.435249563139564,0.476001925967798,0.445906647012652,0.376264027361129,0.412201966501138,0.502628213690263,0.346872513057461,0.433381800411309,0.370534870412086,0.426797413929838,0.370763832279029,0.429197885137985,0.40598114990595,0.525398969657597
"Padme_6",0.438386931325556,0.226411779034419,0,0.485474534795021,0.313216122394561,0.321733766547017,0.462059080791022,0.457281692507556,0.378412807760736,0.491672242909668,0.309731464314052,0.379439910059629,0.328729734817249,0.524764765182584,0.568407828081049,0.382622594864674,0.439625170312878,0.550730775827129,0.5186811185737,0.399914990328871,0.380780096379756,0.489951369660792,0.413188953645166,0.389473171750417,0.366013533080925,0.515325525008033,0.436760539998042,0.505145765273653,0.397925963306505,0.327537732217684,0.45625250449526,0.435703926939321,0.503414798957569,0.387347509220999,0.443686710818907,0.471727967585992,0.395122451692819,0.522917397316141,0.367333358640592,0.396467308641463,0.460742411266143,0.494024833113094,0.38610686883017,0.427633351811034,0.471790312109624,0.527871384913427,0.484522301188985,0.549435116095411,0.384623234970649,0.447108735629255,0.482779068098853,0.38151489262502,0.425632848738354,0.377803845211131,0.555684995667222,0.519817779994367,0.521164766689255,0.421423520963942,0.481607660393554,0.516622925637672,0.45445497290769,0.543442786487395,0.428454901096288,0.508532978740434,0.473322438692044,0.449172371565357,0.388441491634048,0.47214612132325,0.500227015741989,0.452775829929985,0.427189983908626,0.492235906378684,0.399393731580485,0.394802996584787,0.380884995163344,0.354101613679372,0.553169153983768,0.509693797364412,0.389114250933158,0.343355668286655,0.468859462198097,0.35659546037155,0.47761618232255,0.508686229253429,0.342794688464904,0.412179649406787,0.498694654871023,0.413764280515702,0.358844748294937,0.313506337388075,0.562676338091861,0.487097054571702,0.451981207095842,0.532499511383958,0.494039389208446,0.314676342312072,0.479031538834883,0.494055678356122,0.396636999168315,0.302928272143004,0.515293770195112,0.46372736914951,0.389534932252952,0.453438334165492,0.534739383623348,0.348101461740664,0.542925372866398,0.395265204749556,0.393903865261116,0.455459973354054,0.479713483535438,0.461369004571419,0.392614004574186,0.471456996095358,0.53673067862802,0.423412656775701,0.491698546855497,0.386048973765692,0.480239643901211,0.434567301243648,0.465399699086135,0.417781500584694,0.538576625953687
"Ginger_7",0.470000267642789,0.463527682343744,0.485474534795021,0,0.547060117297926,0.512938521275335,0.318305370500162,0.493581372616444,0.425988310781418,0.361660155768506,0.436975553182001,0.40812162664439,0.536151348889354,0.35786163051654,0.489124737119102,0.394938379385784,0.465009308799118,0.581970333323443,0.490016557036107,0.444891492954211,0.433301073060386,0.474284340025477,0.45887758249113,0.361317536197645,0.472277505615993,0.495363354736689,0.460123778228766,0.471868803089753,0.376215367846634,0.488445001638772,0.419470587020796,0.477467843350043,0.342888672437253,0.365046551651951,0.446920039003662,0.377366224001036,0.432833463148695,0.348663662024813,0.367620922242381,0.472837369309164,0.295208980478241,0.492571794733901,0.400373868156678,0.46193177223616,0.469357939580743,0.54118100840233,0.467110178046722,0.528324913330169,0.381682297307908,0.419492872540021,0.287791397323066,0.495410736388317,0.51217497071862,0.432112753516756,0.361436899467164,0.466357952080257,0.448123665248821,0.357767443529565,0.478597395603705,0.467139097054485,0.407111545306128,0.333127683794471,0.46754061096835,0.524415270591672,0.473463515331173,0.52686006689856,0.486232983435319,0.42430739534168,0.471741014156992,0.370275575807493,0.438008165142295,0.227299326875812,0.422321669865551,0.316733113759656,0.47984236327736,0.550668212805908,0.486287603848198,0.439944761577967,0.452942885359116,0.394743155823356,0.344358523654995,0.554537234711216,0.455707698913502,0.269905521447978,0.380452641801915,0.473815409667498,0.420651434065058,0.357740591342759,0.451918086719975,0.524153993275321,0.428980160309253,0.257841480210971,0.422106980641439,0.439718716338816,0.483969039214734,0.517186630347218,0.473343293255454,0.479386865823174,0.461068960743739,0.52726755147072,0.324612875679431,0.449066822024177,0.397408029863428,0.441807123881787,0.51497621553458,0.461474501860935,0.283660999507893,0.418393395833388,0.440530542628233,0.470515341577974,0.498011560213033,0.489522976747862,0.431016091305901,0.482957970631634,0.244687102186861,0.430135907237992,0.397369593424527,0.403813441269922,0.453125587910195,0.400633954274097,0.465451659426758,0.480829018436958,0.459813949610092
"Padme_7",0.406858378796623,0.267743323691622,0.313216122394561,0.547060117297926,0,0.289753695759322,0.438434792677969,0.376740224751319,0.420571968996371,0.437514127759844,0.305105499713469,0.426101109841795,0.277364752295441,0.450203479697155,0.524466193125049,0.339793655580363,0.441975378412542,0.511323929586725,0.545251243469203,0.429658391915378,0.421146905890977,0.399396366737032,0.427967475515685,0.377134297529303,0.376137241476933,0.557138142839516,0.44118832705088,0.408208892791572,0.365305914455948,0.249671728711626,0.405604262382364,0.411662618923154,0.449122603343435,0.341012481152569,0.448467071306052,0.431296658717063,0.331273881707614,0.423917108688404,0.325395281260577,0.352923119671346,0.412429573208543,0.379280443737104,0.367170346866464,0.348852937230751,0.409633738109494,0.424871663078584,0.480431298033194,0.494193663946775,0.386177728277092,0.379505015426037,0.461888227689647,0.335732688603742,0.331291796347689,0.38058733838665,0.492262258826909,0.507667481999957,0.538044637649937,0.42199277005402,0.485688297115756,0.49408363348615,0.443099664614929,0.468740814206544,0.386273849308942,0.485532114068235,0.357975548041862,0.441518692361866,0.361452024813272,0.41515775637356,0.431244192027395,0.460643900246822,0.371209503463166,0.505864515752749,0.395161086478984,0.424381820440456,0.345649474859784,0.230954271324764,0.544954567455167,0.434898424490016,0.362692416017261,0.437065409043037,0.470334802167314,0.356489439531188,0.487739728453014,0.451161759607101,0.362860996551122,0.322828291633993,0.491052068022718,0.424779154891252,0.351242426063718,0.282977027413149,0.537159413668463,0.473213845480681,0.416310152482656,0.505566187923589,0.459760803487833,0.38454506406137,0.447068902668917,0.524077837320037,0.317242789883798,0.255777757487576,0.452511574470875,0.372594575529606,0.382944887405651,0.409140632532326,0.46832587730684,0.261051016791676,0.530956959374393,0.356641944043484,0.469129001475995,0.437903911501245,0.383534682351441,0.436946598966933,0.349726367762195,0.359610346981128,0.51631559051033,0.448664434357371,0.428155833143705,0.449769778105467,0.479198116858469,0.340605990587016,0.37789217347425,0.393809565348989,0.484528489437279
"Charles_9",0.468819365214567,0.345147795659589,0.321733766547017,0.512938521275335,0.289753695759322,0,0.444966151101982,0.449824002606375,0.417388373134786,0.465228422970713,0.339484306087657,0.468352296388968,0.201187353650922,0.466604004268119,0.590488678301201,0.397530457369756,0.501367503851849,0.51194244677215,0.499535519219725,0.401670853845421,0.387789063350495,0.468417401687249,0.402339086833382,0.364978056189033,0.370409140270108,0.509527031011562,0.462347525476913,0.461458347350715,0.381134625885619,0.370207967135144,0.449406867294979,0.470712290102092,0.434000509411377,0.335295189896506,0.419045171793644,0.418217785941843,0.330287059940186,0.443195280809918,0.33341244587501,0.437556265584922,0.389379963431561,0.446008940835346,0.366166870011613,0.421895262892938,0.435543002630834,0.49324243379812,0.478958034450994,0.501858709200093,0.387168415350454,0.473308157156071,0.448055922644211,0.381887273827038,0.412091011684782,0.377971115700161,0.517410583135782,0.541420392511855,0.50932672936283,0.414942113262594,0.516148127502311,0.534061625356601,0.431211713371144,0.511257411165451,0.426766733828433,0.539797383354987,0.434840041284987,0.467495714504988,0.398398596381421,0.406293470856311,0.502291300919118,0.502768887832001,0.438158730635896,0.490829816305208,0.37826225737313,0.420504634832095,0.415582659998469,0.22458236373563,0.578023399953284,0.482281807853377,0.44165466641304,0.405798739799427,0.452262781187883,0.278600721801598,0.50177967967842,0.459357213537407,0.339777325587007,0.37282976477568,0.529420612227164,0.46169687445718,0.36530351342865,0.276981719387626,0.561417072319468,0.470607930587509,0.410237722500508,0.548364417013033,0.511597791672683,0.341093665854422,0.477080449677116,0.532689018398581,0.388084671462944,0.258841553653884,0.456410303106167,0.44004609757997,0.431704529209843,0.484912607042667,0.494623232673359,0.277960750890344,0.506530048693106,0.401312076494483,0.452200591241701,0.45925087869413,0.429033897547108,0.505758854500408,0.358698893097839,0.48355538310596,0.485990740021643,0.425222930202891,0.465381790190288,0.456330226367638,0.506456406240949,0.363527617201692,0.413770689980081,0.417697045131344,0.495640936868515
"Franc_9",0.419913276420727,0.438239465997137,0.462059080791022,0.318305370500162,0.438434792677969,0.444966151101982,0,0.446659124372426,0.499185644459895,0.334784037806782,0.391969370780798,0.41371129450882,0.459954797002396,0.352328261148414,0.493311831614077,0.382865991164705,0.444369417247851,0.600677808465583,0.510879089391046,0.499212146868146,0.512342555194618,0.433102071094976,0.525864108617753,0.447387042758822,0.420671381805904,0.536840153660794,0.428035569443433,0.354897522186419,0.408205001911497,0.384758817855439,0.399060798418749,0.482736998631374,0.394110549010795,0.402311790028116,0.497347473258811,0.322605155156758,0.438076464549927,0.380950399578864,0.431464223624942,0.464109493090554,0.37083213165576,0.345226030078267,0.384536464562886,0.426682894520998,0.346880392169693,0.394958586588989,0.414068280662798,0.534614862301068,0.431758215392072,0.32389965410415,0.376615424782089,0.505223744474524,0.49804718314682,0.467133308581828,0.409339639531668,0.47679877674518,0.42733508024151,0.314172744399015,0.472500578704571,0.481838540503393,0.343694265302397,0.395041794317475,0.459469086911167,0.420113868899644,0.361300847849113,0.495144928605704,0.433191413880875,0.393029105828885,0.392869231525163,0.363783174590686,0.390202043723147,0.37259462235221,0.458762030147997,0.32668069313374,0.387996263914204,0.481366922667577,0.470996138203201,0.377000959104598,0.443186123368263,0.44811998119052,0.312681982822085,0.514745476482681,0.42612803586827,0.303516895978296,0.387602518099297,0.433491031416705,0.411559557502534,0.322790006649051,0.41111283614645,0.446452764184159,0.430164255467672,0.377103338841745,0.334064687653134,0.424334254335285,0.44243135132516,0.508272972710672,0.453671141172616,0.477391901019331,0.413043478158279,0.455658757550593,0.381043321729942,0.351319242320943,0.425748809538042,0.435052515947838,0.403746080068419,0.423277250101623,0.402856453220195,0.449935237204029,0.461991783316079,0.479379471639202,0.383960452616146,0.455770207540925,0.403151008616314,0.39422455028212,0.289615267809559,0.474729458397204,0.361140415027684,0.364709884843641,0.486991671468383,0.445558441920903,0.420326752541991,0.434227018131071,0.40793168402838
"Grogu_9",0.492369140550336,0.452005655924247,0.457281692507556,0.493581372616444,0.376740224751319,0.449824002606375,0.446659124372426,0,0.45754062652169,0.319138412449132,0.365170281920839,0.441627308204681,0.412923345498005,0.442351398801092,0.511917675113102,0.395718780908071,0.359148666368014,0.603268002423379,0.616462845036188,0.521383820753304,0.375102105244729,0.258237004990333,0.39323504694146,0.410112513845425,0.44688204965121,0.605030169500106,0.369347991660991,0.387254125239969,0.363794574895122,0.336860298750354,0.409327726444369,0.309857940331118,0.41413486602966,0.371934361755609,0.3447008644397,0.414695243543351,0.348546014531369,0.42017354111582,0.349829161027795,0.417680013151751,0.388076334002462,0.446028999633035,0.343575395471364,0.176012876018554,0.435429251089361,0.473267664339964,0.512517056401852,0.45215946621795,0.414080682012979,0.403518721840711,0.399932635170461,0.281128336682582,0.338735749666209,0.396741924012394,0.415739999711727,0.40446614702782,0.533984267960274,0.39196536286217,0.57331424236282,0.361669901791021,0.430577649219139,0.452973884353981,0.317743120474532,0.526198946823239,0.36434873553879,0.392277214683484,0.349448682657435,0.350768992117541,0.524176911310804,0.504532285753077,0.300710011598967,0.465586620465177,0.349033875350161,0.448201856655626,0.414081334148504,0.408511383522739,0.387169377702875,0.413879456378963,0.311160747912713,0.475954961409861,0.411040194817844,0.517038958377302,0.437486568873129,0.427108910964147,0.410288546721528,0.287681819206489,0.495502608977096,0.472867869417233,0.410728132115743,0.419257209313228,0.37262810283886,0.456730277650269,0.430728286334744,0.398058072713918,0.501023631105001,0.469507487222492,0.350465410257498,0.509675226366918,0.337361412613319,0.378392910295876,0.420999701181185,0.376685598478853,0.41021553580628,0.419963329474588,0.471159472563918,0.316310457506144,0.468367785132128,0.288630970745421,0.427256600864904,0.346859599733241,0.399568939386601,0.492025075926539,0.421910287328488,0.390276664918459,0.450243886708246,0.486541255979857,0.463057422468751,0.444086991669701,0.540635762568209,0.391844964298596,0.22440069346537,0.33704635486557,0.440671309927934
"Henry_9",0.486122575138642,0.405385227653971,0.378412807760736,0.425988310781418,0.420571968996371,0.417388373134786,0.499185644459895,0.45754062652169,0,0.442502650729335,0.415418617130582,0.468957699490752,0.398568204558121,0.434115795906994,0.577938106597601,0.396566414369865,0.517847758528789,0.434068680944049,0.459184617054977,0.365405588690623,0.368192813984772,0.513287155654009,0.360869756209398,0.347767238869157,0.434006886330859,0.477740419345207,0.515315704094622,0.450151455443803,0.412867654916482,0.465368988967101,0.483619100364844,0.496999825785234,0.445034096678002,0.330777294883024,0.414771821054475,0.434874621011209,0.371662442231209,0.44437667582701,0.325308488682731,0.515156199645803,0.353087600227962,0.519166980935011,0.437640789975017,0.465670042752751,0.536134662213478,0.552180975029946,0.510486528945241,0.563710816852992,0.424017340787671,0.509609770838727,0.409064631698741,0.387866071563252,0.50605032330476,0.34923203798267,0.475102826956048,0.560230938695759,0.600067634266934,0.46630247569561,0.558351816358999,0.564226816199041,0.489875780241257,0.448594618988131,0.438840358209075,0.612829427200103,0.465188369156883,0.563482724549331,0.486327838636277,0.40169795592858,0.575509925937337,0.494481385131876,0.469279568890026,0.406440632037615,0.363522680799349,0.479049204676727,0.495623609383744,0.460914106769919,0.610678665027932,0.516638652010077,0.407909660832817,0.398697316060746,0.528404567337542,0.425569501023802,0.57831099299217,0.499806623756504,0.414325746918732,0.376445805327456,0.565914824421602,0.479101170390057,0.43853862512867,0.415182297279871,0.612649569066374,0.421197606183872,0.468755559191481,0.581209582811887,0.592554617679336,0.422537108462585,0.523352126361732,0.594353631668562,0.458280309304683,0.434761553465217,0.469003831126876,0.497408242851729,0.463384893830706,0.529708701650832,0.484541830435981,0.377518451554212,0.479384521797563,0.389384520161855,0.467897970507039,0.479833717347775,0.462237386093068,0.536140332134597,0.447303711182379,0.54048881092851,0.507444431288111,0.453418609362559,0.537114392626095,0.540267894642879,0.474466255468142,0.373083117064769,0.441518043688683,0.488192573840807,0.544782699177734
"Ivy_9",0.506370639198266,0.458129190283701,0.491672242909668,0.361660155768506,0.437514127759844,0.465228422970713,0.334784037806782,0.319138412449132,0.442502650729335,0,0.39094987555008,0.444532249779546,0.479612393353088,0.358029754446752,0.453704423068315,0.40595310235052,0.39708484422659,0.610217232696143,0.61358929930003,0.534541092111752,0.456979576318212,0.366600228453998,0.448292784387819,0.429903275779935,0.424033907394864,0.605054696871084,0.362385530072345,0.297741294244686,0.328087631925954,0.374377266381874,0.329786766491165,0.380250912369005,0.385644115474741,0.3630488749771,0.383778704217675,0.242744487363598,0.359213580381071,0.363451984904734,0.366600818704011,0.457017469509248,0.33702227688492,0.367077098628035,0.313619538425473,0.274965540797094,0.32738454427466,0.397605574719303,0.450437524737614,0.454687539495738,0.392665202026933,0.289646023156091,0.343063739053856,0.418587954664863,0.412035862549122,0.398274694613785,0.36654142825677,0.399205024897775,0.438182066187494,0.259199087567548,0.531104756770471,0.383982668864868,0.318284213192175,0.408669243591867,0.347902428552474,0.475949653944114,0.285296290949798,0.421283786041526,0.385773519663465,0.334470194552287,0.451543845526147,0.427585298784694,0.319382418357004,0.395991030296756,0.373785104259074,0.322431239901382,0.416425001203863,0.485527764520509,0.40566289163285,0.342106739571294,0.398023455142538,0.469879551594922,0.248485527085821,0.530606105813901,0.375204717312937,0.33209405577951,0.384656214457301,0.381844402797386,0.450652028566727,0.367734806997358,0.416096427080838,0.437726692066894,0.430890850259874,0.389148827000475,0.323752396958674,0.389977963063732,0.449708894828994,0.45689863908892,0.399415886757606,0.478136587224111,0.394743580123803,0.42719880948107,0.416761538741753,0.273047512669347,0.343407211666914,0.408686349028024,0.389493007078965,0.377985274817745,0.303435699840424,0.388301551272026,0.460934144560355,0.368141036376216,0.308693332257947,0.499989577115029,0.419840902060937,0.412815407856293,0.331345342178499,0.489873659294402,0.388591379375773,0.308413126467815,0.529764326326851,0.407574595648087,0.280588348578276,0.34693072026583,0.399476587112694
