"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.3185	0.37675	0.198	0.23	0.347	0.127	0.20975	0.30275	0.31625	0.3715	0.189	0.12075	0.05775	0.26225	0.03525	0.01125	0.05325	0.002	0.148	0	0.021	0.064875	0.01525	0.0595	0.28625	0.1295	0.023	0.242	0.04925	0.10175	0.129625	0.06225	0.1115	0.25775
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.20225	0.1515	0.14775	0.07075	0.0725	0.17275	0.0935	0.075	0.071	0.15125	0.11375	0.20875	0.11575	0.1455	0.02825	0.0695	0.01575	0.05075	0.18425	0	0.14525	0.239	0.0995	0.04125	0.17375	0.1935	0.06425	0.1015	0.02375	0.20025	0.087625	0.10275	0.09525	0.23025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	5e-04	0	0.105	0.00125	0.033	0.04225	0.043	0.0455	5e-04	0.00175	0	0.00075	0.2345	0	0.30825	0	0	0.00075	0.00225	0.392375	0.26125	0.00075	0.24125	0.31875	0	0	0.28125	0.219	0.39	0.01025	0.174625	0.09175	0.00575	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.00075	0	0.06475	0.002	0.02925	0.0305	0.027	0.0245	0.00025	0.00125	0	0	0.1485	0	0.19875	0	0	0.00175	0.001	0.19825	0.14675	0.000625	0.1445	0.181875	0	0	0.18175	0.1385	0.212	0.00875	0.096875	0.046	0.0035	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0	0	0.018	0.00025	0	0.00625	0.18575	0	0	0	0	0	0.0165	0	0.21775	0	5e-04	0.57475	0.01875	0.000125	0	0.189625	0	0.000125	0	0	0	0	0	0.0105	0	0.1675	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella copri"	0.0785	0	0.136	0	0	0.00475	0.12	0.01825	0.0355	0	0.00025	0	0.00125	0	0.00675	0.2395	5e-04	0.00325	0.04825	0.000125	0.02925	0.008875	0.10425	0.065375	0.011	0.000375	0.044	0.0145	0.0205	0.11775	0.097625	0.04425	0.1435	0.00025
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0405	0.0145	0.014	0.0185	0.0615	0.04575	0.057	0.0035	0.24725	0.0605	0.01525	0.0265	0.04325	0.0585	0.008	0.0055	0.008	0.00125	0.07475	0	0.0015	0.061375	0.0015	0.047	0.0445	0.03175	0.0015	0.004	0.03675	0.032	0.007	0.01775	0.04125	0.04
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0385	0.07225	0.044	0.009	0.01375	0.00975	0.03425	0.00325	0.0255	0.01675	0.025	0.0145	0.00875	0.0285	0.00575	0.0095	0.0155	0.00125	0.07675	0	0.03	0.015625	0.023	0.02425	0.0835	0.088625	0.00875	0.0025	0.01825	0.08575	0.020875	0.0255	0.03975	0.02525
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0445	0	0	0.088	0.0475	0	0	0	0.0125	0.08175	0	0.0855	0.00025	0	0.0155	0.18	0.001	0.1725	0.00725	0.000125	0	0.00025	0	0.00025	0.04575	0.00025	0	0	0	5e-04	0.042875	0.0075	0	0.0555
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.00525	0.0025	0.00275	0.32725	0.055	0.17	0.0015	0.04675	0	0.024	0.007	0.00025	0.03875	0.001	0.001	0.0025	0.00075	0	0	0	5e-04	0.014125	0.00025	0	0.00575	0.00025	0.008	0.0025	0	0.0055	0.025375	0	5e-04	0.00225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.008	0.021	0.01275	0.02	0.014	0.06075	0.002	0.0125	0.0135	0.01525	0.021	0.02975	0.019	0.00725	0.00275	0.014	0.058	0.0095	0.006	0.000125	0.017	0.036375	0.0285	0.000625	0.0095	0.004	0.02925	0.00275	0.001	0.07725	0.027125	0.0315	0.01925	0.01325
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.02475	0.01875	0.00825	0.012	0.023	0.00825	0.02375	0.005	0.02075	0.02025	0.012	0.02125	0.008	0.0165	0.003	0.005	0.00275	0.001	0.0635	0	0.0105	0.025	0.006	0.010625	0.03675	0.06675	0.0075	0.005	0.01175	0.0165	0.002125	0.024	0.04975	0.0255
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.02775	0	0.01875	0.0055	0.00375	0.00575	0.0115	0.00575	0	0.01125	0	0.027	0.01075	0	0.008	0.129	0	0.045	0.015	0	0.06875	0.028375	0.019	0	0.02575	0	0.0235	0.01025	0.00025	0	0	0	0.05975	0.0175
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.02675	0.024	0.00925	0.00975	0.01825	0.0075	0.017	0.0035	0.0295	0.0195	0.0085	0.01925	0.006	0.019	0.0025	0.0135	0.005	0.00175	0.0765	0	0.009	0.017	0.00775	0.011	0.03325	0.053	0.00725	0.0025	0.01	0.01725	0.000625	0.0235	0.0385	0.02
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0	0	0.01825	0.00025	0.00425	0	0.00775	0.00875	0	0	0	0	0.00025	0	0.058	0	0	0.00025	0	0.039875	0.051	0	0.0555	0.06175	0	0	0.04975	0.03825	0.07925	0.0015	0.033125	0.015	0	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0	0.02275	0.00425	0.00025	0.00025	0.0235	0.00525	0.15675	0.03075	0.00025	0.0395	0.003	0.00625	0.012	0.0055	0	0.01225	0	0	0	0.00075	0.008375	0.004	0	0	0.017125	0.011	0.014	0	0.01175	0.099125	0	0	0.00125
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter gnavus"	0.00325	0.0025	0.00875	0.0205	0.0325	0.02675	0.00025	0.0655	0	0.0095	0.00125	0.02	0.001	0.0055	0	0.00025	0.00075	0	0	0	0.01325	0.00125	0.061	0	0.00325	0.0015	0.095	0.05775	0	0.00675	0	0	0.00025	0.00925
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.01175	0.0345	0.002	0.00775	0.0045	0.01875	0.0055	0	0.00575	0.01025	0.02425	0.03925	0.0115	0.00775	0.00975	0.014	0.03025	0.007	0.01275	0	0	0.01475	0	0.002	0.01325	0.01225	0.00025	0	5e-04	0.02675	0.005625	0.01275	0.0515	0.02775
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0145	0.032	0.0045	0.01425	0.0215	0.0255	0.00875	0.001	0.024	0.01	0.0115	0.0675	0.00875	0.0465	0.00175	5e-04	0.008	0.00025	0.019	0	5e-04	0.00775	0.00125	0.0015	0.0075	0.005	0.00125	0.00075	0.002	0.00375	0.000125	0.00525	0.01025	0.05725
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.00025	0	0.014	0.00025	0.012	0.01125	0.00325	0.006	0	0	0	0	0.0385	0	0.0305	0	0.00025	5e-04	0.00025	0.035375	0.033	0.000125	0.03425	0.04175	0	0	0.03075	0.026	0.05125	0.00275	0.02125	0.01325	0.00075	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00975	0.005	0.008	0.00125	0.007	0.0015	0.00875	0.00175	0.01925	0.007	0.01175	0.00225	0.0035	0.02375	0.0015	0.00125	0.00225	0	0.031	0	0.018	0.01025	0.01475	0.023375	0.023	0.06275	0.00175	0.00125	0.0145	0.024	0.006	0.01725	0.00925	0.007
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.011	0.005	0.01525	0.0055	0.00375	0.0045	0.011	0.0075	0.02375	0.0155	0.00975	0.006	0.003	0.00325	0.012	0.03025	0.00225	0.01475	0.014	0	0.005	0.00475	0.004	0.01	0.016	0.015125	0.007	0.00425	0.005	0.01125	0.0165	0.01925	0.03225	0.0055
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00325	0.01025	0.002	0.001	0.00175	0.0045	0.0035	0	5e-04	0.0045	0.003	0.00325	0.004	0.00075	0.005	0.11525	0.10275	0.02525	0.00425	0	0.00175	0.00275	0.00125	5e-04	0.012	0.0045	0.001	0.00025	0.001	5e-04	0	0.00625	0.01125	0.00375
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.01125	0.01625	0.03025	0.00275	0.005	0.003	0.02375	5e-04	0.007	0.0045	0.006	0.005	0.002	0.00875	0.00225	0.001	0.00175	5e-04	0.0205	0	0.00825	0.0055	0.00925	0.00975	0.02525	0.016	0.004	0.00175	0.00725	0.0465	0.005625	0.00975	0.02475	0.0095
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.01	0.0085	0.02425	0.00125	0.00425	0.00125	0.015	0.00175	0.01475	0.00625	0.0055	0.003	0.00275	0.009	0.00225	0	0.00025	0	0.03125	0	0.012	0.007125	0.00725	0.019625	0.0225	0.027375	0.00275	0.00125	0.01125	0.03625	0.002875	0.0175	0.018	0.00575
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00075	0.006	0.00125	0.0025	0.00225	0.007	0.00175	0.00775	0.00725	0.003	0.025	0.012	0.00325	0.014	0.00275	0.0035	0.0755	0.007	0.00075	0	0.00775	0.013125	0.01775	0.008375	0.00125	0.010375	0.019	0.00475	0.00125	0.003	0	0.01125	0.0395	0.00225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	5e-04	0.001	0.001	0.003	0.00075	0.01	0	0	0	0.00125	0.18275	0.00625	0.00325	0.05125	0	0.00225	0.0095	0.00125	0.00025	0	0.00075	0.0025	0.0015	0	0.00075	0.00125	0.0015	0	0	0.0015	0.001125	0.0215	0	0.002
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.0085	0.0025	0.00725	0.0065	0.0285	0.002	0.004	0.053	0.0185	0.0225	0.00125	0.001	0.0045	0.011	0.00025	0.00275	0.004	0	0.00325	0	0.00275	0.00425	5e-04	0.003375	0.011	0.005	0.00075	0.014	0.002	0.00225	0.02125	0.00925	0.003	0.00125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	5e-04	0.00275	0.00225	0.00425	0.00175	0.00575	0	0.006	0	0.00125	0.049	0.0245	0.00275	0.013	0	5e-04	0.0465	0.001	0	0	0.0055	0.006	0.01175	0	0.00025	0.000625	0.01775	0.00425	0	0.00025	0.00075	0.02525	0.00025	0.00925
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00925	0.00925	0.00625	0.00525	0.0085	0.00675	0.004	0.00525	0.00525	0.004	0.00525	0.01425	0.00525	0.00825	0.00175	0.00125	0.001	5e-04	0.01575	0	0.0035	0.020875	0.001	0.002125	0.0055	0.017375	0.00475	0.005	0.0025	0.0065	0.003	0.011	0.00825	0.0275
