"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Catenibacillus"	0	0.000444444444444444	0	0	0	0.000888888888888889	0	0.000222222222222222	0	0	0	0.000666666666666667	0	0.000888888888888889	0	0	0.000222222222222222	0	0.000444444444444444	0	0	0.000222222222222222	0	0	0	0.000111111111111111	0	0.000222222222222222	0	0	0	0	0.000222222222222222
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.00177777777777778	0.000555555555555556	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000888888888888889	0.000222222222222222	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0.000666666666666667	0	0.000111111111111111	0	0	0	0	0.000222222222222222	0.000666666666666667	0	0	0.000444444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Gluceribacter"	0	0	0	0	0.000444444444444444	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000222222222222222	0	0.000666666666666667	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0.000555555555555556	0	0.000111111111111111	0.000222222222222222	0.000666666666666667	0	0	0	0	0	0.000222222222222222	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000888888888888889	0	0	0	0.00111111111111111	0	0	0.000222222222222222	0	0	0.000666666666666667
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia"	0	0.000222222222222222	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.000222222222222222	0.001	0.000222222222222222	0.000333333333333333	0	0	0	0	0	0	0.000222222222222222	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0.00266666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella"	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0.00233333333333333	0	0.000111111111111111	0	0	0	0.000111111111111111	0	0	0	0	0.000111111111111111	0	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Qiania"	0	0	0	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0.000111111111111111	0.000222222222222222	0.000222222222222222	0	0.001	0	0	0.000222222222222222	0	0	0.000222222222222222	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter"	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0.000333333333333333	0.000222222222222222	0.000777777777777778	0	0	0.000222222222222222	0.000222222222222222	0.000111111111111111	0	0
