"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00125	0.0065	0.00125	0.006	0.00525	0.00875	0	0.004	0.00025	0.00325	0.00375	0.01575	0.00175	0.00925	0.00025	0.00075	0.0015	0	0.001	0	0.00025	0.004875	0.00675	0.000125	0.001	0.001	0.002	0.00575	0.00025	0.00375	0.000375	5e-04	0.006	0.008
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	5e-04	0.00025	0.00075	0	0.00025	0.00075	0.005	0	0	0	0.00075	5e-04	0.00075	0	0	0	0	0	0.08025	0.00125	0.0015	0.00075	0.00025	5e-04	0.000125	0	0.00175	0.00025	0	0.00025	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00075	0.002	0.00025	5e-04	5e-04	0.0035	0	0.002	0	5e-04	0.00925	0.00275	0.001	0.00175	0	0.001	0.01025	0.0015	0	0	0.0035	0.004875	0.007	0.000125	0.00125	0.00075	0.01175	0.00125	0	5e-04	0.0025	0.005	0.003	0.0025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae"	0.00275	0.00275	0.00275	0.00275	0.00375	0.00625	0.00075	0.0055	0	0.00275	0.00325	0	5e-04	0.00675	0	0.00125	0.00025	0.00025	0	0	0	5e-04	0	0	0.00325	0.010875	0	0.00325	0.001	0.0055	0	0.0025	5e-04	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00075	5e-04	5e-04	5e-04	0.00025	5e-04	0.00075	0	0	0	0.007	0.00275	0.001	0.00325	0	0.0025	0.00675	0.00075	0.00125	0	0	0.003125	0.00025	0.00075	0.00025	0.001875	0	0.00025	5e-04	0.00275	0	0.00075	0.0035	0.0025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0.001	0	0	0	0	0.0245	0.00025	0.003625	0.00075	0.00225	0.00025	0.000125	0	0.00025	0	0	0.000625	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00175	0.00575	0.00025	0.00025	0.00075	0.00375	0.00075	0	0	0	0	0.00475	0.002	0	0.00025	0	0	0	5e-04	0	0.00025	0.001375	0.00025	0	5e-04	0	0.001	0	0	0	0	0	0.0015	0.00725
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.00025	0.002	5e-04	0	0.00025	0.00025	5e-04	0	0.00025	0	0	0.0015	0.00025	0.00025	0	0.00025	0.015	0.00025	0	0	0.00025	0.000125	0	0.00025	0	0	0.00025	0	0	5e-04	0.000375	0.00075	0.00075	0.00125
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.01425	5e-04	0	0.00025	0	0	0	0.00225	5e-04	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0.006	0.00875	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0.00075	0	0	0	0.00075	0	0	0	0	0.002	0	5e-04	0.00075	0	0	0.007	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae"	0	0	0	0	0	0	0	0.00825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae"	0	0.00075	0	0.00025	0	0.00025	0	0.001	0	5e-04	0.00025	0.00075	0.00075	0.001	0	0	5e-04	0	0	0	0.00025	0.000875	0.002	0	0	0.000125	0.00025	5e-04	0	5e-04	0.000125	0	0	0.001
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae"	0	0.00025	0.00025	0	0	0.00025	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0.00675	0.00025	5e-04	0.00025	0.000125	0	0	0	0	0	0	0.000625	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	5e-04	0.00025	0.00025	0.00025	0	0	0	0	0.00025	0.00025	0.002	0	0.0035	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0.00025	5e-04	0	0	0	0	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.005375	0	0	0.00075	0.000375	0.00025	0.000375	0	0	0.00025	0	0.00025	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0	0	0	0	0	0.00025	0	0	0.00025	0	0.00025	0	0	0	0.00025	0	0	0	0	0.00025	0.001	0	0	0	0.001	0	0	0.00025	0	0	0.00075	0
