"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacillota"	0.76825	0.783	0.561	0.4535	0.7245	0.5015	0.529	0.573	0.847	0.752	0.4475	0.66225	0.298	0.8135	0.099	0.14325	0.133	0.06175	0.83175	0.1915	0.31225	0.5795	0.285	0.28075	0.825	0.81225	0.241	0.494	0.21625	0.652	0.296625	0.375	0.54275	0.8005
"k__Bacteria|p__Pseudomonadota"	0.0335	0.0445	0.243	0.0165	0.0995	0.13625	0.29225	0.10475	0.038	0.0675	0.02175	0.03325	0.5755	0.01075	0.84375	0.1925	0.1195	0.661	0.05225	0.700875	0.51425	0.222625	0.496	0.63475	0.04175	0.030375	0.56075	0.4345	0.758	0.056	0.360875	0.3705	0.06475	0.02475
"k__Bacteria|p__Bacteroidota"	0.18875	0.1305	0.1845	0.15075	0.08675	0.16225	0.16875	0.09475	0.082	0.14	0.47825	0.28975	0.0795	0.15275	0.04975	0.636	0.4585	0.27	0.1145	0.000625	0.1715	0.1705	0.2135	0.083125	0.126	0.13925	0.178	0.054	0.02575	0.2685	0.19025	0.24925	0.37575	0.16775
"k__Bacteria|p__Fusobacteriota"	0.0065	0.02575	0.0075	0.37525	0.0835	0.1975	0.00675	0.2265	0.03075	0.03725	0.04775	0.00325	0.04575	0.014	0.00675	0.0035	0.01325	0	0	0.00075	0.00125	0.024125	0.00475	0	0.00625	0.0175	0.01975	0.017	0	0.01775	0.1375	0	5e-04	0.00375
"k__Bacteria|p__Actinomycetota"	0.003	0.0155	0.004	0.004	0.00575	0.00175	0.00325	0.001	0.00225	0.00325	0.0025	0.0115	0.00075	0.00775	0.00075	0.02475	0.26875	0.00725	0.0015	0.106125	0.00075	0.00175	0.00075	0.001375	0.001	0.000625	5e-04	5e-04	0	0.00525	0.01475	0.00525	0.01625	0.00325
"k__Bacteria|p__Mycoplasmatota"	0	0.00075	0	0	0	0.00075	0	0	0	0	0.002	0	5e-04	0.00075	0	0	0.007	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Campylobacterota"	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	5e-04	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0
