"","jarjarbinks_15","kubo_15","iris_17","kubo_17","lambchop_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","lambchop_18","wolverine_18","ophelia_19","wolverine_19","goose_20","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","goose_22","hamlet_22","hera_22","iris_22","kubo_22","hamlet_23","iris_23","korra_23","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","buddy_44","franc_44","ginger_44","ivy_44","joans_44","marshmallow_44","buddy_45","franc_45","grogu_45","henry_45","ivy_45","joans_45","marshmallow_45","buddy_46","charles_46","ivy_46","joans_46","marshmallow_46","franc_47","ginger_47","ivy_47","marshmallow_47","buddy_48","charles_48","franc_48","grogu_48","ivy_48","joans_48","marshmallow_48","charles_49","franc_49","ginger_49","henry_49","ivy_49","joans_49","marshmallow_49","buddy_50","charles_50","franc_50","ginger_50","grogu_50","ivy_50","joans_50","charles_51","franc_51","joans_51","buddy_52","charles_52","ginger_52","grogu_52","marshmallow_52","franc_53","marshmallow_53","charles_55","ginger_55","ivy_55","buddy_56","franc_56","grogu_56","joans_56"
"jarjarbinks_15",0,0.197177002441063,0.192566203318709,0.167579371892276,0.516356416296196,0.213482664561051,0.17214113835752,0.196973785239269,0.240844018702028,0.241015246725777,0.167781244343281,0.419044606350172,0.199873334498816,0.205434338631809,0.228901165747577,0.201726199375869,0.262835163627646,0.190594594495962,0.184142383730804,0.255640747334868,0.271710992688139,0.161668470705522,0.235260495331988,0.226644266006175,0.166846470723963,0.23334428594136,0.498037859032114,0.309293827471521,0.217757341581598,0.227689160829673,0.183127527093016,0.240140461959631,0.283917041409847,0.221400828246859,0.195493452328369,0.155709948014924,0.238300809329691,0.348277196463043,0.279723956144971,0.330109331226914,0.232685925214179,0.210471955209702,0.300202720567045,0.33395025432415,0.290486283957597,0.249668782483882,0.289839719367666,0.270664103663041,0.287941744052013,0.354408572874142,0.510194147114658,0.382145111868374,0.30549555423554,0.27046120329902,0.274567932369004,0.401238498081164,0.21448935409636,0.304789547910317,0.241506150017773,0.422341693372373,0.454691765794363,0.201594097398296,0.260763361163021,0.596945565736104,0.198820904698971,0.224862884966241,0.3263951280816,0.475386080694782,0.233476058938845,0.309691680638527,0.199972815935023,0.181901899846665,0.310894138095392,0.340242016706187,0.390766989055454,0.260193321371358,0.208109673052858,0.265732687131733,0.483317687757392,0.208219157647971,0.352212142104999,0.235253631314117,0.251881014139684,0.401486855348885,0.249600544846135,0.282794821500526,0.202645118015382,0.507177314996567,0.27226231051483,0.265618085057397,0.594871737522032,0.287904490954847,0.228449492714642,0.240760724738385,0.439150289957247,0.187429602901273,0.531365735570214,0.227507364991315
"kubo_15",0.197177002441063,0,0.22066006815204,0.0943797445549293,0.413361535933573,0.208002323873632,0.209092995731697,0.228137527765965,0.281865954435132,0.245423587809267,0.169695235268485,0.280812074442101,0.163304623603014,0.234881712276825,0.224649793422286,0.19633292941638,0.250467480183855,0.240558512061634,0.168008945447616,0.244829023654113,0.261540413811418,0.125046717550996,0.219193409800497,0.196248206182088,0.12751393005325,0.207814927284624,0.408374257344436,0.30875858669725,0.205202816614375,0.153516210030195,0.187725192929492,0.257366738848709,0.214876319835335,0.268055266830413,0.139241772393611,0.240700006968272,0.191289796908834,0.341276732169173,0.276569698495583,0.304464544982285,0.233157423031169,0.194155589183205,0.295039813903795,0.273986495669143,0.281069534516355,0.268071368848962,0.180208890104281,0.234432592873488,0.279861226991314,0.347703628650636,0.437121075299202,0.381873451622439,0.298258240706631,0.199558295373101,0.259744556322576,0.327914321223244,0.23641779765932,0.180931771292283,0.221437162462978,0.325071487911063,0.38121741171194,0.17580781968204,0.297662729286896,0.520454126410373,0.248511534496367,0.20857495340301,0.218301961166481,0.381474147333691,0.280631203384536,0.233309618742583,0.207952107083348,0.157815073116923,0.291314614287362,0.266306069067805,0.299762888388661,0.180965901102445,0.211322860663408,0.197137386575317,0.404655164072804,0.195211594544387,0.359896869241115,0.240696032883894,0.288244776233624,0.402336491755692,0.219218389271679,0.323685739682843,0.21567647359906,0.434449764935626,0.251182167124299,0.280333579752074,0.518366517323385,0.309288297523314,0.205653136075806,0.302605424611926,0.336303818661079,0.256192331430495,0.460114619992302,0.190891820979226
"iris_17",0.192566203318709,0.22066006815204,0,0.190159803399003,0.507976456643698,0.148098165409307,0.101877653588949,0.0826526180369084,0.10458006123905,0.200517866363455,0.113691804438558,0.370276894643881,0.15947704394207,0.108940985095392,0.101075326741351,0.148665331866574,0.24989580639872,0.114078425759414,0.113648748604947,0.254948326248009,0.292605919939912,0.145050532808093,0.14531073678737,0.197180121594321,0.138761169062641,0.208560906434368,0.511765827120758,0.250785343422236,0.11809469410166,0.205662465618364,0.107129724520556,0.0865673416051014,0.277832906606609,0.130184549430644,0.180036051510865,0.153446582528608,0.211485279265308,0.348462221939933,0.254147152910349,0.292641749536902,0.177483683489111,0.140270666885836,0.212643082070637,0.314349509338759,0.206127546369934,0.148985209259926,0.247815462039592,0.210118873112631,0.237149175903331,0.271107215066977,0.50134376564895,0.311808114303242,0.22287173247261,0.230718668229909,0.175235696911865,0.383382967269252,0.135256485616521,0.267201796177625,0.171896848946723,0.417390192399045,0.445563503585925,0.141810594568332,0.144857610748915,0.585082812499454,0.118135691691003,0.152226823560518,0.30340948120781,0.483690056254805,0.134968373692986,0.248065541172645,0.136609651826854,0.14272955270976,0.190339635276263,0.339124138366694,0.390543466903147,0.210590746469918,0.0713230805071393,0.199767082073914,0.473249196214494,0.139771592985273,0.274268103998935,0.136116754872592,0.134885792487481,0.316732256017158,0.2316941055522,0.197196614059358,0.130728175298371,0.502347969753179,0.225197761968316,0.114107431661889,0.582820696310797,0.175631815445431,0.162735648046441,0.167161965050129,0.442282904097566,0.129624798486131,0.52920935942424,0.135522624856025
"kubo_17",0.167579371892276,0.0943797445549293,0.190159803399003,0,0.447642321431648,0.171337711405125,0.17667437352095,0.196236702606858,0.257951236010393,0.223601793291045,0.12920395100585,0.303977376424698,0.129860537350329,0.21303774503069,0.219729404304609,0.148520842015385,0.276757597710451,0.199950228843374,0.151550284996707,0.236326181368938,0.283184146997699,0.119885740366149,0.183475400273097,0.192545414667108,0.104653743085753,0.199839860331681,0.446606285245027,0.307507131757638,0.183264609209921,0.14322882602229,0.191398991001245,0.231882769742615,0.215138064199435,0.239697704437852,0.132251346236375,0.22053885055717,0.161258886283063,0.34121981356911,0.283487453263589,0.341864717487532,0.185369625860422,0.145342499025207,0.290687043615372,0.267099209645506,0.277242748891295,0.229106360052033,0.174093101010788,0.190724640810405,0.279857949431145,0.345012957067296,0.44897730204499,0.374906196079308,0.299505981352595,0.185649797211187,0.251603272204795,0.328298253861232,0.191310726089318,0.167918122387301,0.22117869688242,0.347195091604491,0.402194098656524,0.204916265119005,0.257917626266419,0.539793665927083,0.220730407294251,0.186636311499453,0.241167293541946,0.424158955186264,0.222248796400371,0.214027108394031,0.16743333297778,0.14860800103308,0.277582821244073,0.263601653558391,0.34490857989525,0.169886941949788,0.17255404530856,0.17906107561809,0.43014912437164,0.151327090850977,0.346362104283331,0.217622760703297,0.252475121056735,0.395837673722174,0.207181441897424,0.313245971723204,0.173710434403926,0.457899348567794,0.24359697115717,0.244840770275382,0.538367270270815,0.293382109892676,0.161295183022739,0.270065233703121,0.367912715006115,0.211314632389873,0.479343074565976,0.166951176513208
"lambchop_17",0.516356416296196,0.413361535933573,0.507976456643698,0.447642321431648,0,0.49745191452708,0.499160774160977,0.504497870775043,0.509060706215675,0.389053709268649,0.479998380343724,0.255649991758931,0.498614715189152,0.494631920235792,0.504597836408346,0.478191011883993,0.328818463317672,0.524938882912638,0.499593251011011,0.360274582810106,0.267536219403019,0.423915409908726,0.462478958986289,0.353844106175012,0.430969957711016,0.366917729252736,0.104340611130384,0.391065275331023,0.497377266321444,0.371719315934194,0.484008736730346,0.514735381122134,0.266270862002127,0.511806831244573,0.387025717399861,0.515133682423942,0.497097180330911,0.296662247440561,0.368739286229475,0.435178873258984,0.4907312154716,0.480833040004001,0.419177201632442,0.312396622086894,0.406225148435073,0.484474522221714,0.389768723940837,0.489888159120934,0.41191147095298,0.44017324787362,0.267268002792241,0.406446340001417,0.445799197398235,0.486335680100301,0.43699448653649,0.265513545960377,0.495980847009647,0.422523580458926,0.464516975795458,0.22731368659177,0.251448088032347,0.427281262550283,0.517906737782386,0.310758326872055,0.499257688708833,0.46598112237038,0.306619448962158,0.192548027150311,0.519042911701179,0.493905173959997,0.488362224075365,0.4607670399322,0.461419656490042,0.293271136134947,0.229220447850218,0.418559388839013,0.491511833051934,0.493538608696057,0.229083318043449,0.48931980171972,0.490197131224057,0.475987729048759,0.503528331500035,0.497180083633291,0.356343148029809,0.534747533889114,0.497417799254257,0.271476455915138,0.363830061192195,0.508952921833292,0.299225746763554,0.529385092966097,0.502642804860438,0.527733734841893,0.150876693031424,0.510222441899529,0.290884935152818,0.457174327202797
"wolverine_17",0.213482664561051,0.208002323873632,0.148098165409307,0.171337711405125,0.49745191452708,0,0.124993805330204,0.149972628682377,0.197967534361274,0.243222744451061,0.105768474334142,0.346115678410001,0.0975777499136894,0.157530380744735,0.159281507300517,0.209883548085003,0.267285990120271,0.180985394541032,0.108767605211717,0.306642270423826,0.303978232900711,0.166041381181433,0.180856123715726,0.244319453845176,0.169788418975867,0.260947913552987,0.502658178195684,0.300388128854142,0.0725040431587817,0.222503431429878,0.144201391457996,0.180190391036284,0.30302699516023,0.194511899704664,0.216530322810385,0.194946288629644,0.0899186384546644,0.361161611343013,0.289328580309243,0.315448708436018,0.130831704082485,0.202603135357243,0.287579427750007,0.332337774005296,0.274188956428546,0.234515864084754,0.232723852888787,0.174650583515554,0.256927271549661,0.337919709953709,0.501138672505883,0.363877796337311,0.292940119381743,0.176244779598365,0.249986285264547,0.386504558102391,0.152954982591833,0.202825282686327,0.172283381010449,0.428970888079012,0.454950284343958,0.220145522136927,0.238306225306446,0.57825077013842,0.187204865063651,0.226972029693014,0.331176699944059,0.481369315775817,0.233545856627377,0.190786768741999,0.123406552452018,0.0957756020112084,0.271389047624771,0.352269559293227,0.41773554664752,0.204438658028852,0.13629444090876,0.163585221018762,0.47613379029806,0.13750540459528,0.338413826950951,0.219288543569619,0.220859625827227,0.377475973894064,0.258807718693048,0.299559808937445,0.1417381899961,0.503207624886433,0.264784306089312,0.199879736201006,0.575106068343773,0.242999720758547,0.141161179122767,0.230751905630391,0.439088709568852,0.189051796035069,0.520534672450101,0.151165311998376
"hamlet_18",0.17214113835752,0.209092995731697,0.101877653588949,0.17667437352095,0.499160774160977,0.124993805330204,0,0.0741832863073481,0.175388903103006,0.194077883241353,0.0920493935612436,0.353904983709344,0.137216879435699,0.0896253183165461,0.177972526478572,0.153109994652888,0.21122078330027,0.0868991356269936,0.125405071461068,0.253149666045119,0.266148822173222,0.10332767377447,0.148596516819626,0.196508411396777,0.116992699427183,0.219468022785555,0.493301235930835,0.253295609710152,0.133216592123002,0.193891170388756,0.0622233805116928,0.157428102038216,0.266199060340862,0.121768803984057,0.189444783292479,0.171406212102081,0.186531241790742,0.336256294379441,0.250583590313983,0.309245054398494,0.174488022910588,0.14220259976985,0.248197595039088,0.309547667860962,0.241185565854651,0.20123872502092,0.245390431006741,0.204579919691212,0.249634672267245,0.307644933574061,0.489125566817004,0.349515613595688,0.254124956084023,0.20914806426769,0.204006470324837,0.3722083569539,0.12981708734396,0.250421164976559,0.197005423277782,0.407616793745618,0.441029873144015,0.177278973845998,0.201440865595766,0.574377935954552,0.148130189893838,0.150115605814584,0.296534622628666,0.471652222487033,0.195288833067033,0.236514592309357,0.110281903373283,0.11680637436298,0.228581233018385,0.32485765498393,0.381348705795347,0.194333930041147,0.122646327994473,0.188328523404996,0.461113080091135,0.141698397023062,0.307819777174834,0.172268848755837,0.192084935909827,0.35468724736359,0.235223820699567,0.220072370201577,0.127023421323805,0.489627120265882,0.230916780114711,0.173355545411146,0.572548712928602,0.213693773747277,0.156336336506146,0.197821329273286,0.429525294006385,0.154298805526693,0.513803443252281,0.138800848289672
"hera_18",0.196973785239269,0.228137527765965,0.0826526180369084,0.196236702606858,0.504497870775043,0.149972628682377,0.0741832863073481,0,0.134620513073086,0.197346244737728,0.121329378188652,0.364163277920047,0.170770057660102,0.0637285284189597,0.143210195347395,0.157033717613165,0.209346703497333,0.0700368899419495,0.161153021272377,0.254911988529581,0.273542541079147,0.130787395538682,0.143508564450052,0.192620314337482,0.130776397103379,0.220962736673472,0.493900120678885,0.254067678507029,0.164719961263427,0.21221266495797,0.0749196518077786,0.120735090950758,0.265045172106044,0.0732642184493465,0.194031682707743,0.127558462513378,0.225686124857442,0.343657146569722,0.25573869937312,0.254522083106049,0.196971449661644,0.16175410566283,0.207104106555186,0.309814010689915,0.207324983739746,0.145081702911286,0.249573056690889,0.229247331204572,0.192206463280529,0.269569480118181,0.49117986332269,0.308449144486839,0.216486510445768,0.234907786233209,0.163329291485561,0.373483113131532,0.151814086685014,0.271861923715403,0.146435509596477,0.409319912739898,0.441964653427898,0.161257724034748,0.144579324436023,0.574745208980666,0.098621550073095,0.151043355267192,0.290726556405195,0.47579794509804,0.144903417939454,0.263970977266991,0.14332513055205,0.137155501130916,0.188419158731672,0.322628255307113,0.385023320882507,0.222124181723443,0.105564388523419,0.218375496173116,0.463412023313498,0.166918132493254,0.267958122524146,0.126630401687922,0.137495300330156,0.316072734773793,0.246434674242516,0.191020075741126,0.151393983517001,0.491617447471077,0.225419017321507,0.128709160831987,0.573107140557516,0.168695259148001,0.183279119721086,0.130347867324665,0.431452861125664,0.0950099630209686,0.514950231331728,0.156102669725739
"iris_18",0.240844018702028,0.281865954435132,0.10458006123905,0.257951236010393,0.509060706215675,0.197967534361274,0.175388903103006,0.134620513073086,0,0.216487126013071,0.16762077122526,0.407854432948836,0.229425564136704,0.12002400826541,0.0654410115077918,0.217732005529324,0.262719138763983,0.17216616935238,0.186606833376937,0.282518755869301,0.298580031408917,0.208290409835437,0.190525979084624,0.215485078050104,0.198128372483923,0.238537640127675,0.503416609017558,0.259264980945019,0.176838197463207,0.241072867843303,0.164342503485032,0.113601994590805,0.290953569599893,0.0906161527741222,0.224989456446533,0.118843147364252,0.26166922399447,0.352814586502729,0.25942531871808,0.260911767038055,0.225040483775067,0.222868530329405,0.193561211714171,0.320103120500181,0.187536115457426,0.125304422127223,0.278364972284981,0.267691398322337,0.184108460252821,0.203698493977942,0.501237838213943,0.233565718244511,0.178008254724473,0.277847207500223,0.165140544707586,0.384645280638241,0.19247318924988,0.323043850219572,0.153404590706023,0.422292497678239,0.443844367820091,0.175948289762283,0.103658186202353,0.579840460116457,0.118993393852877,0.195915353704557,0.321785210145998,0.482096426505746,0.159584503609047,0.307932313673162,0.20460444982456,0.190747472449198,0.140692157773978,0.348301555422104,0.382832750716095,0.263098153563388,0.127020893741766,0.264717611236821,0.473615975830636,0.210914160398186,0.206592719194875,0.130370739990588,0.0749387713439038,0.245777179507114,0.241087604245063,0.149398165927517,0.203168846428769,0.500820751125945,0.229616908659768,0.0942397355080276,0.577724495821042,0.158538012321117,0.223359355558802,0.126208548182619,0.443220400782162,0.127209620155051,0.525066574807852,0.185370174283828
"jarjarbinks_18",0.241015246725777,0.245423587809267,0.200517866363455,0.223601793291045,0.389053709268649,0.243222744451061,0.194077883241353,0.197346244737728,0.216487126013071,0,0.175452487562859,0.317917407239848,0.267878109485725,0.202162361206776,0.229625372708246,0.178554467824085,0.139571984532159,0.209003207037164,0.230981902756384,0.123923424483325,0.166746936428197,0.179211527072203,0.130396313982782,0.10722825150798,0.162438797176716,0.108953488695907,0.381294623547724,0.0938392026150038,0.229743344788987,0.116851584313927,0.188859942984591,0.229943748610283,0.14448664605351,0.2098965189748,0.156243359307598,0.234331930858119,0.293779763983269,0.180448711608654,0.0879813663015449,0.233445746610973,0.255554504528485,0.200605954739597,0.0959104531470369,0.142594157023598,0.104162382905569,0.173621553138827,0.190431073360516,0.28745963873383,0.185020167234186,0.16863934457159,0.325065591348664,0.178284078449859,0.142594460815732,0.322397238808968,0.115671368982612,0.208868151611385,0.199435058606563,0.308027981974014,0.228326819207936,0.231695191036803,0.265727675390249,0.172498197738647,0.195539913520878,0.412999659442698,0.206651827728113,0.130323616546031,0.159754425354073,0.35599028072619,0.186403669456189,0.332794909343876,0.222226645658716,0.194192199436219,0.167823967913924,0.163729670314133,0.222156841312506,0.23646363091845,0.179793420516496,0.281692166504499,0.297940339748546,0.227532777160797,0.230344472362034,0.171507048732128,0.195185940735859,0.273119250380197,0.0892888086552417,0.223674124047581,0.208511364034213,0.329420577256562,0.0756673725815884,0.206795282621791,0.411034236769123,0.235584017068733,0.240980476118604,0.232742716101608,0.269693344962228,0.204528937646437,0.357908046326662,0.155806188877825
