"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","grogu_37","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"ginger_29",0,0.213460315836202,0.223105680654236,0.195265705690803,0.563093881280244,0.15913111547066,0.196656961478637,0.588157704504664,0.568841377293119,0.220746922223479,0.563949530010063,0.342298705152717,0.408588186347163,0.132118629298844,0.42011261739369,0.352957929470709,0.343783396840758,0.196125122867015,0.226988710275409,0.139090709308619,0.248165742592052,0.220451908784528,0.388293721491695,0.355078808688773,0.153585539824062,0.546190405981548,0.148285258763274,0.198554352134394
"henry_29",0.213460315836202,0,0.210121886364643,0.0884521223369906,0.507258002142976,0.148528189650967,0.137770505028598,0.534245476024521,0.516099869488344,0.218609623583557,0.44802468745479,0.1579782512013,0.365477457970508,0.124178931699552,0.312712495839605,0.216760965401605,0.264995612309314,0.209099654508405,0.222493834043948,0.175528771603421,0.104858480886309,0.163986635585068,0.204280617335415,0.266636202308927,0.16472501940196,0.410168910280483,0.312842462044857,0.111440418105061
"joans_29",0.223105680654236,0.210121886364643,0,0.240576558566182,0.36656299653393,0.223620668652169,0.26012129910211,0.390856886612233,0.371001017592936,0.166278095322542,0.569525301465648,0.264909465266357,0.244271672676654,0.233000360896241,0.422814789630782,0.366210527965599,0.213270697765579,0.120869168304358,0.187952722560741,0.143561119403337,0.260368377263738,0.284193873802143,0.297626537997308,0.391815200464228,0.199613747119422,0.534338015614054,0.295027504640594,0.187905324349781
"ginger_36",0.195265705690803,0.0884521223369906,0.240576558566182,0,0.534332441004416,0.131950360957832,0.0989929782639873,0.559510589958739,0.540798452744038,0.192417932328912,0.462823046973155,0.199652522220991,0.384670402881802,0.090833166214856,0.331301342298905,0.240700376260609,0.305547017825882,0.220540542464373,0.261558079745113,0.162783104266686,0.111851720518227,0.128180282134064,0.258036329573671,0.261477247407189,0.169870595217151,0.437520067032361,0.310827237642975,0.0940988397951165
"grogu_36",0.563093881280244,0.507258002142976,0.36656299653393,0.534332441004416,0,0.550766565621583,0.570420193286976,0.0289496318866558,0.0181354026554216,0.480665401614604,0.577483198998114,0.429753348121318,0.154299945822265,0.55013703514078,0.554900294636744,0.54703535234506,0.365204223777648,0.419084766565883,0.466075606304408,0.463184983389994,0.539183232164828,0.570512163442013,0.409440365612913,0.569161575203616,0.508815814814409,0.539943193700469,0.572392939219272,0.480275721556903
"henry_36",0.15913111547066,0.148528189650967,0.223620668652169,0.131950360957832,0.550766565621583,0,0.129573970431307,0.57915539618874,0.56043635583546,0.201863671782133,0.511498989420493,0.259653492906948,0.414455871620999,0.110234277771206,0.334335844313968,0.250881888603136,0.338581037742776,0.224807215244241,0.255021221982702,0.148499928082528,0.127889894109564,0.134541251232334,0.294477674496219,0.276076035791553,0.174863099719391,0.462948913228348,0.273525791228907,0.132117544863622
"franc_37",0.196656961478637,0.137770505028598,0.26012129910211,0.0989929782639873,0.570420193286976,0.129573970431307,0,0.596231826756645,0.577256970957318,0.231959144161564,0.466393165855476,0.250132474739441,0.418912443841141,0.135603151602319,0.332323663049306,0.251854311865314,0.356303173124881,0.274523863841496,0.302534639941329,0.193720759233855,0.118832415560052,0.0991032733300441,0.293207753116138,0.239312380589301,0.232375664659623,0.460478371993617,0.316623556847996,0.153482075067743
"grogu_37",0.588157704504664,0.534245476024521,0.390856886612233,0.559510589958739,0.0289496318866558,0.57915539618874,0.596231826756645,0,0.0255030950509679,0.505781742422779,0.591750327086001,0.455309147717415,0.175941233272001,0.575672841921239,0.578393412790734,0.573351319695903,0.38971669735766,0.442025114384789,0.492289059293987,0.486916510681126,0.567442519469173,0.596575757343493,0.434728207231492,0.593493199744822,0.534500216739356,0.559231878963701,0.590979930179342,0.505985923088225
"grogu_41",0.568841377293119,0.516099869488344,0.371001017592936,0.540798452744038,0.0181354026554216,0.56043635583546,0.577256970957318,0.0255030950509679,0,0.485399705649258,0.593699798069953,0.437658440093172,0.155887851837565,0.55710374065991,0.561382041488873,0.55599445266881,0.371483547784518,0.423952788383431,0.47214766522563,0.468578711698575,0.548630683353535,0.577750098799557,0.416912561809404,0.576092331150643,0.515321160906061,0.554584854811543,0.57074862883183,0.486998785450641
"joans_41",0.220746922223479,0.218609623583557,0.166278095322542,0.192417932328912,0.480665401614604,0.201863671782133,0.231959144161564,0.505781742422779,0.485399705649258,0,0.597424536385658,0.286252531633849,0.357573374588408,0.219119207155338,0.448097969166691,0.388497842896245,0.269743323497615,0.125545395837764,0.194542250456211,0.117553434904184,0.244619754030404,0.229566521523603,0.337201711730234,0.389473309863474,0.203478937684206,0.563730560632245,0.2919473731639,0.145506819369098
