"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.3675	0.39375	0.21925	0.255	0.437	0.17475	0.27075	0.35925	0.582	0.4545	0.2055	0.14825	0.1055	0.33175	0.0435	0.0195	0.06525	0.00325	0.226	0	0.02525	0.1305	0.01725	0.109875	0.34175	0.16625	0.02525	0.26	0.088	0.136	0.157875	0.08925	0.15575	0.299
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	5e-04	0	0.12475	0.00175	0.0435	0.066	0.051	0.05575	5e-04	0.0355	0	0.01325	0.3445	0	0.369	0.00025	5e-04	0.0015	0.00275	0.436	0.32125	0.001125	0.305	0.390375	0	0	0.335	0.26	0.4825	0.012	0.214125	0.10925	0.00825	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.20225	0.1515	0.14775	0.07075	0.0725	0.17275	0.0935	0.075	0.071	0.15125	0.11375	0.20875	0.11575	0.1455	0.02825	0.0695	0.01575	0.05075	0.18425	0	0.14525	0.239	0.0995	0.04125	0.17375	0.1935	0.06425	0.1015	0.02375	0.20025	0.087625	0.10275	0.09525	0.23025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.001	0	0.07925	0.00225	0.04175	0.04175	0.03025	0.0305	0.00025	0.00125	0	0	0.18775	0	0.23	0	0.00025	0.00225	0.00125	0.234125	0.181	0.00075	0.18025	0.22575	0	0	0.21325	0.1655	0.2665	0.0115	0.1195	0.05975	0.00425	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.065	0.07425	0.01575	0.1195	0.06925	0.0985	0.00875	0.0365	0.03325	0.1105	0.05775	0.1655	0.03925	0.02075	0.02825	0.21275	0.15275	0.19725	0.0275	0.00025	0.017	0.062875	0.02875	0.003375	0.06975	0.01975	0.02975	0.00975	0.002	0.127	0.083	0.124	0.074	0.101
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0775	0.10625	0.11775	0.0155	0.035	0.0165	0.09075	0.0085	0.079	0.039	0.0505	0.0265	0.01975	0.077	0.01325	0.016	0.021	0.00225	0.1895	0	0.079	0.044625	0.0655	0.0935	0.17675	0.21625	0.0205	0.00775	0.06175	0.2205	0.040875	0.08125	0.106	0.05275
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.0825	0	0.13975	0.00075	0.00125	0.00625	0.12525	0.02075	0.0355	0.00425	0.00775	0.004	0.005	0.00225	0.00775	0.246	0.028	0.00325	0.0525	0.000125	0.0535	0.019125	0.11175	0.065625	0.01775	0.010625	0.048	0.017	0.0205	0.11775	0.097625	0.04425	0.1545	0.00375
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0	0	0.01825	0.00025	0	0.00625	0.18675	0	0	0	0	0	0.01675	0	0.218	0	5e-04	0.58225	0.01875	0.000125	0	0.191375	0	0.000125	0	0	0	0	0	0.0105	0	0.16875	0	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0065	0.02575	0.0075	0.37525	0.0835	0.1975	0.00675	0.2265	0.03075	0.03725	0.04775	0.00325	0.04575	0.014	0.00675	0.0035	0.01325	0	0	0.00025	0.00125	0.024125	0.00475	0	0.00625	0.0175	0.01975	0.017	0	0.01775	0.1375	0	5e-04	0.00375
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.053	0.04425	0.018	0.02275	0.04525	0.01725	0.04225	0.00975	0.0545	0.04425	0.022	0.0415	0.0155	0.0395	0.00575	0.01975	0.00825	0.003	0.14825	0	0.02225	0.04725	0.01525	0.024375	0.07325	0.132875	0.01525	0.00775	0.02425	0.0355	0.003375	0.052	0.0915	0.048
