"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.6535	0.6515	0.491	0.3435	0.548	0.365	0.4575	0.44325	0.73275	0.6475	0.37075	0.38425	0.242	0.5575	0.08575	0.1065	0.10225	0.05625	0.611	0.00225	0.258	0.418375	0.1875	0.246	0.7	0.583625	0.111	0.36925	0.178	0.5625	0.286625	0.28	0.361	0.583
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.018	0.02775	0.22325	0.009	0.09325	0.126	0.276	0.0955	0.00975	0.0465	0.00575	0.022	0.568	0.00625	0.824	0.005	0.00375	0.597	0.0305	0.69525	0.50625	0.21425	0.48725	0.62175	0.011	0.00825	0.5505	0.429	0.75075	0.04125	0.34225	0.343	0.0135	0.014
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.18875	0.1305	0.1845	0.15075	0.08675	0.16225	0.16875	0.09475	0.082	0.14	0.47825	0.28975	0.0795	0.15275	0.04975	0.636	0.4585	0.27	0.1145	0.000625	0.1715	0.1705	0.21325	0.083125	0.126	0.13925	0.178	0.054	0.02575	0.2685	0.19025	0.24925	0.37575	0.16775
"k__Bacteria|p__Bacillota|c__Clostridia"	0.11475	0.1305	0.06925	0.109	0.1765	0.136	0.0705	0.1245	0.11425	0.1045	0.07675	0.277	0.0555	0.255	0.01325	0.03675	0.03075	0.0055	0.22075	0.0025	0.0515	0.15725	0.096	0.033875	0.1245	0.2285	0.1275	0.122	0.03775	0.0895	0.008625	0.095	0.18175	0.217
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.0065	0.02575	0.0075	0.37525	0.0835	0.1975	0.00675	0.2265	0.03075	0.03725	0.04775	0.00325	0.04575	0.014	0.00675	0.0035	0.01325	0	0	0.00075	0.00125	0.024125	0.00475	0	0.00625	0.0175	0.01975	0.017	0	0.01775	0.1375	0	5e-04	0.00375
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.0155	0.01675	0.01975	0.0075	0.00625	0.01025	0.01625	0.00925	0.02825	0.021	0.016	0.01125	0.0075	0.0045	0.01975	0.1875	0.11575	0.064	0.02175	0.005625	0.008	0.008375	0.00875	0.013	0.03075	0.022125	0.01025	0.0055	0.00725	0.01475	0.018625	0.0275	0.05125	0.01075
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0.00025	0	0.02	0.15775	0.00575	0	0.106125	0	0.000125	0.00025	0	0	0.00025	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.003	0.0155	0.004	0.004	0.00575	0.00175	0.00325	0.001	0.00225	0.003	0.0025	0.01125	0.00075	0.0075	0.00075	0.00475	0.111	0.0015	0.0015	0	0.00075	0.001625	5e-04	0.001375	0.001	0.000375	5e-04	5e-04	0	0.00525	0.01475	0.00525	0.01625	0.00325
"k__Bacteria|p__Bacillota|c__Bacilli"	0	0.001	0.00075	0.001	0	5e-04	0.001	0.00525	0	0	0	0.001	5e-04	0.001	0	0	0	0	0	0.18675	0.00275	0.0035	0.0015	0.00075	5e-04	0.000125	0.0025	0.00275	5e-04	0	0.001375	0	0	5e-04
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0.00075	0	0	0	0.00075	0	0	0	0	0.002	0	5e-04	0.00075	0	0	0.007	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria"	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	5e-04	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Tissierellia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375	0	0.000125	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
