"Taxa"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"Metabolism|Global and overview maps"	0.367437861863426	0.379197241186361	0.355672578184719	0.395635459263746	0.401940777369174	0.373316871071446	0.374850542091702	0.362323039130478	0.340959090449983	0.356421930862966	0.392412514625101	0.366275431499422	0.380389056211195	0.378890767384819	0.371814419019368	0.358680919928954	0.377648389500941	0.393466184678342	0.403483171764033	0.367422452841089	0.372949788150395	0.39172678961178	0.373895834969005	0.391976245002493	0.374514184915421	0.374943041272531	0.405047144875035	0.381234338472804	0.396151979998847	0.37792036296991	0.373339628091042	0.380048687660617	0.366810116318214	0.404623664109331	0.373290937968843	0.394402711878425	0.383403445762183	0.389067992636428	0.383809615645165	0.382088528344459	0.386464207217838	0.382477931839328	0.382442058221891	0.36273973103679	0.38686200309825	0.374083862929479	0.379110277139921	0.366016689961747	0.397997548561823	0.389735427754617	0.397077840422862	0.377137791754666	0.390842573858744	0.383359707528214	0.368374349739517	0.406386665336984	0.400610712033792	0.393369242204431	0.39785822409151	0.396514147994917	0.401255603832022	0.400858809036195	0.388752310602329	0.401913382270585	0.408424465696587	0.381288346946038	0.396064823024785	0.395114611157646	0.388624589654059	0.39057240786191	0.389529359546341	0.394685945410768	0.396178270363401	0.394610889785231	0.40283491950178	0.402618896732165	0.395781571277428	0.384259023887266	0.367196933662013	0.390622734827343	0.358306495035634	0.391296125053142	0.389481640842089	0.379801318912077	0.386055684667574	0.40849875949689	0.379430659280946	0.363962134922819	0.392335524209971	0.407000413700105	0.40002141639419	0.384733273597659	0.400530446904494	0.38869702658763	0.36126247754114	0.364102276750425	0.389267315488732	0.399476778643422	0.405368588060847	0.402109822407498	0.40144756811855	0.392875771882984	0.401291321695556	0.38080189689821	0.389882914726503	0.394645683244924	0.408338926373447	0.390832832923486	0.366762856299181	0.400866447546358	0.407470117482638	0.391828564412262	0.371031273817864	0.395691814357868	0.397361794521639	0.397027713413243	0.401301540934987	0.384644534060617	0.393807386989325	0.36521845124914	0.376503128590529	0.379146768531941	0.400420657812567	0.389785011405232	0.365496941128227	0.404037951948852	0.388220190783824	0.397298014258816	0.403214514175929	0.361252726716763	0.381484384382297	0.362950267072472	0.406158755065289	0.375348151852059	0.37129233893922	0.3873866317367	0.362883908525906	0.359672925470923	0.366152059555832	0.357609666758508	0.360833237090827	0.390025373329086	0.359699230386067	0.368948123016436
"Metabolism|Carbohydrate metabolism"	0.121508036947729	0.121413960641035	0.128582673568045	0.122661386692378	0.11246053678099	0.125148395166189	0.119980178545985	0.123362075834212	0.118819101826963	0.122300957353168	0.112312070207278	0.11409429425821	0.120071403933448	0.118999974240901	0.116217944295266	0.123400669275087	0.118370760345309	0.119005911656034	0.113627438448815	0.130469423939449	0.122480918195654	0.117975869496215	0.120256847967525	0.117904947140547	0.119907655992195	0.121009324067842	0.116619922868408	0.118546052305411	0.116985067841023	0.11971074880789	0.120190597440159	0.120756672774821	0.121758922321284	0.116062823545344	0.120749020182357	0.119963324973766	0.119525099837459	0.118465935012807	0.120578322805618	0.115832640914461	0.118998196798149	0.116467195655422	0.118542301200126	0.119912984883434	0.118582819240199	0.121346093184693	0.117206023711963	0.121250679018598	0.116512693424886	0.117501857598284	0.118010385798807	0.118697161966994	0.120223400583076	0.118820157583099	0.11673461017888	0.115923218616502	0.115977886193282	0.117891089310775	0.119087207899376	0.121917880278248	0.117570559219572	0.118459040616518	0.117296549166648	0.118547627148316	0.114638887832611	0.107155817706642	0.118200828322001	0.116632368585429	0.118521038511021	0.118717108307715	0.117730915192959	0.1186957204936	0.118334286979154	0.122201068817695	0.11613638520037	0.114277857069308	0.118456938946997	0.119593768145101	0.121889913124089	0.120218447023943	0.119829238581981	0.115805182303359	0.115616744275698	0.118835903151502	0.118891520906652	0.115187848428734	0.120025266947516	0.117470361813586	0.115387549672329	0.117146368592157	0.117017203473934	0.119952793013078	0.116440376629403	0.118712809507125	0.122636332784281	0.121385938683468	0.113339539130098	0.118286855473253	0.116272761677445	0.116038433838786	0.116772669417556	0.11938964499508	0.119706180076968	0.114130323648075	0.11720532261153	0.118029415255169	0.115915425850832	0.117139401654487	0.118397829917678	0.115144423456753	0.114811328928316	0.117278901010725	0.119945193533512	0.115519281259233	0.115156759211667	0.114445730532322	0.118194554640801	0.115716195755875	0.118332309099339	0.121719432813214	0.118142108954945	0.119058621802248	0.118731120254666	0.118396203103857	0.120950585464517	0.117208516260754	0.118128810147467	0.116473001567151	0.117365784568946	0.122368035285293	0.120235211922969	0.120749562199806	0.11755103695913	0.115456934956697	0.118638496415119	0.119602401627267	0.122813906691593	0.123240459481315	0.122206482256819	0.123489795561389	0.123123259338878	0.117115717660741	0.125039527074147	0.121236511018601
"Environmental Information Processing|Membrane transport"	0.0831068550091937	0.0799718168265652	0.0851232350468879	0.0750563256595605	0.0581081279960217	0.0770868779165408	0.077628906918793	0.085950598766188	0.0959149076334926	0.0888115457843874	0.0692370629284498	0.0594501456274926	0.0773849185602905	0.0752311381829318	0.0714692168001163	0.0867989296814936	0.0441823676091896	0.0689419187522121	0.0661692333539264	0.0807389291580122	0.0887623561887869	0.0713652477515504	0.0803240544405325	0.0647739569455288	0.0764128040347996	0.0771406390610234	0.0667491768889466	0.0689542888382062	0.0666902283252595	0.0762523983814533	0.0772829581109428	0.0845562610939961	0.0811431334813552	0.0654828768835497	0.0761311404612965	0.0681199333922762	0.0682378673585892	0.0610198189960971	0.0738558758228884	0.0747053140791508	0.075226079446794	0.0697389918098066	0.0758649244434437	0.0884403166433596	0.0733732862609079	0.0826221958415977	0.0505468532899301	0.0800318153322474	0.0700376190295362	0.0711781369353828	0.0621187372252806	0.0423336002353665	0.0643955847786086	0.0669886972132789	0.0720624953115291	0.061824848692224	0.0696099346151024	0.0731586411466061	0.0722272811042221	0.0708463016819731	0.0642111700923633	0.0694578479839721	0.0680588203272302	0.0701639686402738	0.0619620788952286	0.0648540394690945	0.071017047940647	0.0688707772837189	0.0623256771144911	0.0763522221458845	0.0701588072151648	0.0749711529730478	0.0719330011151102	0.0686724244962841	0.0680302687094444	0.0608881800569025	0.0701592528103647	0.0564124282974627	0.0814931524054013	0.0754700020324729	0.0893232669773392	0.0609611667773036	0.0620879257819533	0.0602014819468913	0.0776446632889697	0.063863882151995	0.0775190338024118	0.0928075700605989	0.0652760333545392	0.0664888216762614	0.0644434776195927	0.0632236019619056	0.0657974288435412	0.0734591849183269	0.0836313211691014	0.0816288666383741	0.0715864032945435	0.0616888368479951	0.0657933535197959	0.0636066417935493	0.0647118711106045	0.0700019441648249	0.0701368441273304	0.0744546565808108	0.0628724769513949	0.0647080675027546	0.0644949642957421	0.0694709525676098	0.0841746376309877	0.0671608526924108	0.0639668352349221	0.0671674736928792	0.0783095836340623	0.0543442290391858	0.0559671507193803	0.0616404784751701	0.067762005681097	0.0628363394016691	0.0645006034982753	0.0825203515022883	0.0756966410161451	0.0687812830792122	0.0719547266590635	0.071363209077344	0.0819097633577624	0.0673531016466263	0.0731599296845446	0.0696970898465036	0.0650683993507435	0.0818526268908314	0.0786948369512636	0.0842839050371299	0.0679599470315282	0.0560496122011041	0.0779146818939785	0.0752274377118698	0.0847882394666027	0.0822632207926803	0.0716220753431707	0.0873556624417606	0.0859937889291374	0.0612141344213064	0.0845211812606293	0.0751954309012808
"Metabolism|Amino acid metabolism"	0.0594164007526927	0.0626856266749566	0.0578013737098229	0.065952751869872	0.0732117878967954	0.0628315336706115	0.0617553812869873	0.0565077382950525	0.05953433838763	0.0552980785193529	0.072210151373892	0.0630883010413114	0.0636794869738495	0.063648551300808	0.0643290113335861	0.0555958133398025	0.0584942118656024	0.0687052088019473	0.074702644574184	0.06186849074275	0.0603786382488696	0.0673665123904808	0.0619092129738237	0.0673394462356625	0.0623437602214678	0.0614106705041072	0.0723818352493674	0.0632712684222446	0.0696917338083554	0.0633696541680801	0.0635393375990965	0.0640435473613912	0.0585281591170127	0.0727955522313534	0.0607442689395683	0.0670100390361218	0.0641257478014831	0.0655637299860499	0.0647060659933112	0.0654703399331263	0.0658183477871917	0.0649470264354374	0.065143223213738	0.0573080109876825	0.0660625445784187	0.0617480816032061	0.0604490026819949	0.0586514466376329	0.0705981900097787	0.0677012579580609	0.0681710526369965	0.0581440009570046	0.0684840994657779	0.0643088242847189	0.0605568008735672	0.0730790520865715	0.0720802512243155	0.0680159707090668	0.0678319000107701	0.0674343597839666	0.0699275008791726	0.0692215352451848	0.0668109902138781	0.0695334919027816	0.0750629156538536	0.0629153262480509	0.0681254857160984	0.070070352817009	0.0646204778249784	0.0659912567237083	0.0687518043778833	0.0689813317100893	0.0683690528579505	0.066037661622701	0.0721001106060118	0.0732756034269394	0.0683347963781947	0.0627798556195331	0.0586265530210793	0.0664595969603711	0.056168020165711	0.067562885841582	0.0674197586920999	0.0610212208355369	0.0675852434104515	0.0744737843131468	0.0633141482089164	0.055974778818341	0.068655729990488	0.0723309963115921	0.0703146649948334	0.0623340221569305	0.07098770402951	0.0666223280859088	0.0565274690419093	0.0596608465827878	0.0686236351197686	0.0681566856758136	0.0726209927805592	0.071928630261286	0.0709603843538435	0.0659966581949632	0.0685517303812699	0.0661099042314272	0.0667595428884815	0.0669671722593081	0.0739935649042014	0.0677828231690661	0.0612691156916983	0.0722451767280472	0.0747375223721533	0.06789874414679	0.0610394109444264	0.0695019723378878	0.0699749999873587	0.0716612592656621	0.069452547507426	0.0652495737436371	0.0679174923009395	0.0596536218482892	0.062115613320604	0.0619198353060947	0.0695324535515105	0.0675444608750438	0.0604680107773678	0.0714179817224914	0.0669732251189929	0.0706312545941286	0.0713189332589919	0.0564310512605273	0.0645070341039534	0.0583508923965648	0.0717879712078758	0.0641094814582551	0.0624339625866205	0.0654917530506083	0.0569846071556203	0.0556789140435509	0.0560630881575512	0.0555620654487591	0.0562930549796763	0.0667094594107376	0.0569708365352912	0.0586227742958816
"Environmental Information Processing|Signal transduction"	0.0441249554294578	0.0391333358931476	0.0516732518236891	0.0342843414196614	0.0353739081999092	0.0424288660197288	0.0426549741571886	0.0442165674290471	0.0497042759842427	0.0485636521847605	0.0375617000135702	0.0591032218909959	0.037952359112849	0.0421436535322359	0.0513625456506329	0.0460662012913564	0.0574766681825273	0.036681443929091	0.0320102293659554	0.0448944626221567	0.0447141909693443	0.0387170864182992	0.0417604696732436	0.0419393046916645	0.0435092312176035	0.0437997793446237	0.0311910919174323	0.0458131561581513	0.0380162857286708	0.0413854354323955	0.0494813497053542	0.0426674946923917	0.0448495406409979	0.0318926391375669	0.0448199037544987	0.0372735795162582	0.0432763975757869	0.0447019060815317	0.0419843870709148	0.0487646332121384	0.0384151712934125	0.0487008641267503	0.0400709124812672	0.0419753866536587	0.042180156599375	0.0416114173705568	0.0587465786047668	0.0457357712418168	0.0341100170226457	0.0392731488813509	0.0386738110512441	0.059762331507427	0.0398418162771075	0.0463489513578245	0.0493859071942996	0.0321186388670755	0.0319677033487642	0.0364152960529995	0.0345006936302166	0.0341597688707368	0.0347282647083717	0.0335538796705166	0.040596845485701	0.0320018497576893	0.0302607719312998	0.0448252293603011	0.0367108810418123	0.0375919336665637	0.0459407406308956	0.0402313948770297	0.0405513151131644	0.0350166793066573	0.0359584077755263	0.036499986952612	0.0312484226893116	0.0350083354996053	0.0337697661996597	0.0482284677720858	0.0443784713616205	0.0385597424190668	0.0526937721967249	0.0450235291520136	0.0459863212170828	0.0512320108423415	0.0372942100452447	0.0291789224451449	0.0396948712245722	0.0433114014292829	0.0426300901795889	0.0296559394820719	0.0360668323923709	0.0448931668644728	0.0347452493879955	0.0373466724511226	0.0462134818065154	0.0454051171498944	0.0374556055681735	0.0374641286068723	0.0313219133581678	0.0348058366396646	0.0347945180223783	0.0393895582771616	0.0309762452410689	0.0455903358376073	0.0449978804984231	0.039773276269911	0.0285423574774833	0.0410767137219064	0.0537355668147025	0.0343930266336264	0.0298901545322011	0.0412706387874118	0.0438312359402061	0.0444323541484229	0.0410891656832219	0.0370166903174653	0.0338915950963366	0.0478249154399496	0.0377099741664881	0.0441865471957245	0.050587395969248	0.0499727783772893	0.0323705781870309	0.0402081298887512	0.0442448948462285	0.0319704428479613	0.0360613872175989	0.034103114771005	0.0321660780474544	0.0472399431372268	0.0384551852653289	0.0448693393265487	0.0290680143901662	0.0549660083136633	0.0457487258318795	0.0371644335138394	0.0447284961409066	0.0480602126911236	0.0486041222382313	0.0476020920809273	0.0452156073227762	0.0418685403386955	0.0467187614618629	0.0463860431219927
"Cellular Processes|Cellular community - prokaryotes"	0.0413293338236182	0.0392381780873273	0.0457591294769144	0.0378128499314532	0.0327857395099506	0.0390616402844112	0.0397879517663052	0.0424979248959437	0.053889914170267	0.0457995625940979	0.0369746647612469	0.0435872244337362	0.0373532550470307	0.0389857680419999	0.040846967568302	0.0436405081059324	0.0388747408365567	0.0345401393135184	0.031059019517889	0.0423517450207248	0.0462706075124483	0.0369174237139145	0.039793535328299	0.0351104845332092	0.0399734918185995	0.0407015690207307	0.0327682750422252	0.0390890329604774	0.0356343939078248	0.0391176795597704	0.040796173465132	0.0377702937157563	0.0421088314947214	0.0323551796960512	0.0406070842266005	0.0365777817518309	0.0382787014773974	0.0354785334187463	0.0386573014105623	0.0411973262104583	0.037672231705616	0.04058927194786	0.0379535560743399	0.0424841093562185	0.0380553705096434	0.0402689408220444	0.040663053961508	0.0420711529919107	0.0339570854245701	0.0367442639423977	0.0351662085557144	0.0374558162077359	0.0360572219534005	0.0391741773802065	0.0404419883912485	0.0316068620035347	0.032389480997819	0.0364086036137505	0.0364358022066287	0.03658756872824	0.0338461604295791	0.035385732084172	0.0362662578371895	0.0346762891897259	0.0302227904140274	0.0379112909492713	0.0369181619186261	0.0341793180274861	0.038650385394714	0.0395158237190283	0.0367591386273133	0.0348008616741055	0.0363980150451726	0.0372180366486019	0.032346383746697	0.0315680947534055	0.0347963617518584	0.0372705744621235	0.0417046675126018	0.0384494523134885	0.0441114840347856	0.0371034521352597	0.0384551456428009	0.0375412793667504	0.0354730596584552	0.0300640491586072	0.0385577710110017	0.0433975306492106	0.0367050469597342	0.0322142375694591	0.0346640670525902	0.0371344450001062	0.033763239282736	0.0367721634732199	0.0428183256967732	0.0431796763539146	0.0347216756378984	0.0351493948904352	0.0324507419081922	0.0330468973774583	0.0337244892048591	0.0380801885492984	0.034187938158185	0.0379801882319567	0.037940775146194	0.0363627786186473	0.0302339572810487	0.0377433800424644	0.042672016535498	0.0339880772452175	0.0302201211305365	0.0368520449401295	0.0414574419714191	0.0351015481683292	0.0342404540608382	0.0310446352672856	0.0350421567546617	0.0360976371139226	0.0347073965172806	0.0429711437061043	0.04133274361788	0.0401355927760524	0.034899178497992	0.0374479966556103	0.0426926245969576	0.0336305530714073	0.0354892516069738	0.0336726171384463	0.0329760189033212	0.0429973654817516	0.0382559280766034	0.0433006639308759	0.0323163774241039	0.0415464448581494	0.0415449677222372	0.0373645581053304	0.042650222048605	0.04340918123936	0.0411405102118414	0.0442032139345695	0.0431221441859265	0.0353521945337415	0.0435722944449708	0.0407182120753935
"Metabolism|Metabolism of cofactors and vitamins"	0.0347498978982001	0.0367141485273817	0.0327352947169985	0.0402098093470601	0.0368755962703104	0.0351593448638103	0.0355429778396521	0.0348997239750801	0.0349706439368233	0.0336015501138388	0.0377449079834354	0.0340979105666665	0.0368310478242607	0.0356124720539335	0.0338302815941303	0.0344864349560572	0.0372656323653692	0.0372928943224765	0.0377833478011414	0.0346417362278378	0.0354970990559291	0.0373581538974376	0.0355740286987877	0.0373950387080339	0.035425853385035	0.0360144582891033	0.0391417138141397	0.0358770026139729	0.0374297418129034	0.0359211446397993	0.0336948251208117	0.0350647684464578	0.0353560907620984	0.0388094933196251	0.035732153696836	0.0388726014759032	0.0367379365069555	0.0371855689789299	0.0366261710620502	0.0342603766120792	0.0371698270315573	0.0344860773151961	0.0361786041734258	0.033363576542256	0.0358917495512267	0.0356960763206681	0.0341522617061988	0.0351023712141284	0.0381475919689252	0.0364117006749855	0.0388463957510721	0.0362496108198482	0.037705264005201	0.0359289598244141	0.0353733114068817	0.0389896397755992	0.0381344897840628	0.0377387092803174	0.0393252172429075	0.0401043539882019	0.0393010254111859	0.0396517317925489	0.0366385929877225	0.0396715555691881	0.0385220322229314	0.0382496942745499	0.0383828988071376	0.0365836339924842	0.0375819117706336	0.0374321956037653	0.0362450909021741	0.0376558637499049	0.0383543549758754	0.0400450973649931	0.0384069899881935	0.0376653064987317	0.0389146581375023	0.0373818102261946	0.0352291274582237	0.0379292026741602	0.0322534981300053	0.0365264631484887	0.0355427578117854	0.0361506948881154	0.0362858000426369	0.0398056318340023	0.0364898581940632	0.0341190060670056	0.0363452969873021	0.0400576068982989	0.0382708564999634	0.0377150677322245	0.0382970137116373	0.0370827475562014	0.0345751920629865	0.0348950813047836	0.03612527546162	0.0396181295769696	0.0391263674487206	0.03819554831784	0.0386667160383155	0.038185427984106	0.0405798298558981	0.0340342070771509	0.036509257134136	0.0384430009829515	0.0399313381857672	0.0366438481788686	0.031462135106413	0.0377220328797821	0.0390490918426042	0.0366263560165314	0.0358106559919513	0.0373210561188453	0.0374345902895989	0.0366468902826731	0.0396136697324723	0.0351000979965487	0.0385123004565364	0.0353041752248447	0.0342570308655889	0.035312960141149	0.0393699088462244	0.0368880769646655	0.0350088820733958	0.0393740209550718	0.0374155333871417	0.0381322591700513	0.0395801591356907	0.0345999891541824	0.0366763217792654	0.0350446668866902	0.040362549684042	0.0353434149484909	0.0352335645697985	0.0377022709940896	0.0350178899398527	0.0343426577244716	0.035762294920862	0.0339615836735937	0.0348059280590562	0.0370008208894979	0.0342999038701684	0.0355254755349992
"Metabolism|Energy metabolism"	0.0377061548640543	0.0368895067027231	0.0383616447398093	0.0352324209590864	0.0355626080669894	0.03744218113356	0.0373947203050525	0.0381224590540229	0.0356400691438927	0.03797019703851	0.0349705111220144	0.0354307303945939	0.037254807621486	0.0371450422270279	0.0356338777211402	0.0382649982465913	0.035322317603543	0.0359002237866331	0.0365046809855296	0.0382879922612428	0.0360611644765622	0.0359949753159761	0.037488385303356	0.0353158306151671	0.0373113685477122	0.0366736044217548	0.03576581280757	0.0363825905907558	0.0359129092545806	0.0370915788211191	0.0364295100606788	0.0351742375203571	0.0375847273884896	0.0358992310558122	0.0368666356316698	0.0358539688905376	0.036280549911061	0.0351308614382294	0.0360895375029065	0.0359396160426524	0.0365094550346766	0.035882291435727	0.0370044898309773	0.036627855103562	0.0355103314314419	0.0373257025132168	0.0348566806616332	0.0376937418033714	0.0362103878334825	0.0363251591429729	0.0357319207168228	0.03498497148441	0.0370086484275844	0.0360123760751235	0.0380469194658934	0.0358285384970386	0.0363531855737486	0.0359694148197669	0.0352200299880377	0.0358175621498299	0.0356253972875035	0.0353553659064242	0.0363499238054722	0.0353129381142937	0.036146477795713	0.0389166180948964	0.0354638110179097	0.0358706507973553	0.0353375521545294	0.0353453800056852	0.0365651175646013	0.0356330426848369	0.0354572552373474	0.0356939801939224	0.0357923555204262	0.0362398203832405	0.0361852394197511	0.0358965290881417	0.0377077656214048	0.0356527169157044	0.037338867634123	0.0358016334448362	0.0358962460158247	0.035205944480339	0.0363293792971827	0.036128924227787	0.0371493754252224	0.0384685216327921	0.0359377653849558	0.0355990026061709	0.0357221752139528	0.0356477376642112	0.0356402909460698	0.0364897855381036	0.0380904100404815	0.0374249868145134	0.0378842753432863	0.0351743890710947	0.0358259225982557	0.0358573928056058	0.035660102451431	0.0351235361891952	0.0352202414161009	0.0369320155073709	0.0355907266593973	0.0353792159241876	0.0358978131196164	0.0357365866091983	0.0358499227773871	0.0360833818600161	0.0361620271178716	0.0356515836047483	0.0367390875835078	0.0357333573811302	0.0359385889957447	0.0363028285498454	0.035300616485945	0.0358162939174533	0.0362519179734802	0.0374398494184946	0.0354188118615295	0.0353458669452097	0.0353279397530653	0.0359082641665341	0.0375000528868123	0.035561381262676	0.0368916698830075	0.036459243466063	0.035730868113295	0.0380322207316526	0.0366454250433746	0.0378096136272111	0.0356442199596144	0.0354300453407178	0.036756348267224	0.0364684065473315	0.0380140310506466	0.0380370300200791	0.0374297635289695	0.0380098177134729	0.0381339126166035	0.036451769210473	0.0384972331992132	0.0372944736836908
"Metabolism|Nucleotide metabolism"	0.0253395021230368	0.0262693854611261	0.0245459152540581	0.0277563492594327	0.02627282135511	0.0257097188553462	0.0256896467324327	0.0253517792275462	0.0217806059452016	0.0248679262938118	0.0258808042650133	0.0234758168907582	0.026412487730602	0.025826008396761	0.0245165437399616	0.0250839438984667	0.0253970845242958	0.02679733302536	0.0270828587669884	0.0256229546577546	0.0266646866174338	0.0266163073566359	0.0257562273001923	0.026194117827555	0.0255595618757275	0.0259177875342091	0.0273838235014168	0.0257782970614034	0.0265234673932481	0.0258614174538347	0.0251561965030366	0.025698381407604	0.0254488649368484	0.0272314299111297	0.0256569622815177	0.0272525169471775	0.0260511004439487	0.0259536757187432	0.0261905940637637	0.0253650769217041	0.026538935184254	0.0253081116712755	0.0260994854019799	0.0275104288116628	0.025952817747021	0.0259214618364813	0.0254158757178964	0.0253178447342369	0.0270913898441043	0.026134923836068	0.0270437038786297	0.0250162422665428	0.026661422959985	0.025985377204683	0.0256751369373335	0.0271608710793528	0.027171092654011	0.0268694199704304	0.0275605255600899	0.0277989701653952	0.0272843139606229	0.0275247293695182	0.0262767488181267	0.0277556755099118	0.0270621145180096	0.0266548757422184	0.0269668201120765	0.0262856323133515	0.0264023105806798	0.0267941863730126	0.0262655988773139	0.026827681628016	0.0270536926309667	0.0276653658402398	0.0274360093185623	0.0267383251699738	0.0271738911052209	0.0262024277099504	0.0253957498697398	0.0269315009915321	0.0221872073335917	0.0260616010929969	0.0255335253668702	0.0256461025613111	0.0265031031528742	0.02773674532622	0.0261135591386152	0.0225118423428311	0.0261817525913238	0.0277707129639647	0.0267711259309808	0.0264117114072088	0.0272232681622881	0.0264199828411219	0.0251580128178718	0.025541934599366	0.0246319916642007	0.027367754906964	0.0273652533362833	0.0268420123372884	0.0270820635389493	0.0269075207106783	0.0284192533171516	0.0245052612531411	0.0259832365558125	0.0270346263621318	0.0279279788248679	0.0264072964919792	0.0239624703140516	0.0268336971047664	0.027455086255627	0.0261660177661531	0.0254426910225192	0.0260598029913024	0.0262241443356243	0.0265864744446225	0.0275362474283036	0.0256758114589871	0.0270354078664259	0.0256485560146445	0.0252860266895786	0.0254678351858722	0.0276049013387126	0.0265380375026545	0.0255694324065333	0.0274228138122417	0.0266631165754753	0.0270319263642189	0.0274923715732231	0.0250928871391652	0.0263032348244306	0.0252364354104383	0.0279441558181663	0.0247073678380153	0.0250897705554736	0.0266522803030645	0.0253245516724546	0.0249848670411904	0.0255098140093604	0.0249822715260151	0.0252302426846738	0.0263222159068067	0.0251342782391705	0.0254466064960569
"Metabolism|Lipid metabolism"	0.0214682859916463	0.0200556084249526	0.0219728100606894	0.0180386741079753	0.0214114198220356	0.0212623367849272	0.0211481965564304	0.021772005525493	0.0213137660140073	0.0221015093812506	0.0205027273463574	0.026150984887124	0.0202872313208501	0.0208159341195716	0.0233772682287895	0.0220714826030931	0.0261014900996825	0.0198886179813111	0.0182173171932143	0.0207441025614897	0.019054444539961	0.0195263477182316	0.0206427854903868	0.0209453868581973	0.0212003256530138	0.0213533398304926	0.0183069205937285	0.0217235706149347	0.019534023364276	0.0208072863678197	0.0216233458050493	0.019583078853541	0.0216915979134131	0.018488193309693	0.0214366758078868	0.0195805132493108	0.0210300720667337	0.0220829088555703	0.0202403598806941	0.0211772945192119	0.0194533811744819	0.0210372967696716	0.0199840790576192	0.0215878827827992	0.0203604763792827	0.0202059306804336	0.0240084021364476	0.0219366720098706	0.0184902979117589	0.019901092724308	0.0199068738354592	0.027611015089959	0.0199350166680262	0.021599528192559	0.0246354161443952	0.0189791364801828	0.0183078748718751	0.0189374207470457	0.0183477053188335	0.0182637650182228	0.0190527898774088	0.0183643760194906	0.02043935214359	0.0180543984961831	0.0188340486911979	0.0241749806477687	0.0189627884952221	0.0197481542514942	0.0210274462699734	0.0190098607918846	0.0195989462427731	0.0187051297088002	0.0187993645808268	0.0189414716136697	0.0185017826326212	0.0195616913185485	0.0190822124059133	0.0235176844101455	0.0216420214130577	0.0189136149496064	0.023246103517429	0.020815947200805	0.0213600956864237	0.024259972988598	0.0193619562694644	0.0178878710043802	0.0203474660633345	0.0224277825015813	0.0202603876784969	0.0179931732005295	0.0194593318454375	0.0224385113750297	0.0189202891554575	0.0197159338028485	0.0222055480290949	0.02174160455389	0.0207206078738653	0.0195887690366845	0.0183730340566572	0.0192206857209775	0.0189777352841523	0.0195465874973455	0.0180288580160356	0.0218043723616634	0.0207868995973089	0.0199728326127927	0.0179117062118142	0.0197316443434762	0.0224484134792126	0.018725681876337	0.018155833529862	0.0202853777394747	0.0213985294159087	0.0207656720891893	0.0211857797713848	0.0205457654445732	0.0184514062846936	0.0230738963535022	0.0198261122366342	0.0214206424660339	0.0219412881069971	0.0221126140758914	0.0180829661675832	0.0195910019291031	0.0214748635311641	0.018329168938545	0.0196712395795405	0.0186479928858244	0.0187695328176945	0.022468556690716	0.0198842302887046	0.0217395149020828	0.0178581731582698	0.0243870044711086	0.0219287682962889	0.0195544919371047	0.0217321686971272	0.022665502631719	0.0237509247732565	0.0221801907502429	0.0218560964517076	0.0219108746405989	0.0219670688455953	0.0225056972466341
