"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"JarJarBinks_15",1.83457644936897,0.79666594567219,4.91801534822014,0.602582666705784,1
"Kubo_15",2.02376046848477,0.837603187421933,6.157756326155,0.78900601393847,1
"Buddy_17",1.77839112448365,0.778396921847443,4.51257269680872,0.627694038013242,1
"Iris_17",1.66232736303584,0.76521926036722,4.25929316673973,0.599557860746459,1
"Ivy_17",2.05733457460427,0.834746853795346,6.05132200485656,0.698718699610033,1
"Kubo_17",1.91150829131201,0.809642355667276,5.25326946288593,0.724314803570668,1
"Lambchop_17",2.32870568242248,0.893464563105865,9.38654807408077,0.821930931289682,1
"Padme_17",2.67138574125956,0.9279459372446,13.8784679414216,0.851982353431943,1
"Wolverine_17",1.42098981435708,0.716704082297106,3.52987790331927,0.617128035216008,1
"Buddy_18",1.64072152702089,0.753035214203247,4.04916027511299,0.684234022074763,1
"Ginger_18",1.46270220566572,0.729613767604015,3.6984131593486,0.54013112647261,1
"Hamlet_18",1.34907889200028,0.7032338330799,3.36965635395101,0.525967067566367,1
"Hera_18",1.37944340345045,0.707308180416833,3.41656285926999,0.477254664449986,1
"Iris_18",1.75107118370325,0.786719308355983,4.68865696323361,0.730253403293851,1
"Ivy_18",1.74300162422362,0.776408899801859,4.47244992807775,0.61520309717595,1
"JarJarBinks_18",1.52496097540523,0.731028599039267,3.71786738823578,0.594538434440845,1
"Kubo_18",1.57576991968229,0.745111412573887,3.92328275698056,0.597095751577334,1
"Lambchop_18",2.29439962308434,0.882185267510575,8.48790281885804,0.809822397560616,1
"Wolverine_18",1.45339950771685,0.722950371987137,3.60946162307633,0.584890988899259,1
"Franc_19",1.92972216471268,0.808622505247504,5.22527479677419,0.667638050171539,1
"Ivy_19",1.61576933055757,0.746088211700123,3.9383756331115,0.570295679973159,1
"Ophelia_19",1.55524446786944,0.74478978084687,3.91833839302488,0.560935870291311,1
"Wolverine_19",1.74460821228959,0.785964395036458,4.67211985674223,0.727558134869509,1
"Ginger_20",1.39088774394373,0.710725050100351,3.45691875617611,0.48121413452923,1
"Goose_20",1.35509524138535,0.703380628795335,3.37132398311913,0.460221879608785,1
"Hamlet_20",1.94755529330453,0.839693513247445,6.23805075051999,0.75929580739636,1
"Hera_20",1.41187815566801,0.711481677444951,3.46598438235826,0.534993362904261,1
"Iris_20",1.60771123569511,0.752194709012218,4.0354263462813,0.646990596541031,1
"Korra_20",2.11417820447846,0.851805496516764,6.7478885957003,0.694420306542185,1
"Ophelia_20",2.05293535827156,0.858791894613373,7.08174645684825,0.710266889601025,1
"Buddy_21",1.316933544961,0.696767789791307,3.29780269487787,0.513434521087129,1
