tax	CHA-46-MGE-S38	CM-NTC-003	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	25	0	35	178	70	62	34	130	46	10	57	66	96	86	105	38	12	98	76	215	44	4	157	83	1727
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	683	0	0	0	0	32	0	0	0	0	959	0	0	0	0	0	0	0	0	0	0	0	1674
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	62	0	0	0	62	74	137	311	158	0	0	0	0	132	141	87	68	58	0	0	0	7	43	174	1514
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	3	8	622	9	0	0	0	0	0	112	39	193	28	192	0	16	0	0	9	60	1291
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	74	0	69	16	17	46	162	225	26	3	10	30	171	81	17	33	41	141	17	0	16	2	82	11	1290
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	37	0	46	45	28	30	30	119	10	10	67	145	66	8	21	81	53	59	85	0	90	9	48	160	1247
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	7	0	701	0	11	0	0	0	0	24	91	57	3	0	0	0	9	0	9	0	239	0	0	36	1187
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	38	0	5	47	28	33	34	115	41	2	19	68	12	118	206	47	46	59	74	0	9	4	33	29	1067
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	11	0	167	18	24	8	47	91	50	2	16	24	299	33	56	62	19	42	45	0	24	2	11	0	1051
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	28	0	20	130	29	45	18	101	36	4	23	26	50	73	92	24	10	56	37	88	8	0	88	49	1035
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	4	0	6	0	1	0	77	250	4	4	6	11	43	0	0	0	14	5	3	0	15	0	0	555	998
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	26	0	171	26	48	4	22	166	36	7	15	44	62	88	13	78	47	21	55	0	43	0	7	7	986
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	3	0	7	14	5	0	143	529	209	0	0	0	12	15	29	5	0	5	3	0	2	0	3	0	984
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	23	0	91	48	45	36	29	47	20	12	17	57	89	108	95	53	31	37	37	0	9	5	72	9	970
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	69	0	0	0	38	0	0	0	0	21	478	287	0	0	0	0	0	0	0	0	0	0	0	0	893
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	46	0	66	58	17	19	46	105	15	5	24	26	36	30	37	11	23	51	27	55	105	0	28	5	835
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	6	52	21	0	0	0	0	0	0	74	24	1	0	0	0	1	0	0	76	501	756
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	18	0	12	69	28	39	10	53	19	0	13	31	41	38	49	15	10	43	41	84	9	0	80	39	741
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	0	0	7	40	6	0	0	0	0	0	0	66	55	78	10	89	0	0	0	0	73	289	713
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	18	0	19	35	34	19	16	48	13	1	13	32	22	80	45	81	6	44	28	0	10	0	37	13	614
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	18	0	29	20	30	19	25	76	23	0	28	26	16	57	46	43	18	16	68	6	4	3	6	12	589
