tax	CHA-46-MGE-S38	CM-NTC-003	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	2	0	1	4	3	2	1	3	1	1	1	2	3	5	6	3	0	0	1	0	1	0	1	1	42
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	3	0	5	0	1	0	0	4	0	0	1	3	7	2	0	3	2	6	2	0	1	0	1	0	41
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	1	0	0	0	0	0	0	1	1	0	29	8	0	0	0	0	0	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	4	0	0	4	4	2	2	1	1	0	1	2	1	2	4	3	0	1	1	0	0	0	4	3	40
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	1	0	3	1	1	0	1	5	0	0	1	2	3	3	2	6	1	1	5	0	1	0	3	0	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	1	0	1	0	0	0	0	9	2	0	0	5	1	0	2	0	0	0	1	0	0	0	1	13	36
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	3	0	1	4	3	0	1	0	1	0	1	1	1	3	3	0	1	0	0	8	2	0	2	1	36
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	2	0	0	0	0	0	1	5	4	0	0	0	0	0	0	8	3	4	8	0	0	0	0	0	35
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	1	5	2	1	1	3	1	1	0	0	0	1	7	0	1	2	2	5	1	0	1	0	35
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	1	0	0	1	0	0	0	2	9	5	0	2	3	0	0	0	0	0	6	0	0	4	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	2	0	1	1	1	2	2	0	2	7	2	8	1	0	0	0	2	0	0	1	1	0	33
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	2	0	4	1	0	1	0	1	1	0	0	4	0	6	1	2	2	1	2	0	1	0	1	3	33
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tertium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	33
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	0	0	0	3	0	1	1	1	0	3	4	0	0	2	1	1	3	0	7	1	0	1	3	32
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	0	0	3	0	2	0	4	3	0	0	0	4	2	4	1	1	1	6	0	0	0	1	0	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	1	0	1	0	2	2	2	2	0	0	0	2	3	6	4	1	0	2	1	0	1	0	2	0	32
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella shahii	2	0	0	0	2	0	0	0	0	0	18	10	0	0	0	0	0	0	0	0	0	0	0	0	32
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	1	0	0	0	0	0	0	0	0	3	2	24	0	0	0	0	0	0	1	0	0	0	0	0	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	0	0	0	0	0	2	0	11	5	0	0	0	0	1	2	1	2	3	0	0	0	0	1	3	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	7	0	0	0	1	9	5	0	0	0	1	0	1	0	2	0	3	0	0	0	0	0	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	6	0	1	0	0	0	0	0	0	1	5	11	2	0	0	0	0	0	0	0	0	0	0	3	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	2	0	0	0	1	0	0	5	1	0	10	8	0	1	1	0	0	0	0	0	0	0	0	0	29
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	0	0	0	0	1	4	1	0	0	0	0	0	14	3	0	0	0	0	0	0	0	2	4	29
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	0	0	1	1	2	0	0	2	0	0	0	1	0	1	1	0	0	2	4	5	2	0	4	2	28
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	24	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	28
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	0	0	0	0	2	4	1	0	2	1	3	4	0	1	0	5	0	0	0	0	3	1	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	0	0	1	3	1	1	1	0	0	0	1	2	0	4	2	4	0	3	0	0	0	0	3	1	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	0	1	2	1	1	0	1	2	0	1	1	0	5	1	3	0	2	1	0	1	0	3	0	26
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	0	0	0	0	0	1	5	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	13	25
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	4	0	1	0	0	0	1	2	1	0	0	2	6	1	1	1	1	3	1	0	0	0	0	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	1	0	2	0	0	0	3	0	6	1	2	1	3	0	0	0	1	0	2	0	0	0	0	2	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	0	8	1	1	1	1	2	3	1	0	0	3	0	1	1	0	0	0	0	0	0	0	1	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	3	0	0	0	2	0	3	4	3	0	1	1	0	1	3	0	1	0	0	0	0	0	0	2	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	0	0	0	0	1	1	4	1	0	0	0	3	3	4	1	2	1	2	0	0	0	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	1	0	0	0	0	0	0	0	0	1	13	8	0	0	0	0	0	0	0	0	0	0	0	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	2	0	0	2	4	0	0	0	0	0	0	1	0	2	2	3	2	2	0	0	0	0	3	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	0	1	0	1	1	6	1	0	2	2	1	2	0	0	1	2	1	0	0	0	1	0	22
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	0	12	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	1	0	2	0	0	0	4	0	1	0	1	2	3	2	1	1	1	0	1	0	0	0	1	0	21
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	0	0	2	0	3	1	1	0	2	1	0	2	0	2	1	4	0	0	0	1	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	1	0	0	0	0	0	0	0	0	0	6	12	1	0	0	0	0	0	0	0	0	0	0	0	20
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	2	0	5	0	0	0	1	2	0	0	0	1	3	0	0	0	0	1	4	0	1	0	0	0	20
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	3	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	8	0	0	0	2	1	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	13	19
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea ananatis	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	0	0	0	2	0	0	5	0	0	0	0	0	3	3	1	0	4	0	0	0	0	0	1	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	1	0	0	0	3	4	1	0	0	0	2	3	1	0	2	1	0	0	0	0	1	0	19
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas laurentiana	0	0	2	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea brenneri	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	1	0	4	0	0	1	0	2	0	1	0	2	0	2	1	1	0	0	1	0	0	0	1	1	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia pseudococcoides	1	0	0	0	0	0	1	1	1	0	0	2	0	0	0	4	2	1	4	0	0	0	0	1	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	1	0	3	0	2	0	0	1	0	0	0	1	1	2	1	2	1	1	2	0	0	0	0	0	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	0	0	0	2	0	1	0	4	0	0	1	2	1	3	0	2	0	2	0	0	0	0	0	0	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	0	0	1	0	0	0	0	0	0	0	5	8	3	0	0	0	0	0	0	0	0	0	0	1	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	0	0	1	4	0	0	0	3	0	0	1	2	0	2	2	0	0	1	0	0	1	0	1	0	18
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea pleuroti	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	6	17
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Latilactobacillus curvatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	4	0	0	0	2	0	1	0	0	2	4	0	0	1	1	0	1	0	0	0	0	0	16
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	0	0	0	0	1	0	0	1	2	0	1	0	0	1	1	2	1	1	2	0	1	0	0	1	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	0	0	2	0	1	1	0	0	1	0	2	3	1	0	0	0	2	0	0	0	2	0	15
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Mammaliicoccus;Mammaliicoccus stepanovicii	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	14
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	2	0	1	0	0	0	0	0	2	1	0	2	0	2	0	1	1	0	0	0	2	0	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	2	0	0	0	0	0	0	0	0	1	4	7	0	0	0	0	0	0	0	0	0	0	0	0	14
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	1	1	5	0	1	0	0	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	0	2	0	0	0	1	0	1	0	0	2	2	0	0	1	0	1	0	0	1	1	1	0	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	1	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	6	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	0	0	1	0	2	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	12
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	5	0	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	2	0	1	0	1	1	0	0	0	1	1	2	1	0	0	0	0	0	1	0	1	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	1	0	0	3	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	1	0	2	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	1	0	0	0	0	0	0	0	0	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	3	0	0	0	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella lascolaii	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	5	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	1	0	0	0	0	0	0	1	1	0	1	6	0	0	0	0	0	1	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	1	0	1	2	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	10
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	0	0	10
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	2	0	0	1	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	1	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	0	0	0	2	1	1	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	1	0	0	0	0	0	0	2	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella paludivivens	0	0	0	0	0	0	1	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	1	8
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus intermedius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	0	0	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella morbillorum	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	0	0	0	0	1	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella pleuritidis	0	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus simiae	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria perflava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	0	0	2	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus viridans	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella effluvii	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella hathewayi	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora algidixylanolytica	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	6
