"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Hera_1"	"Hera"	2023-03-10	1	"1"	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"baseline"	"run-in"	"RoomB"	"B1"	2019-08-29
"Wolverine_1"	"Wolverine"	2023-03-10	1	"1"	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"baseline"	"run-in"	"RoomB"	"B4"	2014-09-28
"Buddy_11"	"Buddy"	2023-03-20	3	"11"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"baseline"	"run-in"	"RoomF"	"F5"	2016-10-17
"Hamlet_11"	"Hamlet"	2023-03-20	2	"11"	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"baseline"	"run-in"	"RoomB"	"B1"	2017-03-05
"Hera_11"	"Hera"	2023-03-20	2	"11"	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"baseline"	"run-in"	"RoomB"	"B1"	2019-08-29
"JarJarBinks_11"	"JarJarBinks"	2023-03-20	1	"11"	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"baseline"	"run-in"	"RoomB"	"B2"	2020-01-25
"Joans_11"	"Joans"	2023-03-20	2	"11"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"baseline"	"run-in"	"RoomF"	"F5"	2017-03-23
"Padme_11"	"Padme"	2023-03-20	1	"11"	"PAD"	"Female"	"Pair"	"Group2"	4.657534247	"Estrumate"	"Texas"	""	"baseline"	"run-in"	"RoomF"	"F3"	2018-08-02
"Ginger_14"	"Ginger"	2023-03-23	1	"14"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"baseline"	"run-in"	"RoomF"	"F6"	2017-01-27
"Hera_14"	"Hera"	2023-03-23	1	"14"	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"baseline"	"run-in"	"RoomB"	"B1"	2019-08-29
"Iris_14"	"Iris"	2023-03-23	2	"14"	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"baseline"	"run-in"	"RoomB"	"B4"	2016-05-10
"Kubo_14"	"Kubo"	2023-03-23	2	"14"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"baseline"	"run-in"	"RoomB"	"B3"	2019-02-02
"Wolverine_14"	"Wolverine"	2023-03-23	2	"14"	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"baseline"	"run-in"	"RoomB"	"B4"	2014-09-28
"JarJarBinks_15"	"JarJarBinks"	2023-03-24	1	"15"	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B2"	2020-01-25
"Kubo_15"	"Kubo"	2023-03-24	2	"15"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	2019-02-02
