"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","grogu_37","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"ginger_29",0,4.04547811264209,2.80792130390219,4.03233560240276,11.8990381548523,3.24035849981534,3.09746252752663,13.0216902686996,11.4428655383826,6.48174147324007,8.57896266537118,6.3965147844661,8.33447160988003,3.19423469629169,11.5179794196675,5.07410509241986,6.14035288792147,5.49982176222243,5.13528080138073,3.8136694195658,4.19911365699259,4.83934308437234,6.89380416433717,9.08035770608724,3.80326149610756,8.02027405836266,3.22187079931771,3.88187057065176
"henry_29",4.04547811264209,0,4.93959779881502,1.82104273014847,11.81919253219,3.16059683562002,3.64190268807281,12.8801736506037,11.4833546155003,5.63225597542341,8.27621945615151,3.25665279527126,8.33960071886649,3.37109938321426,10.4394167105451,3.61308869477165,5.04938719060862,4.87879100131569,4.76804183383198,4.34719316404856,2.63316858466329,4.38393313319458,4.45844498381408,7.67703519323987,3.42370213542636,6.73427131128803,5.15286083779432,3.46182053678031
"joans_29",2.80792130390219,4.93959779881502,0,5.37969487664209,10.464612356795,3.19565921784157,2.66591124091581,11.6267050250231,9.95062359963844,4.86892636659675,8.28806491508689,6.50564536116545,6.9996614680966,5.01847529786911,11.2371728106636,6.14814546295066,5.6676700255887,4.24318273213394,5.22172903486672,2.71453333421775,4.01778399763173,5.18769228975957,6.97817753396326,9.6261401259559,3.8503687801135,7.93887280575539,3.14572113339129,3.67920890311329
"ginger_36",4.03233560240276,1.82104273014847,5.37969487664209,0,11.5332596778866,2.95000676663975,3.84801526200827,12.5481287957008,11.2338722878247,6.19068473335917,7.50700062947628,3.53978155977494,8.11233579723934,2.30832137700921,10.3408585820657,3.13438344614766,5.94650848832722,5.56508460169508,5.8230461817063,4.47512116590342,3.24567689033145,3.58412239526562,4.17402865871111,7.06991633643648,4.3754101981867,6.12412235590471,5.83260792226556,3.61469311570726
"grogu_36",11.8990381548523,11.81919253219,10.464612356795,11.5332596778866,0,9.7498024581437,9.74230998649412,1.22822815328349,0.771552693437501,8.31512074098365,5.58864799739372,10.1128485556212,3.66491779315589,11.9762497704026,11.9309937219058,11.511166703718,11.8162912746716,9.3347434805517,13.5004234308791,8.57289459602404,10.580309951065,8.95911577510524,8.90313739303061,11.6669537473679,12.2303984901334,8.25381044068864,12.8610022567075,9.59872202973661
"henry_36",3.24035849981534,3.16059683562002,3.19565921784157,2.95000676663975,9.7498024581437,0,1.94739222298178,10.8429774744214,9.37558364713823,4.45341596980429,6.51697217099847,4.2699148322452,6.25099718538642,3.00939955419075,9.97634671494222,3.81531372787054,5.60459461735506,4.21624341472956,5.77121222259724,2.2933500366153,2.27374322141292,2.89946500708538,4.31286353129967,7.47225149402403,3.71601295631518,5.62011298101492,4.63840676033704,1.92336426018699
"franc_37",3.09746252752663,3.64190268807281,2.66591124091581,3.84801526200827,9.74230998649412,1.94739222298178,0,10.8626602861966,9.31373349551981,4.63379488599431,6.87350965129274,4.9879711748369,6.22633501578287,3.82105083395372,9.21335454089876,4.56697755781409,5.57295194745443,4.19657923145772,5.60584269169812,2.23275929420807,2.96759946882491,3.39960488773533,5.13705356091415,7.45722154460517,3.72790930594382,6.33520142469137,4.18725692374369,2.57813892126932
"grogu_37",13.0216902686996,12.8801736506037,11.6267050250231,12.5481287957008,1.22822815328349,10.8429774744214,10.8626602861966,0,1.77213263364781,9.33950788570145,6.28814188007938,11.0553057954266,4.77528487666703,13.0126812310295,12.6019450156925,12.5409235013479,12.8514226564098,10.4079246366148,14.6051560076682,9.69652194813652,11.6952491307386,9.98199675420985,9.80756116476487,12.4559727847695,13.3365004722452,9.13558681241967,13.9995806005018,10.6666937960525
"grogu_41",11.4428655383826,11.4833546155003,9.95062359963844,11.2338722878247,0.771552693437501,9.37558364713823,9.31373349551981,1.77213263364781,0,7.85062721046573,5.55830768691992,9.88180889783369,3.22161879972468,11.6497938938721,11.9130150096054,11.3325459413178,11.4173591031615,8.86868769675023,13.0633168950603,8.09397318516678,10.2721119617578,8.73233519748003,8.78502798093911,11.6825284482546,11.7975125471726,8.31620309766716,12.3493283686497,9.20762755680238
"joans_41",6.48174147324007,5.63225597542341,4.86892636659675,6.19068473335917,8.31512074098365,4.45341596980429,4.63379488599431,9.33950788570145,7.85062721046573,0,7.24671054770903,4.71228853949726,5.18212321486357,7.09682135754623,10.9509546880755,7.35722366117864,5.33480070648532,2.89730749833903,6.71308514849675,3.21712657939716,4.75303037570981,5.99033528510013,5.43878564589006,9.84514823958857,5.53429010118372,7.38833843627863,6.52829727378281,3.77424163513002
"marshmallow_41",8.57896266537118,8.27621945615151,8.28806491508689,7.50700062947628,5.58864799739372,6.51697217099847,6.87350965129274,6.28814188007938,5.55830768691992,7.24671054770903,0,6.9279661529069,3.86842863384042,7.87829750436331,10.141963355895,7.37840915930601,9.59219818956517,7.67828998419794,10.8895860477875,6.2222244664962,7.5572635332106,5.00239212574258,5.24312539229896,7.91888894635946,9.37881350658051,4.79115005627025,10.3175212113428,6.55734855093428
