"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"hera_24"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"fpt1"	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0.04	0
"fpt2"	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0.04	0
"fpt3"	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0.04	0
"fpt4"	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0.04	0	0	0	0.02	0.01	0	0	0	0.02
"fpt6"	0	0	0	0	0.11	0	0	0	0	0	0	0	0	65.37	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt7"	0	0	0.02	0	0.13	0	0	0	0	0	0	0	1.38	65.37	0	0	0	0	0.78	0.02	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0.04	0	0	0	0	0.13	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.47	0.02	0	0.11	0	0	0	0.04	0	0	0.07	0.02	0.13	0
"fpt8"	0	0	0.02	0	0.13	0	0	0	0	0	0	0	1.38	65.37	0	0	0	0	0.78	0.02	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0.04	0	0	0	0	0.13	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.47	0.02	0	0.11	0	0	0	0.04	0	0	0.07	0.02	0.13	0
"fpt9"	0	0	0.09	0	0.02	0.07	0.02	0	0	0.02	0.02	0.04	0	0	0	0.02	0.02	0	0	0	0.04	0.04	0	0.02	0.07	0.07	0.02	0.02	0.11	0.04	0	0.04	0.07	0	0.04	0	0	0.07	0.1	0	0.07	0.2	0.02	0.04	0.16	0	0	0.04	0.2	0.02	0	0.02	0.09	0.13	0.16	0	0.07	0	0.18	0.09	0.13	0.02	0.09	0.09	0.11	0.04	0.04	0.02	0.13	0	0.02	0.16	0.07	0.02	0.11	0.07	0.42	0.04	0.04	0.04	0	0.11	0.04	0.02	0	0.02	0.07	0.02	0.09	0.02	0	0.07	0.04	0.04	0.13	0	0.02	0.04	0.09	0.07	0	0.16	0.02	0.13	0.13	0.02	0.21	0.02	0	0.07	0.02
"fpt10"	0.02	0.18	0.13	0.09	0.71	0.07	8.62	0.16	0.16	0.07	0.29	7.49	0	0.11	0	0.02	10.18	0.04	0	2.8	0.16	1.77	0.02	1.96	0.16	6.31	0.22	0.04	2.14	1.11	0	2.2	6.25	15.5	3.36	0.09	0	0.09	0.22	0	1.31	1.07	0.04	0.16	1.09	0	0	0.11	1.56	0.02	0.04	1.04	0.54	0.4	7.27	0.02	0.11	3.05	3.25	0.09	0.4	0.02	1.91	1.78	7.42	0.11	2.58	0.36	3.58	0.02	0.27	7.43	0.18	0.71	3.45	6.74	0.51	0.69	0.27	8	0	0.16	0.04	7.72	0.02	1.76	1.18	0.04	0.13	9.84	0.04	6.27	0.07	0.44	0.29	0	0.58	0.67	0.84	10.62	0.78	11.32	0.07	1.07	0.27	0.09	5.71	1.71	0.13	0.07	0.16
"fpt11"	32	45.78	31.95	56.64	45.68	30.77	60.57	38.75	30.02	29.74	52.7	52.23	75.61	99.51	71.34	43.65	54.26	58.1	52.76	46.13	17.29	58.24	68.03	55.21	54.67	39.73	54.06	50.23	36.88	55.5	92.11	62.38	35.68	51.59	36.39	43.62	53.29	45.67	58.33	93.98	40.33	58.06	95.98	38.88	61.6	97	94.29	35.27	54.76	80.29	42.05	66.81	46.23	52.27	43.11	38.61	44.6	48.47	42.38	45.12	40.31	73.79	57.63	52.29	53.48	26.11	40.07	77.15	45.26	94.2	50.13	46.06	64.13	49.83	48.02	44.99	53.87	75.08	79.58	45.22	85.99	47.81	32.94	46.16	33.38	57.52	50.16	88.91	55.12	53.62	55.06	45.72	21.73	71.79	39.67	90.13	65.73	57.73	58.96	60.57	68.35	59.9	28.65	44.07	47.31	35.56	52.95	73.17	18.82	82.04	39.85
"fpt12"	2.16	2	0.6	1.02	0.98	2.09	1.6	1.09	0.76	13.3	4.25	0.78	1.71	2.74	2.51	2.11	1.05	1.98	3.4	1.31	18.76	11.65	6.43	3.18	1	1.51	2.29	1.27	2.78	1.62	0.11	3.42	0.65	0.67	3.67	1.18	1.62	2.18	2.47	0.24	1.24	2.51	0.24	1.73	2.84	0.89	0.31	2.16	2.96	0.78	2.51	0.64	9.06	1.09	2.32	15.12	1.18	2.42	4.01	0.8	1.56	0.56	1.89	6	2.04	4.78	1.8	1.85	2.83	0.31	1.2	1.67	2.93	1.87	3.09	1.91	2.31	0.84	1.09	2.69	0.2	3.2	2.76	3.4	1.94	0.91	2.67	0.4	1.69	1.71	0.96	1.94	3.11	1.13	2.96	0.16	1.73	3.62	2.56	3.05	0.94	2.27	0.4	2.62	6.23	3.07	2.19	1.09	10.33	0.87	1.51
"fpt13"	0.02	0	0.02	0	0	0	0	0.07	0.02	0	0	0	0	1.29	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt14"	0.02	0	0.02	0	0	0	0	0.07	0.02	0	0	0	0	1.29	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt15"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt16"	0.04	10.52	3.31	4.25	4.59	0.16	0	0.07	0.2	0	2.47	0	31.09	5.31	3.74	0.02	0	1.07	12.83	2.89	0.02	0	0.11	0	0.04	0	0	1.38	0.67	8.76	0	0	0	0	1.4	0.04	4.13	0.22	7.83	0	0.02	1.89	0	0	3.53	39.47	0	0.29	0.69	0.38	0.2	0	0.02	1.25	0	0.36	0.11	0.02	1.29	0.16	0.07	0.6	0	0.04	0.18	0.2	0.07	0	0	0	0.31	0	15.27	0.11	0	0	2.42	26.23	2.14	0	0	1.29	0.24	0	0	0	0.02	0	0.38	0	0.49	0	0.73	3.49	0	0	0	4.58	0.98	0	24.35	0	0	3.58	3.2	0	0	28.21	6.98	39.2	1.02
"fpt17"	0.02	0	0.04	0	0.85	0	0	0.07	0.02	0	0	0	1.38	0	0	0.02	0	0	0.78	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0	0	0.02	0.04	0	0	0	0	0.13	0	9.94	0	0	0	0.04	0	0	0	0.02	0.07	0	0	0	0.09	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0.02	0.49	0.02	0	0.11	0	0	0	0.04	0	0	0.07	0.02	0.13	0
"fpt18"	0.13	19.01	7.32	9.7	9.08	3.65	0	1.45	2.38	0	4.43	0.02	69.69	76.97	6.49	0.11	0	1.78	30.6	8.4	0.02	0.04	0.4	0.04	0.67	0	0.04	2.33	1.42	15.67	0.02	0.04	0	0	4.11	0.09	6.67	0.38	13.7	0	0.04	3.78	0	0.07	6.07	72.29	0	2.76	1.22	0.67	0.24	0	11.04	2.4	0.02	0.58	0.2	0.02	3.27	0.29	0.51	1.25	0	0.04	2.98	0.4	0.07	0.22	0	0	2.11	0	22.98	0.18	0	0.02	3.63	47.22	28.74	0	0	1.82	0.67	0	0.13	0.09	0.07	0	0.53	0	0.96	0	1.29	38.09	0.02	0	0.11	8.54	1.87	0	45.34	0.04	0.02	6.93	4.72	0.04	0	52.02	10.91	69.68	2.07
"fpt19"	0.58	8.63	5.09	7.39	5.7	0.91	29.63	6.27	4	2.29	4.54	5.76	39.82	90.26	2.51	1.18	8.21	2.4	18.71	6.2	1.2	10.44	0.76	0.58	1.91	2.93	1.11	3.38	1.18	6.98	0.2	0.04	1.69	0.78	4.45	1.13	4.4	1.49	7.41	0.31	2.33	2.18	0.2	5	2.89	25.15	0.13	4.65	1.04	0.6	0.4	1.42	1.55	1.13	5.77	2.98	0.33	0.51	2.83	2.73	4.27	65.13	1.58	1.13	7.13	0.56	0.78	0.56	1.56	0.27	4.4	4.23	12.36	0.42	1.29	1.29	5.09	19.74	1.94	0.4	0.24	4.14	0.49	1.18	0.18	1	0.44	0.49	4.56	1.49	1.33	1.82	1.27	2.56	2.6	0.58	0.78	4.38	1.42	3.22	21.25	12.17	0.78	3.69	4.23	0.53	1.26	25.74	4.31	26.75	1.91
"fpt20"	0.64	21.1	9.45	14.04	12.13	4.45	29.63	7.72	6.36	2.29	7.61	5.78	69.69	96.97	7	1.29	8.21	3.71	31.05	9.11	1.22	10.48	0.96	0.6	2.58	2.93	1.14	5.05	1.91	17.18	0.2	0.09	1.69	0.78	5.87	1.22	9.11	1.76	17.34	0.31	2.36	4.58	0.2	5.07	7.13	75.94	0.13	5.36	1.89	1.04	0.47	1.42	11.91	2.76	5.8	3.45	0.42	0.53	4.19	2.93	4.42	66.18	1.58	1.18	9.98	0.8	0.84	0.56	1.56	0.27	4.96	4.23	29.13	0.51	1.29	1.31	7.85	52.02	29.63	0.4	0.24	5.51	0.82	1.18	0.29	1.07	0.51	0.49	4.98	1.49	2.02	1.82	1.53	38.35	2.62	0.58	0.8	9.7	2.53	3.22	51.94	12.21	0.8	8.47	8.03	0.58	1.26	59.25	11.87	75.08	3.11
"fpt21"	0.58	8.63	5.09	7.39	5.7	0.91	29.63	6.27	4	2.29	4.54	5.76	39.82	90.26	2.51	1.18	8.21	2.4	18.71	6.2	1.2	10.44	0.76	0.58	1.91	2.93	1.11	3.38	1.18	6.98	0.2	0.04	1.69	0.78	4.45	1.13	4.4	1.49	7.41	0.31	2.33	2.18	0.2	5	2.89	25.15	0.13	4.65	1.04	0.6	0.4	1.42	1.55	1.13	5.77	2.98	0.33	0.51	2.83	2.73	4.27	65.13	1.58	1.13	7.13	0.56	0.78	0.56	1.56	0.27	4.4	4.23	12.36	0.42	1.29	1.29	5.09	19.74	1.94	0.4	0.24	4.14	0.49	1.18	0.18	1	0.44	0.49	4.56	1.49	1.33	1.82	1.27	2.56	2.6	0.58	0.78	4.38	1.42	3.22	21.25	12.17	0.78	3.69	4.23	0.53	1.26	25.74	4.31	26.75	1.91
